# ASAS-SN SkyPatrol ID: 661426592308
# Million Quasars Catalog (MILLIQUAS): NPM 1G+18.0178
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NPM 1G+18.0178
# GLADE HyperLEDA: 1556332
# GLADE 2MASS Extended Source Catalog: 07523897+1819180


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455973.8789776,3.2894,0.0311,15.1670,0.0103,18.4795,2.34,V,G,ba
2455999.939564,3.2431,0.0714,15.1824,0.0239,17.5775,2.15,V,B,ba
2456224.0846424,3.3371,0.0393,15.1514,0.0128,18.2250,2.28,V,G,ba
2456228.0329682,3.2161,0.0950,15.1915,0.0321,17.2683,2.38,V,G,ba
2456231.0493672,3.0233,0.0978,15.2586,0.0351,17.2370,2.44,V,G,ba
2456239.1482011,3.3200,0.0667,15.1569,0.0218,17.6520,2.00,V,B,ba
2456243.0449909,3.2711,0.0391,15.1730,0.0130,18.2310,2.16,V,G,ba
2456272.0034921,3.4149,0.0395,15.1263,0.0126,18.2221,2.03,V,G,ba
2456277.0396095,3.1776,0.0362,15.2045,0.0124,18.3166,2.29,V,G,ba
2456300.0120403,3.3931,0.0452,15.1333,0.0145,18.0737,2.46,V,G,ba
2456308.9565168,3.2644,0.0374,15.1753,0.0125,18.2803,2.07,V,G,ba
2456310.9429501,3.4004,0.0415,15.1310,0.0133,18.1676,1.77,V,G,ba
2456313.9351868,3.4012,0.0622,15.1307,0.0199,17.7287,2.29,V,G,ba
2456323.9242945,3.2181,0.0562,15.1908,0.0190,17.8388,2.00,V,G,ba
2456327.9187098,3.3653,0.0542,15.1422,0.0175,17.8772,2.18,V,G,ba
2456338.7360431,3.2023,0.0471,15.1961,0.0160,18.0289,2.53,V,G,ba
2456352.7593887,3.2779,0.0423,15.1708,0.0140,18.1467,2.60,V,G,ba
2456353.7603544,3.3697,0.0544,15.1408,0.0175,17.8743,2.34,V,G,ba
2456356.7789217,3.3139,0.0346,15.1589,0.0113,18.3647,2.20,V,G,ba
2456365.7457851,3.2888,0.1188,15.1672,0.0393,17.0254,1.83,V,B,ba
2456385.7593409,3.2054,0.0435,15.1951,0.0147,18.1170,2.21,V,G,ba
2456391.7434822,3.4340,0.0497,15.1203,0.0157,17.9709,2.58,V,G,ba
2456406.7524734,3.2449,0.0814,15.1818,0.0273,17.4354,2.43,V,G,ba
2456410.7471046,3.3772,0.0539,15.1384,0.0173,17.8837,2.68,V,G,ba
2456536.1369693,3.6644,0.2311,15.0498,0.0686,16.3027,2.23,V,G,ba
2456544.1259698,3.3755,0.0674,15.1389,0.0217,17.6405,2.14,V,G,ba
2456555.0827433,3.6464,0.2906,15.0551,0.0866,16.0541,2.10,V,G,ba
2456557.0896628,3.2589,0.1223,15.1771,0.0408,16.9941,1.75,V,G,ba
2456565.0674699,3.1876,0.0904,15.2011,0.0308,17.3224,2.37,V,B,ba
2456570.0460846,3.2378,0.0615,15.1842,0.0207,17.7394,2.03,V,G,ba
2456576.0305241,3.2755,0.0399,15.1716,0.0132,18.2112,2.21,V,G,ba
2456598.0425756,3.3070,0.0484,15.1612,0.0159,18.0012,1.68,V,G,ba
2456601.0387983,3.1713,0.0467,15.2067,0.0160,18.0380,2.20,V,G,ba
2456630.9917031,3.3417,0.0404,15.1499,0.0131,18.1971,2.23,V,B,ba
2456631.9922821,3.1121,0.0596,15.2271,0.0208,17.7737,2.41,V,G,ba
2456637.8662219,3.1510,0.1569,15.2137,0.0541,16.7230,3.27,V,B,ba
2456638.8635267,3.7598,0.1895,15.0219,0.0548,16.5183,1.67,V,G,ba
2456642.9698981,4.2422,0.1632,14.8908,0.0418,16.6804,2.94,V,G,ba
2456676.750035,3.1714,0.0527,15.2067,0.0181,17.9072,2.01,V,G,ba
2456677.9229073,3.4112,0.0912,15.1275,0.0291,17.3128,2.13,V,G,ba
2456730.7527061,3.0712,0.1665,15.2415,0.0589,16.6587,2.02,V,B,ba
2456736.7972981,3.3163,0.0464,15.1582,0.0152,18.0467,2.27,V,G,ba
2456741.7994267,3.1992,0.0446,15.1972,0.0151,18.0897,1.71,V,G,ba
2456758.7476956,3.1533,0.0954,15.2129,0.0329,17.2630,3.14,V,G,ba
2456759.7734064,3.2183,0.1078,15.1907,0.0364,17.1304,1.70,V,G,ba
2456771.7592563,3.2315,0.0471,15.1863,0.0158,18.0299,2.07,V,G,ba
2456903.1388749,2.8416,0.3334,15.3259,0.1275,15.9050,1.87,V,G,ba
2456905.130132,3.3833,0.0798,15.1364,0.0256,17.4571,1.65,V,B,ba
2456911.1320422,3.7577,0.1687,15.0225,0.0488,16.6448,1.68,V,B,ba
2456912.1291714,2.8746,0.1632,15.3133,0.0617,16.6803,1.71,V,B,ba
2456914.1242651,3.4551,0.0938,15.1136,0.0295,17.2818,1.66,V,G,ba
2456915.1211391,3.3357,0.1072,15.1518,0.0349,17.1368,1.63,V,G,ba
2456923.1100601,3.3456,0.0567,15.1486,0.0184,17.8280,1.65,V,G,ba
2456924.105671,3.4693,0.0577,15.1092,0.0181,17.8103,1.75,V,G,ba
2456925.1039831,3.3860,0.0423,15.1356,0.0136,18.1476,2.08,V,G,ba
2456933.0613714,3.2179,0.0666,15.1908,0.0225,17.6535,1.63,V,G,ba
2456936.0852284,3.1297,0.0468,15.2210,0.0162,18.0377,1.66,V,G,ba
2456940.0833965,3.4181,0.1003,15.1253,0.0319,17.2095,1.71,V,B,ba
2456961.0310886,3.4050,0.0479,15.1295,0.0153,18.0110,1.74,V,G,ba
2456968.0097089,3.0342,0.1351,15.2547,0.0484,16.8853,1.72,V,G,ba
2456971.0284424,3.3192,0.1020,15.1572,0.0334,17.1905,1.68,V,G,ba
2456977.9786139,3.2207,0.0508,15.1899,0.0171,17.9483,2.28,V,G,ba
2456980.0119151,3.1056,0.0442,15.2294,0.0155,18.0990,2.04,V,G,ba
2456982.0135992,3.2196,0.0444,15.1903,0.0150,18.0941,1.80,V,G,ba
2456984.0078239,3.3770,0.0404,15.1385,0.0130,18.1969,1.68,V,G,ba
2456987.006279,3.2758,0.0458,15.1715,0.0152,18.0596,1.65,V,G,ba
2456989.0037031,3.2707,0.0326,15.1732,0.0108,18.4296,1.66,V,G,ba
2456990.9791015,3.2289,0.0403,15.1871,0.0136,18.1993,1.64,V,G,ba
2456992.920848,3.2279,0.0451,15.1875,0.0152,18.0765,1.64,V,G,ba
2456993.9209531,3.1847,0.0581,15.2021,0.0198,17.8025,1.69,V,G,ba
2456996.0241596,3.5968,0.1874,15.0700,0.0566,16.5304,1.79,V,B,ba
2456997.9867339,3.2003,0.1210,15.1968,0.0411,17.0050,1.70,V,B,ba
2457003.8643487,3.2642,0.0628,15.1753,0.0209,17.7169,1.63,V,G,ba
2457006.9787214,3.2423,0.0462,15.1826,0.0155,18.0501,2.00,V,G,ba
2457007.9703678,3.3120,0.0471,15.1596,0.0155,18.0294,1.70,V,B,ba
2457008.973209,3.3247,0.0400,15.1554,0.0131,18.2081,1.71,V,G,ba
2457012.9667134,3.2953,0.0486,15.1650,0.0160,17.9964,1.64,V,G,ba
2457017.9429999,3.2897,0.0392,15.1669,0.0130,18.2278,1.69,V,G,ba
2457020.9495023,3.1670,0.0575,15.2082,0.0197,17.8130,1.61,V,G,ba
2457023.8418072,3.4396,0.1105,15.1185,0.0349,17.1041,1.70,V,G,ba
2457030.9324081,3.1905,0.0816,15.2001,0.0278,17.4337,1.70,V,G,ba
2457032.9236516,3.1904,0.0683,15.2002,0.0233,17.6260,1.80,V,G,ba
2457034.9222061,3.3649,0.0407,15.1424,0.0131,18.1883,1.69,V,G,ba
2457036.7752411,3.2622,0.0494,15.1760,0.0165,17.9783,1.72,V,G,ba
2457037.9231124,3.3006,0.0318,15.1633,0.0105,18.4547,1.67,V,G,ba
2457039.9440433,3.3848,0.0395,15.1360,0.0127,18.2197,1.68,V,G,ba
2457041.9254494,3.1685,0.0456,15.2077,0.0156,18.0653,1.69,V,G,ba
