# ASAS-SN SkyPatrol ID: 661425878297
# Million Quasars Catalog (MILLIQUAS): MCG -2-08-014
# AllWISE AGN Catalog: WISEA J025223.40-083037.0
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MCG -2-08-014
# GLADE GWGC: PGC010875
# GLADE PGC Number: 10875
# GLADE HyperLEDA: PGC010875
# GLADE 2MASS Extended Source Catalog: 02522337-0830376


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455971.7944306,5.5926,0.0560,14.5907,0.0109,17.8427,2.19,V,G,ba
2456221.9216614,5.4777,0.0420,14.6133,0.0083,18.1540,2.53,V,G,ba
2456227.8937166,5.4795,0.1492,14.6129,0.0296,16.7783,2.38,V,G,ba
2456235.8924292,5.6230,0.0612,14.5849,0.0118,17.7461,2.24,V,G,ba
2456238.888832,5.6103,0.0592,14.5873,0.0115,17.7824,2.02,V,G,ba
2456241.9149969,5.4598,0.0366,14.6168,0.0073,18.3041,2.11,V,G,ba
2456258.8781863,5.5663,0.1564,14.5959,0.0305,16.7269,2.20,V,B,ba
2456275.8322313,5.5715,0.1053,14.5948,0.0205,17.1564,2.18,V,B,ba
2456288.9301733,6.1302,0.2732,14.4911,0.0484,16.1212,2.15,V,G,ba
2456316.8304116,5.1518,0.1510,14.6799,0.0319,16.7649,2.05,V,G,ba
2456319.8154772,5.3764,0.1384,14.6336,0.0280,16.8594,2.03,V,G,ba
2456325.8381817,5.6612,0.0475,14.5775,0.0091,18.0200,2.38,V,G,ba
2456475.1227706,6.1669,0.2967,14.4846,0.0523,16.0315,2.01,V,B,ba
2456481.1081061,5.5863,0.0775,14.5920,0.0151,17.4897,2.26,V,B,ba
2456485.0961575,5.4274,0.0596,14.6233,0.0119,17.7739,2.07,V,G,ba
2456488.088664,5.2498,0.0546,14.6594,0.0113,17.8691,1.88,V,G,ba
2456490.1021566,5.6744,0.0589,14.5750,0.0113,17.7862,1.83,V,G,ba
2456493.0718773,5.6842,0.0742,14.5731,0.0142,17.5366,2.12,V,G,ba
2456497.0769938,5.5697,0.2051,14.5952,0.0400,16.4322,2.05,V,B,ba
2456512.0375322,5.6068,0.0885,14.5880,0.0171,17.3456,2.23,V,B,ba
2456517.0087663,5.3927,0.0603,14.6303,0.0122,17.7610,1.90,V,G,ba
2456519.0344804,5.4382,0.0739,14.6212,0.0148,17.5401,1.83,V,B,ba
2456522.0332327,5.5126,0.0594,14.6064,0.0117,17.7780,2.12,V,G,ba
2456526.0155692,5.4517,0.1877,14.6185,0.0374,16.5287,1.77,V,G,ba
2456532.0247335,5.4049,0.0824,14.6278,0.0166,17.4230,1.79,V,G,ba
2456534.1214406,5.5470,0.0614,14.5996,0.0120,17.7417,2.18,V,G,ba
2456536.0107081,5.4003,0.0544,14.6287,0.0110,17.8731,1.99,V,G,ba
2456539.1103603,5.6164,0.0494,14.5861,0.0096,17.9787,2.01,V,G,ba
2456549.9615934,5.7437,0.0682,14.5618,0.0129,17.6279,1.84,V,G,ba
2456555.9749414,4.2244,0.1865,14.8954,0.0480,16.5354,1.76,V,B,ba
2456559.9818965,5.1965,0.1332,14.6705,0.0279,16.9014,2.11,V,G,ba
2456564.9730921,5.7851,0.0619,14.5540,0.0116,17.7323,2.13,V,G,ba
