# ASAS-SN SkyPatrol ID: 369367404649
# ATLAS-REFCAT2: 107650315666240690
# Gaia DR2: 2507118340779676032
# Million Quasars Catalog (MILLIQUAS): UGC 1597
# AllWISE AGN Catalog: WISEA J020615.98-001729.2
# Chandra Source Catalog: 2CXO J020615.9-001729
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: UGC 1597
# GLADE 2MASS Extended Source Catalog: 02061600-0017292


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456589.9236087,9.6911,0.2075,13.9938,0.0233,16.4196,1.95,V,B,bd
2456592.8972372,6.5190,0.2962,14.4243,0.0494,16.0335,1.74,V,B,bc
2456593.8831649,6.4601,0.2411,14.4342,0.0406,16.2568,1.69,V,B,bc
2456600.8977089,8.2386,0.1013,14.1701,0.0134,17.1978,2.46,V,G,bd
2456605.89155,6.4935,0.2856,14.4286,0.0478,16.0731,1.72,V,G,bc
2456608.8702917,7.2501,0.1553,14.3089,0.0233,16.7346,1.97,V,G,bc
2456614.7678788,7.6785,0.2686,14.2466,0.0380,16.1396,3.46,V,B,bc
2456615.76028,7.3305,0.1916,14.2969,0.0284,16.5062,2.14,V,G,bc
2456615.7717194,7.6849,0.1983,14.2457,0.0281,16.4689,1.50,V,G,bd
2456616.7697014,6.8178,0.1698,14.3757,0.0271,16.6378,2.66,V,B,bc
2456618.7665207,7.4216,0.0948,14.2835,0.0139,17.2704,1.46,V,G,bd
2456619.7802644,7.4537,0.0827,14.2789,0.0121,17.4180,2.81,V,G,bd
2456621.7641022,7.7965,0.0906,14.2300,0.0126,17.3199,2.01,V,G,bd
2456630.8108315,6.9536,0.0625,14.3543,0.0098,17.7222,1.55,V,G,bc
2456631.842305,7.6445,0.1034,14.2514,0.0147,17.1758,1.45,V,G,bd
2456635.8347524,7.1517,0.1258,14.3238,0.0191,16.9629,1.81,V,G,bd
2456641.814314,7.3148,0.2308,14.2993,0.0343,16.3044,2.54,V,G,bd
2456642.8525358,7.1788,0.1545,14.3197,0.0234,16.7401,1.53,V,G,bc
2456652.7699516,7.1927,0.0758,14.3176,0.0115,17.5130,1.57,V,G,bc
2456652.7726677,7.0088,0.1021,14.3457,0.0158,17.1896,1.55,V,G,bd
2456656.803537,7.1199,0.0792,14.3286,0.0121,17.4655,1.47,V,G,bd
2456658.7691732,7.3398,0.0681,14.2956,0.0101,17.6291,2.42,V,G,bc
2456674.793943,7.3919,0.3311,14.2879,0.0487,15.9123,1.70,V,G,bd
2456675.7132464,7.1181,0.0814,14.3289,0.0124,17.4352,1.39,V,G,bc
2456676.7528699,6.8032,0.1238,14.3780,0.0198,16.9805,1.57,V,G,bd
2456677.7582264,6.8613,0.0697,14.3688,0.0110,17.6050,2.88,V,G,bc
2456827.1089532,7.1164,0.1644,14.3291,0.0251,16.6723,2.35,V,B,bc
2456833.1035866,7.1733,0.1239,14.3205,0.0188,16.9795,1.85,V,G,bc
2456835.1131491,7.1423,0.1627,14.3252,0.0248,16.6841,1.57,V,B,bd
2456836.098251,7.1697,0.0937,14.3210,0.0142,17.2826,1.48,V,G,bc
2456837.8878367,7.4831,0.1488,14.2746,0.0216,16.7811,2.08,V,G,bf
2456841.86496,7.2398,0.0932,14.3105,0.0140,17.2885,1.49,V,G,be
2456845.8741765,6.9233,0.1462,14.3590,0.0229,16.8003,2.14,V,G,bf
2456846.8716653,7.4005,0.0978,14.2866,0.0144,17.2364,1.43,V,G,bf
2456847.0753633,7.2899,0.0778,14.3030,0.0116,17.4844,1.49,V,G,bc
2456851.0715975,7.0341,0.2716,14.3418,0.0420,16.1276,1.65,V,G,bc
2456851.0803305,7.2856,0.2140,14.3036,0.0319,16.3861,1.63,V,B,bd
2456863.0541771,7.3119,0.0668,14.2997,0.0099,17.6502,1.75,V,G,bc
2456863.8639958,6.8470,0.1266,14.3710,0.0201,16.9565,1.85,V,G,bf
2456866.8230467,6.8798,0.1012,14.3658,0.0160,17.1996,1.84,V,B,be
2456871.8235802,7.0909,0.1677,14.3330,0.0257,16.6510,1.65,V,B,bf
2456874.8123727,7.1512,0.0932,14.3238,0.0142,17.2885,1.48,V,G,be
2456877.8129682,7.1136,0.1739,14.3296,0.0266,16.6116,1.46,V,G,bf
2456878.8029258,7.5367,0.2547,14.2668,0.0367,16.1975,1.46,V,G,be
2456879.7823146,7.5048,0.2265,14.2714,0.0328,16.3245,1.49,V,B,bf
2456879.8013213,6.9530,0.1834,14.3543,0.0287,16.5537,1.51,V,B,be
2456882.0116774,7.1679,0.1575,14.3213,0.0239,16.7190,1.48,V,G,bc
2456887.7492613,7.0163,0.1291,14.3445,0.0200,16.9347,2.05,V,G,bf
2456887.7524181,7.0715,0.1367,14.3360,0.0210,16.8733,2.22,V,G,be
2456889.0252778,6.7230,0.1268,14.3909,0.0205,16.9546,1.67,V,G,bd
2456890.0241463,6.9924,0.1260,14.3482,0.0196,16.9619,1.68,V,G,bd
2456890.1080817,7.2984,0.0790,14.3017,0.0118,17.4681,1.85,V,G,bc
2456892.0268417,7.0934,0.1082,14.3326,0.0166,17.1268,1.76,V,G,bd
2456892.7810202,6.9388,0.0964,14.3566,0.0151,17.2525,1.81,V,G,be
2456893.9304894,6.9982,0.0729,14.3473,0.0113,17.5553,1.72,V,G,bc
2456895.1279043,7.0640,0.1086,14.3372,0.0167,17.1227,1.50,V,G,bd
2456897.9562732,7.2125,0.0863,14.3146,0.0130,17.3721,1.79,V,G,bc
2456898.0026937,6.8501,0.1472,14.3705,0.0234,16.7925,1.61,V,G,bd
2456900.0326296,6.6780,0.1437,14.3982,0.0234,16.8189,1.92,V,G,bd
2456901.079415,7.1136,0.0876,14.3296,0.0134,17.3562,1.67,V,G,bd
2456902.9838798,7.1330,0.0567,14.3266,0.0086,17.8277,1.71,V,G,bc
2456904.9859006,7.1863,0.0835,14.3185,0.0126,17.4079,1.54,V,G,bc
2456904.9973913,7.1776,0.1035,14.3198,0.0157,17.1752,1.60,V,G,bd
2456906.6893827,7.4338,0.1587,14.2818,0.0232,16.7107,1.87,V,B,bf
2456906.7487607,6.9549,0.1086,14.3541,0.0170,17.1223,2.08,V,G,be
2456907.9842913,6.8285,0.1666,14.3740,0.0265,16.6580,1.76,V,G,bd
2456914.9755836,6.7800,0.1357,14.3817,0.0218,16.8811,1.58,V,G,bc
2456916.7106125,7.3545,0.1963,14.2934,0.0290,16.4801,1.47,V,B,be
2456916.7406719,7.4151,0.2084,14.2845,0.0306,16.4149,1.51,V,B,bf
2456918.1242571,7.1537,0.0768,14.3235,0.0117,17.4986,1.73,V,G,bc
2456918.1318125,7.1857,0.1131,14.3186,0.0171,17.0790,1.66,V,G,bd
2456918.9730174,6.8751,0.0865,14.3666,0.0137,17.3699,1.64,V,G,bc
2456919.050462,7.1130,0.0981,14.3297,0.0150,17.2334,1.75,V,G,bd
2456919.9675989,7.1717,0.0729,14.3207,0.0111,17.5552,1.75,V,G,bc
2456919.9778548,7.3508,0.1273,14.2939,0.0188,16.9500,1.75,V,G,bd
2456925.736386,7.3478,0.2299,14.2944,0.0340,16.3086,1.41,V,G,bf
