# ASAS-SN SkyPatrol ID: 197568943014
# ATLAS-REFCAT2: 170431243273596605
# Gaia DR2: 1031406576177755520
# TESS Input Catalog (TIC): 461660349
# Million Quasars Catalog (MILLIQUAS): PGC 3095794
# AllWISE AGN Catalog: WISEA J081718.55+520147.7
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: PGC 3095794


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455937.9771379,0.4044,0.1234,16.9844,99.9990,16.9844,4.19,V,G,ba
2455937.983984,0.5114,0.1052,17.1574,99.9990,17.1574,3.62,V,G,ba
2455946.9370769,0.4201,0.0468,17.4014,0.1210,18.0379,2.51,V,G,ba
2455950.9347814,0.2321,0.0551,17.8593,99.9990,17.8593,2.05,V,G,ba
2455966.8990528,0.3756,0.0808,17.4437,99.9990,17.4437,2.04,V,G,ba
2455970.9159356,0.4858,0.0512,17.2437,0.1146,17.9391,2.04,V,G,ba
2455979.8629054,0.6810,0.1039,16.8768,0.1658,17.1710,2.43,V,B,ba
2456002.8028424,0.7142,0.0680,16.8252,0.1034,17.6315,2.04,V,G,ba
2456221.1195819,0.5296,0.0409,17.1500,0.0840,18.1827,2.47,V,G,ba
2456222.0890322,0.5611,0.0605,17.0871,0.1172,17.7581,2.39,V,G,ba
2456225.0629823,0.5293,0.0429,17.1505,0.0880,18.1320,2.66,V,G,ba
2456227.0905579,0.6311,0.0452,16.9596,0.0779,18.0737,2.38,V,G,ba
2456228.0711557,0.6891,0.0818,16.8641,0.1290,17.4307,2.40,V,G,ba
2456230.0611181,0.5169,0.1112,17.0969,99.9990,17.0969,2.34,V,G,ba
2456234.0727251,0.4066,0.1058,17.1506,99.9990,17.1506,2.21,V,G,ba
2456235.0687894,0.3804,0.0856,17.3814,99.9990,17.3814,2.26,V,G,ba
2456237.0793306,0.6252,0.0545,16.9698,0.0948,17.8706,2.39,V,G,ba
2456238.0859532,0.4250,0.0592,17.3888,0.1515,17.7808,2.20,V,G,ba
2456240.0939742,0.7496,0.0461,16.7727,0.0669,18.0524,1.81,V,G,ba
2456243.0492168,0.5271,0.0418,17.1550,0.0862,18.1598,2.25,V,G,ba
2456244.0515467,0.6306,0.0690,16.9604,0.1189,17.6152,2.03,V,G,ba
2456258.0730991,0.6610,0.1813,16.5661,99.9990,16.5661,2.10,V,B,ba
2456259.0280259,0.6853,0.0903,16.8701,0.1432,17.3232,2.15,V,B,ba
2456259.0352613,0.6762,0.1122,16.8846,0.1803,17.0878,2.12,V,B,ba
2456269.0256106,0.5164,0.0528,17.1773,0.1112,17.9054,2.36,V,G,ba
2456272.0114136,0.3985,0.0496,17.4587,0.1353,17.9732,2.01,V,G,ba
2456273.0108992,0.4818,0.0456,17.2526,0.1029,18.0650,2.18,V,G,ba
2456277.0437422,0.5703,0.0518,17.0695,0.0988,17.9257,2.20,V,G,ba
2456289.0110243,0.0521,0.1796,16.5769,99.9990,16.5769,2.12,V,G,ba
2456300.9723053,0.4794,0.0555,17.2580,0.1259,17.8510,1.70,V,G,ba
2456302.9727398,0.5009,0.0680,17.2104,0.1476,17.6309,1.72,V,G,ba
2456310.9548782,0.5265,0.1190,17.0232,99.9990,17.0232,1.71,V,G,ba
2456313.942671,0.4079,0.1206,17.0091,99.9990,17.0091,2.22,V,G,ba
2456315.9320073,0.5124,0.1643,16.6731,99.9990,16.6731,2.11,V,G,ba
2456316.9148031,0.6628,0.1499,16.7726,99.9990,16.7726,2.08,V,G,ba
2456318.8736915,0.5458,0.2104,16.4048,99.9990,16.4048,2.02,V,G,ba
2456319.0092085,0.7990,0.1380,16.7034,0.1877,16.8628,1.98,V,G,ba
2456323.911009,0.5059,0.1379,16.8632,99.9990,16.8632,1.85,V,G,ba
2456325.8949896,0.6610,0.0435,16.9092,0.0716,18.1158,2.23,V,G,ba
2456327.9032111,0.5167,0.0500,17.1766,0.1051,17.9658,2.20,V,G,ba
2456337.7504935,0.4413,0.0505,17.3479,0.1244,17.9543,2.40,V,G,ba
2456338.7554905,0.5343,0.0710,17.1403,0.1445,17.5838,2.36,V,G,ba
2456352.7478491,0.4964,0.0415,17.2202,0.0908,18.1681,2.58,V,G,ba
2456352.8084231,0.4290,0.0531,17.3787,0.1345,17.9001,2.32,V,G,ba
2456353.7486025,0.4552,0.0476,17.3142,0.1137,18.0181,2.36,V,G,ba
2456353.8016164,0.5366,0.0655,17.1356,0.1327,17.6720,2.17,V,G,ba
2456357.7490596,0.4766,0.0498,17.2645,0.1135,17.9699,2.27,V,G,ba
2456357.760116,0.5322,0.0659,17.1445,0.1346,17.6650,2.17,V,G,ba
2456358.7532211,0.5074,0.0513,17.1963,0.1098,17.9378,2.43,V,G,ba
2456358.7607353,0.4517,0.0929,17.2924,99.9990,17.2924,2.32,V,G,ba
2456371.826066,0.5957,0.0735,17.0222,0.1341,17.5467,2.05,V,G,ba
2456381.7803189,0.4547,0.0630,17.3154,0.1505,17.7145,2.18,V,G,ba
2456387.751492,0.2728,0.0582,17.7992,99.9990,17.7992,2.62,V,G,ba
2456390.7851011,0.5370,0.0856,17.1349,0.1733,17.3810,2.15,V,G,ba
2456393.7374753,0.4689,0.0431,17.2820,0.0999,18.1258,3.20,V,G,ba
2456397.7955066,0.7956,0.0849,16.7080,0.1160,17.3897,2.47,V,G,ba
2456404.7689872,0.4412,0.1564,16.7271,99.9990,16.7271,2.23,V,G,ba
2456406.7596163,0.6231,0.1145,16.9734,0.1997,17.0654,2.30,V,G,ba
2456408.7571901,0.6694,0.1854,16.5419,99.9990,16.5419,2.34,V,G,ba
2456410.7546182,0.5587,0.0588,17.0918,0.1143,17.7895,2.50,V,G,ba
2456415.7586035,0.6569,0.0744,16.9161,0.1231,17.5332,2.62,V,G,ba
2456535.1337038,-0.1459,0.1525,16.7542,99.9990,16.7542,2.08,V,G,ba
2456536.1312345,1.0423,0.1255,16.4148,0.1309,16.9656,2.19,V,G,ba
2456537.126088,0.2433,0.0983,17.2305,99.9990,17.2305,1.74,V,G,ba
2456538.1349866,0.0862,0.1441,16.8155,99.9990,16.8155,1.77,V,G,ba
2456539.1299851,0.5483,0.1066,17.1123,0.2112,17.1435,1.99,V,G,ba
2456544.1204299,0.6756,0.0730,16.8855,0.1174,17.5544,2.11,V,G,ba
2456550.0930556,0.6253,0.0772,16.9695,0.1342,17.4934,2.06,V,G,ba
2456550.1155079,0.3851,0.0746,17.4957,0.2106,17.5302,2.09,V,G,ba
2456554.1165461,1.0693,0.2053,16.3871,0.2086,16.4316,2.06,V,B,ba
2456555.0855786,0.5694,0.2551,16.1954,99.9990,16.1954,2.08,V,G,ba
2456556.087079,0.8828,0.2052,16.4319,99.9990,16.4319,1.76,V,G,ba
2456557.08414,0.5581,0.1949,16.4881,99.9990,16.4881,1.79,V,G,ba
2456560.0764881,0.7953,0.1567,16.7084,0.2142,16.7245,2.09,V,G,ba
2456563.0808785,0.7966,0.3343,15.9021,99.9990,15.9021,2.30,V,B,ba
2456565.0619617,0.5596,0.1023,17.0900,0.1987,17.1877,2.28,V,G,ba
2456565.0646991,0.4732,0.0924,17.2721,0.2122,17.2981,2.33,V,G,ba
2456570.0432911,0.5075,0.0758,17.1962,0.1624,17.5126,2.00,V,G,ba
2456570.0488698,0.6089,0.0802,16.9984,0.1432,17.4514,1.99,V,G,ba
2456576.0222357,0.8150,0.0879,16.6819,0.1172,17.3523,2.13,V,G,ba
