# ASAS-SN SkyPatrol ID: 661431033526
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: SDSS J094936.65+040658.6
# GLADE HyperLEDA: 1263710
# GLADE 2MASS Extended Source Catalog: 09493668+0406583


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455947.0059639,1.7691,0.0716,15.8404,0.0440,17.5755,2.69,V,G,ba
2455947.0078216,1.8016,0.0467,15.8206,0.0282,18.0381,2.68,V,G,ba
2455947.0445975,2.0196,0.0917,15.6966,0.0494,17.3059,2.48,V,G,bb
2455951.0076076,1.7307,0.0508,15.8642,0.0319,17.9478,2.24,V,G,ba
2455951.0193154,1.6863,0.0772,15.8925,0.0498,17.4934,2.18,V,G,ba
2455954.9966765,1.6504,0.0575,15.9158,0.0379,17.8136,2.03,V,G,ba
2455959.0466753,2.0425,0.0907,15.6844,0.0482,17.3189,1.75,V,G,bb
2455968.9478839,1.7460,0.1158,15.8547,0.0721,17.0529,2.33,V,G,ba
2455968.9626216,1.4876,0.0781,16.0285,0.0571,17.4803,2.41,V,G,ba
2455973.9357668,1.9071,0.0626,15.7589,0.0357,17.7206,2.26,V,G,ba
2455973.951073,1.7577,0.0404,15.8474,0.0250,18.1970,2.41,V,G,ba
2455979.9250954,1.0892,0.0768,16.3670,0.0766,17.4989,2.33,V,G,ba
2455979.9402535,1.5381,0.1128,15.9923,0.0797,17.0811,1.74,V,G,bb
2455983.9401916,1.5303,0.0980,15.9979,0.0696,17.2339,1.72,V,G,bb
2455997.8771349,1.9301,0.1235,15.7458,0.0695,16.9833,2.05,V,G,ba
2455997.8960456,0.2747,0.1236,16.9824,99.9990,16.9824,2.05,V,G,ba
2455997.9280489,1.7518,0.1463,15.8511,0.0908,16.7991,1.74,V,G,bb
2456002.8619238,0.6832,0.0959,16.8735,0.1527,17.2573,2.01,V,G,ba
2456002.8654814,1.9227,0.0416,15.7500,0.0235,18.1646,2.01,V,G,ba
2456002.9292976,1.7048,0.0973,15.8806,0.0620,17.2423,2.21,V,G,bb
2456231.1491346,1.0429,0.2085,16.4142,0.2173,16.4148,2.23,V,G,ba
2456234.1469413,1.7533,0.1473,15.8501,0.0913,16.7917,2.41,V,G,ba
2456235.1472635,1.8850,0.0971,15.7715,0.0560,17.2447,2.07,V,G,ba
2456247.1532684,1.8449,0.1028,15.7949,0.0606,17.1826,2.11,V,B,ba
2456251.144723,0.9251,0.1269,16.5443,0.1492,16.9533,2.08,V,G,bb
2456252.1000944,1.8379,0.1354,15.7990,0.0801,16.8835,2.14,V,B,ba
2456258.1530257,1.8689,0.0715,15.7808,0.0416,17.5759,2.17,V,G,ba
2456272.0975152,1.2981,0.0801,16.1765,0.0670,17.4537,1.85,V,G,ba
2456272.1049451,1.6207,0.0908,15.9355,0.0609,17.3168,1.84,V,G,ba
2456272.1241086,1.5453,0.0679,15.9872,0.0478,17.6322,2.31,V,G,bb
2456277.1065489,1.3615,0.0678,16.1248,0.0541,17.6343,2.24,V,G,ba
2456300.0508395,1.8114,0.0732,15.8148,0.0439,17.5507,2.06,V,G,ba
2456301.0437606,1.9187,0.0579,15.7523,0.0328,17.8058,1.76,V,G,ba
2456301.0691378,1.6945,0.0828,15.8871,0.0531,17.4177,2.27,V,G,bb
2456303.029234,1.7163,0.0718,15.8733,0.0455,17.5715,1.75,V,G,ba
2456304.0377784,1.8929,0.1314,15.7670,0.0755,16.9155,1.77,V,G,ba
2456304.0939393,1.8225,0.0831,15.8081,0.0495,17.4140,2.30,V,G,bb
2456309.0313343,1.7128,0.1234,15.8755,0.0783,16.9840,1.84,V,G,ba
2456309.0471543,1.7465,0.0579,15.8543,0.0361,17.8048,2.16,V,G,bb
