# ASAS-SN SkyPatrol ID: 214749734121
# ATLAS-REFCAT2: 111661505293199686
# Gaia DR2: 3836469508403763968
# Million Quasars Catalog (MILLIQUAS): IC 588
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: SDSS J100207.03+030327.6
# GLADE GWGC: IC0588
# GLADE PGC Number: 29057
# GLADE HyperLEDA: IC0588
# GLADE 2MASS Extended Source Catalog: 10020701+0303277


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455947.0445975,5.9296,0.0507,14.5272,0.0093,17.9501,2.48,V,G,bb
2455959.0466753,5.8080,0.0618,14.5497,0.0116,17.7349,1.75,V,G,bb
2455979.9402535,5.7594,0.0613,14.5588,0.0116,17.7437,1.74,V,G,bb
2455983.9401916,5.7352,0.0535,14.5634,0.0101,17.8908,1.72,V,G,bb
2455997.9280489,5.2570,0.0978,14.6579,0.0202,17.2362,1.74,V,G,bb
2456002.9292976,5.5515,0.0714,14.5988,0.0140,17.5777,2.21,V,G,bb
2456251.144723,5.7193,0.1448,14.5664,0.0275,16.8105,2.08,V,G,bb
2456272.1241086,5.7131,0.0490,14.5676,0.0093,17.9878,2.31,V,G,bb
2456301.0691378,5.4737,0.0477,14.6141,0.0095,18.0169,2.27,V,G,bb
2456304.0939393,5.6686,0.0472,14.5761,0.0090,18.0286,2.30,V,G,bb
2456309.0471543,5.5833,0.0454,14.5925,0.0088,18.0698,2.16,V,G,bb
2456311.0555755,5.4768,0.0321,14.6135,0.0064,18.4464,2.51,V,G,bb
2456316.018656,5.6374,0.0584,14.5821,0.0113,17.7971,2.10,V,G,bb
2456318.9606514,5.2580,0.1094,14.6577,0.0226,17.1152,2.47,V,G,bb
2456324.0041696,5.7434,0.0533,14.5619,0.0101,17.8952,2.02,V,G,bb
2456327.9897939,5.7318,0.0491,14.5641,0.0093,17.9845,2.18,V,G,bb
2456337.9159063,5.5091,0.0481,14.6071,0.0095,18.0069,2.32,V,G,bb
