# ASAS-SN SkyPatrol ID: 455267097438
# ATLAS-REFCAT2: 108981601436811301
# Gaia DR2: 3807354577939532800
# GLADE HyperLEDA: 31778
# GLADE 2MASS Extended Source Catalog: 10403447+0049028


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455955.0908875,2.5529,0.0276,15.4422,0.0117,18.6117,1.92,V,G,ba
2455973.0141728,2.5199,0.0414,15.4563,0.0179,18.1698,2.24,V,B,ba
2455973.9740529,2.5835,0.0224,15.4293,0.0094,18.8386,2.29,V,G,ba
2455977.9845142,2.6984,0.0351,15.3820,0.0141,18.3500,2.46,V,G,ba
2455981.9964316,2.6334,0.0350,15.4085,0.0144,18.3536,2.31,V,G,ba
2455985.9964984,2.6691,0.0393,15.3939,0.0160,18.2276,2.14,V,G,ba
2455998.0071273,2.7083,0.0816,15.3780,0.0327,17.4334,2.19,V,G,ba
2456003.9026088,2.7032,0.0474,15.3801,0.0191,18.0219,2.17,V,G,ba
2456252.1388056,2.4910,0.0452,15.4688,0.0197,18.0740,2.09,V,G,ba
2456301.1353656,2.8903,0.0501,15.3074,0.0188,17.9626,1.78,V,G,ba
2456303.1004928,2.7637,0.0355,15.3561,0.0140,18.3364,1.72,V,G,ba
2456309.1267211,2.7913,0.0369,15.3453,0.0144,18.2959,2.00,V,G,ba
2456311.1695428,2.4952,0.0487,15.4670,0.0212,17.9928,1.78,V,G,ba
2456314.1360468,2.6468,0.0415,15.4030,0.0170,18.1671,2.07,V,G,ba
2456317.0381599,2.5347,0.0895,15.4500,0.0384,17.3323,2.08,V,G,ba
2456319.9818143,2.2796,0.1237,15.5651,0.0590,16.9815,2.04,V,G,ba
2456324.0757548,2.4235,0.0961,15.4987,0.0431,17.2552,1.83,V,G,ba
2456328.0550955,2.6329,0.0326,15.4087,0.0134,18.4309,2.09,V,G,ba
2456338.8673933,2.8457,0.0648,15.3243,0.0247,17.6841,2.14,V,G,ba
2456351.9189656,2.5536,0.1184,15.4419,0.0504,17.0294,2.26,V,G,ba
2456352.8709448,2.7843,0.0768,15.3480,0.0300,17.4992,2.24,V,G,ba
2456356.8440598,2.6755,0.0554,15.3913,0.0225,17.8544,2.03,V,G,ba
2456368.8450698,2.5634,0.1106,15.4377,0.0469,17.1028,2.13,V,B,ba
2456385.8029333,2.6992,0.0489,15.3817,0.0197,17.9881,2.09,V,G,ba
2456390.8467963,2.5981,0.0593,15.4232,0.0248,17.7805,2.04,V,G,ba
2456395.8212591,2.5828,0.0487,15.4296,0.0205,17.9927,2.46,V,G,ba
2456399.82261,2.5831,0.0685,15.4294,0.0288,17.6230,2.25,V,G,ba
2456408.8185364,2.5845,0.1634,15.4288,0.0687,16.6793,2.10,V,G,ba
2456414.8206701,2.4901,0.0451,15.4692,0.0197,18.0757,2.26,V,G,ba
2456598.1093652,2.4951,0.0551,15.4670,0.0240,17.8603,1.73,V,G,ba
2456601.1054279,2.4269,0.0508,15.4971,0.0227,17.9486,2.18,V,G,ba
2456616.0551897,3.0067,0.2604,15.2646,0.0941,16.1732,2.17,V,G,ba
2456619.0387628,2.3012,0.1556,15.5549,0.0735,16.7324,2.06,V,G,ba
2456621.0284601,2.5523,0.1479,15.4425,0.0630,16.7876,3.34,V,B,ba
2456622.0607577,2.6323,0.1180,15.4090,0.0487,17.0324,1.66,V,B,ba
2456625.0303097,2.5591,0.0576,15.4396,0.0245,17.8112,2.33,V,G,ba
2456631.0626828,2.4892,0.0745,15.4696,0.0325,17.5316,2.24,V,G,ba
2456632.0507379,2.5957,0.0681,15.4242,0.0285,17.6292,2.29,V,G,ba
2456655.9425995,2.6171,0.0513,15.4152,0.0213,17.9370,2.11,V,G,ba
2456659.0021663,2.6670,0.0496,15.3947,0.0202,17.9745,2.29,V,G,ba
2456674.98759,3.0223,0.1475,15.2589,0.0531,16.7902,2.51,V,G,ba
2456681.8829221,2.7278,0.0569,15.3702,0.0227,17.8246,1.66,V,G,ba
2456700.8322536,2.6036,0.1466,15.4208,0.0612,16.7968,1.77,V,G,ba
2456735.7652055,2.6379,0.0427,15.4066,0.0176,18.1351,1.79,V,G,ba
2456740.8779082,2.5295,0.0458,15.4522,0.0197,18.0613,2.16,V,G,ba
2456741.7572689,2.7026,0.0518,15.3803,0.0208,17.9258,1.64,V,G,ba
2456751.8567665,2.5523,0.0385,15.4424,0.0164,18.2477,1.73,V,G,ba
2456764.9079394,2.7486,0.1543,15.3620,0.0610,16.7413,2.20,V,G,ba
2456770.8333717,2.4268,0.0573,15.4972,0.0257,17.8167,2.32,V,G,ba
2456781.8135159,2.4641,0.0662,15.4806,0.0292,17.6610,1.72,V,G,ba
2456794.812809,2.7489,0.0907,15.3619,0.0359,17.3183,1.66,V,G,ba
2456798.7802443,2.3993,0.0601,15.5096,0.0272,17.7651,1.65,V,G,ba
2456801.7816136,2.4690,0.0422,15.4785,0.0186,18.1489,1.68,V,G,ba
2456805.79227,2.5970,0.0533,15.4236,0.0223,17.8953,1.66,V,G,ba
2456808.7615066,2.6205,0.0480,15.4138,0.0199,18.0096,2.04,V,G,ba
2456809.7696805,2.7150,0.0548,15.3754,0.0220,17.8647,2.07,V,G,ba
2456817.7474005,2.4940,0.1639,15.4676,0.0714,16.6760,2.17,V,G,ba
2456943.1451249,2.9071,0.2723,15.3011,0.1018,16.1246,1.73,V,G,ba
2456962.118584,2.5968,0.0598,15.4237,0.0250,17.7709,1.74,V,B,ba
2456967.1337632,2.6366,0.0795,15.4072,0.0328,17.4613,1.70,V,G,ba
2456971.0910088,2.7633,0.1086,15.3562,0.0427,17.1224,1.63,V,G,ba
2456972.0942898,2.3332,0.1085,15.5399,0.0506,17.1237,1.75,V,G,ba
2456974.0845965,2.2692,0.0842,15.5701,0.0404,17.3986,1.69,V,G,ba
2456981.1040863,2.7017,0.0657,15.3807,0.0264,17.6678,2.09,V,G,ba
2456984.074143,2.5632,0.0507,15.4378,0.0215,17.9493,1.71,V,G,ba
2456987.0722319,2.9468,0.0618,15.2864,0.0228,17.7351,1.66,V,G,ba
2456990.0389785,2.4418,0.0560,15.4905,0.0249,17.8428,1.63,V,G,ba
2456991.0715469,2.4592,0.0419,15.4828,0.0185,18.1578,1.64,V,G,ba
2456998.0638901,2.8123,0.1117,15.3371,0.0432,17.0926,1.65,V,B,ba
2456999.0592601,2.7941,0.0925,15.3442,0.0360,17.2965,1.68,V,G,ba
2457000.0030101,2.3310,0.1356,15.5409,0.0632,16.8815,1.63,V,G,ba
2457002.049605,2.4458,0.0837,15.4887,0.0372,17.4049,1.61,V,G,ba
2457008.0089716,2.5305,0.0467,15.4518,0.0201,18.0388,1.99,V,G,ba
2457012.9843424,2.1675,0.0551,15.6199,0.0277,17.8587,1.63,V,G,ba
2457018.0250624,2.6398,0.0441,15.4059,0.0182,18.1017,1.73,V,G,ba
2457021.0327905,2.4901,0.0444,15.4692,0.0194,18.0943,1.61,V,G,ba
2457023.9557013,2.3245,0.0997,15.5440,0.0466,17.2159,1.89,V,G,ba
2457036.1370342,2.6388,0.0542,15.4063,0.0223,17.8765,1.62,V,G,ba
