# ASAS-SN SkyPatrol ID: 661431035399
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NPM 1G+03.0232


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455947.0445975,1.3522,0.0433,16.1321,0.0348,18.1210,2.48,V,G,bb
2455959.0466753,1.5322,0.0564,15.9965,0.0400,17.8349,1.75,V,G,bb
2455979.9402535,1.2681,0.0472,16.2019,0.0404,18.0282,1.74,V,G,bb
2455983.9401916,1.3032,0.0462,16.1723,0.0386,18.0498,1.72,V,G,bb
2455997.9280489,1.2966,0.0927,16.1777,0.0777,17.2941,1.74,V,G,bb
2456002.9292976,1.2863,0.0518,16.1865,0.0438,17.9259,2.21,V,G,bb
2456251.144723,1.3821,0.1430,16.1084,0.1125,16.8237,2.08,V,G,bb
2456272.1241086,1.4100,0.0369,16.0868,0.0284,18.2959,2.31,V,G,bb
2456301.0691378,1.2317,0.0537,16.2335,0.0474,17.8868,2.27,V,G,bb
2456304.0939393,1.3485,0.0549,16.1351,0.0443,17.8628,2.30,V,G,bb
2456309.0471543,1.2261,0.0639,16.2385,0.0567,17.6984,2.16,V,G,bb
2456311.0555755,1.3173,0.0418,16.1606,0.0345,18.1586,2.51,V,G,bb
2456316.018656,1.2636,0.0623,16.2058,0.0536,17.7258,2.10,V,G,bb
2456318.9606514,1.4068,0.0970,16.0892,0.0750,17.2452,2.47,V,G,bb
2456324.0041696,1.2386,0.0592,16.2274,0.0520,17.7814,2.02,V,G,bb
2456327.9897939,1.1510,0.0497,16.3071,0.0470,17.9711,2.18,V,G,bb
2456337.9159063,1.2940,0.0507,16.1800,0.0426,17.9497,2.32,V,G,bb
2456344.8718389,1.1727,0.0827,16.2868,0.0767,17.4181,2.79,V,B,bb
2456369.8572427,1.2692,0.0471,16.2010,0.0404,18.0294,2.39,V,G,bb
2456385.8900489,1.2057,0.0574,16.2567,0.0518,17.8148,2.10,V,G,bb
2456391.7698083,1.4558,0.0794,16.0521,0.0593,17.4631,1.71,V,G,bb
2456406.8085634,1.5572,0.1511,15.9789,0.1055,16.7640,1.77,V,G,bb
2456412.8095106,1.2445,0.0474,16.2223,0.0414,18.0228,1.67,V,B,bb
2456576.1459519,0.8101,0.1409,16.6884,0.1891,16.8397,2.01,V,G,bb
2456631.989496,1.1622,0.0453,16.2966,0.0424,18.0725,2.30,V,G,bb
2456633.9718517,1.2241,0.1291,16.2402,0.1146,16.9354,3.01,V,B,bb
2456637.9784224,1.3241,0.0684,16.1550,0.0561,17.6248,1.83,V,G,bb
2456638.968797,1.3562,0.1728,16.1289,0.1385,16.6184,1.84,V,B,bb
2456641.9446415,1.6744,0.1488,15.9001,0.0966,16.7811,2.16,V,G,bb
2456655.9238417,2.1016,0.0669,15.6534,0.0346,17.6487,2.07,V,G,bb
2456658.9725731,1.3108,0.0341,16.1659,0.0283,18.3810,2.36,V,G,bb
2456682.857888,1.2861,0.0500,16.1866,0.0423,17.9646,1.86,V,G,bb
2456683.8573007,1.4097,0.0492,16.0869,0.0380,17.9819,1.74,V,G,bb
2456735.8902315,1.1257,0.0780,16.3312,0.0754,17.4816,1.60,V,G,bb
2456741.7721114,1.2856,0.0502,16.1871,0.0425,17.9595,1.77,V,G,bb
2456752.8322589,1.2796,0.0521,16.1921,0.0442,17.9212,2.15,V,G,bb
2456764.8097839,1.2150,0.1639,16.2483,0.1466,16.6758,2.06,V,G,bb
2456771.8215897,1.4790,0.0599,16.0349,0.0440,17.7689,2.02,V,G,bb
2456781.799248,1.3205,0.0960,16.1579,0.0791,17.2562,1.67,V,B,bb
2456795.7842168,1.2131,0.0621,16.2501,0.0557,17.7295,1.89,V,G,bb
2456796.7850976,1.3818,0.0624,16.1087,0.0491,17.7238,1.78,V,G,bb
2456798.7723008,1.3546,0.0603,16.1302,0.0484,17.7609,2.08,V,G,bb
2456799.774377,1.0926,0.0503,16.3637,0.0500,17.9584,1.81,V,G,bb
2456801.7652332,1.1855,0.0565,16.2750,0.0518,17.8322,1.80,V,G,bb
2456805.780103,1.4335,0.0502,16.0688,0.0380,17.9615,1.77,V,G,bb
2456943.1195733,1.5834,0.2147,15.9608,0.1474,16.3828,2.16,V,G,bb
2456961.1059531,1.3278,0.0599,16.1520,0.0490,17.7689,2.41,V,G,bb
2456962.099722,1.2619,0.0567,16.2072,0.0489,17.8277,2.13,V,G,bb
2456967.0863513,1.2124,0.1181,16.2507,0.1059,17.0313,1.71,V,G,bb
2456968.08543,1.0601,0.1676,16.3964,0.1719,16.6515,1.89,V,G,bb
2456971.0692141,1.3542,0.1159,16.1306,0.0930,17.0520,2.12,V,G,bb
2456972.0723508,1.3485,0.1116,16.1351,0.0899,17.0933,1.86,V,G,bb
2456974.0669078,1.2085,0.1012,16.2541,0.0910,17.1992,1.83,V,G,bb
2456979.081467,1.1792,0.0605,16.2809,0.0557,17.7584,1.99,V,G,bb
2456980.0675881,1.4940,0.0546,16.0239,0.0397,17.8702,2.02,V,G,bb
2456981.0580239,1.1642,0.0522,16.2947,0.0487,17.9182,2.09,V,G,bb
2456982.1389994,1.3072,0.0534,16.1689,0.0444,17.8927,1.68,V,G,bb
2456983.0365666,1.3315,0.0484,16.1489,0.0395,17.9994,1.73,V,G,bb
2456985.0686077,1.3527,0.0518,16.1318,0.0416,17.9261,1.74,V,B,bb
2456989.0184341,1.3952,0.0593,16.0982,0.0462,17.7788,1.71,V,G,bb
2456992.0197134,1.0637,0.0711,16.3928,0.0727,17.5822,1.64,V,B,bb
2456993.0571905,1.3496,0.0472,16.1343,0.0380,18.0284,1.74,V,G,bb
2456998.0494325,1.0003,0.1447,16.4594,0.1572,16.8115,1.70,V,B,bb
2456998.9828735,1.3844,0.1690,16.1066,0.1327,16.6424,1.96,V,G,bb
2457001.0050924,1.2727,0.1051,16.1980,0.0898,17.1580,2.01,V,G,bb
2457006.9728891,1.1827,0.0747,16.2776,0.0687,17.5286,2.61,V,G,bb
2457009.0340517,1.3366,0.0489,16.1447,0.0398,17.9882,2.29,V,G,bb
2457013.9594511,1.2164,0.0566,16.2471,0.0506,17.8296,1.74,V,G,bb
2457018.0133092,1.2326,0.0448,16.2327,0.0395,18.0836,1.99,V,G,bb
2457019.0187774,1.1620,0.0725,16.2967,0.0678,17.5615,2.08,V,G,bb
2457021.017865,1.3766,0.0430,16.1128,0.0339,18.1295,2.39,V,G,bb
2457023.9304786,1.1643,0.1078,16.2946,0.1006,17.1312,1.78,V,G,bb
2457035.1413441,1.5575,0.0799,15.9787,0.0557,17.4567,1.87,V,G,bb
2457036.1398453,1.3552,0.0705,16.1297,0.0565,17.5926,2.18,V,G,bb
2457037.9344966,1.3005,0.0496,16.1745,0.0414,17.9746,1.80,V,G,bb
2457039.9752996,1.1817,0.0419,16.2785,0.0385,18.1575,1.69,V,G,bb
2457041.9785642,1.0692,0.0513,16.3872,0.0522,17.9367,2.03,V,G,bb
2457043.9694447,1.4029,0.0499,16.0922,0.0386,17.9676,1.66,V,G,bb
2457045.9683702,1.3005,0.0554,16.1745,0.0463,17.8530,1.74,V,G,bb
2457048.9731569,1.2741,0.0435,16.1968,0.0371,18.1163,2.07,V,G,bb
2457051.9935388,1.1988,0.0704,16.2629,0.0639,17.5930,2.14,V,G,bb
2457052.9415862,1.1450,0.0813,16.3127,0.0772,17.4370,2.48,V,G,bb
2457053.8309315,1.2501,0.1527,16.2174,0.1328,16.7525,2.46,V,G,bb
2457061.8124728,1.2699,0.0701,16.2004,0.0600,17.5988,1.65,V,G,bb
2457066.0083303,1.5166,0.0584,16.0076,0.0419,17.7962,1.78,V,G,bb
2457069.9497089,1.2792,0.0510,16.1924,0.0433,17.9434,1.75,V,G,bb
2457071.925938,1.1999,0.0549,16.2619,0.0497,17.8633,1.76,V,G,bb
2457077.9207233,1.2138,0.0425,16.2494,0.0380,18.1422,1.62,V,G,bb
2457078.8563458,1.1748,0.0650,16.2849,0.0601,17.6799,1.75,V,G,bb
2457080.8417669,1.2454,0.0867,16.2215,0.0756,17.3678,1.72,V,G,bb
2457091.8551641,1.1747,0.0732,16.2849,0.0677,17.5511,1.88,V,G,bb
2457095.7900627,1.2419,0.1813,16.2245,0.1587,16.5663,1.42,V,B,bf
2457096.8757019,1.2868,0.0668,16.1860,0.0564,17.6501,1.66,V,G,bb
2457098.9344531,1.4221,0.0593,16.0775,0.0453,17.7805,1.70,V,G,bb
