# ASAS-SN SkyPatrol ID: 455267541876
# ATLAS-REFCAT2: 108121545278240354
# Gaia DR2: 3831630489010556544
# Million Quasars Catalog (MILLIQUAS): NPM 1G+00.0297
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NPM 1G+00.0297
# GLADE HyperLEDA: 1157065
# GLADE 2MASS Extended Source Catalog: 10180664+0005599


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455955.0348402,2.3893,0.0285,15.5141,0.0129,18.5766,2.01,V,G,ba
2455955.1049736,2.4550,0.0372,15.4846,0.0165,18.2866,1.99,V,G,ba
2455968.9697248,2.3525,0.0784,15.5310,0.0362,17.4771,2.35,V,G,ba
2455972.9769729,2.4201,0.0518,15.5002,0.0233,17.9267,2.17,V,B,ba
2455977.9956541,2.4674,0.0504,15.4792,0.0222,17.9564,2.52,V,B,ba
2455979.9402535,2.3746,0.0462,15.5208,0.0211,18.0516,2.32,V,G,ba
2455983.9401916,2.5440,0.0421,15.4460,0.0180,18.1524,2.20,V,G,ba
2455997.9280489,2.5387,0.0993,15.4483,0.0425,17.2197,2.10,V,G,ba
2456002.9292976,2.4504,0.0453,15.4867,0.0201,18.0723,2.06,V,G,ba
2456002.9877734,2.1505,0.0851,15.6284,0.0430,17.3875,2.01,V,G,ba
2456272.1241086,2.4355,0.0686,15.4933,0.0306,17.6223,2.01,V,G,ba
2456272.1354207,2.6505,0.0360,15.4015,0.0148,18.3224,1.84,V,G,ba
2456301.0691378,2.1963,0.0537,15.6055,0.0266,17.8877,1.83,V,G,ba
2456303.1334025,2.3356,0.0503,15.5388,0.0234,17.9588,1.69,V,G,ba
2456304.0939393,2.2832,0.0825,15.5634,0.0393,17.4210,1.72,V,G,ba
2456309.0471543,2.2580,0.0495,15.5755,0.0238,17.9761,1.99,V,G,ba
2456311.0555755,2.3196,0.0497,15.5463,0.0233,17.9712,1.82,V,G,ba
2456316.018656,2.4825,0.0951,15.4725,0.0417,17.2665,2.17,V,G,ba
2456317.0120019,2.6108,0.1057,15.4179,0.0440,17.1517,2.07,V,G,ba
2456318.9606561,1.6291,0.2353,15.9299,0.1570,16.2833,2.04,V,G,ba
2456324.0041696,2.8900,0.1268,15.3075,0.0477,16.9543,2.00,V,B,ba
2456324.9909947,2.6146,0.1079,15.4162,0.0448,17.1302,2.10,V,G,ba
2456327.9897939,2.3358,0.0743,15.5387,0.0346,17.5355,2.08,V,G,ba
2456329.856507,2.5240,0.0637,15.4545,0.0274,17.7016,2.25,V,G,ba
2456337.9159063,2.1228,0.0517,15.6425,0.0265,17.9288,2.12,V,G,ba
2456342.8396985,2.6779,0.1005,15.3903,0.0408,17.2064,2.17,V,G,ba
2456344.8718389,2.2909,0.0926,15.5598,0.0439,17.2963,1.76,V,G,ba
2456353.91655,2.6270,0.0779,15.4112,0.0322,17.4837,2.12,V,G,ba
2456354.8428751,2.3181,0.0588,15.5469,0.0276,17.7897,2.10,V,G,ba
2456356.8962825,2.4808,0.0546,15.4733,0.0239,17.8685,1.81,V,G,ba
2456357.8619422,2.3804,0.0701,15.5181,0.0320,17.5988,1.72,V,G,ba
2456358.8586141,2.6149,0.0876,15.4161,0.0364,17.3556,2.00,V,G,ba
2456369.857238,2.4229,0.1013,15.4990,0.0455,17.1982,1.77,V,G,ba
2456385.7993165,2.3498,0.0609,15.5322,0.0282,17.7509,2.10,V,B,ba
2456385.8900489,2.3287,0.0659,15.5420,0.0308,17.6651,2.02,V,G,ba
2456391.7698083,2.2386,0.1274,15.5849,0.0618,16.9497,2.43,V,G,ba
2456391.7719533,2.5760,0.0797,15.4324,0.0336,17.4587,2.44,V,G,ba
2456396.8248249,2.5158,0.0598,15.4581,0.0258,17.7704,2.11,V,B,ba
2456404.8210076,2.4851,0.1284,15.4714,0.0561,16.9413,2.16,V,B,ba
2456406.8085634,2.6123,0.1776,15.4172,0.0739,16.5888,2.20,V,G,ba
2456410.8036709,2.6452,0.0654,15.4036,0.0269,17.6726,2.19,V,G,ba
2456576.1459519,3.0913,0.2066,15.2344,0.0727,16.4244,2.21,V,G,ba
2456616.0466944,2.3669,0.1702,15.5243,0.0781,16.6353,2.39,V,G,bc
2456630.9888463,2.4768,0.0653,15.4751,0.0287,17.6749,2.32,V,G,ba
2456631.0001526,2.5223,0.0732,15.4553,0.0315,17.5516,1.85,V,G,bc
2456631.989496,2.4662,0.0721,15.4797,0.0318,17.5674,2.45,V,G,ba
2456633.984337,2.4516,0.0812,15.4861,0.0360,17.4384,3.39,V,G,bc
2456637.9784224,2.4316,0.1836,15.4950,0.0821,16.5528,3.07,V,G,ba
2456638.9701631,2.6845,0.3644,15.3876,0.1475,15.8086,1.76,V,B,ba
2456641.9446415,2.3806,0.2112,15.5181,0.0964,16.4008,2.95,V,G,ba
