# ASAS-SN SkyPatrol ID: 111669449374
# ATLAS-REFCAT2: 166392187185744909
# Gaia DR2: 1603298647213095808
# TESS Input Catalog (TIC): 357390272
# Million Quasars Catalog (MILLIQUAS): NGC 5683
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NGC 5683
# GLADE 2MASS Extended Source Catalog: 14345248+4839429


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455969.1438065,3.5358,0.0720,15.0885,0.0221,17.5694,2.53,V,G,ba
2455980.1144599,3.2730,0.0424,15.1724,0.0141,18.1442,2.56,V,G,ba
2456277.1635169,3.1895,0.1064,15.2005,0.0363,17.1450,2.50,V,G,ba
2456319.1724263,3.0382,0.1246,15.2532,0.0446,16.9736,2.03,V,G,ba
2456320.148313,2.8846,0.1683,15.3096,0.0634,16.6473,2.38,V,G,bb
2456325.1603892,3.3171,0.0693,15.1579,0.0227,17.6108,1.84,V,G,ba
2456326.1521898,3.4016,0.0866,15.1306,0.0277,17.3683,2.20,V,G,bb
2456329.1417949,3.1280,0.0559,15.2216,0.0194,17.8445,2.26,V,G,ba
2456339.1639761,3.2737,0.0568,15.1722,0.0189,17.8264,2.01,V,G,ba
2456344.937875,3.2032,0.0850,15.1958,0.0288,17.3894,2.66,V,B,bb
2456351.9847196,3.2023,0.1252,15.1961,0.0425,16.9687,2.25,V,G,ba
2456352.9712683,3.3767,0.1089,15.1386,0.0350,17.1200,2.09,V,G,ba
2456353.1429436,3.5852,0.2240,15.0735,0.0679,16.3367,3.72,V,B,bb
2456357.0044038,3.2854,0.0618,15.1683,0.0204,17.7348,2.00,V,G,ba
2456365.0272183,3.2728,0.0526,15.1725,0.0175,17.9103,1.73,V,G,ba
2456376.9454264,3.5934,0.1417,15.0710,0.0429,16.8342,2.14,V,G,ba
2456377.0067164,2.9956,0.1386,15.2686,0.0503,16.8577,2.10,V,G,bb
2456387.9140142,3.0998,0.0613,15.2315,0.0215,17.7446,2.44,V,G,ba
2456389.8164692,3.1619,0.0635,15.2099,0.0218,17.7047,1.72,V,G,bb
2456392.8888291,3.3762,0.0640,15.1387,0.0206,17.6966,2.21,V,G,ba
2456396.9400445,3.1347,0.1117,15.2193,0.0387,17.0921,2.05,V,B,ba
2456398.0036472,3.0659,0.0837,15.2434,0.0297,17.4060,1.86,V,B,bb
2456399.9995044,3.2853,0.0617,15.1683,0.0204,17.7367,2.06,V,G,ba
2456405.9134198,3.3935,0.1271,15.1331,0.0407,16.9520,1.82,V,G,ba
2456405.9376463,3.3369,0.1053,15.1514,0.0343,17.1560,2.09,V,B,bb
2456405.9396172,3.2805,0.1536,15.1699,0.0509,16.7463,2.07,V,G,bb
2456410.902549,2.8373,0.1465,15.3275,0.0561,16.7976,2.18,V,G,ba
2456410.9249164,2.7634,0.1536,15.3562,0.0604,16.7461,1.86,V,B,bb
2456416.9050682,3.4243,0.1347,15.1234,0.0428,16.8889,2.18,V,B,ba
2456416.9380386,3.0048,0.0891,15.2652,0.0322,17.3374,1.79,V,B,bb
