# ASAS-SN SkyPatrol ID: 661426822806
# Million Quasars Catalog (MILLIQUAS): PGC 1793023
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: PGC 1793023
# GLADE GWGC: PGC1793023
# GLADE PGC Number: 1793023
# GLADE HyperLEDA: PGC1793023
# GLADE 2MASS Extended Source Catalog: 12480926+2656211


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455955.1228752,2.7518,0.0252,15.3608,0.0099,18.7096,1.89,V,G,ba
2455969.0792088,2.9355,0.0827,15.2906,0.0306,17.4187,2.53,V,G,ba
2455974.0659225,2.9421,0.0313,15.2881,0.0116,18.4745,2.25,V,G,ba
2455978.0754262,2.9499,0.0410,15.2853,0.0151,18.1816,2.64,V,B,ba
2455982.0862458,2.9016,0.0386,15.3032,0.0145,18.2460,2.29,V,G,ba
2455986.0873237,2.8180,0.0528,15.3349,0.0204,17.9056,2.23,V,B,ba
2456001.0081726,2.8724,0.0522,15.3142,0.0198,17.9175,2.26,V,G,ba
2456309.1567586,2.7756,0.0294,15.3514,0.0115,18.5400,1.70,V,G,ba
2456311.1559088,2.7251,0.0435,15.3713,0.0174,18.1161,1.85,V,G,ba
2456314.1396673,2.8060,0.0352,15.3396,0.0136,18.3465,2.06,V,G,ba
2456318.12135,2.4998,0.0705,15.4650,0.0306,17.5924,1.72,V,G,ba
2456324.1117491,2.7954,0.0688,15.3437,0.0268,17.6178,1.86,V,G,ba
2456328.0980903,2.9619,0.0489,15.2809,0.0179,17.9891,2.09,V,G,ba
2456345.0410932,2.7068,0.0955,15.3786,0.0384,17.2622,1.76,V,B,ba
2456354.0235855,2.8402,0.0698,15.3264,0.0267,17.6023,2.15,V,G,ba
2456356.9668485,2.6685,0.0376,15.3941,0.0153,18.2753,1.74,V,G,ba
2456360.0098849,2.6540,0.0366,15.4000,0.0150,18.3033,1.85,V,G,ba
2456371.8648142,2.8933,0.0507,15.3063,0.0190,17.9503,1.81,V,G,ba
2456386.9031195,2.8447,0.0324,15.3247,0.0124,18.4375,2.36,V,G,ba
2456390.9070939,2.6116,0.0495,15.4175,0.0206,17.9764,2.16,V,G,ba
2456393.8975286,2.7609,0.0342,15.3572,0.0135,18.3768,2.22,V,G,ba
2456397.8871362,2.7514,0.0421,15.3609,0.0166,18.1509,2.12,V,G,ba
2456399.8992385,2.9623,0.0450,15.2807,0.0165,18.0802,2.12,V,G,ba
2456403.8398282,2.9581,0.0808,15.2823,0.0297,17.4438,2.14,V,G,ba
2456410.8683097,2.9233,0.3624,15.2951,0.1347,15.8144,2.18,V,B,ba
2456410.8701398,4.0739,0.5301,14.9347,0.1414,15.4015,2.15,V,B,ba
2456416.874663,2.7018,0.0628,15.3806,0.0252,17.7182,2.28,V,B,ba
2456444.8138162,2.8474,0.0377,15.3237,0.0144,18.2719,2.90,V,G,ba
2456451.7997602,2.8827,0.0375,15.3103,0.0141,18.2767,2.09,V,G,ba
2456458.7902118,2.9339,0.0560,15.2912,0.0208,17.8415,2.11,V,G,ba
2456462.7966624,2.5649,0.0880,15.4371,0.0373,17.3516,1.73,V,G,ba
2456466.7916479,3.0669,0.1548,15.2430,0.0548,16.7382,1.76,V,G,ba
2456471.7620179,2.6183,0.0614,15.4147,0.0255,17.7419,2.10,V,G,ba
2456477.7961812,2.7295,0.0438,15.3696,0.0174,18.1094,1.70,V,G,ba
2456483.7619175,2.8607,0.0575,15.3186,0.0219,17.8127,2.19,V,G,ba
2456488.7637538,2.8542,0.0788,15.3211,0.0300,17.4710,1.77,V,G,ba
2456625.1609813,2.8122,0.1107,15.3372,0.0428,17.1024,2.24,V,G,ba
2456658.0773132,2.8783,0.0476,15.3120,0.0180,18.0194,1.84,V,G,ba
2456675.9521096,3.4991,0.1783,15.0999,0.0554,16.5846,1.68,V,G,ba
2456683.044081,2.8422,0.0575,15.3257,0.0220,17.8140,1.69,V,G,ba
2456701.8880586,2.6685,0.1598,15.3941,0.0651,16.7034,2.49,V,B,ba
2456736.932004,2.5303,0.1140,15.4519,0.0490,17.0697,2.02,V,B,ba
2456741.0259495,3.1786,0.0661,15.2042,0.0226,17.6613,2.26,V,G,ba
2456743.919204,2.8792,0.0553,15.3116,0.0209,17.8551,2.36,V,G,ba
2456753.0533261,2.9136,0.0575,15.2987,0.0215,17.8128,3.05,V,G,ba
2456755.911737,2.4378,0.2758,15.4923,0.1230,16.1108,2.36,V,B,ba
2456757.8026442,2.8687,0.1175,15.3156,0.0445,17.0375,1.89,V,G,ba
2456771.8924993,2.5628,0.0779,15.4380,0.0331,17.4829,2.35,V,G,ba
2456781.7354509,2.5385,0.0949,15.4483,0.0407,17.2687,2.02,V,G,ba
2456783.8695776,2.9283,0.0653,15.2932,0.0242,17.6755,1.76,V,G,ba
2456784.8557868,2.9817,0.0566,15.2736,0.0206,17.8311,3.07,V,G,ba
2456794.8604654,2.8185,0.1016,15.3347,0.0392,17.1953,1.66,V,G,ba
2456797.8511444,2.8003,0.0424,15.3418,0.0165,18.1434,1.99,V,G,ba
2456799.8498064,2.7075,0.0428,15.3783,0.0172,18.1326,1.86,V,G,ba
2456801.7980921,2.8071,0.0513,15.3392,0.0199,17.9375,1.67,V,G,ba
2456802.7955447,2.8073,0.0574,15.3391,0.0222,17.8159,1.79,V,G,ba
2456805.8381355,2.8284,0.0526,15.3309,0.0202,17.9094,2.04,V,G,ba
2456808.8225139,2.7108,0.0814,15.3770,0.0326,17.4358,2.24,V,B,ba
