# ASAS-SN SkyPatrol ID: 661426896786
# Million Quasars Catalog (MILLIQUAS): CGCG 150-14
# AllWISE AGN Catalog: WISEA J084002.35+294902.6
# Chandra Source Catalog: 2CXO J084002.3+294902
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: CGCG 150-14
# GLADE HyperLEDA: 24369
# GLADE 2MASS Extended Source Catalog: 08400233+2949027


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455954.970994,2.9917,0.0362,15.2700,0.0131,18.3169,2.04,V,G,ba
2455967.0336466,3.1645,0.1062,15.2090,0.0365,17.1471,2.12,V,G,ba
2455979.905288,3.0299,0.0576,15.2562,0.0207,17.8105,2.39,V,G,ba
2455983.9806845,2.9437,0.0439,15.2875,0.0162,18.1069,2.30,V,B,ba
2455997.9487357,2.9958,0.0788,15.2685,0.0286,17.4714,2.14,V,G,ba
2456003.8544307,3.3821,0.0657,15.1368,0.0211,17.6692,2.25,V,G,ba
2456222.1125647,3.0800,0.0635,15.2384,0.0224,17.7059,2.37,V,G,ba
2456227.1099671,3.1752,0.0416,15.2053,0.0143,18.1639,2.30,V,G,ba
2456230.0880235,2.9685,0.0836,15.2784,0.0306,17.4064,2.37,V,G,ba
2456234.1054959,3.0878,0.0757,15.2357,0.0266,17.5151,2.37,V,G,ba
2456240.0752885,3.1958,0.0441,15.1983,0.0150,18.1010,2.02,V,G,ba
2456244.0667503,2.9090,0.0428,15.3004,0.0160,18.1330,2.06,V,G,ba
2456251.0569186,3.2265,0.0422,15.1880,0.0142,18.1487,2.50,V,G,ba
2456272.0376175,3.0235,0.0399,15.2585,0.0143,18.2104,1.99,V,G,ba
2456277.0569928,3.0646,0.0277,15.2439,0.0098,18.6062,2.20,V,G,ba
2456302.9881589,3.2467,0.0445,15.1812,0.0149,18.0907,1.82,V,G,ba
2456309.0202553,3.0846,0.0302,15.2368,0.0106,18.5120,1.81,V,G,ba
2456310.9611835,3.1171,0.0473,15.2254,0.0165,18.0247,1.78,V,G,ba
2456315.9981183,3.3488,0.1104,15.1475,0.0358,17.1053,2.10,V,G,ba
2456323.9659337,3.0896,0.0571,15.2350,0.0201,17.8210,1.75,V,G,ba
2456328.8716092,3.0608,0.0331,15.2452,0.0117,18.4135,2.55,V,G,ba
2456338.7821559,2.9794,0.0467,15.2744,0.0171,18.0382,2.35,V,G,ba
2456350.81506,2.8569,0.1491,15.3200,0.0567,16.7787,2.32,V,G,ba
2456355.8432235,3.0108,0.0347,15.2631,0.0125,18.3624,2.10,V,G,ba
2456359.780111,3.0332,0.0315,15.2550,0.0113,18.4664,2.14,V,G,ba
2456360.7858596,3.1868,0.0309,15.2014,0.0105,18.4866,2.01,V,G,ba
2456385.744035,2.9543,0.0608,15.2837,0.0224,17.7529,2.45,V,G,ba
2456391.7467709,2.9503,0.0471,15.2851,0.0174,18.0295,2.48,V,G,ba
2456406.7703769,3.1076,0.1151,15.2287,0.0403,17.0598,2.29,V,G,ba
2456410.7695707,2.9581,0.0452,15.2822,0.0166,18.0734,2.37,V,G,ba
2456550.1266679,3.2733,0.0773,15.1723,0.0257,17.4912,2.13,V,G,ba
2456555.1269082,3.6105,0.2818,15.0659,0.0848,16.0876,2.05,V,G,ba
2456557.1143848,2.4609,0.1945,15.4820,0.0859,16.4900,1.90,V,G,ba
2456565.0925202,3.0152,0.0693,15.2615,0.0250,17.6105,2.28,V,G,ba
2456570.0876983,3.0609,0.0513,15.2452,0.0182,17.9370,2.10,V,G,ba
2456574.0676742,3.1395,0.0520,15.2176,0.0180,17.9234,2.02,V,G,ba
2456615.957173,2.7127,0.1597,15.3763,0.0640,16.7042,1.58,V,G,bd
2456624.9823158,2.9561,0.0317,15.2830,0.0117,18.4584,1.91,V,G,bd
2456631.9144624,2.8338,0.0806,15.3289,0.0309,17.4459,1.43,V,G,bd
2456641.9888972,2.8733,0.0696,15.3138,0.0263,17.6060,2.79,V,G,bd
2456652.8452827,2.8235,0.0471,15.3328,0.0181,18.0308,1.74,V,G,bd
2456656.9573548,3.0825,0.0487,15.2375,0.0172,17.9933,1.55,V,G,bd
2456676.7807613,3.2148,0.1130,15.1919,0.0382,17.0799,1.66,V,G,bd
2456678.9268263,3.0466,0.0720,15.2503,0.0257,17.5693,2.53,V,G,bd
2456733.755072,3.2862,0.2216,15.1680,0.0733,16.3485,1.80,V,B,bd
2456736.8646877,2.9523,0.0592,15.2844,0.0218,17.7821,1.45,V,G,bd
2456741.8269092,2.9934,0.0620,15.2694,0.0225,17.7314,1.54,V,G,bd
2456767.8082153,3.0581,0.0849,15.2462,0.0302,17.3906,2.01,V,B,bd
2456770.7855433,3.0794,0.0610,15.2386,0.0215,17.7496,1.51,V,B,bd
2456771.7891999,2.9527,0.0509,15.2842,0.0187,17.9454,1.92,V,G,bd
2456787.7594935,2.7801,0.0989,15.3496,0.0387,17.2241,2.04,V,G,bd
2456788.7703039,2.8275,0.0842,15.3313,0.0324,17.3988,1.52,V,G,bd
2456795.7545716,2.9407,0.0511,15.2887,0.0189,17.9415,1.78,V,G,bd
2456799.7444294,2.8187,0.0913,15.3346,0.0352,17.3113,2.34,V,G,bd
2456917.1417619,3.4610,0.1904,15.1118,0.0598,16.5130,1.67,V,G,bd
2456932.1157919,2.9494,0.0669,15.2854,0.0246,17.6491,1.78,V,G,bd
2456933.1120671,2.8862,0.0647,15.3090,0.0244,17.6858,2.07,V,G,bd
2456935.1099984,3.0143,0.0617,15.2618,0.0222,17.7375,1.52,V,G,bd
2456938.113943,3.3034,0.1534,15.1624,0.0505,16.7480,1.69,V,B,bd
2456939.1053891,4.1460,0.2349,14.9157,0.0616,16.2852,1.67,V,B,bd
2456940.1047022,2.7553,0.1072,15.3594,0.0423,17.1372,1.64,V,B,bd
2456943.097817,3.2407,0.1012,15.1832,0.0339,17.1999,1.81,V,G,bd
