# ASAS-SN SkyPatrol ID: 163209962821
# ATLAS-REFCAT2: 139532495571588684
# Gaia DR2: 1301385024950005376
# TESS Input Catalog (TIC): 320353166
# Million Quasars Catalog (MILLIQUAS): UGC 10484
# GLADE HyperLEDA: UGC10484
# GLADE 2MASS Extended Source Catalog: 16381373+2616547


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456004.1448894,3.5414,0.0487,15.0869,0.0149,17.9942,1.80,V,G,bb
2456220.7093952,3.5624,0.0575,15.0804,0.0175,17.8130,2.27,V,B,bb
2456232.7068213,3.4058,0.0686,15.1292,0.0219,17.6216,2.06,V,G,bb
2456338.0459673,3.5600,0.0340,15.0811,0.0104,18.3836,2.21,V,G,bb
2456349.1160367,3.4078,0.0831,15.1286,0.0265,17.4133,3.05,V,B,bb
2456369.1235133,3.3882,0.0486,15.1348,0.0156,17.9959,2.18,V,B,bb
2456378.0892069,3.5635,0.1670,15.0801,0.0509,16.6555,2.08,V,B,bb
2456387.1232999,3.5287,0.0361,15.0908,0.0111,18.3189,1.80,V,G,bb
2456390.9976671,3.5154,0.0347,15.0949,0.0107,18.3624,2.24,V,G,bb
2456397.071553,3.5890,0.0370,15.0723,0.0112,18.2929,2.05,V,G,bb
2456399.072266,3.3173,0.0310,15.1578,0.0102,18.4830,2.05,V,G,bb
2456401.0397254,3.3705,0.0291,15.1405,0.0094,18.5508,2.02,V,G,bb
2456403.0168252,3.3827,0.0273,15.1366,0.0088,18.6217,2.03,V,G,bb
2456405.04817,3.4290,0.0414,15.1219,0.0131,18.1711,2.07,V,G,bb
2456409.9700656,3.6020,0.0854,15.0684,0.0258,17.3831,1.80,V,G,bb
2456415.023597,3.4445,0.0341,15.1170,0.0108,18.3789,1.80,V,G,bb
2456435.939573,3.6021,0.0731,15.0684,0.0221,17.5518,1.75,V,G,bb
2456444.9178659,3.3914,0.0256,15.1338,0.0082,18.6899,1.72,V,G,bb
2456450.8859486,3.2765,0.0352,15.1712,0.0117,18.3471,1.73,V,G,bb
2456459.8776065,3.4993,0.0385,15.0998,0.0120,18.2492,1.68,V,G,bb
2456462.8870999,3.5080,0.0603,15.0971,0.0187,17.7608,1.72,V,G,bb
2456467.9119316,3.5708,0.0951,15.0779,0.0289,17.2670,2.15,V,G,bb
2456470.97402,3.4457,0.0520,15.1166,0.0164,17.9227,1.77,V,G,bb
2456474.8790527,3.4089,0.0314,15.1282,0.0100,18.4689,2.07,V,G,bb
2456477.868291,3.4226,0.0312,15.1239,0.0099,18.4784,2.01,V,G,bb
2456482.8582659,3.5859,0.0410,15.0733,0.0124,18.1817,1.79,V,G,bb
2456485.855236,3.3726,0.0348,15.1399,0.0112,18.3571,1.74,V,G,bb
2456488.8480608,3.4720,0.0413,15.1083,0.0129,18.1717,1.98,V,G,bb
2456492.8319989,3.5014,0.0711,15.0992,0.0221,17.5823,1.75,V,G,bb
2456496.8393098,3.5957,0.0893,15.0703,0.0270,17.3357,2.12,V,G,bb
2456509.8351125,3.4072,0.0286,15.1288,0.0091,18.5729,1.85,V,G,bb
2456516.7839567,3.2776,0.0386,15.1709,0.0128,18.2471,2.21,V,G,bb
2456520.7915542,3.4487,0.0512,15.1156,0.0161,17.9389,2.14,V,G,bb
2456525.7679047,3.4834,0.0928,15.1048,0.0289,17.2939,2.52,V,G,bb
2456532.7582245,3.4217,0.0282,15.1242,0.0090,18.5851,2.51,V,G,bb
2456535.7708494,3.4702,0.0320,15.1089,0.0100,18.4510,2.04,V,G,bb
2456539.753911,3.5048,0.0335,15.0981,0.0104,18.4004,2.00,V,G,bb
2456549.7469387,3.5257,0.0576,15.0917,0.0177,17.8118,2.61,V,G,bb
2456658.1582065,3.3490,0.0479,15.1475,0.0155,18.0113,1.91,V,G,bb
2456701.1331326,3.2632,0.0459,15.1757,0.0153,18.0569,1.71,V,G,bb
2456730.1118924,3.2954,0.0415,15.1650,0.0137,18.1678,1.69,V,G,bb
2456734.1087782,3.3029,0.1063,15.1626,0.0350,17.1465,1.67,V,G,bb
2456735.0942907,3.2530,0.0832,15.1791,0.0278,17.4121,1.69,V,G,bb
2456736.0702269,3.6443,0.0890,15.0557,0.0265,17.3392,1.68,V,G,bb
2456741.03437,3.4310,0.0377,15.1212,0.0119,18.2713,2.26,V,G,bb
2456744.0160896,3.4217,0.0330,15.1242,0.0105,18.4160,2.20,V,G,bb
2456752.0939086,3.3118,0.0358,15.1596,0.0118,18.3272,2.07,V,G,bb
2456756.919559,3.2903,0.0807,15.1667,0.0267,17.4452,1.70,V,G,bb
