# ASAS-SN SkyPatrol ID: 163209945479
# ATLAS-REFCAT2: 139592484312835378
# Gaia DR2: 1304054329944387328
# TESS Input Catalog (TIC): 310235114
# GLADE HyperLEDA: 1772032
# GLADE 2MASS Extended Source Catalog: 16334352+2619439


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456004.1448894,1.1818,0.0523,16.2784,0.0481,17.9153,1.80,V,G,bb
2456220.7093952,1.5742,0.0645,15.9672,0.0445,17.6883,2.27,V,B,bb
2456232.7068213,1.5887,0.0914,15.9571,0.0625,17.3104,2.06,V,G,bb
2456338.0459673,1.4740,0.0398,16.0385,0.0293,18.2138,2.21,V,G,bb
2456349.1160367,1.3176,0.0911,16.1603,0.0752,17.3130,3.05,V,B,bb
2456369.1235133,1.4137,0.0467,16.0839,0.0359,18.0382,2.18,V,B,bb
2456387.1232999,1.2511,0.0460,16.2166,0.0400,18.0546,1.80,V,G,bb
2456390.9976671,1.3150,0.0328,16.1625,0.0271,18.4220,2.24,V,G,bb
2456397.071553,1.3286,0.0314,16.1513,0.0257,18.4710,2.05,V,G,bb
2456399.072266,1.3561,0.0358,16.1291,0.0287,18.3287,2.05,V,G,bb
2456401.0397254,1.4679,0.0346,16.0430,0.0256,18.3640,2.02,V,G,bb
2456403.0168252,1.3147,0.0297,16.1627,0.0245,18.5314,2.03,V,G,bb
2456405.04817,1.2772,0.0449,16.1941,0.0382,18.0824,2.07,V,G,bb
2456409.9700656,1.6661,0.0892,15.9055,0.0582,17.3362,1.80,V,G,bb
2456415.023597,1.3787,0.0392,16.1111,0.0309,18.2305,1.80,V,G,bb
2456435.939573,1.2848,0.0696,16.1877,0.0589,17.6064,1.75,V,G,bb
2456444.9178659,1.2148,0.0330,16.2485,0.0296,18.4145,1.72,V,G,bb
2456450.8859486,1.3938,0.0284,16.0993,0.0221,18.5807,1.73,V,G,bb
2456459.8776065,1.2090,0.0453,16.2537,0.0407,18.0722,1.68,V,G,bb
2456462.8870999,1.3684,0.0512,16.1192,0.0406,17.9399,1.72,V,G,bb
2456467.9119316,1.4122,0.0898,16.0850,0.0691,17.3291,2.15,V,G,bb
2456470.97402,1.4127,0.0664,16.0846,0.0511,17.6564,1.77,V,G,bb
2456474.8790527,1.2785,0.0311,16.1930,0.0264,18.4807,2.07,V,G,bb
2456477.868291,1.4512,0.0314,16.0555,0.0235,18.4704,2.01,V,G,bb
2456482.8582659,1.3435,0.0341,16.1392,0.0276,18.3799,1.79,V,G,bb
2456485.855236,1.3968,0.0289,16.0969,0.0225,18.5604,1.74,V,G,bb
2456488.8480608,1.3588,0.0363,16.1269,0.0290,18.3124,1.98,V,G,bb
2456492.8319989,1.5033,0.0730,16.0171,0.0528,17.5545,1.75,V,G,bb
2456496.8393098,1.4137,0.0894,16.0839,0.0687,17.3344,2.12,V,G,bb
2456509.8351125,1.4099,0.0304,16.0868,0.0235,18.5038,1.85,V,G,bb
2456516.7839567,1.2777,0.0390,16.1937,0.0332,18.2350,2.21,V,G,bb
2456520.7915542,1.4845,0.0672,16.0308,0.0492,17.6440,2.14,V,G,bb
2456525.7679047,1.4455,0.0873,16.0598,0.0657,17.3594,2.52,V,G,bb
2456532.7582245,1.2585,0.0376,16.2102,0.0325,18.2747,2.51,V,G,bb
2456535.7708494,1.4976,0.0444,16.0213,0.0322,18.0937,2.04,V,G,bb
2456539.753911,1.3102,0.0334,16.1664,0.0277,18.4027,2.00,V,G,bb
2456549.7469387,1.0131,0.0710,16.4456,0.0761,17.5848,2.61,V,G,bb
2456658.1582065,1.4882,0.0452,16.0281,0.0330,18.0747,1.91,V,G,bb
2456701.1331326,1.3750,0.0388,16.1141,0.0307,18.2405,1.71,V,G,bb
2456730.1118924,1.4809,0.0428,16.0335,0.0314,18.1335,1.69,V,G,bb
2456734.1087782,1.7838,0.1034,15.8314,0.0630,17.1761,1.67,V,G,bb
2456735.0942907,1.6256,0.0848,15.9323,0.0567,17.3919,1.69,V,G,bb
2456736.0702269,1.3918,0.0936,16.1008,0.0731,17.2842,1.68,V,G,bb
2456741.03437,1.3091,0.0436,16.1674,0.0362,18.1126,2.26,V,G,bb
2456744.0160896,1.2687,0.0351,16.2014,0.0301,18.3487,2.20,V,G,bb
2456752.0939086,1.4303,0.0455,16.0712,0.0346,18.0669,2.07,V,G,bb
2456756.919559,1.4248,0.0705,16.0754,0.0538,17.5913,1.70,V,G,bb
2456757.8925058,1.5994,0.0811,15.9499,0.0551,17.4402,1.77,V,G,bb
2456758.9039895,1.2561,0.1147,16.2123,0.0992,17.0638,1.68,V,G,bb
2456771.9845299,1.3434,0.0348,16.1392,0.0282,18.3582,2.12,V,G,bb
2456772.9874839,1.3144,0.0410,16.1630,0.0339,18.1803,2.04,V,G,bb
2456781.957508,1.4040,0.0382,16.0914,0.0295,18.2586,1.74,V,G,bb
2456783.9631309,1.3452,0.0353,16.1378,0.0285,18.3420,1.67,V,G,bb
2456784.9546532,1.5202,0.0375,16.0050,0.0268,18.2781,1.72,V,G,bb
2456785.9571716,1.2682,0.0476,16.2018,0.0408,18.0172,1.60,V,G,bb
2456787.8095804,1.5971,0.0893,15.9515,0.0608,17.3355,1.76,V,G,bb
2456788.9445186,1.3539,0.0937,16.1309,0.0752,17.2829,2.10,V,G,bb
2456796.0144958,1.2318,0.0766,16.2334,0.0676,17.5022,1.71,V,B,bb
2456797.0680129,1.3013,0.0995,16.1738,0.0831,17.2176,1.65,V,B,bb
2456797.9346532,1.3106,0.0495,16.1661,0.0411,17.9759,1.67,V,G,bb
2456799.0643622,1.2413,0.0463,16.2251,0.0405,18.0496,1.66,V,G,bb
2456800.9555028,1.3187,0.0299,16.1594,0.0247,18.5221,1.72,V,G,bb
2456802.9191778,1.3435,0.0391,16.1392,0.0316,18.2326,1.73,V,G,bb
