# ASAS-SN SkyPatrol ID: 420907675927
# ATLAS-REFCAT2: 110312209554601629
# Gaia DR2: 3655295590151823488
# Million Quasars Catalog (MILLIQUAS): PGC 1210436
# GLADE HyperLEDA: 1210436
# GLADE 2MASS Extended Source Catalog: 14434931+0155335


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456337.9815516,2.9135,0.0394,15.2988,0.0147,18.2230,2.20,V,G,bb
2456349.0188172,2.9350,0.1008,15.2908,0.0373,17.2033,3.21,V,B,bb
2456371.035801,2.8968,0.0291,15.3050,0.0109,18.5530,2.19,V,G,bb
2456386.9448725,2.8388,0.0342,15.3269,0.0131,18.3772,1.69,V,G,bb
2456391.929947,2.8390,0.0322,15.3269,0.0123,18.4413,2.00,V,G,bb
2456395.9814185,2.8142,0.0312,15.3364,0.0121,18.4758,1.70,V,G,bb
2456399.0540336,2.9157,0.0542,15.2979,0.0202,17.8765,1.82,V,G,bb
2456401.9308908,2.9931,0.0634,15.2695,0.0230,17.7076,1.99,V,G,bb
2456415.9170737,2.9072,0.0407,15.3011,0.0152,18.1893,1.81,V,G,bb
2456444.8276758,2.9523,0.0344,15.2844,0.0127,18.3720,1.73,V,G,bb
2456450.8582873,2.8378,0.0484,15.3273,0.0185,17.9998,1.79,V,G,bb
2456456.8391855,2.8582,0.0398,15.3196,0.0151,18.2121,2.02,V,G,bb
2456461.8304538,2.9147,0.0798,15.2983,0.0298,17.4569,2.16,V,G,bb
2456473.8205378,2.8215,0.0433,15.3336,0.0167,18.1208,1.75,V,G,bb
2456477.8199244,2.7039,0.0352,15.3798,0.0142,18.3451,2.08,V,G,bb
2456482.813347,2.8525,0.0361,15.3217,0.0138,18.3188,1.70,V,G,bb
2456486.7976061,2.9039,0.0432,15.3023,0.0162,18.1228,2.05,V,G,bb
2456492.7739298,2.7186,0.0843,15.3739,0.0337,17.3977,2.33,V,B,bb
2456509.7581715,2.8216,0.0425,15.3335,0.0164,18.1411,2.23,V,G,bb
2456638.1586542,2.6234,0.1061,15.4126,0.0440,17.1476,1.64,V,G,bb
2456651.1356165,2.6448,0.0897,15.4038,0.0368,17.3310,1.66,V,G,bb
2456657.1012372,3.0416,0.0564,15.2520,0.0202,17.8343,2.51,V,G,bb
2456659.1152285,2.9484,0.0535,15.2858,0.0197,17.8913,2.47,V,G,bb
2456700.9985137,2.6527,0.1120,15.4006,0.0459,17.0894,1.74,V,G,bb
2456740.8859147,2.7481,0.0577,15.3622,0.0228,17.8103,2.05,V,G,bb
2456742.1240684,2.6838,0.0559,15.3879,0.0226,17.8435,1.66,V,G,bb
2456756.8333361,2.7323,0.0823,15.3685,0.0327,17.4243,1.70,V,G,bb
2456770.9274172,2.8865,0.0440,15.3089,0.0166,18.1045,2.12,V,G,bb
2456781.9078184,2.9612,0.0570,15.2811,0.0209,17.8218,1.66,V,G,bb
2456783.9195584,2.8654,0.0379,15.3168,0.0144,18.2655,1.79,V,G,bb
2456784.7581989,2.7438,0.0767,15.3639,0.0304,17.5008,2.08,V,G,bb
2456785.7612078,2.4395,0.0983,15.4915,0.0438,17.2314,2.16,V,G,bb
2456794.8913388,2.8468,0.0774,15.3239,0.0295,17.4909,2.08,V,G,bb
2456795.9981206,2.7933,0.0858,15.3445,0.0334,17.3788,1.78,V,G,bb
2456796.9984472,2.5006,0.0840,15.4647,0.0365,17.4022,1.72,V,G,bb
2456798.8894391,2.7999,0.0495,15.3419,0.0192,17.9750,1.70,V,G,bb
2456801.8879821,2.8762,0.0415,15.3127,0.0157,18.1676,1.65,V,G,bb
2456803.8992566,2.6709,0.0476,15.3931,0.0194,18.0183,1.84,V,B,bb
2456806.8891142,2.7836,0.0401,15.3483,0.0157,18.2050,1.97,V,G,bb
2456810.8742894,2.8381,0.0323,15.3272,0.0124,18.4387,2.04,V,G,bb
2456812.8649192,2.7599,0.0383,15.3575,0.0151,18.2533,1.73,V,G,bb
2456815.7807232,2.7458,0.0883,15.3631,0.0350,17.3473,1.69,V,G,bb
2456820.8611069,3.1105,0.1516,15.2277,0.0530,16.7606,1.73,V,G,bb
