# ASAS-SN SkyPatrol ID: 661429624295
# AllWISE AGN Catalog: WISEA J102621.14+004105.8
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: CGCG 9-34
# GLADE GWGC: PGC030654
# GLADE PGC Number: 30654
# GLADE HyperLEDA: PGC030654
# GLADE 2MASS Extended Source Catalog: 10262112+0041055


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455959.1081967,3.6803,0.0357,15.0451,0.0105,18.3317,1.74,V,G,bb
2455969.0076519,3.4576,0.0944,15.1128,0.0297,17.2753,1.81,V,G,bb
2455973.9740529,3.6755,0.0415,15.0465,0.0123,18.1677,1.72,V,G,bb
2455977.9845142,3.8201,0.0491,15.0046,0.0140,17.9844,1.72,V,G,bb
2455981.9964316,3.8163,0.0467,15.0057,0.0133,18.0398,1.69,V,G,bb
2455985.9964984,3.9977,0.0573,14.9553,0.0156,17.8173,1.73,V,G,bb
2455998.0071273,3.8112,0.1165,15.0071,0.0332,17.0468,1.69,V,G,bb
2456003.9026088,3.8494,0.0539,14.9963,0.0152,17.8826,1.83,V,G,bb
2456252.1388056,3.8251,0.0448,15.0032,0.0127,18.0837,2.14,V,G,bb
2456301.1353656,3.8419,0.0366,14.9984,0.0104,18.3039,2.14,V,G,bb
2456303.1004928,3.8211,0.0325,15.0043,0.0093,18.4310,2.32,V,G,bb
2456309.1267211,3.6153,0.0331,15.0644,0.0100,18.4116,2.05,V,G,bb
2456311.1695428,3.9217,0.0614,14.9761,0.0170,17.7422,2.45,V,G,bb
2456314.1360468,3.8068,0.0461,15.0084,0.0132,18.0537,1.86,V,G,bb
2456317.0381599,3.7259,0.0715,15.0317,0.0208,17.5770,2.11,V,G,bb
2456319.9818048,3.2785,0.1278,15.1706,0.0424,16.9460,2.46,V,B,bb
2456324.0757548,3.9875,0.0885,14.9580,0.0241,17.3449,1.83,V,G,bb
2456328.0550955,3.9232,0.0347,14.9757,0.0096,18.3611,2.19,V,G,bb
2456338.867398,3.7062,0.0309,15.0375,0.0091,18.4881,2.20,V,G,bb
2456368.8450651,3.0480,0.0960,15.2498,0.0342,17.2569,1.77,V,B,bb
2456385.8029333,3.7817,0.0605,15.0156,0.0174,17.7585,2.11,V,G,bb
2456390.8467963,3.9844,0.0443,14.9589,0.0121,18.0951,2.10,V,G,bb
2456395.8212591,3.7461,0.0402,15.0258,0.0117,18.2021,1.78,V,G,bb
2456399.82261,3.8612,0.0603,14.9930,0.0170,17.7616,1.78,V,G,bb
2456408.8185364,3.7053,0.1227,15.0377,0.0360,16.9900,1.93,V,G,bb
2456414.8206701,3.8784,0.0508,14.9881,0.0142,17.9479,1.80,V,G,bb
2456444.7546996,3.8107,0.0490,15.0073,0.0140,17.9872,2.34,V,G,bb
2456598.1093652,3.5208,0.0820,15.0932,0.0253,17.4278,2.06,V,G,bb
2456600.1064235,3.6772,0.0575,15.0460,0.0170,17.8136,1.99,V,G,bb
2456601.105421,3.7281,0.0477,15.0311,0.0139,18.0162,1.78,V,G,bb
2456615.0514946,3.6977,0.1241,15.0400,0.0365,16.9777,2.51,V,G,bb
2456619.0387628,3.7903,0.1082,15.0131,0.0310,17.1266,1.82,V,G,bb
2456621.0284601,3.7629,0.0833,15.0210,0.0241,17.4103,2.68,V,G,bb
2456622.0607577,4.1404,0.0992,14.9172,0.0260,17.2210,2.18,V,G,bb
2456625.0303097,3.8008,0.0620,15.0101,0.0177,17.7320,2.62,V,G,bb
2456632.0507379,3.8629,0.0687,14.9925,0.0193,17.6206,2.26,V,G,bb
2456640.9696161,3.8642,0.1820,14.9921,0.0512,16.5621,3.23,V,B,bb
2456644.9584862,3.7269,0.1467,15.0314,0.0428,16.7962,3.55,V,G,bb
2456655.9425995,3.7399,0.0431,15.0276,0.0125,18.1266,2.02,V,G,bb
2456659.0021663,3.8393,0.0457,14.9991,0.0129,18.0633,2.35,V,G,bb
2456700.8322536,3.4342,0.1010,15.1202,0.0320,17.2015,1.68,V,G,bb
2456735.7652055,3.6549,0.0424,15.0526,0.0126,18.1441,2.04,V,G,bb
2456740.8779082,3.4969,0.0590,15.1006,0.0183,17.7856,2.07,V,G,bb
2456741.7572689,3.7573,0.0589,15.0226,0.0171,17.7862,2.02,V,G,bb
2456752.8216172,3.6948,0.0548,15.0408,0.0161,17.8658,2.06,V,G,bb
2456764.9079394,3.3982,0.1377,15.1317,0.0440,16.8653,2.23,V,G,bb
