# ASAS-SN SkyPatrol ID: 661431066649
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: CGCG 9-41
# GLADE HyperLEDA: 30703
# GLADE 2MASS Extended Source Catalog: 10265456-0032292


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456616.0466944,3.1044,0.1695,15.2298,0.0594,16.6393,2.39,V,G,bc
2456631.0001526,3.4664,0.0640,15.1101,0.0201,17.6969,1.85,V,G,bc
2456633.984337,3.5371,0.0687,15.0882,0.0211,17.6196,3.39,V,G,bc
2456655.9318511,3.5114,0.0648,15.0961,0.0201,17.6834,1.53,V,G,bc
2456674.9710793,3.4590,0.1555,15.1124,0.0489,16.7332,1.61,V,G,bc
2456682.8734705,3.4335,0.0542,15.1204,0.0172,17.8776,3.01,V,G,bc
2456683.8724494,3.5313,0.0680,15.0900,0.0209,17.6315,2.52,V,G,bc
2456729.7674653,3.5669,0.1226,15.0791,0.0374,16.9907,1.91,V,G,bc
2456736.776039,3.3466,0.0606,15.1483,0.0197,17.7555,1.40,V,G,bc
2456741.8605203,3.4952,0.0523,15.1011,0.0163,17.9169,1.74,V,G,bc
2456767.8298669,3.2760,0.0560,15.1714,0.0186,17.8416,2.41,V,G,bc
2456794.7790574,3.3936,0.0858,15.1331,0.0275,17.3783,1.47,V,G,bc
2456796.7823082,3.2693,0.0673,15.1737,0.0224,17.6423,1.38,V,G,bc
2456799.7778253,3.1784,0.0566,15.2043,0.0194,17.8301,1.57,V,G,bc
2456802.7571868,3.4530,0.0684,15.1143,0.0215,17.6242,1.39,V,G,bc
2456807.7685619,3.2865,0.0514,15.1680,0.0170,17.9339,1.56,V,G,bc
2456832.4873805,3.2140,0.0874,15.1922,0.0295,17.3590,1.44,V,G,be
2456845.4477209,2.7067,0.2814,15.3787,0.1130,16.0890,2.48,V,G,be
2456938.1418142,3.0063,0.2150,15.2647,0.0777,16.3814,2.07,V,B,bc
2456943.1334096,3.5311,0.1318,15.0900,0.0406,16.9123,1.90,V,G,bc
2456951.8645319,3.3443,0.1166,15.1490,0.0379,17.0460,1.52,V,G,be
2456954.8661398,3.1753,0.1429,15.2053,0.0489,16.8246,1.43,V,G,be
2456964.8551566,3.2817,0.0845,15.1695,0.0280,17.3952,1.43,V,G,be
2456965.8454231,3.3369,0.0862,15.1514,0.0281,17.3737,1.42,V,G,be
2456966.8241041,3.4597,0.2424,15.1122,0.0761,16.2512,1.57,V,G,be
2456967.8249845,3.6576,0.1989,15.0518,0.0591,16.4657,1.54,V,G,be
2456968.8215257,2.9009,0.2868,15.3034,0.1075,16.0683,1.55,V,G,be
2456971.0768169,3.0523,0.1439,15.2482,0.0512,16.8173,2.04,V,G,bc
2456972.0842032,3.7785,0.0970,15.0165,0.0279,17.2452,1.71,V,G,bc
2456974.0703238,3.2614,0.1507,15.1763,0.0502,16.7671,1.58,V,G,bc
2456980.0726569,3.3924,0.0845,15.1335,0.0271,17.3954,1.68,V,G,bc
2456981.0697171,3.3634,0.0585,15.1428,0.0189,17.7948,1.75,V,G,bc
2456982.0792185,3.2268,0.0706,15.1878,0.0238,17.5897,1.74,V,G,bc
