# ASAS-SN SkyPatrol ID: 60130056811
# ATLAS-REFCAT2: 176241940593089117
# Gaia DR2: 1577113301057089664
# TESS Input Catalog (TIC): 150395884
# Million Quasars Catalog (MILLIQUAS): UGC 8058
# AllWISE AGN Catalog: WISEA J125614.23+565225.3
# Chandra Source Catalog: 2CXO J125614.2+565225
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: UGC 8058


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456683.071853,16.4128,0.1955,13.4218,0.0129,16.4843,1.79,V,B,bb
2456700.915765,17.6899,0.1082,13.3405,0.0066,17.1270,1.71,V,G,bb
2456735.8095745,17.0376,0.1209,13.3813,0.0077,17.0060,1.70,V,G,bb
2456752.7824087,16.8948,0.0861,13.3904,0.0055,17.3750,1.67,V,G,bb
2456756.7646776,16.6286,0.0966,13.4076,0.0063,17.2494,1.62,V,G,bb
2456758.9119677,17.1158,0.0862,13.3763,0.0055,17.3730,1.67,V,G,bb
2456771.8394207,17.2446,0.0643,13.3681,0.0041,17.6911,2.03,V,G,bb
2456778.962797,16.7027,0.0717,13.4028,0.0047,17.5736,1.70,V,G,bb
2456781.8717603,17.3270,0.1439,13.3630,0.0090,16.8172,1.66,V,B,bb
2456782.7660188,16.9116,0.0819,13.3893,0.0053,17.4296,1.85,V,B,bb
2456783.8307536,16.8947,0.0787,13.3904,0.0051,17.4718,1.78,V,G,bb
2456784.8144154,16.9081,0.0825,13.3895,0.0053,17.4210,1.63,V,G,bb
2456785.873991,16.8699,0.0779,13.3920,0.0050,17.4833,1.71,V,G,bb
2456787.8651968,16.6401,0.1031,13.4069,0.0067,17.1792,1.69,V,B,bb
2456788.8600687,17.0313,0.0847,13.3817,0.0054,17.3920,1.87,V,G,bb
2456795.9347045,17.0723,0.1221,13.3791,0.0078,16.9956,2.08,V,G,bb
2456796.8708475,16.9858,0.0744,13.3846,0.0048,17.5331,1.67,V,B,bb
2456798.8536744,17.0097,0.0628,13.3830,0.0040,17.7171,1.78,V,G,bb
2456801.8346746,16.9919,0.0677,13.3842,0.0043,17.6352,1.66,V,G,bb
2456804.835156,16.8221,0.0721,13.3951,0.0047,17.5682,1.79,V,G,bb
2456807.8415913,16.8426,0.0689,13.3938,0.0044,17.6175,1.77,V,G,bb
2456810.8264318,16.6976,0.0705,13.4031,0.0046,17.5911,1.93,V,G,bb
2456812.8343455,17.1206,0.0734,13.3760,0.0047,17.5481,1.78,V,G,bb
2456814.8184908,17.4393,0.1143,13.3560,0.0071,17.0668,1.77,V,B,bb
