# ASAS-SN SkyPatrol ID: 231929537421
# ATLAS-REFCAT2: 151382469640017323
# Gaia DR2: 1329388177358265088
# TESS Input Catalog (TIC): 255907782
# Million Quasars Catalog (MILLIQUAS): MCG 6-36-044
# AllWISE AGN Catalog: WISEA J162751.36+360920.1
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MCG 6-36-044
# GLADE HyperLEDA: 58209
# GLADE 2MASS Extended Source Catalog: 16275139+3609199


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456000.1504237,4.3808,0.1245,14.8559,0.0309,16.9748,2.32,V,B,ba
2456016.1152183,4.4738,0.0072,14.8331,0.0018,20.0645,1.81,V,G,bb
2456021.120484,4.1396,0.1599,14.9174,0.0420,16.7028,1.64,V,B,bb
2456030.0854483,3.5273,0.1711,15.0912,0.0527,16.6290,1.67,V,G,bb
2456039.0488154,4.0148,0.1532,14.9506,0.0415,16.7490,1.60,V,G,bb
2456044.0414304,4.0415,0.1375,14.9434,0.0370,16.8663,1.73,V,G,bb
2456216.7356221,3.8877,0.1112,14.9856,0.0311,17.0968,2.04,V,G,bb
2456217.7274571,3.8440,0.1080,14.9978,0.0305,17.1292,2.10,V,G,bb
2456221.7272387,4.0661,0.0966,14.9368,0.0258,17.2496,2.38,V,G,ba
2456338.023431,4.0462,0.1106,14.9422,0.0297,17.1028,2.22,V,G,ba
2456349.1090051,3.7814,0.1289,15.0156,0.0371,16.9363,1.87,V,G,ba
2456356.0073535,4.1496,0.0886,14.9148,0.0232,17.3438,2.05,V,G,ba
2456365.0136018,4.2497,0.0890,14.8889,0.0228,17.3392,1.78,V,G,ba
2456376.9908188,4.0019,0.1341,14.9541,0.0364,16.8935,2.06,V,G,ba
2456387.9449303,3.9565,0.0606,14.9665,0.0166,17.7563,2.48,V,G,ba
2456392.0384983,3.9987,0.0666,14.9550,0.0181,17.6543,2.04,V,G,ba
2456396.0330204,4.2206,0.0532,14.8964,0.0137,17.8982,2.14,V,B,ba
2456399.0306085,3.7544,0.0894,15.0234,0.0259,17.3335,2.18,V,G,ba
2456402.0006605,4.0119,0.0912,14.9514,0.0247,17.3124,2.09,V,G,ba
2456404.0321267,3.8873,0.0646,14.9857,0.0181,17.6864,2.02,V,G,ba
2456409.9625867,3.6845,0.1831,15.0438,0.0540,16.5555,2.23,V,G,ba
2456414.9697562,3.7566,0.0623,15.0228,0.0180,17.7264,2.33,V,G,ba
2456436.9256315,3.8195,0.1540,15.0048,0.0438,16.7439,2.58,V,G,ba
2456450.9000391,4.0286,0.0719,14.9469,0.0194,17.5706,2.33,V,G,ba
2456459.8634289,3.9608,0.0976,14.9653,0.0268,17.2388,2.06,V,G,ba
2456462.8786267,4.1841,0.1275,14.9058,0.0331,16.9487,2.03,V,G,ba
2456466.8742849,2.7139,0.4290,15.3758,0.1718,15.6313,2.01,V,B,ba
2456468.9590399,4.2669,0.1272,14.8845,0.0324,16.9509,2.02,V,G,ba
2456471.8332942,4.2644,0.0804,14.8851,0.0205,17.4490,2.30,V,G,ba
2456475.8590936,4.0773,0.0844,14.9338,0.0225,17.3970,1.72,V,G,ba
2456478.8590666,4.1628,0.0741,14.9113,0.0193,17.5380,2.01,V,G,ba
2456479.8586013,4.0744,0.0798,14.9346,0.0213,17.4580,1.99,V,G,ba
2456483.8621939,3.9731,0.0572,14.9620,0.0156,17.8189,2.35,V,G,ba
2456486.8455781,4.1909,0.0741,14.9040,0.0192,17.5385,2.04,V,G,ba
2456489.829997,4.0520,0.1628,14.9406,0.0437,16.6834,1.77,V,B,ba
2456490.829688,4.1478,0.0992,14.9152,0.0260,17.2210,1.85,V,G,ba
