# ASAS-SN SkyPatrol ID: 42949800398
# ATLAS-REFCAT2: 155262476360661652
# Gaia DR2: 1332556935510936064
# TESS Input Catalog (TIC): 255930322
# Million Quasars Catalog (MILLIQUAS): IRAS 16288+3929
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: IRAS 16288+3929
# GLADE HyperLEDA: 97536
# GLADE 2MASS Extended Source Catalog: 16303265+3923031


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456000.1504237,4.8951,0.1355,14.7354,0.0301,16.8826,2.32,V,B,ba
2456016.1152183,4.9778,0.0060,14.7172,0.0013,20.2646,1.81,V,G,bb
2456021.120484,4.7790,0.0780,14.7614,0.0177,17.4822,1.64,V,B,bb
2456030.0854483,4.8164,0.0922,14.7530,0.0208,17.3000,1.67,V,G,bb
2456039.0488154,4.6620,0.0914,14.7883,0.0213,17.3095,1.60,V,G,bb
2456044.0414304,4.7738,0.0715,14.7626,0.0163,17.5763,1.73,V,G,bb
2456216.7356221,4.7205,0.0595,14.7748,0.0137,17.7753,2.04,V,G,bb
2456217.7274571,4.8307,0.0580,14.7498,0.0130,17.8046,2.10,V,G,bb
2456221.7272387,5.1779,0.1243,14.6744,0.0261,16.9763,2.38,V,G,ba
2456338.023431,4.7690,0.0504,14.7637,0.0115,17.9569,2.22,V,G,ba
2456349.1090051,4.9740,0.1046,14.7180,0.0229,17.1631,1.87,V,G,ba
2456356.0073535,4.8333,0.0786,14.7492,0.0177,17.4738,2.05,V,G,ba
2456365.0136018,4.8361,0.0602,14.7485,0.0135,17.7633,1.78,V,G,ba
2456376.9908188,5.1831,0.1115,14.6733,0.0234,17.0946,2.06,V,G,ba
2456387.9449303,4.8388,0.0597,14.7479,0.0134,17.7730,2.48,V,G,ba
2456392.0384983,4.8632,0.0464,14.7425,0.0104,18.0454,2.04,V,G,ba
2456396.0330204,4.8149,0.0378,14.7533,0.0085,18.2678,2.14,V,B,ba
2456399.0306085,4.8671,0.0496,14.7416,0.0111,17.9729,2.18,V,G,ba
2456402.0006605,4.9132,0.0608,14.7314,0.0134,17.7531,2.09,V,G,ba
