# ASAS-SN SkyPatrol ID: 94490251716
# ATLAS-REFCAT2: 152742432567765607
# Gaia DR2: 1378665986413651584
# TESS Input Catalog (TIC): 286211688
# Million Quasars Catalog (MILLIQUAS): MCG 6-36-003
# AllWISE AGN Catalog: WISEA J161301.62+371714.9
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MCG 6-36-003
# GLADE 2MASS Extended Source Catalog: 16130161+3717147


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456649.1701157,3.9235,0.1549,14.9756,0.0429,16.7374,1.65,V,G,bd
2456652.1558751,3.7524,0.0613,15.0240,0.0177,17.7441,2.63,V,G,bd
2456658.1454655,3.7894,0.0561,15.0133,0.0161,17.8402,1.68,V,B,bd
2456676.0882693,3.7439,0.1214,15.0265,0.0353,17.0014,2.69,V,G,bd
2456677.11922,3.8383,0.0731,14.9994,0.0207,17.5529,2.10,V,G,bd
2456678.1309761,3.7458,0.0719,15.0259,0.0209,17.5711,1.84,V,G,bd
2456701.0741687,3.7188,0.0787,15.0338,0.0230,17.4719,1.53,V,G,bd
2456730.041389,3.9356,0.0675,14.9723,0.0186,17.6392,1.55,V,B,bd
2456734.0753317,4.0164,0.1080,14.9502,0.0292,17.1284,1.46,V,B,bd
2456735.0969373,3.7157,0.0802,15.0347,0.0235,17.4517,1.50,V,B,bd
2456736.0755686,3.8389,0.0896,14.9993,0.0254,17.3312,1.49,V,G,bd
2456741.012576,3.7823,0.0611,15.0154,0.0176,17.7468,2.01,V,G,bd
2456742.1526871,3.9280,0.0881,14.9743,0.0244,17.3501,1.48,V,G,bd
2456751.0729447,3.8742,0.0440,14.9893,0.0124,18.1027,1.50,V,G,bd
2456757.1221547,3.7212,0.0465,15.0331,0.0136,18.0445,1.61,V,G,bd
2456757.8697931,3.6810,0.0866,15.0449,0.0256,17.3684,1.47,V,G,bd
2456765.0305749,3.7748,0.0685,15.0175,0.0197,17.6238,2.18,V,G,bd
2456766.9790881,3.6695,0.0586,15.0483,0.0173,17.7933,1.72,V,G,bd
2456772.108538,3.9620,0.0460,14.9650,0.0126,18.0564,1.92,V,G,bd
2456783.8168609,3.9433,0.0529,14.9701,0.0146,17.9041,1.48,V,G,bd
2456784.9438111,3.8579,0.0428,14.9939,0.0121,18.1339,1.60,V,G,bd
2456785.7919743,3.9169,0.0705,14.9774,0.0196,17.5921,2.67,V,G,bd
2456787.7958775,4.2297,0.0992,14.8940,0.0255,17.2208,1.64,V,G,bd
2456788.928845,3.6690,0.0798,15.0484,0.0236,17.4570,1.54,V,G,bd
2456796.0583377,3.7232,0.0802,15.0325,0.0234,17.4513,1.50,V,G,bd
2456797.0651765,3.9379,0.0778,14.9716,0.0215,17.4853,1.48,V,G,bd
2456797.9263776,3.9144,0.0460,14.9781,0.0128,18.0559,1.42,V,G,bd
2456799.0560089,3.8883,0.0540,14.9854,0.0151,17.8808,1.45,V,G,bd
2456801.9802239,3.7661,0.0456,15.0201,0.0132,18.0643,1.49,V,G,bd
2456803.9411934,3.7423,0.0601,15.0269,0.0175,17.7647,1.47,V,B,bd
2456805.924296,3.8362,0.0421,15.0000,0.0119,18.1510,1.53,V,G,bd
2456808.9084965,3.6996,0.0480,15.0394,0.0141,18.0088,1.51,V,B,bd
2456811.9117784,3.7769,0.0467,15.0170,0.0134,18.0383,1.46,V,G,bd
2456812.8981321,3.6926,0.0564,15.0415,0.0166,17.8349,1.46,V,G,bd
2456813.7881102,3.9004,0.2022,14.9820,0.0564,16.4477,1.60,V,B,bd
2456814.862906,3.7911,0.0483,15.0129,0.0138,18.0025,1.47,V,G,bd
2456816.8909846,3.5833,0.0562,15.0741,0.0171,17.8377,1.50,V,G,bd
2456817.9192355,3.8174,0.0778,15.0054,0.0222,17.4844,1.46,V,G,bd
2456819.8931975,3.6705,0.0835,15.0480,0.0247,17.4085,1.57,V,G,bd
2456823.007224,3.7130,0.1167,15.0355,0.0342,17.0451,1.78,V,G,bd
2456825.0025583,3.7156,0.0812,15.0347,0.0238,17.4383,1.46,V,G,bd
2456826.0040499,3.2640,0.1865,15.1754,0.0621,16.5357,1.50,V,B,bd
2456826.8858609,3.6088,0.0450,15.0664,0.0136,18.0783,1.51,V,G,bd
2456828.9371244,3.6316,0.0514,15.0595,0.0154,17.9360,1.68,V,G,bd
2456830.8866033,3.5906,0.0510,15.0719,0.0154,17.9432,1.57,V,G,bd
2456835.8612285,3.7226,0.0416,15.0327,0.0122,18.1640,1.59,V,G,bd
2456846.8513092,3.5559,0.0600,15.0824,0.0183,17.7671,1.55,V,B,bd
2456848.9014721,3.2346,0.0946,15.1852,0.0318,17.2730,1.52,V,B,bd
2456850.8507878,3.6152,0.1147,15.0645,0.0345,17.0632,1.70,V,B,bd
2456856.8837953,3.7828,0.0450,15.0152,0.0129,18.0789,1.49,V,G,bd
2456882.7924654,3.8454,0.0591,14.9974,0.0167,17.7829,1.92,V,G,bd
2456883.799064,3.6897,0.0447,15.0423,0.0132,18.0865,1.79,V,G,bd
2456885.7834842,3.5970,0.0480,15.0699,0.0145,18.0101,1.52,V,G,bd
2456888.7780949,3.8232,0.0478,15.0037,0.0136,18.0136,1.55,V,G,bd
2456889.7746802,3.7259,0.0419,15.0317,0.0122,18.1559,1.52,V,G,bd
2456891.7764389,3.6137,0.0460,15.0649,0.0138,18.0557,1.50,V,G,bd
2456897.7568298,3.5562,0.0501,15.0823,0.0153,17.9622,1.47,V,G,bd
2456898.7590193,3.5024,0.0650,15.0989,0.0202,17.6798,1.56,V,G,bd
2456900.7578418,3.7560,0.0437,15.0230,0.0127,18.1106,1.46,V,G,bd
2456902.7480396,4.5770,0.0670,14.8083,0.0159,17.6474,1.51,V,G,bd
2456906.7499949,3.8026,0.1007,15.0096,0.0288,17.2052,1.51,V,G,bd
2456908.7653254,3.5667,0.1032,15.0791,0.0314,17.1786,1.57,V,G,bd
2456910.7626604,3.7912,0.1214,15.0128,0.0348,17.0019,1.48,V,G,bd
2456911.7308842,3.8327,0.0432,15.0010,0.0123,18.1236,1.64,V,G,bd
