# ASAS-SN SkyPatrol ID: 94489299582
# ATLAS-REFCAT2: 171961965873658423
# Gaia DR2: 1557953795547815168
# TESS Input Catalog (TIC): 198107033
# Million Quasars Catalog (MILLIQUAS): SDSS J130620.97+531823.1
# GLADE 2MASS Extended Source Catalog: 13062093+5318232


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455955.1435952,2.4372,0.0444,15.4926,0.0198,18.0935,2.02,V,G,ba
2455967.1063128,2.0763,0.0953,15.6665,0.0499,17.2646,2.50,V,G,ba
2455979.0578428,2.3756,0.0443,15.5203,0.0203,18.0962,2.87,V,G,ba
2455984.0638358,2.4399,0.0614,15.4914,0.0273,17.7425,2.36,V,B,ba
2456003.0037443,2.2061,0.0614,15.6007,0.0302,17.7428,2.02,V,G,ba
2456314.1615072,2.6108,0.0576,15.4178,0.0240,17.8104,2.21,V,G,ba
2456318.1409186,2.3491,0.1116,15.5325,0.0516,17.0932,1.77,V,G,ba
2456326.0445212,2.4008,0.1281,15.5089,0.0580,16.9439,2.49,V,G,ba
2456338.8816223,2.6550,0.0945,15.3996,0.0387,17.2743,2.22,V,B,ba
2456351.9326683,2.5407,0.1253,15.4474,0.0536,16.9676,2.40,V,B,ba
2456352.9018622,2.2996,0.1409,15.5556,0.0666,16.8399,2.22,V,G,ba
2456356.9485868,2.4288,0.0678,15.4963,0.0304,17.6335,2.05,V,G,ba
2456380.9360461,2.4759,0.1681,15.4754,0.0738,16.6486,2.16,V,B,ba
2456388.8776706,2.2267,0.0601,15.5906,0.0294,17.7643,2.37,V,B,ba
2456389.8845887,2.3946,0.0538,15.5117,0.0244,17.8859,2.18,V,G,ba
2456393.9334902,2.3821,0.0473,15.5174,0.0216,18.0243,2.24,V,G,ba
2456402.8449963,2.4782,0.1192,15.4745,0.0523,17.0218,2.24,V,G,ba
2456405.8916909,2.6890,0.1572,15.3858,0.0635,16.7214,1.74,V,G,ba
2456412.8831206,2.2209,0.1427,15.5935,0.0698,16.8265,2.28,V,B,ba
2456439.8293112,1.9854,0.1088,15.7151,0.0595,17.1212,2.17,V,G,ba
2456449.814595,2.3896,0.0593,15.5140,0.0270,17.7806,2.68,V,G,ba
2456453.8172134,1.8577,0.1850,15.7873,0.1082,16.5447,1.81,V,B,ba
2456459.8100427,2.1671,0.0710,15.6201,0.0356,17.5848,2.03,V,G,ba
2456463.7996867,2.4824,0.1128,15.4726,0.0494,17.0812,1.73,V,G,ba
2456470.7949105,2.4082,0.0599,15.5056,0.0270,17.7689,2.02,V,G,ba
2456477.7820115,2.4141,0.0556,15.5029,0.0250,17.8493,1.69,V,G,ba
2456483.7677083,2.3236,0.0686,15.5444,0.0321,17.6222,2.27,V,G,ba
2456487.7637911,2.1981,0.0804,15.6047,0.0398,17.4486,1.79,V,G,ba
2456490.7518994,2.2629,0.1548,15.5731,0.0743,16.7381,1.91,V,G,ba
2456600.1445794,2.6711,0.1224,15.3931,0.0498,16.9933,2.90,V,G,bc
2456625.1498478,2.4591,0.0450,15.4828,0.0199,18.0796,1.48,V,G,bc
2456626.1499073,2.3557,0.0836,15.5295,0.0386,17.4069,1.54,V,B,bc
2456638.0520479,2.3654,0.0563,15.5250,0.0259,17.8359,1.54,V,G,bc
2456639.0494396,2.4332,0.0545,15.4943,0.0243,17.8718,1.51,V,G,bc
2456670.965245,2.4846,0.2113,15.4716,0.0924,16.4003,2.12,V,B,bc
2456677.9531159,2.3363,0.0772,15.5385,0.0359,17.4940,2.94,V,G,bc
