# ASAS-SN SkyPatrol ID: 661426342546
# Million Quasars Catalog (MILLIQUAS): SDSS J154954.44+085140.6


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456337.0159805,1.3725,0.0390,16.1160,0.0309,18.2342,2.14,V,G,ba
2456345.1083828,1.3515,0.0508,16.1328,0.0408,17.9482,1.66,V,B,ba
2456355.0345695,1.2361,0.0826,16.2296,0.0726,17.4202,2.09,V,G,ba
2456359.0784841,1.3292,0.0411,16.1508,0.0336,18.1766,1.79,V,G,ba
2456370.99745,1.3115,0.0609,16.1654,0.0504,17.7514,2.02,V,G,ba
2456386.9667607,1.3971,0.0478,16.0967,0.0372,18.0128,2.51,V,G,ba
2456389.0728639,1.2399,0.0453,16.2263,0.0397,18.0715,2.04,V,G,ba
2456390.0664605,1.0777,0.0408,16.3785,0.0411,18.1864,2.03,V,G,ba
2456393.9492764,1.3097,0.0530,16.1669,0.0440,17.9011,2.27,V,G,ba
2456397.973754,1.3284,0.0436,16.1515,0.0357,18.1143,2.13,V,B,ba
2456400.9679334,1.1696,0.0405,16.2897,0.0376,18.1947,2.21,V,G,ba
2456402.9787742,1.3860,0.0529,16.1053,0.0415,17.9030,2.05,V,G,ba
2456411.933434,0.4327,0.3025,16.0107,99.9990,16.0107,2.17,V,B,ba
2456417.0574502,0.9447,0.0685,16.5216,0.0788,17.6239,1.82,V,G,ba
2456443.8968847,1.4004,0.0440,16.0942,0.0341,18.1049,2.56,V,G,ba
2456449.8871118,1.0877,0.0621,16.3685,0.0621,17.7292,2.63,V,G,ba
2456458.8631581,1.1284,0.0635,16.3286,0.0611,17.7058,2.13,V,G,ba
2456462.858735,1.5706,0.1124,15.9696,0.0778,17.0857,1.84,V,G,ba
2456473.8457309,1.3808,0.0595,16.1094,0.0468,17.7764,2.20,V,G,ba
2456477.8312743,1.1218,0.0430,16.3350,0.0417,18.1277,1.66,V,G,ba
2456482.8335041,1.1809,0.0468,16.2793,0.0431,18.0357,2.19,V,G,ba
2456486.8118096,1.4156,0.0450,16.0824,0.0346,18.0791,1.99,V,G,ba
2456491.8073117,1.2423,0.1137,16.2243,0.0995,17.0730,1.79,V,G,ba
2456497.8167488,0.7587,0.1202,16.7596,0.1722,17.0125,1.81,V,B,ba
2456510.8050116,1.2654,0.0399,16.2042,0.0343,18.2099,1.78,V,G,ba
2456512.7931915,1.3338,0.0372,16.1470,0.0303,18.2854,2.01,V,G,ba
2456519.7601464,1.5649,0.0878,15.9735,0.0610,17.3542,1.72,V,G,ba
2456525.7401149,1.0580,0.1478,16.3986,0.1518,16.7884,2.02,V,G,ba
2456531.7715539,1.2558,0.0460,16.2125,0.0399,18.0543,2.59,V,G,ba
2456658.1427012,1.4460,0.0903,16.0594,0.0679,17.3226,2.12,V,B,ba
2456676.0827108,1.0530,0.1365,16.4037,0.1409,16.8743,1.72,V,G,ba
2456678.1109533,1.8172,0.1589,15.8113,0.0950,16.7097,2.02,V,G,ba
2456701.030973,1.2876,0.1226,16.1853,0.1035,16.9908,1.67,V,G,ba
2456730.0840062,1.6484,0.0961,15.9171,0.0634,17.2555,2.18,V,B,ba
2456741.1176647,1.4243,0.0649,16.0758,0.0496,17.6812,2.15,V,G,ba
2456743.9919991,1.5237,0.0436,16.0025,0.0311,18.1144,1.67,V,G,ba
2456755.9731931,1.3283,0.0581,16.1515,0.0475,17.8025,2.53,V,G,ba
2456757.9247484,1.1394,0.0560,16.3181,0.0534,17.8427,1.73,V,G,ba
2456758.9523705,1.1685,0.0967,16.2907,0.0900,17.2487,2.29,V,G,ba
2456771.0911611,1.3512,0.0590,16.1330,0.0474,17.7859,2.50,V,B,ba
2456781.9296118,1.4341,0.0413,16.0684,0.0313,18.1726,2.20,V,G,ba
2456782.7913317,1.5500,0.0690,15.9839,0.0484,17.6147,1.70,V,G,ba
2456783.9413016,1.3959,0.0460,16.0977,0.0358,18.0562,1.85,V,G,ba
2456785.783846,1.1809,0.1355,16.2793,0.1247,16.8829,1.63,V,G,ba
2456795.0191701,1.2302,0.0897,16.2349,0.0793,17.3299,1.68,V,G,ba
2456797.0290355,1.2325,0.0703,16.2328,0.0620,17.5955,2.11,V,G,ba
2456797.9710177,1.2441,0.0468,16.2226,0.0409,18.0368,2.04,V,G,ba
2456798.9703098,1.2830,0.0599,16.1892,0.0507,17.7690,2.02,V,G,ba
2456801.9045949,1.1844,0.0432,16.2760,0.0397,18.1234,2.08,V,G,ba
2456804.903092,1.4369,0.0428,16.0662,0.0324,18.1343,2.09,V,G,ba
2456807.9030804,1.2874,0.0573,16.1855,0.0484,17.8169,2.50,V,G,ba
2456810.8856865,1.3764,0.0440,16.1129,0.0347,18.1039,2.50,V,G,ba
2456811.7723635,1.3458,0.0454,16.1373,0.0367,18.0687,2.07,V,G,ba
2456812.8843168,1.4297,0.0501,16.0717,0.0381,17.9627,1.67,V,G,ba
2456813.7927975,1.4431,0.1726,16.0615,0.1300,16.6195,2.26,V,B,ba
2456815.8806129,1.3890,0.0585,16.1030,0.0458,17.7941,1.65,V,G,ba
2456821.9431542,1.6366,0.1872,15.9249,0.1243,16.5316,1.83,V,G,ba
2456823.8827506,1.2087,0.1156,16.2539,0.1039,17.0553,2.19,V,G,ba
2456824.948297,1.4899,0.0874,16.0269,0.0638,17.3581,1.65,V,G,ba
2456825.8730273,1.2792,0.0841,16.1924,0.0715,17.4004,1.63,V,B,ba
2456827.8642832,1.3936,0.0404,16.0994,0.0315,18.1954,1.65,V,G,ba
2456829.8621672,1.3707,0.0475,16.1174,0.0377,18.0207,1.65,V,G,ba
2456832.8584053,1.4067,0.0419,16.0893,0.0323,18.1580,1.73,V,B,ba
2456834.8688358,1.3532,0.0434,16.1314,0.0349,18.1187,2.21,V,G,ba
2456847.8505714,1.5156,0.1727,16.0083,0.1238,16.6192,2.03,V,B,ba
2456848.8466586,1.5371,0.1397,15.9930,0.0988,16.8492,2.05,V,B,ba
2456851.8352933,0.9410,0.1396,16.5258,0.1613,16.8499,1.74,V,B,ba
2456855.8275436,1.3740,0.0318,16.1148,0.0251,18.4575,1.81,V,G,ba
2456856.8238576,1.3804,0.0357,16.1098,0.0281,18.3314,1.66,V,G,ba
2456857.7647656,1.3843,0.0232,16.1067,0.0182,18.8004,2.22,V,G,ba
2456862.8326398,1.3048,0.0413,16.1709,0.0344,18.1721,2.09,V,G,ba
2456863.8157562,1.2323,0.0354,16.2330,0.0312,18.3399,2.04,V,G,ba
2456864.8136326,1.3401,0.0339,16.1419,0.0275,18.3877,1.74,V,G,ba
2456865.8141751,1.2800,0.0404,16.1918,0.0343,18.1967,1.74,V,G,ba
2456866.8141625,1.2537,0.0331,16.2143,0.0287,18.4138,2.01,V,G,ba
2456867.8148791,1.2810,0.0348,16.1909,0.0295,18.3600,1.67,V,G,ba
2456881.7762336,1.4812,0.0635,16.0332,0.0466,17.7059,2.19,V,G,ba
2456882.7785779,1.2127,0.0443,16.2504,0.0397,18.0955,2.09,V,G,ba
2456884.7792471,1.3508,0.0346,16.1333,0.0279,18.3637,2.14,V,G,ba
2456885.7459821,1.3502,0.0609,16.1338,0.0490,17.7513,2.32,V,G,ba
2456886.773945,1.2696,0.0453,16.2006,0.0388,18.0724,2.09,V,G,ba
2456887.771544,1.3117,0.0313,16.1652,0.0259,18.4740,1.77,V,G,ba
2456890.7607736,1.2275,0.0500,16.2372,0.0443,17.9643,2.14,V,G,ba
2456894.7502403,1.4055,0.0434,16.0902,0.0335,18.1195,2.13,V,G,ba
2456897.7396945,1.3747,0.0385,16.1143,0.0305,18.2484,2.19,V,G,ba
2456904.7237143,1.1919,0.1514,16.2691,0.1381,16.7618,2.39,V,B,ba
2456909.7205148,1.6000,0.1677,15.9495,0.1139,16.6511,2.80,V,G,ba
2457012.1696697,1.5196,0.2446,16.0055,0.1750,16.2411,1.73,V,G,ba
2457018.1364194,1.3442,0.0656,16.1386,0.0530,17.6706,1.71,V,G,ba
2457021.1527429,1.2902,0.0469,16.1832,0.0395,18.0348,1.62,V,G,ba
2457031.1245438,1.0180,0.1208,16.4404,0.1289,17.0076,1.70,V,G,ba
2457032.1341293,0.9679,0.0954,16.4952,0.1071,17.2639,1.70,V,G,ba
2457038.1220177,1.4499,0.0720,16.0564,0.0540,17.5690,1.65,V,G,ba
2457040.1200855,1.3564,0.0567,16.1288,0.0454,17.8290,1.70,V,G,ba
2457042.1179781,1.3368,0.0504,16.1446,0.0409,17.9571,1.67,V,G,ba
2457044.1108747,1.3000,0.0534,16.1749,0.0447,17.8928,1.76,V,G,ba
2457046.1037262,1.4219,0.0423,16.0776,0.0324,18.1458,1.64,V,G,ba
2457048.1064218,1.3801,0.0526,16.1100,0.0414,17.9100,1.69,V,G,ba
2457050.0984712,1.4223,0.0464,16.0773,0.0355,18.0458,1.69,V,G,ba
2457052.0963313,1.2339,0.0436,16.2316,0.0385,18.1124,1.73,V,G,ba
2457054.0952116,1.4936,0.0850,16.0242,0.0618,17.3891,1.76,V,G,ba
2457056.0901365,1.2387,0.1399,16.2273,0.1228,16.8475,1.64,V,G,ba
2457061.0838849,1.2195,0.0880,16.2443,0.0784,17.3517,1.67,V,G,ba
2457069.0690688,1.2814,0.0486,16.1906,0.0412,17.9960,1.75,V,G,ba
2457071.0307939,1.4266,0.0509,16.0741,0.0388,17.9445,1.57,V,G,ba
2457074.0547607,1.1172,0.0554,16.3395,0.0539,17.8544,1.70,V,G,ba
2457078.051494,1.3692,0.0403,16.1186,0.0320,18.2001,1.73,V,G,ba
2457081.0464912,1.2900,0.0495,16.1833,0.0417,17.9754,1.65,V,G,ba
2457084.0458409,1.3455,0.0907,16.1376,0.0732,17.3189,1.81,V,G,ba
2457092.025013,1.4461,0.1466,16.0593,0.1102,16.7972,1.99,V,B,ba
2457095.9810067,1.2512,0.0473,16.2165,0.0411,18.0244,1.85,V,G,ba
2457098.9432118,1.3038,0.0502,16.1718,0.0418,17.9617,1.71,V,G,ba
2457101.1032259,1.3578,0.0432,16.1277,0.0346,18.1244,1.65,V,G,ba
2457104.0305661,1.3028,0.0431,16.1726,0.0360,18.1257,1.64,V,G,ba
2457106.9894995,1.5424,0.0543,15.9893,0.0382,17.8763,1.64,V,G,ba
2457109.9131541,1.3643,0.0381,16.1225,0.0303,18.2608,1.61,V,G,ba
2457110.9167824,1.3025,0.0379,16.1728,0.0316,18.2652,1.63,V,G,ba
2457111.9072434,1.3433,0.0489,16.1393,0.0395,17.9896,1.65,V,G,ba
2457112.9040834,1.2863,0.0487,16.1864,0.0412,17.9931,1.65,V,G,ba
2457113.9556454,1.4845,0.1115,16.0308,0.0816,17.0941,1.70,V,G,ba
2457120.1369109,1.4197,0.2355,16.0793,0.1803,16.2822,1.80,V,G,ba
2457123.131062,1.5895,0.0880,15.9566,0.0602,17.3514,1.77,V,G,ba
2457125.0447301,1.3504,0.0621,16.1337,0.0500,17.7300,2.08,V,G,ba
2457125.9520004,1.3293,0.0442,16.1507,0.0362,18.0979,1.73,V,G,ba
2457128.9562313,1.3439,0.0801,16.1389,0.0648,17.4534,1.77,V,G,ba
2457130.9118612,1.2726,0.0425,16.1980,0.0363,18.1415,1.70,V,G,ba
2457132.9573726,1.1889,0.0501,16.2719,0.0458,17.9636,1.67,V,G,ba
2457136.8654331,1.5030,0.0659,16.0174,0.0477,17.6646,1.60,V,G,ba
2457137.9686978,1.4415,0.0445,16.0628,0.0336,18.0914,1.63,V,G,ba
2457149.9882786,1.1792,0.0965,16.2808,0.0890,17.2507,1.66,V,G,ba
2457154.0345126,1.0452,0.0952,16.4117,0.0990,17.2663,1.78,V,B,ba
2457155.9386367,1.3644,0.0585,16.1224,0.0466,17.7946,1.74,V,G,ba
2457156.9322946,1.2822,0.0532,16.1899,0.0451,17.8985,2.01,V,G,ba
