# ASAS-SN SkyPatrol ID: 369367642291
# ATLAS-REFCAT2: 119772390804068968
# Gaia DR2: 4455756307331634432
# Million Quasars Catalog (MILLIQUAS): SDSS J155619.29+094855.5
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: SDSS J155619.29+094855.5


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456337.0380715,2.8832,0.0369,15.3101,0.0139,18.2947,2.23,V,G,bb
2456349.0393825,2.6541,0.1032,15.4000,0.0422,17.1787,2.99,V,B,bb
2456371.0625091,2.8540,0.0437,15.3212,0.0167,18.1104,2.27,V,G,bb
2456381.1205095,2.5093,0.0996,15.4609,0.0431,17.2167,2.30,V,G,bb
2456388.0738885,2.9915,0.0466,15.2701,0.0169,18.0419,1.76,V,B,bb
2456392.0252746,2.9599,0.0359,15.2816,0.0132,18.3234,2.06,V,G,bb
2456396.011058,2.8718,0.0446,15.3144,0.0169,18.0878,1.99,V,G,bb
2456399.0090386,2.8257,0.0449,15.3320,0.0173,18.0816,1.74,V,B,bb
2456401.0321266,2.9179,0.0411,15.2971,0.0153,18.1764,2.04,V,G,bb
2456403.0001597,2.8974,0.0432,15.3048,0.0162,18.1229,2.02,V,G,bb
2456414.9537214,2.8093,0.0416,15.3383,0.0161,18.1653,1.86,V,G,bb
2456443.8899691,2.8555,0.0350,15.3206,0.0133,18.3537,1.77,V,G,bb
2456448.9077014,2.8249,0.0367,15.3323,0.0141,18.3016,2.20,V,G,bb
2456452.8860983,3.0558,0.0442,15.2470,0.0157,18.0976,1.73,V,G,bb
2456457.8768599,3.0312,0.0469,15.2557,0.0168,18.0346,1.75,V,G,bb
2456461.8642565,3.0317,0.0912,15.2556,0.0327,17.3123,2.06,V,G,bb
2456469.7948146,2.8108,0.0467,15.3377,0.0181,18.0382,2.06,V,G,bb
2456473.8795542,2.9612,0.0439,15.2811,0.0161,18.1067,1.67,V,G,bb
2456477.8511981,2.7473,0.0399,15.3625,0.0158,18.2092,2.05,V,G,bb
2456482.8470659,2.9200,0.0518,15.2963,0.0193,17.9262,1.72,V,G,bb
