# ASAS-SN SkyPatrol ID: 171799198187
# ATLAS-REFCAT2: 135302530479548367
# Gaia DR2: 4566194072723175552
# TESS Input Catalog (TIC): 345445542
# Million Quasars Catalog (MILLIQUAS): NPM 1G+22.0552
# GLADE HyperLEDA: 1675585
# GLADE 2MASS Extended Source Catalog: 16521153+2245236


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456657.1551785,2.5072,0.0578,15.4618,0.0251,17.8077,1.49,V,G,bc
2456676.1160437,2.2750,0.1049,15.5673,0.0501,17.1601,2.09,V,G,bc
2456701.0688152,2.3189,0.1024,15.5466,0.0480,17.1865,2.45,V,G,bc
2456731.0696388,2.2845,0.0610,15.5628,0.0290,17.7494,2.32,V,G,bc
2456734.1344002,2.5878,0.1094,15.4275,0.0459,17.1152,2.30,V,B,bc
2456736.1094681,2.1796,0.0660,15.6138,0.0329,17.6643,1.93,V,B,bc
2456744.0134434,2.4026,0.0316,15.5081,0.0143,18.4617,3.11,V,G,bc
2456752.1047833,2.3414,0.0425,15.5361,0.0197,18.1407,2.80,V,G,bc
2456757.8898466,2.0044,0.0907,15.7048,0.0492,17.3184,2.75,V,G,bc
2456758.9066362,2.3255,0.0932,15.5435,0.0435,17.2893,2.52,V,G,bc
2456771.1205346,2.4135,0.0480,15.5032,0.0216,18.0103,2.70,V,G,bc
2456772.1021932,2.3022,0.0470,15.5544,0.0222,18.0313,2.04,V,G,bc
2456781.9520637,2.3296,0.0603,15.5416,0.0281,17.7616,1.76,V,G,bc
2456783.8362878,2.5600,0.0576,15.4392,0.0244,17.8120,1.83,V,G,bc
2456784.949257,2.4981,0.0410,15.4658,0.0178,18.1810,2.54,V,G,bc
2456785.9517822,2.4786,0.0435,15.4743,0.0191,18.1165,2.65,V,G,bc
2456787.9342977,2.4266,0.0686,15.4973,0.0307,17.6218,2.48,V,G,bc
2456788.939088,2.4797,0.0728,15.4738,0.0319,17.5568,1.97,V,G,bc
2456795.9374622,2.3122,0.0599,15.5497,0.0282,17.7679,1.95,V,G,bc
2456797.0822511,2.2854,0.0710,15.5624,0.0338,17.5846,1.81,V,G,bc
2456797.9318942,2.4050,0.0621,15.5070,0.0281,17.7291,1.79,V,G,bc
2456799.0588211,2.1933,0.0590,15.6070,0.0292,17.7851,2.20,V,G,bc
2456802.0227401,2.5088,0.0485,15.4611,0.0210,17.9975,2.14,V,G,bc
2456803.9859598,2.4567,0.0497,15.4839,0.0220,17.9708,1.67,V,B,bc
2456805.9298608,2.4268,0.0393,15.4972,0.0176,18.2275,2.19,V,G,bc
2456808.9112122,2.4295,0.0552,15.4960,0.0247,17.8574,2.17,V,B,bc
2456809.9531586,2.3516,0.0382,15.5314,0.0176,18.2583,1.85,V,G,bc
2456811.7527021,2.3893,0.0688,15.5141,0.0313,17.6187,1.41,V,B,bc
2456812.9008915,2.3422,0.0412,15.5357,0.0191,18.1754,1.53,V,G,bc
2456813.9160163,2.3137,0.0758,15.5490,0.0356,17.5125,1.50,V,B,bc
2456814.8074813,2.4354,0.0530,15.4934,0.0236,17.9025,1.53,V,G,bc
2456815.9002207,2.3525,0.0482,15.5309,0.0223,18.0050,1.58,V,G,bc
2456817.8445086,2.1627,0.0738,15.6223,0.0371,17.5422,1.56,V,G,bc
2456820.8902564,2.6110,0.1548,15.4178,0.0644,16.7379,1.49,V,G,bc
2456822.8944888,2.3377,0.0882,15.5378,0.0410,17.3487,1.75,V,G,bc
2456824.9995047,2.6068,0.0858,15.4195,0.0358,17.3792,1.46,V,G,bc
2456826.9237853,2.4939,0.0557,15.4676,0.0243,17.8476,1.71,V,G,bc
2456827.9913713,2.4298,0.0567,15.4959,0.0254,17.8277,1.67,V,G,bc
2456828.8971843,2.4139,0.0409,15.5030,0.0184,18.1831,1.77,V,G,bc
2456830.892884,2.2894,0.0456,15.5605,0.0216,18.0653,1.81,V,G,bc
2456833.8853939,2.3671,0.0452,15.5242,0.0208,18.0742,1.76,V,G,bc
2456834.9348721,2.3851,0.0363,15.5160,0.0165,18.3124,1.60,V,G,bc
2456847.8534599,2.1978,0.0981,15.6048,0.0485,17.2331,1.42,V,G,bc
2456848.8610326,2.3829,0.0779,15.5170,0.0355,17.4839,1.45,V,G,bc
2456855.8859839,2.3592,0.0511,15.5279,0.0235,17.9420,1.47,V,G,bc
2456856.8478295,2.4395,0.0332,15.4915,0.0148,18.4101,1.50,V,G,bc
2456857.8530455,2.3607,0.0434,15.5272,0.0200,18.1183,1.35,V,G,bc
2456861.8454528,2.4976,0.0763,15.4660,0.0332,17.5063,1.90,V,B,bc
2456862.8456759,2.3384,0.0257,15.5375,0.0120,18.6871,1.53,V,G,bc
2456863.8386938,2.3249,0.0413,15.5438,0.0193,18.1719,1.42,V,G,bc
2456864.8373696,2.4598,0.0315,15.4825,0.0139,18.4681,1.44,V,G,bc
2456865.8354187,2.3933,0.0454,15.5123,0.0206,18.0691,1.43,V,G,bc
2456866.8366373,2.4076,0.0362,15.5058,0.0163,18.3168,1.73,V,G,bc
2456881.8010996,2.4744,0.0707,15.4761,0.0311,17.5889,1.40,V,G,bc
2456882.7980357,2.3708,0.0525,15.5225,0.0241,17.9116,1.40,V,G,bc
2456884.8004212,2.4047,0.0405,15.5071,0.0183,18.1928,1.61,V,G,bc
2456886.8027511,2.6596,0.0524,15.3978,0.0214,17.9141,1.99,V,G,bc
2456887.7931744,2.2078,0.0500,15.5999,0.0246,17.9654,1.49,V,G,bc
2456890.7863309,2.4718,0.0383,15.4773,0.0169,18.2536,1.42,V,G,bc
2456892.7853108,2.3655,0.0358,15.5250,0.0164,18.3290,1.51,V,G,bc
2456894.7791267,2.3937,0.0404,15.5121,0.0183,18.1971,1.50,V,G,bc
2456896.7771872,2.3750,0.0415,15.5206,0.0190,18.1681,1.41,V,G,bc
2456897.766952,2.4074,0.0351,15.5059,0.0158,18.3490,1.41,V,G,bc
2456899.7796114,2.5044,0.0429,15.4630,0.0186,18.1319,1.41,V,G,bc
2456900.7635269,2.2831,0.0457,15.5635,0.0218,18.0629,1.45,V,G,bc
2456904.7591682,2.3607,0.0601,15.5272,0.0277,17.7658,1.46,V,B,bc
2456907.7519236,2.3938,0.0832,15.5120,0.0378,17.4119,1.62,V,G,bc
2456909.7461227,2.2092,0.1124,15.5992,0.0553,17.0856,1.34,V,G,bc
2456911.7455833,2.5891,0.0550,15.4269,0.0231,17.8609,1.43,V,B,bc
2456912.7456469,2.4149,0.0490,15.5025,0.0221,17.9870,1.46,V,G,bc
2456913.7441375,2.4355,0.0490,15.4933,0.0219,17.9867,1.66,V,G,bc
2456914.7408128,2.3067,0.0444,15.5523,0.0209,18.0932,1.45,V,G,bc
2456915.7351995,2.4710,0.0394,15.4776,0.0173,18.2231,1.46,V,G,bc
2456917.7328489,2.2814,0.0409,15.5643,0.0195,18.1826,1.44,V,G,bc
2456919.7264904,2.5876,0.0526,15.4275,0.0221,17.9108,1.37,V,G,bc
2456920.727708,2.4027,0.0412,15.5081,0.0186,18.1745,1.43,V,B,bc
2456923.7190553,2.3279,0.0466,15.5424,0.0218,18.0411,1.70,V,G,bc
2456924.7133973,2.2893,0.0676,15.5605,0.0321,17.6370,1.52,V,G,bc
2457021.17057,2.0454,0.1475,15.6828,0.0784,16.7906,1.63,V,G,bc
2457035.1513885,2.2686,0.0536,15.5704,0.0257,17.8887,1.45,V,G,bc
2457036.1569474,2.4849,0.1170,15.4715,0.0512,17.0423,1.48,V,G,bc
2457037.126808,2.3561,0.0648,15.5293,0.0299,17.6835,1.37,V,G,bc
2457040.1399774,2.5343,0.0518,15.4501,0.0222,17.9258,1.59,V,G,bc
2457041.1406836,2.3365,0.0385,15.5383,0.0179,18.2486,1.55,V,G,bc
2457043.1392527,2.2621,0.0640,15.5735,0.0307,17.6976,1.54,V,G,bc
2457045.1333402,2.4590,0.0458,15.4829,0.0202,18.0606,1.37,V,G,bc
2457047.1262247,2.5561,0.0465,15.4409,0.0198,18.0439,1.46,V,G,bc
2457049.1285008,2.4265,0.0484,15.4974,0.0217,18.0005,1.43,V,G,bc
2457051.1245606,2.3330,0.0423,15.5400,0.0197,18.1477,1.39,V,G,bc
2457053.124308,2.3121,0.0427,15.5498,0.0201,18.1353,1.70,V,G,bc
2457055.1216356,2.6047,0.0718,15.4204,0.0299,17.5727,1.64,V,G,bc
