# ASAS-SN SkyPatrol ID: 661426620460
# Million Quasars Catalog (MILLIQUAS): SDSS J165744.12+192207.2
# AllWISE AGN Catalog: WISEA J165744.12+192207.2
# GLADE HyperLEDA: SDSSJ165744.12+192207.2


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456017.1088977,0.5490,0.0967,17.1109,0.1914,17.2491,2.29,V,G,ba
2456024.0828703,0.6322,0.1718,16.6246,99.9990,16.6246,2.07,V,G,ba
2456234.695501,0.6246,0.1237,16.9708,0.2152,16.9815,2.26,V,G,bb
2456339.0616359,0.5313,0.0405,17.1464,0.0828,18.1943,2.35,V,G,bb
2456371.09803,0.5959,0.0522,17.0219,0.0952,17.9186,2.47,V,G,bb
2456381.0751435,0.5179,0.0856,17.1741,0.1797,17.3808,2.29,V,G,bb
2456388.0854439,0.4443,0.0542,17.3405,0.1325,17.8782,1.86,V,B,bb
2456392.9753915,0.5260,0.0417,17.1574,0.0862,18.1615,2.03,V,G,bb
2456396.0714153,0.5343,0.0447,17.1403,0.0909,18.0871,2.09,V,B,bb
2456399.0339388,0.3976,0.0507,17.4612,0.1385,17.9509,1.97,V,G,bb
2456401.054994,0.5373,0.0460,17.1343,0.0930,18.0559,2.05,V,G,bb
2456403.0594612,0.5773,0.0440,17.0562,0.0828,18.1043,2.05,V,G,bb
2456409.9812409,0.6683,0.1107,16.8973,0.1800,17.1022,1.85,V,G,bb
2456415.9672597,0.4365,0.0403,17.3599,0.1005,18.1981,1.80,V,G,bb
2456447.911129,0.6288,0.0533,16.9635,0.0922,17.8948,2.07,V,G,bb
2456450.9140758,0.5784,0.0654,17.0542,0.1228,17.6740,1.81,V,G,bb
2456456.8706672,0.6149,0.0471,16.9878,0.0832,18.0309,1.85,V,G,bb
2456460.874792,0.6337,0.0664,16.9551,0.1138,17.6577,1.71,V,G,bb
2456463.8920283,0.0751,0.0956,17.2617,99.9990,17.2617,2.05,V,G,bb
2456468.913836,0.7075,0.1271,16.8355,0.1952,16.9522,1.72,V,B,bb
2456471.9269103,0.4917,0.0566,17.2306,0.1251,17.8303,1.74,V,G,bb
2456474.9756751,0.2888,0.0475,17.8082,0.1788,18.0201,1.82,V,G,bb
2456477.922524,0.4649,0.0470,17.2915,0.1100,18.0316,1.81,V,G,bb
2456481.8732871,0.5134,0.0445,17.1837,0.0943,18.0910,1.75,V,G,bb
2456484.9198502,0.5071,0.0465,17.1970,0.0996,18.0444,2.06,V,G,bb
2456487.8559097,0.5226,0.0535,17.1644,0.1112,17.8922,1.72,V,G,bb
2456491.8461654,0.5106,0.0743,17.1895,0.1581,17.5352,1.79,V,G,bb
2456496.8310059,0.6759,0.1114,16.8852,0.1792,17.0952,2.14,V,G,bb
2456508.8335622,0.4934,0.0533,17.2267,0.1175,17.8947,1.78,V,G,bb
2456513.8169848,0.5674,0.0466,17.0750,0.0892,18.0419,1.81,V,G,bb
2456518.8027424,0.5274,0.0599,17.1544,0.1234,17.7693,2.08,V,B,bb
2456522.7923279,0.5291,0.0938,17.1510,0.1926,17.2823,2.04,V,G,bb
2456525.8318639,0.2652,0.0998,17.2141,99.9990,17.2141,2.14,V,G,bb
2456531.7809541,0.4647,0.0381,17.2918,0.0892,18.2593,2.98,V,G,bb
2456534.8068145,0.5081,0.0610,17.1949,0.1304,17.7497,1.90,V,G,bb
2456536.777776,0.5073,0.0477,17.1965,0.1022,18.0158,2.13,V,G,bb
2456540.7929972,0.5178,0.0509,17.1744,0.1068,17.9460,2.73,V,G,bb
2456549.7552452,0.1649,0.0788,17.4705,99.9990,17.4705,2.39,V,G,bb
2456559.7445333,0.6471,0.0858,16.9324,0.1441,17.3791,2.02,V,B,bb
2456566.7221128,0.6689,0.0902,16.8964,0.1466,17.3239,1.97,V,B,bb
2456701.1317539,0.3709,0.0751,17.5227,99.9990,17.5227,1.80,V,G,bb
2456736.0675924,0.5420,0.1055,17.1247,0.2116,17.1540,1.69,V,G,bb
2456741.9555086,0.5284,0.0532,17.1523,0.1093,17.8985,1.71,V,G,bb
2456755.9313719,0.6422,0.2908,16.0532,99.9990,16.0532,2.08,V,B,bb
2456757.0701069,0.5373,0.0527,17.1341,0.1067,17.9072,1.76,V,G,bb
2456757.9610025,0.5934,0.0756,17.0264,0.1386,17.5153,1.74,V,G,bb
2456759.0006965,0.6252,0.0770,16.9698,0.1339,17.4963,2.06,V,G,bb
2456760.0038754,0.4552,0.0843,17.3142,0.2013,17.3977,2.04,V,G,bb
2456770.9952762,0.5500,0.1301,16.9268,99.9990,16.9268,2.28,V,B,bb
2456778.0788153,0.5148,0.0473,17.1807,0.0999,18.0247,2.01,V,G,bb
