# ASAS-SN SkyPatrol ID: 661429619166
# AllWISE AGN Catalog: WISEA J230518.83+001122.2
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: UGC 12348


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456220.9543485,8.4687,0.0636,14.1402,0.0082,17.7042,2.03,V,G,bb
2456228.8076376,9.1686,0.1219,14.0540,0.0145,16.9971,1.79,V,G,bb
2456232.7510656,9.0444,0.0599,14.0688,0.0072,17.7696,1.70,V,G,bb
2456234.8188242,9.0948,0.0582,14.0628,0.0070,17.8003,1.87,V,G,bb
2456240.8705143,8.7816,0.0542,14.1008,0.0067,17.8776,2.17,V,G,bb
2456246.7487608,9.0930,0.0359,14.0630,0.0043,18.3256,2.02,V,G,bb
2456268.7566468,9.0197,0.0462,14.0718,0.0056,18.0515,1.78,V,G,bb
2456415.1205473,8.5982,0.1202,14.1238,0.0152,17.0127,1.78,V,G,bb
2456447.0338858,8.8918,0.0925,14.0873,0.0113,17.2965,1.74,V,B,bb
2456450.0771542,8.8433,0.0738,14.0932,0.0091,17.5419,1.98,V,G,bb
2456458.0373655,9.0142,0.0762,14.0725,0.0092,17.5076,1.70,V,G,bb
2456460.9971177,9.2617,0.0615,14.0431,0.0072,17.7402,1.80,V,G,bb
2456464.0174677,8.6534,0.1059,14.1168,0.0133,17.1503,1.76,V,G,bb
2456466.0931491,9.2548,0.1000,14.0439,0.0117,17.2123,1.66,V,G,bb
2456469.0129643,9.0721,0.1693,14.0655,0.0203,16.6409,1.68,V,G,bb
2456473.0092596,8.9251,0.1124,14.0833,0.0137,17.0853,2.06,V,B,bb
2456476.0065441,9.0250,0.0695,14.0712,0.0084,17.6071,1.71,V,B,bb
2456478.9951019,8.9246,0.0712,14.0833,0.0087,17.5808,1.81,V,G,bb
2456479.9969849,8.9662,0.0503,14.0783,0.0061,17.9587,1.70,V,G,bb
2456483.0150098,8.8100,0.0595,14.0973,0.0073,17.7757,2.09,V,G,bb
2456484.9343173,9.1496,0.0753,14.0563,0.0089,17.5204,2.07,V,G,bb
2456487.9619158,8.8665,0.0590,14.0904,0.0072,17.7861,1.67,V,G,bb
2456488.98635,8.9393,0.0826,14.0815,0.0100,17.4199,1.77,V,B,bb
2456490.9941193,9.0428,0.0520,14.0690,0.0063,17.9214,1.76,V,G,bb
2456493.9152395,8.9805,0.1198,14.0765,0.0145,17.0165,1.97,V,G,bb
2456505.9403555,8.9221,0.0711,14.0836,0.0087,17.5831,2.03,V,G,bb
2456506.9314047,9.1515,0.0620,14.0560,0.0074,17.7311,1.67,V,G,bb
2456508.9820391,8.7742,0.0702,14.1018,0.0087,17.5969,1.70,V,G,bb
2456512.9747855,9.1856,0.0547,14.0520,0.0065,17.8668,1.71,V,G,bb
2456517.9421,8.9448,0.0780,14.0809,0.0095,17.4826,1.98,V,B,bb
2456518.9705582,9.2134,0.0638,14.0487,0.0075,17.6998,1.77,V,G,bb
2456521.9381032,9.0847,0.0894,14.0640,0.0107,17.3336,1.69,V,G,bb
2456527.894402,9.1973,0.1909,14.0506,0.0226,16.5106,1.68,V,B,bb
2456532.9197012,8.9746,0.0511,14.0772,0.0062,17.9419,1.71,V,G,bb
2456534.9273917,9.0395,0.0569,14.0694,0.0068,17.8239,1.69,V,G,bb
2456536.9193987,9.1400,0.0561,14.0574,0.0067,17.8408,1.70,V,G,bb
2456537.9257584,8.7825,0.0732,14.1007,0.0091,17.5514,1.91,V,G,bb
2456544.905771,9.0755,0.0552,14.0651,0.0066,17.8578,1.68,V,G,bb
2456556.7713339,8.5520,0.1673,14.1296,0.0213,16.6536,2.11,V,G,bb
2456562.8841137,9.0557,0.0524,14.0675,0.0063,17.9137,1.78,V,G,bb
2456567.8814394,9.4813,0.0943,14.0176,0.0108,17.2758,1.76,V,B,bb
2456568.8730509,8.7093,0.2147,14.1098,0.0268,16.3830,2.32,V,B,bb
2456570.8308851,8.8104,0.0770,14.0973,0.0095,17.4966,1.69,V,G,bb
2456595.8383872,8.9740,0.0654,14.0773,0.0079,17.6731,2.51,V,G,bb
2456599.828023,8.9280,0.0582,14.0829,0.0071,17.7993,2.07,V,B,bb
2456638.757605,9.9673,0.0461,13.9633,0.0050,18.0531,2.32,V,G,bb
2456644.7286053,9.0580,0.1191,14.0672,0.0143,17.0227,2.89,V,G,bb
2456648.7544247,9.1508,0.0757,14.0561,0.0090,17.5146,1.83,V,G,bb
2456655.7235871,9.1918,0.0762,14.0513,0.0090,17.5078,1.66,V,G,bb
2456778.1239241,8.8353,0.1346,14.0942,0.0166,16.8899,2.18,V,G,bb
2456784.1085734,9.0206,0.0815,14.0717,0.0098,17.4350,1.75,V,G,bb
2456785.1060762,9.1420,0.0758,14.0572,0.0090,17.5135,1.81,V,G,bb
2456788.0957881,9.0763,0.1005,14.0650,0.0120,17.2070,1.75,V,G,bb
2456789.0934267,8.8278,0.0974,14.0951,0.0120,17.2405,2.42,V,G,bb
2456796.0883521,9.2210,0.1479,14.0478,0.0174,16.7874,1.64,V,G,bb
2456797.0965655,8.7786,0.1573,14.1012,0.0195,16.7203,2.07,V,G,bb
2456803.0654375,8.7521,0.0930,14.1045,0.0116,17.2907,1.81,V,G,bb
2456805.0776729,9.1848,0.0802,14.0521,0.0095,17.4514,1.78,V,G,bb
2456809.0568923,9.0397,0.0749,14.0694,0.0090,17.5260,2.21,V,G,bb
2456810.0670021,8.7570,0.0761,14.1039,0.0094,17.5088,2.34,V,G,bb
2456813.0637758,9.2167,0.0870,14.0483,0.0103,17.3636,2.13,V,G,bb
2456815.0580145,8.9126,0.0855,14.0848,0.0104,17.3820,2.19,V,B,bb
2456816.0523179,9.3367,0.0708,14.0343,0.0082,17.5873,2.03,V,G,bb
2456819.0511123,9.0625,0.0817,14.0667,0.0098,17.4319,1.73,V,G,bb
2456820.0543755,9.0706,0.1389,14.0657,0.0166,16.8556,1.92,V,G,bb
2456822.0296122,8.7476,0.2176,14.1051,0.0270,16.3684,2.17,V,G,bb
2456829.9804806,9.0581,0.0739,14.0672,0.0089,17.5411,2.36,V,G,bb
2456833.0330412,9.1979,0.0713,14.0506,0.0084,17.5802,2.03,V,G,bb
2456847.0176462,8.9532,0.0542,14.0798,0.0066,17.8779,1.61,V,G,bb
2456849.0011015,8.8944,0.1230,14.0870,0.0150,16.9877,1.61,V,G,bb
2456849.9701832,9.2086,0.1634,14.0493,0.0193,16.6791,1.70,V,B,bb
2456850.9490207,9.1225,0.2135,14.0595,0.0254,16.3890,1.69,V,B,bb
2456856.9235341,8.9798,0.1112,14.0766,0.0135,17.0971,2.02,V,G,bb
2456862.9964717,8.9439,0.0754,14.0810,0.0092,17.5184,1.69,V,G,bb
2456863.9938578,9.2146,0.0537,14.0486,0.0063,17.8884,1.72,V,G,bb
2456865.997572,9.2282,0.0821,14.0470,0.0097,17.4269,1.66,V,G,bb
2456866.9918223,9.1831,0.0589,14.0523,0.0070,17.7876,2.08,V,G,bb
2456867.9948937,8.8825,0.0550,14.0884,0.0067,17.8622,2.17,V,U,bb
2456868.9803775,9.0957,0.0765,14.0627,0.0091,17.5025,1.77,V,G,bb
2456873.9405391,9.0213,0.0672,14.0716,0.0081,17.6442,1.67,V,G,bb
2456874.886842,8.7556,0.1019,14.1041,0.0126,17.1924,1.70,V,B,bb
2456875.9799296,8.7916,0.0725,14.0996,0.0090,17.5616,1.70,V,G,bb
2456876.9687355,8.7140,0.1199,14.1092,0.0150,17.0151,1.64,V,B,bb
2456884.9395643,9.2242,0.0810,14.0475,0.0095,17.4408,1.68,V,G,bb
2456886.079686,9.3412,0.0876,14.0338,0.0102,17.3564,1.65,V,G,bb
2456888.1007069,9.0130,0.0803,14.0726,0.0097,17.4500,2.04,V,G,bb
2456889.0311514,9.0330,0.0701,14.0702,0.0084,17.5987,1.96,V,G,bb
2456891.9465178,8.9881,0.0559,14.0756,0.0068,17.8435,1.71,V,G,bb
2456894.9408583,8.9577,0.0597,14.0793,0.0072,17.7727,1.67,V,G,bb
2456895.9438546,9.0965,0.0547,14.0626,0.0065,17.8669,1.67,V,G,bb
2456896.9344245,8.8005,0.0586,14.0985,0.0072,17.7920,1.80,V,G,bb
2456898.9428974,8.8406,0.0778,14.0936,0.0096,17.4848,2.31,V,G,bb
2456900.9258387,9.1857,0.0617,14.0520,0.0073,17.7372,1.68,V,G,bb
2456902.8291703,9.0794,0.0605,14.0646,0.0072,17.7584,1.67,V,G,bb
2456904.8883398,8.8228,0.0870,14.0958,0.0107,17.3636,1.67,V,B,bb
2456906.9037264,9.0058,0.1560,14.0735,0.0188,16.7292,1.85,V,G,bb
2456917.0155328,8.8999,0.0820,14.0863,0.0100,17.4276,1.77,V,B,bb
2456917.9132225,9.0805,0.0649,14.0645,0.0078,17.6810,1.71,V,G,bb
