# ASAS-SN SkyPatrol ID: 661431602809
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: IC 5287
# GLADE HyperLEDA: IC5287
# GLADE 2MASS Extended Source Catalog: 23092028+0045230


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456220.9543485,5.1356,0.0537,14.6833,0.0114,17.8865,2.62,V,G,ba
2456220.9543485,5.1841,0.0423,14.6731,0.0089,18.1469,2.03,V,G,bb
2456228.8076376,5.3273,0.1422,14.6435,0.0290,16.8300,1.79,V,G,bb
2456232.7510656,5.1005,0.0593,14.6907,0.0126,17.7790,2.56,V,G,ba
2456232.7510656,5.0641,0.0624,14.6985,0.0134,17.7248,1.70,V,G,bb
2456234.8188242,5.0900,0.0635,14.6930,0.0136,17.7057,1.87,V,G,bb
2456234.8188242,5.3428,0.0807,14.6404,0.0164,17.4450,2.31,V,G,ba
2456238.7425773,5.1848,0.0433,14.6730,0.0091,18.1199,2.22,V,G,ba
2456240.8705143,5.2355,0.0413,14.6624,0.0086,18.1724,2.01,V,G,ba
2456240.8705143,5.3533,0.0539,14.6382,0.0110,17.8827,2.17,V,G,bb
2456246.7487608,5.3479,0.0480,14.6393,0.0098,18.0094,2.28,V,G,ba
2456246.7487608,5.1526,0.0379,14.6797,0.0080,18.2665,2.02,V,G,bb
2456268.7566468,5.0668,0.0609,14.6980,0.0131,17.7502,2.47,V,G,ba
2456268.7566468,5.1428,0.0542,14.6818,0.0115,17.8769,1.78,V,G,bb
2456318.7122055,5.7357,0.3875,14.5633,0.0734,15.7417,2.37,V,G,ba
2456415.1205374,5.6277,0.1880,14.5840,0.0363,16.5269,2.39,V,G,ba
2456415.1205473,4.8506,0.1596,14.7453,0.0358,16.7050,1.78,V,G,bb
2456438.0601326,5.3861,0.3350,14.6316,0.0676,15.8998,2.43,V,B,ba
2456447.0338858,4.8890,0.1346,14.7367,0.0299,16.8895,2.90,V,B,ba
2456447.0338858,5.1317,0.1085,14.6841,0.0230,17.1236,1.74,V,B,bb
2456450.0771542,4.8470,0.0644,14.7461,0.0144,17.6909,2.56,V,G,ba
2456450.0771542,5.4543,0.0953,14.6179,0.0190,17.2648,1.98,V,G,bb
2456458.0373655,5.1386,0.0906,14.6827,0.0192,17.3193,2.04,V,B,ba
2456458.0373655,5.4336,0.0819,14.6221,0.0164,17.4291,1.70,V,G,bb
2456460.9971177,5.0508,0.0675,14.7014,0.0145,17.6389,1.80,V,G,bb
2456464.0174677,5.2384,0.1237,14.6618,0.0257,16.9812,1.76,V,G,bb
2456464.0174677,5.2663,0.1173,14.6560,0.0242,17.0396,1.72,V,B,ba
2456466.0931491,5.0405,0.1154,14.7036,0.0249,17.0571,1.66,V,G,bb
2456469.0129643,4.7063,0.2230,14.7781,0.0515,16.3417,1.83,V,G,ba
2456469.0129643,5.0400,0.2201,14.7037,0.0475,16.3557,1.68,V,G,bb
2456473.0092596,5.9629,0.1844,14.5211,0.0336,16.5481,2.32,V,B,ba
2456473.0092596,5.1507,0.1263,14.6801,0.0267,16.9588,2.06,V,B,bb
2456476.0065441,5.0291,0.0715,14.7060,0.0154,17.5773,1.71,V,G,ba
2456476.0065441,5.0810,0.0935,14.6949,0.0200,17.2848,1.71,V,B,bb
2456478.9951019,5.4515,0.0865,14.6185,0.0172,17.3697,1.81,V,G,bb
2456478.9951019,4.9591,0.0717,14.7213,0.0157,17.5737,2.01,V,G,ba
2456479.9969849,5.4534,0.0748,14.6181,0.0149,17.5281,1.70,V,G,bb
2456479.9969849,5.2047,0.0642,14.6688,0.0134,17.6936,2.05,V,G,ba
2456483.0150098,5.1031,0.0625,14.6902,0.0133,17.7223,2.09,V,G,bb
2456483.0150098,5.2373,0.0547,14.6620,0.0113,17.8681,2.28,V,G,ba
2456484.9343173,5.3726,0.0698,14.6343,0.0141,17.6030,2.07,V,G,bb
2456484.9343243,4.9739,0.0726,14.7180,0.0159,17.5600,2.13,V,G,ba
2456487.9619158,5.4225,0.0690,14.6243,0.0138,17.6148,1.67,V,G,bb
2456488.98635,5.3306,0.0990,14.6428,0.0202,17.2236,1.83,V,B,ba
2456488.98635,5.7062,0.1292,14.5689,0.0246,16.9340,1.77,V,B,bb
2456490.9941193,5.3982,0.0675,14.6292,0.0136,17.6393,1.84,V,G,ba
2456490.9941193,5.2557,0.0595,14.6582,0.0123,17.7765,1.76,V,G,bb
2456493.9152395,4.9391,0.1450,14.7257,0.0319,16.8086,1.97,V,G,bb
2456493.9152465,5.6837,0.1661,14.5732,0.0318,16.6612,2.19,V,G,ba
2456505.9403555,5.4503,0.0667,14.6187,0.0133,17.6521,2.03,V,G,bb
2456505.9403555,5.1583,0.0681,14.6785,0.0144,17.6295,2.06,V,G,ba
2456506.9314047,5.2677,0.0737,14.6557,0.0152,17.5430,1.67,V,G,bb
2456508.9820391,5.1684,0.0519,14.6764,0.0109,17.9241,1.79,V,G,ba
2456508.9820391,5.3903,0.0748,14.6307,0.0151,17.5272,1.70,V,G,bb
2456512.9747855,5.1222,0.0711,14.6861,0.0151,17.5827,1.71,V,G,bb
2456512.9747855,5.1473,0.0525,14.6808,0.0111,17.9112,2.14,V,G,ba
2456517.9421,5.1329,0.0934,14.6839,0.0198,17.2863,1.98,V,B,bb
2456517.9421,5.0892,0.0770,14.6932,0.0164,17.4968,1.78,V,B,ba
2456518.9705582,5.5392,0.0909,14.6012,0.0178,17.3155,1.77,V,G,bb
2456518.9719273,5.2990,0.0907,14.6493,0.0186,17.3179,1.99,V,G,ba
2456521.9381032,5.2761,0.0984,14.6540,0.0203,17.2304,2.05,V,G,ba
2456521.9381032,5.6701,0.1068,14.5758,0.0205,17.1409,1.69,V,G,bb
2456527.894402,6.1406,0.2422,14.4893,0.0429,16.2520,1.68,V,B,bb
2456527.894402,4.6796,0.2430,14.7842,0.0564,16.2485,1.69,V,B,ba
2456532.9196942,5.6058,0.0939,14.5882,0.0182,17.2802,2.04,V,G,ba
2456532.9197012,5.2684,0.0778,14.6556,0.0160,17.4850,1.71,V,G,bb
2456534.9273917,5.3036,0.0743,14.6484,0.0152,17.5342,1.69,V,G,bb
2456534.9273917,5.1534,0.0586,14.6795,0.0123,17.7935,2.02,V,G,ba
2456536.9193941,5.0900,0.0534,14.6930,0.0114,17.8943,1.92,V,G,ba
2456536.9193987,5.3609,0.0664,14.6367,0.0135,17.6575,1.70,V,G,bb
2456537.9257584,5.1072,0.0718,14.6893,0.0153,17.5718,2.04,V,G,ba
2456537.9257584,5.2221,0.0762,14.6652,0.0159,17.5078,1.91,V,G,bb
2456540.914654,5.1774,0.0560,14.6745,0.0118,17.8418,2.15,V,G,ba
2456540.914654,5.3675,0.0752,14.6354,0.0152,17.5218,1.76,V,G,bb
2456544.905771,5.1423,0.0662,14.6819,0.0140,17.6601,2.11,V,G,ba
2456544.905771,5.2894,0.0787,14.6513,0.0162,17.4720,1.68,V,G,bb
2456556.7713339,4.9292,0.2261,14.7278,0.0499,16.3268,2.11,V,G,bb
