# ASAS-SN SkyPatrol ID: 661429627949
# AllWISE AGN Catalog: WISEA J230341.23+010236.9
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: CGCG 379-24


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456220.9543485,3.8295,0.0378,15.0019,0.0107,18.2672,2.03,V,G,bb
2456228.8076376,3.6731,0.1311,15.0472,0.0388,16.9186,1.79,V,G,bb
2456232.7510656,3.8009,0.0618,15.0101,0.0177,17.7346,1.70,V,G,bb
2456234.8188242,3.6439,0.0434,15.0559,0.0130,18.1181,1.87,V,G,bb
2456240.8705143,3.5850,0.0409,15.0735,0.0124,18.1832,2.17,V,G,bb
2456246.7487608,3.6785,0.0367,15.0456,0.0108,18.3003,2.02,V,G,bb
2456268.7566468,3.7149,0.0416,15.0349,0.0122,18.1659,1.78,V,G,bb
2456415.1205473,3.5408,0.1077,15.0870,0.0331,17.1314,1.78,V,G,bb
2456447.0338858,3.4599,0.0793,15.1121,0.0249,17.4636,1.74,V,B,bb
2456450.0771542,3.8297,0.0481,15.0019,0.0137,18.0069,1.98,V,G,bb
2456458.0373655,3.6770,0.0566,15.0460,0.0167,17.8311,1.70,V,G,bb
2456460.9971177,3.9051,0.0651,14.9807,0.0181,17.6778,1.80,V,G,bb
2456464.0174677,3.5964,0.0822,15.0701,0.0248,17.4254,1.76,V,G,bb
2456466.0931491,3.9384,0.0880,14.9715,0.0243,17.3509,1.66,V,G,bb
2456469.0129643,3.7085,0.1019,15.0368,0.0299,17.1921,1.68,V,G,bb
2456473.0092596,3.8241,0.0690,15.0035,0.0196,17.6145,2.06,V,B,bb
2456476.0065441,3.7355,0.0492,15.0289,0.0143,17.9830,1.71,V,B,bb
2456478.9951019,3.6522,0.0415,15.0534,0.0124,18.1668,1.81,V,G,bb
2456479.9969849,3.7756,0.0532,15.0173,0.0153,17.8968,1.70,V,G,bb
2456483.0150098,3.6354,0.0421,15.0584,0.0126,18.1510,2.09,V,G,bb
2456484.9343173,3.5381,0.0595,15.0879,0.0183,17.7765,2.07,V,G,bb
2456487.9619158,3.7896,0.0488,15.0133,0.0140,17.9923,1.67,V,G,bb
2456488.98635,3.5753,0.0551,15.0765,0.0167,17.8598,1.77,V,B,bb
2456490.9941193,3.6885,0.0435,15.0427,0.0128,18.1149,1.76,V,G,bb
2456493.9152395,3.7858,0.1310,15.0144,0.0376,16.9196,1.97,V,G,bb
2456505.9403555,3.7698,0.0514,15.0190,0.0148,17.9357,2.03,V,G,bb
2456506.9314047,3.7495,0.0330,15.0249,0.0096,18.4174,1.67,V,G,bb
2456508.9820391,3.6794,0.0462,15.0453,0.0137,18.0502,1.70,V,G,bb
2456512.9747855,3.6960,0.0460,15.0404,0.0135,18.0550,1.71,V,G,bb
2456517.9421,3.7782,0.0509,15.0166,0.0147,17.9450,1.98,V,B,bb
2456518.9705582,3.5445,0.0454,15.0859,0.0139,18.0704,1.77,V,G,bb
2456521.9381032,3.4529,0.0892,15.1143,0.0281,17.3366,1.69,V,G,bb
2456532.9197012,3.7134,0.0500,15.0354,0.0146,17.9642,1.71,V,G,bb
2456534.9273917,3.7127,0.0459,15.0356,0.0134,18.0570,1.69,V,G,bb
2456536.9193987,3.6907,0.0545,15.0420,0.0160,17.8714,1.70,V,G,bb
2456537.9257584,3.6406,0.0460,15.0569,0.0137,18.0546,1.91,V,G,bb
2456540.914654,3.7774,0.0396,15.0168,0.0114,18.2181,1.76,V,G,bb
2456544.905771,3.8052,0.0407,15.0088,0.0116,18.1890,1.68,V,G,bb
2456556.7713339,3.1729,0.1156,15.2061,0.0396,17.0552,2.11,V,G,bb
2456562.8841137,3.7619,0.0422,15.0213,0.0122,18.1501,1.78,V,G,bb
2456567.8814394,3.5885,0.0585,15.0725,0.0177,17.7952,1.76,V,B,bb
2456570.8308851,3.9400,0.0537,14.9710,0.0148,17.8882,1.69,V,G,bb
2456574.8691154,3.7975,0.0696,15.0110,0.0199,17.6053,1.76,V,B,bb
2456575.8537179,3.7211,0.0475,15.0331,0.0139,18.0197,1.59,V,G,bb
2456595.8383872,3.6326,0.0785,15.0592,0.0235,17.4755,2.51,V,G,bb
2456599.828023,3.6938,0.0513,15.0411,0.0151,17.9380,2.07,V,B,bb
2456600.824821,3.8603,0.0470,14.9932,0.0132,18.0332,2.11,V,G,bb
2456638.757605,3.8407,0.0947,14.9988,0.0268,17.2711,2.32,V,G,bb
2456644.7286053,3.7111,0.0839,15.0360,0.0246,17.4029,2.89,V,G,bb
2456648.7544247,3.7271,0.0509,15.0313,0.0148,17.9454,1.83,V,G,bb
2456655.7235871,3.6936,0.0526,15.0411,0.0155,17.9093,1.66,V,G,bb
2456778.1239241,3.6754,0.1106,15.0465,0.0327,17.1030,2.18,V,G,bb
2456784.1085734,3.8158,0.0762,15.0058,0.0217,17.5080,1.75,V,G,bb
2456785.1060762,3.6664,0.0634,15.0492,0.0188,17.7066,1.81,V,G,bb
2456788.0957881,3.5910,0.0652,15.0717,0.0197,17.6774,1.75,V,G,bb
2456789.0934267,3.4876,0.0635,15.1035,0.0198,17.7061,2.42,V,G,bb
2456796.0883521,3.9302,0.1250,14.9738,0.0346,16.9702,1.64,V,G,bb
2456797.0965655,3.7520,0.0980,15.0241,0.0284,17.2348,2.07,V,G,bb
2456803.0654375,3.8880,0.0622,14.9855,0.0174,17.7285,1.81,V,G,bb
2456805.0776729,3.8123,0.0579,15.0068,0.0165,17.8056,1.78,V,G,bb
2456809.0568923,3.8541,0.0513,14.9950,0.0145,17.9371,2.21,V,G,bb
2456810.0670021,3.8254,0.0566,15.0031,0.0161,17.8302,2.34,V,G,bb
2456813.0637758,3.7553,0.0520,15.0232,0.0151,17.9217,2.13,V,G,bb
2456815.0580145,3.7719,0.0710,15.0184,0.0205,17.5844,2.19,V,B,bb
2456816.0523179,3.9484,0.0477,14.9687,0.0131,18.0150,2.03,V,G,bb
2456819.0511123,3.6760,0.0707,15.0463,0.0209,17.5886,1.73,V,G,bb
2456820.0543755,3.8748,0.0913,14.9892,0.0256,17.3107,1.92,V,G,bb
2456822.0296122,3.3729,0.1597,15.1398,0.0515,16.7043,2.17,V,G,bb
2456829.9804806,3.7770,0.0603,15.0169,0.0174,17.7613,2.36,V,G,bb
2456833.0330412,3.5122,0.0516,15.0958,0.0160,17.9317,2.03,V,G,bb
2456847.0176462,3.7876,0.0437,15.0139,0.0126,18.1101,1.61,V,G,bb
2456849.0011015,3.7811,0.1040,15.0157,0.0299,17.1698,1.61,V,G,bb
2456849.9701832,3.7763,0.1301,15.0171,0.0375,16.9266,1.70,V,B,bb
2456850.9490207,3.8466,0.1468,14.9971,0.0415,16.7957,1.69,V,B,bb
2456856.9235341,3.6853,0.0650,15.0436,0.0192,17.6799,2.02,V,G,bb
2456862.9964717,4.1561,0.0553,14.9131,0.0145,17.8557,1.69,V,G,bb
2456863.9938578,3.6652,0.0393,15.0495,0.0117,18.2253,1.72,V,G,bb
2456865.997572,3.7162,0.0507,15.0345,0.0148,17.9491,1.66,V,G,bb
2456866.9918223,3.8388,0.0480,14.9993,0.0136,18.0102,2.08,V,G,bb
2456867.9948937,3.8225,0.0410,15.0039,0.0117,18.1797,2.17,V,U,bb
2456868.9803775,3.7524,0.0474,15.0240,0.0137,18.0223,1.77,V,G,bb
2456873.9405391,3.7653,0.0480,15.0203,0.0139,18.0094,1.67,V,G,bb
2456874.886842,3.5656,0.0754,15.0795,0.0230,17.5189,1.70,V,B,bb
2456875.9799296,3.7299,0.0530,15.0305,0.0154,17.9015,1.70,V,G,bb
2456876.9687355,3.5906,0.0769,15.0719,0.0233,17.4978,1.64,V,B,bb
2456884.9395643,3.7111,0.0699,15.0360,0.0205,17.6013,1.68,V,G,bb
2456886.079686,3.8022,0.0911,15.0097,0.0260,17.3141,1.65,V,G,bb
2456888.1007069,3.6643,0.0520,15.0498,0.0154,17.9218,2.04,V,G,bb
2456889.0311514,3.8672,0.0444,14.9913,0.0125,18.0928,1.96,V,G,bb
2456891.9465178,3.7925,0.0441,15.0125,0.0126,18.1016,1.71,V,G,bb
2456894.9408583,3.7646,0.0425,15.0205,0.0123,18.1415,1.67,V,G,bb
2456895.9438546,3.6953,0.0410,15.0407,0.0120,18.1815,1.67,V,G,bb
2456896.9344245,3.7137,0.0452,15.0353,0.0132,18.0738,1.80,V,G,bb
2456898.9428974,3.7499,0.0460,15.0247,0.0133,18.0552,2.31,V,G,bb
2456900.9258387,3.7223,0.0546,15.0327,0.0160,17.8688,1.68,V,G,bb
2456902.8291703,3.7310,0.0506,15.0302,0.0148,17.9512,1.67,V,G,bb
2456904.8883398,3.5872,0.0751,15.0729,0.0228,17.5235,1.67,V,B,bb
2456906.9037264,3.7635,0.1117,15.0208,0.0323,17.0919,1.85,V,G,bb
2456917.0155328,3.6552,0.0624,15.0525,0.0186,17.7243,1.77,V,B,bb
2456917.9132225,3.7657,0.0539,15.0202,0.0156,17.8839,1.71,V,G,bb
2456918.909554,3.6729,0.0404,15.0473,0.0120,18.1966,1.69,V,G,bb
2456919.9101446,3.6742,0.0502,15.0469,0.0149,17.9601,1.75,V,G,bb
2456920.9082854,3.7624,0.0502,15.0211,0.0145,17.9607,1.71,V,B,bb
2456924.9004765,3.8593,0.0469,14.9935,0.0132,18.0338,1.78,V,G,bb
2456928.8888096,3.7690,0.0723,15.0192,0.0209,17.5641,1.67,V,B,bb
2456930.8842969,3.6554,0.0537,15.0524,0.0160,17.8867,1.69,V,B,bb
2456931.8807333,3.7228,0.0434,15.0326,0.0127,18.1189,1.67,V,B,bb
2456933.8823643,3.7746,0.0682,15.0176,0.0196,17.6287,1.64,V,G,bb
2456939.8718617,3.8468,0.1381,14.9970,0.0390,16.8618,1.67,V,B,bb
2456961.8534835,3.9804,0.1072,14.9600,0.0293,17.1366,1.73,V,B,bb
2456967.8604653,3.7752,0.1186,15.0174,0.0342,17.0269,1.78,V,G,bb
2456969.818085,3.8988,0.0799,14.9824,0.0223,17.4560,1.70,V,G,bb
2456970.8535512,3.5095,0.0947,15.0967,0.0293,17.2709,1.99,V,G,bb
2456972.8056376,2.6822,0.0701,15.3886,0.0284,17.5985,2.03,V,G,bb
2456979.8006787,3.7944,0.0473,15.0119,0.0135,18.0261,2.05,V,G,bb
2456981.7988107,3.8232,0.0516,15.0037,0.0147,17.9317,1.76,V,G,bb
2456983.7887751,3.6907,0.0443,15.0420,0.0130,18.0965,1.81,V,G,bb
2456985.7837447,3.6006,0.0441,15.0688,0.0133,18.1023,1.66,V,G,bb
2456993.7940051,3.6502,0.1030,15.0540,0.0307,17.1807,1.70,V,G,bb
2456997.7770308,3.6171,0.1483,15.0639,0.0446,16.7847,1.81,V,B,bb
2456999.7584611,3.6892,0.0899,15.0424,0.0265,17.3279,2.23,V,G,bb
2457001.7674262,3.6290,0.0477,15.0603,0.0143,18.0162,2.30,V,G,bb
2457003.7478007,3.6723,0.0573,15.0474,0.0170,17.8169,1.67,V,G,bb
2457005.7478901,3.7318,0.1076,15.0300,0.0313,17.1329,2.17,V,B,bb
2457008.7487349,3.7414,0.0488,15.0272,0.0142,17.9916,2.18,V,G,bb
2457012.7367615,3.6981,0.0513,15.0398,0.0151,17.9364,2.13,V,G,bb
2457020.7152733,3.4469,0.0902,15.1162,0.0284,17.3244,2.88,V,G,bb
2457148.1176104,4.1118,0.1582,14.9247,0.0418,16.7143,1.78,V,G,bb
2457150.1119029,4.0211,0.1042,14.9489,0.0282,17.1674,1.79,V,G,bb
2457158.1198946,3.4817,0.1002,15.1053,0.0313,17.2102,2.06,V,G,bb
2457161.086756,3.8965,0.0658,14.9831,0.0184,17.6665,1.80,V,G,bb
2457164.0847601,3.7638,0.0586,15.0207,0.0169,17.7920,1.74,V,G,bb
2457170.0950237,3.6936,0.0531,15.0412,0.0156,17.8991,1.98,V,G,bb
2457178.051999,4.1013,0.1303,14.9275,0.0345,16.9254,1.70,V,G,bb
2457180.0944967,3.8745,0.1197,14.9893,0.0336,17.0174,1.70,V,G,bb
2457189.0261814,3.4015,0.0877,15.1306,0.0280,17.3544,1.97,V,B,bb
2457190.0736109,3.8177,0.0462,15.0053,0.0131,18.0517,1.65,V,G,bb
2457193.032441,3.5095,0.0603,15.0967,0.0187,17.7621,1.73,V,G,bb
2457195.0495963,3.5825,0.0611,15.0743,0.0185,17.7474,2.13,V,G,bb
2457197.0363055,3.9058,0.0473,14.9805,0.0132,18.0250,2.06,V,G,bb
2457200.9826192,3.7491,0.0305,15.0250,0.0089,18.5002,1.85,V,G,bb
2457201.9953507,3.7389,0.1005,15.0279,0.0292,17.2065,2.07,V,G,bb
2457204.9733016,3.8300,0.1017,15.0018,0.0289,17.1937,1.72,V,G,bb
2457216.1042336,3.6312,0.0506,15.0597,0.0151,17.9523,1.74,V,G,bb
2457222.9331283,3.6901,0.0570,15.0422,0.0168,17.8229,1.70,V,G,bb
2457226.9923801,3.8160,0.0447,15.0058,0.0127,18.0874,1.62,V,G,bb
2457229.9033802,3.7466,0.0266,15.0257,0.0077,18.6511,1.63,V,G,bb
2457230.906205,3.8134,0.0456,15.0065,0.0130,18.0655,1.64,V,G,bb
2457231.9029609,3.8364,0.1473,15.0000,0.0417,16.7915,1.60,V,G,bb
2457233.1157235,3.5910,0.0562,15.0717,0.0170,17.8384,1.76,V,B,bb
2457235.987257,3.7585,0.1316,15.0222,0.0381,16.9141,1.74,V,G,bb
2457245.113633,3.5616,0.1002,15.0807,0.0306,17.2103,1.63,V,G,bb
2457246.1127036,3.7793,0.0904,15.0162,0.0260,17.3223,1.66,V,G,bb
2457246.9818022,3.7293,0.0428,15.0307,0.0125,18.1329,1.66,V,G,bb
2457248.9145818,3.7613,0.0425,15.0214,0.0123,18.1402,1.74,V,G,bb
2457261.8675052,3.6237,0.1556,15.0619,0.0467,16.7324,2.48,V,G,bb
2457263.0202024,4.2890,0.1354,14.8789,0.0343,16.8831,1.65,V,G,bb
2457270.0519555,3.7965,0.0770,15.0113,0.0221,17.4957,2.14,V,G,bb
2457272.0331764,3.8335,0.0506,15.0008,0.0143,17.9520,1.65,V,G,bb
2457274.0128627,3.8794,0.0456,14.9879,0.0128,18.0644,1.74,V,G,bb
2457277.0034268,3.5952,0.0396,15.0705,0.0120,18.2171,1.78,V,G,bb
2457277.9573257,3.8443,0.0472,14.9977,0.0133,18.0280,1.77,V,G,bb
2457284.9902686,3.7069,0.0507,15.0373,0.0149,17.9488,1.63,V,G,bb
2457297.9439418,3.6193,0.0629,15.0632,0.0189,17.7154,1.65,V,G,bb
2457298.8793845,3.7624,0.0432,15.0211,0.0125,18.1237,1.69,V,G,bb
2457302.8423855,3.7085,0.0448,15.0368,0.0131,18.0831,2.13,V,G,bb
2457303.9441138,3.7906,0.0461,15.0130,0.0132,18.0528,1.72,V,G,bb
2457304.935917,3.6555,0.0445,15.0524,0.0132,18.0925,1.70,V,G,bb
2457305.8938615,3.8070,0.0387,15.0083,0.0111,18.2430,1.65,V,G,bb
2457308.7877919,3.6652,0.0455,15.0495,0.0135,18.0664,1.57,V,G,bb
2457313.8212622,3.7953,0.0503,15.0117,0.0144,17.9581,1.79,V,G,bb
2457317.737446,3.6480,0.0887,15.0546,0.0264,17.3426,1.62,V,G,bb
2457323.8651123,3.5105,0.1144,15.0964,0.0354,17.0662,1.74,V,G,bb
2457324.7766174,3.6278,0.0724,15.0607,0.0217,17.5624,1.67,V,G,bb
2457328.8757585,3.6974,0.0440,15.0401,0.0129,18.1036,1.66,V,G,bb
2457330.8412189,3.7413,0.0463,15.0272,0.0135,18.0473,2.02,V,G,bb
2457333.8572426,3.7301,0.0423,15.0305,0.0123,18.1464,1.73,V,G,bb
2457334.8007969,3.7784,0.0447,15.0165,0.0129,18.0859,2.18,V,G,bb
2457342.7728572,3.6087,0.0499,15.0664,0.0150,17.9667,2.05,V,G,bb
2457353.8017679,4.0981,0.1270,14.9283,0.0337,16.9531,1.86,V,G,bb
2457354.7410764,3.7201,0.0547,15.0334,0.0160,17.8678,1.70,V,B,bb
2457358.7912066,3.8570,0.0416,14.9941,0.0117,18.1636,1.62,V,G,bb
2457360.7837706,3.8184,0.0427,15.0051,0.0121,18.1375,1.74,V,G,bb
2457361.7266723,3.6920,0.0405,15.0416,0.0119,18.1934,1.62,V,B,bb
2457362.7154873,3.7790,0.0367,15.0163,0.0106,18.3011,1.68,V,G,bb
2457363.7726806,3.9720,0.0475,14.9623,0.0130,18.0215,1.77,V,G,bb
2457364.7690799,3.8916,0.0464,14.9844,0.0130,18.0452,1.67,V,G,bb
2457365.7273022,3.8694,0.0563,14.9907,0.0158,17.8361,1.63,V,G,bb
2457368.7396125,3.7618,0.0385,15.0213,0.0111,18.2485,2.03,V,G,bb
2457372.7542769,3.5597,0.0443,15.0812,0.0135,18.0960,1.66,V,G,bb
2457380.7203315,3.7060,0.0928,15.0375,0.0272,17.2935,1.76,V,G,bb
2457385.7069402,3.8515,0.0448,14.9957,0.0126,18.0851,2.10,V,G,bb
2457509.1274232,3.7731,0.1644,15.0180,0.0474,16.6728,1.74,V,G,bb
2457514.1100048,3.7264,0.0569,15.0315,0.0166,17.8251,1.71,V,G,bb
2457521.1077174,3.7172,0.0426,15.0342,0.0124,18.1399,1.98,V,G,bb
2457530.0806879,3.4877,0.1415,15.1034,0.0441,16.8357,1.69,V,G,bb
2457533.0747629,3.8808,0.1160,14.9875,0.0325,17.0510,2.05,V,G,bb
2457542.1148423,3.8649,0.0985,14.9919,0.0277,17.2293,1.72,V,B,bb
2457543.0998326,3.9297,0.0421,14.9739,0.0116,18.1523,1.80,V,G,bb
2457549.0600594,3.7206,0.0468,15.0332,0.0137,18.0361,1.65,V,G,bb
2457555.0409446,3.7890,0.0376,15.0135,0.0108,18.2755,2.00,V,G,bb
2457559.1053247,3.3900,0.0821,15.1343,0.0263,17.4270,1.80,V,G,bb
2457563.0401081,3.4984,0.1118,15.1001,0.0347,17.0911,1.99,V,G,bb
2457575.0331286,3.9384,0.0509,14.9715,0.0140,17.9457,1.65,V,G,bb
2457579.0137712,3.6854,0.0384,15.0436,0.0113,18.2516,1.69,V,G,bb
2457583.0325673,3.6585,0.0416,15.0515,0.0124,18.1640,1.74,V,G,bb
2457585.9293893,3.8013,0.0883,15.0100,0.0253,17.3470,1.69,V,G,bb
2457587.1148705,3.6202,0.0442,15.0630,0.0133,18.0986,1.86,V,G,bb
2457596.0028069,3.5642,0.0623,15.0799,0.0190,17.7254,2.06,V,G,bb
2457597.9905291,3.5217,0.0384,15.0929,0.0119,18.2510,1.75,V,G,bb
2457602.0307668,3.7153,0.0387,15.0348,0.0113,18.2439,1.69,V,G,bb
2457605.0558366,3.7459,0.0423,15.0259,0.0123,18.1456,1.72,V,G,bb
2457606.8686032,3.8356,0.0376,15.0002,0.0107,18.2737,2.09,V,G,bb
2457608.9859338,3.6211,0.0379,15.0627,0.0114,18.2648,1.64,V,G,bb
2457611.8701441,3.6299,0.0634,15.0600,0.0190,17.7074,1.74,V,G,bb
2457613.0102019,3.7253,0.0398,15.0319,0.0116,18.2115,1.69,V,G,bb
2457613.8747715,3.4409,0.1139,15.1181,0.0360,17.0706,1.75,V,G,bb
2457616.9444809,3.6354,0.0776,15.0584,0.0232,17.4882,1.70,V,G,bb
2457626.013279,3.6436,0.0437,15.0559,0.0130,18.1118,1.67,V,G,bb
2457626.9921871,3.7599,0.0729,15.0218,0.0211,17.5561,1.96,V,G,bb
2457631.0300103,3.4350,0.0577,15.1200,0.0183,17.8099,1.84,V,G,bb
2457631.6658907,3.9377,0.0440,14.9717,0.0122,18.1025,1.57,V,B,bf
2457636.9537996,3.7194,0.0412,15.0336,0.0120,18.1760,1.66,V,G,bb
2457638.9526243,3.6813,0.0345,15.0448,0.0102,18.3663,1.64,V,G,bb
2457650.6570503,3.9072,0.0912,14.9801,0.0254,17.3126,1.48,V,G,bf
2457652.7806967,4.0633,0.1162,14.9376,0.0311,17.0493,1.41,V,B,bf
2457653.9878576,3.6573,0.0714,15.0519,0.0212,17.5783,1.77,V,G,bb
2457656.8487898,3.8202,0.0401,15.0046,0.0114,18.2033,1.72,V,G,bb
2457660.954956,3.6815,0.0425,15.0447,0.0126,18.1408,1.74,V,G,bb
2457662.7233841,3.7286,0.0524,15.0309,0.0153,17.9131,1.49,V,G,bf
2457667.5192755,3.7066,0.0577,15.0373,0.0169,17.8091,1.48,V,G,bf
2457669.8023413,3.7210,0.0479,15.0331,0.0140,18.0112,1.57,V,G,bb
2457670.9319466,3.7694,0.0403,15.0191,0.0116,18.1993,1.64,V,G,bb
2457677.8550012,3.6153,0.1296,15.0644,0.0390,16.9311,2.00,V,G,bb
2457678.7090964,3.4796,0.0669,15.1060,0.0209,17.6491,1.76,V,B,bb
2457685.9017613,3.8450,0.0582,14.9975,0.0164,17.8008,1.78,V,B,bb
2457687.8893824,3.7298,0.0432,15.0306,0.0126,18.1243,1.73,V,G,bb
2457688.817172,3.7792,0.0341,15.0163,0.0098,18.3794,1.70,V,G,bb
2457693.8757519,3.6287,0.0433,15.0604,0.0130,18.1199,2.01,V,G,bb
2457695.7940315,3.8184,0.0395,15.0051,0.0112,18.2209,1.67,V,G,bb
2457697.8672578,4.0334,0.0474,14.9456,0.0128,18.0231,1.66,V,G,bb
2457699.6276377,3.8296,0.0703,15.0019,0.0199,17.5956,1.47,V,G,bf
