# ASAS-SN SkyPatrol ID: 292058032653
# ATLAS-REFCAT2: 106680146978823853
# Gaia DR2: 2535777420595487232
# Million Quasars Catalog (MILLIQUAS): PGC 1126831
# AllWISE AGN Catalog: WISEA J005847.49-010549.7
# GLADE HyperLEDA: 1126831
# GLADE 2MASS Extended Source Catalog: 00584747-0105497


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456592.8665729,1.0354,0.0967,16.4220,0.1015,17.2488,1.62,V,B,bc
2456593.8526246,1.1185,0.1037,16.3382,0.1008,17.1726,1.79,V,B,bc
2456600.8556991,0.7976,0.0989,16.7054,0.1348,17.2244,1.74,V,G,bc
2456632.7916322,0.8712,0.0675,16.6095,0.0843,17.6385,2.30,V,G,bc
2456633.7846344,1.0015,0.0478,16.4582,0.0519,18.0127,2.27,V,G,bc
2456635.8015376,0.9992,0.0662,16.4607,0.0720,17.6605,1.93,V,G,bc
2456637.8077688,1.1682,0.0884,16.2910,0.0823,17.3460,2.02,V,G,bc
2456638.7881773,1.1695,0.0901,16.2898,0.0837,17.3257,1.43,V,B,bc
2456655.7395793,1.0801,0.0345,16.3761,0.0347,18.3672,2.18,V,G,bc
2456676.7192348,1.1238,0.0468,16.3331,0.0453,18.0358,1.41,V,G,bc
2456804.1228862,0.5955,0.2999,16.0199,99.9990,16.0199,2.30,V,B,bc
2456811.1132818,1.3887,0.0969,16.1033,0.0759,17.2464,2.18,V,B,bc
2456812.1139333,1.4037,0.1354,16.0916,0.1048,16.8836,1.69,V,G,bc
2456817.1135685,0.9001,0.0893,16.5741,0.1079,17.3348,1.76,V,G,bc
2456818.0998915,1.0091,0.0543,16.4499,0.0585,17.8753,1.76,V,G,bc
2456821.092844,1.0314,0.1376,16.4262,0.1450,16.8662,1.87,V,G,bc
2456825.0887936,0.8241,0.1291,16.6699,0.1703,16.9352,1.76,V,B,bc
2456831.0677353,1.1775,0.0520,16.2824,0.0480,17.9214,2.22,V,G,bc
2456835.0953241,1.2388,0.0498,16.2272,0.0437,17.9695,1.64,V,G,bc
2456837.8452442,1.1074,0.0559,16.3490,0.0549,17.8438,1.68,V,G,be
2456849.0651873,1.0299,0.0786,16.4278,0.0830,17.4735,1.43,V,G,bc
