# ASAS-SN SkyPatrol ID: 309238685394
# ATLAS-REFCAT2: 107790291377620456
# Gaia DR2: 2507700703985187456
# GLADE HyperLEDA: SDSSJ015633.05-001029.8
# GLADE 2MASS Extended Source Catalog: 01563302-0010304


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455969.7591007,4.5438,0.0299,14.8162,0.0072,18.5220,2.04,V,G,ba
2456214.9437508,4.5980,0.0367,14.8034,0.0087,18.3010,1.81,V,G,bb
2456216.996748,4.5263,0.0439,14.8204,0.0105,18.1056,1.79,V,G,bb
2456217.9923184,4.5120,0.0385,14.8239,0.0093,18.2485,1.85,V,G,bb
2456221.0361618,4.4894,0.0540,14.8293,0.0131,17.8804,2.37,V,G,ba
2456223.0619698,4.5697,0.0527,14.8101,0.0125,17.9087,2.22,V,B,ba
2456224.9158077,4.4310,0.0673,14.8435,0.0165,17.6424,2.41,V,G,ba
2456233.8145017,4.6129,0.1021,14.7999,0.0241,17.1898,2.38,V,G,ba
2456235.8995302,4.7261,0.0858,14.7735,0.0197,17.3786,2.19,V,G,ba
2456238.8557109,4.5870,0.0434,14.8060,0.0103,18.1198,2.01,V,G,ba
2456241.8753964,4.4340,0.0378,14.8428,0.0093,18.2695,2.06,V,G,ba
2456243.9878092,4.5745,0.0427,14.8089,0.0101,18.1371,2.06,V,G,ba
2456247.9902293,4.7680,0.1536,14.7640,0.0350,16.7464,2.17,V,B,ba
2456251.8175869,4.2847,0.2114,14.8800,0.0536,16.3995,3.10,V,B,ba
2456252.9193548,5.2178,0.1686,14.6661,0.0351,16.6451,2.16,V,B,ba
2456288.8187084,4.5385,0.1611,14.8175,0.0386,16.6944,2.18,V,G,ba
2456313.7831158,4.4018,0.0950,14.8507,0.0235,17.2681,2.31,V,B,ba
2456315.8067243,4.1152,0.1286,14.9238,0.0340,16.9392,2.21,V,G,ba
2456328.7253987,4.4480,0.0537,14.8394,0.0131,17.8878,2.70,V,G,ba
2456458.1106335,4.3329,0.1835,14.8678,0.0460,16.5531,2.15,V,G,ba
2456462.1149058,4.5914,0.2009,14.8049,0.0476,16.4549,1.85,V,G,ba
2456465.0922367,4.7786,0.0751,14.7615,0.0171,17.5236,1.76,V,G,ba
2456469.0862566,5.6212,0.2301,14.5852,0.0445,16.3078,2.02,V,G,ba
2456473.0707717,4.8948,0.1402,14.7354,0.0311,16.8456,2.34,V,G,ba
2456477.060007,4.7044,0.0831,14.7785,0.0192,17.4134,2.00,V,G,ba
2456479.0717336,4.8516,0.0899,14.7451,0.0201,17.3280,2.10,V,G,ba
2456482.0796261,4.4363,0.0873,14.8422,0.0214,17.3604,2.06,V,G,ba
2456486.074004,4.5861,0.0608,14.8062,0.0144,17.7529,2.14,V,G,ba
2456489.0326197,4.7795,0.0895,14.7613,0.0203,17.3332,1.98,V,G,ba
2456491.050715,4.5143,0.0616,14.8233,0.0148,17.7386,1.81,V,G,ba
2456494.0328486,4.6293,0.1755,14.7960,0.0412,16.6017,2.16,V,B,ba
2456498.0343637,5.0410,0.2188,14.7035,0.0472,16.3621,1.89,V,B,ba
2456511.9819795,4.5898,0.1612,14.8053,0.0382,16.6937,2.13,V,B,ba
2456513.0343506,4.8591,0.0642,14.7434,0.0144,17.6938,2.15,V,G,ba
2456517.9879695,4.7067,0.1286,14.7780,0.0297,16.9395,1.68,V,B,ba
2456521.0099133,4.8216,0.0800,14.7518,0.0180,17.4546,1.79,V,G,ba
2456525.9629351,4.5157,0.2089,14.8230,0.0503,16.4124,1.83,V,B,ba
2456531.997189,4.5946,0.1222,14.8042,0.0289,16.9943,1.65,V,G,ba
2456533.9991784,4.4995,0.0766,14.8269,0.0185,17.5020,2.00,V,G,ba
2456535.9857264,4.8099,0.0668,14.7544,0.0151,17.6509,2.06,V,G,ba
2456539.9019921,4.4716,0.0714,14.8336,0.0173,17.5788,2.19,V,G,ba
2456549.9393386,4.8012,0.1207,14.7564,0.0273,17.0078,1.99,V,G,ba
2456556.0275817,5.1919,0.2360,14.6715,0.0494,16.2801,1.68,V,B,ba
2456560.0597886,4.7725,0.1318,14.7629,0.0300,16.9124,2.15,V,G,ba
2456565.0286432,4.5156,0.0989,14.8230,0.0238,17.2242,2.36,V,G,ba
2456569.9212944,4.7760,0.0727,14.7621,0.0166,17.5581,1.80,V,G,ba
2456573.9315584,4.8456,0.0815,14.7464,0.0183,17.4342,2.03,V,G,ba
2456592.8972372,4.4977,0.1916,14.8273,0.0463,16.5062,1.74,V,B,bc
2456593.8831649,3.2677,0.6166,15.1742,0.2051,15.2373,1.69,V,B,bc
2456605.89155,4.5516,0.1920,14.8144,0.0459,16.5040,1.72,V,G,bc
2456608.8702917,4.6315,0.1522,14.7955,0.0357,16.7564,1.97,V,G,bc
2456615.76028,4.2609,0.1892,14.8860,0.0483,16.5203,2.14,V,G,bc
2456616.7697014,4.1390,0.1819,14.9175,0.0478,16.5631,2.66,V,B,bc
2456630.8108315,4.5169,0.0580,14.8227,0.0140,17.8040,1.55,V,G,bc
2456642.8525358,5.0007,0.1471,14.7122,0.0320,16.7930,1.53,V,G,bc
2456652.7699516,4.5536,0.0515,14.8139,0.0123,17.9332,1.57,V,G,bc
2456658.7691732,4.4738,0.0595,14.8331,0.0144,17.7770,2.42,V,G,bc
2456675.7132464,4.2348,0.0770,14.8927,0.0198,17.4968,1.39,V,G,bc
2456677.7582264,4.3877,0.0541,14.8542,0.0134,17.8795,2.88,V,G,bc
2456827.1089532,4.7791,0.1188,14.7614,0.0270,17.0253,2.35,V,B,bc
2456833.1035866,4.4816,0.0648,14.8312,0.0157,17.6831,1.85,V,G,bc
2456836.098251,4.6355,0.0722,14.7945,0.0169,17.5663,1.48,V,G,bc
2456841.86496,4.3424,0.0836,14.8655,0.0209,17.4075,1.49,V,G,be
2456847.0753633,4.6438,0.0924,14.7926,0.0216,17.2982,1.49,V,G,bc
2456851.0715975,4.3403,0.1394,14.8660,0.0349,16.8515,1.65,V,G,bc
2456863.0541771,4.4719,0.0733,14.8336,0.0178,17.5495,1.75,V,G,bc
2456866.8230467,4.6157,0.0669,14.7992,0.0158,17.6484,1.84,V,B,be
2456874.8123727,4.3373,0.0779,14.8667,0.0195,17.4841,1.48,V,G,be
2456878.8029258,4.6062,0.2399,14.8014,0.0566,16.2621,1.46,V,G,be
2456879.8013213,4.7553,0.1242,14.7668,0.0284,16.9774,1.51,V,B,be
2456882.0116774,4.6711,0.1276,14.7862,0.0297,16.9478,1.48,V,G,bc
2456887.7524181,4.5554,0.0856,14.8135,0.0204,17.3818,2.22,V,G,be
2456890.1080817,4.5100,0.0605,14.8243,0.0146,17.7583,1.85,V,G,bc
2456892.7810202,4.4867,0.0633,14.8300,0.0153,17.7091,1.81,V,G,be
