# ASAS-SN SkyPatrol ID: 206159770288
# ATLAS-REFCAT2: 124823484187305694
# Gaia DR2: 2812457667615684096
# TESS Input Catalog (TIC): 97186593
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NGC 7525 NED02
# GLADE HyperLEDA: NGC7525
# GLADE 2MASS Extended Source Catalog: 23134051+1401151


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456221.815987,5.3518,0.0531,14.6385,0.0108,17.8988,2.29,V,G,ba
2456230.8250967,5.6147,0.1620,14.5865,0.0314,16.6884,2.22,V,G,ba
2456232.8751137,5.5344,0.0736,14.6021,0.0145,17.5454,2.27,V,G,ba
2456240.7420347,5.2304,0.0324,14.6634,0.0067,18.4365,2.11,V,G,ba
2456243.7707366,5.3538,0.0320,14.6381,0.0065,18.4495,2.04,V,G,ba
2456247.77453,5.3813,0.0407,14.6326,0.0082,18.1877,2.18,V,G,ba
2456268.7637853,5.3595,0.0302,14.6370,0.0061,18.5135,2.50,V,G,ba
2456276.7823698,5.4275,0.0400,14.6233,0.0080,18.2062,2.34,V,G,ba
2456318.7173554,6.1353,0.2280,14.4902,0.0404,16.3176,2.34,V,B,ba
2456436.0501342,5.6641,0.1789,14.5769,0.0343,16.5807,2.58,V,G,ba
2456439.0789748,5.0765,0.1363,14.6959,0.0292,16.8762,2.84,V,G,ba
2456447.0469224,5.4216,0.0647,14.6245,0.0130,17.6850,3.01,V,G,ba
2456450.0660329,5.4630,0.0467,14.6162,0.0093,18.0381,2.60,V,G,ba
2456460.0383883,5.5192,0.0482,14.6051,0.0095,18.0056,2.06,V,G,ba
2456463.0254369,5.4196,0.0388,14.6249,0.0078,18.2393,1.71,V,G,ba
2456465.0283319,5.3376,0.1140,14.6414,0.0232,17.0702,1.70,V,G,ba
2456468.9959811,7.1369,0.2072,14.3260,0.0316,16.4213,1.85,V,G,ba
2456472.0202568,5.4475,0.1232,14.6193,0.0246,16.9855,2.35,V,G,ba
2456475.025603,5.2100,0.0566,14.6677,0.0118,17.8310,1.80,V,G,ba
2456477.1000376,5.4249,0.0485,14.6238,0.0097,17.9973,2.05,V,G,ba
2456482.9270049,5.4536,0.0466,14.6181,0.0093,18.0424,2.23,V,G,ba
2456486.913494,5.4570,0.0398,14.6174,0.0079,18.2114,2.03,V,G,ba
2456489.9577136,5.5944,0.0597,14.5904,0.0116,17.7719,1.82,V,G,ba
2456491.9913877,5.1371,0.0476,14.6830,0.0101,18.0194,2.02,V,G,ba
2456494.9205158,5.8593,0.2411,14.5402,0.0447,16.2569,2.22,V,B,ba
2456497.9761487,5.6623,0.1762,14.5773,0.0338,16.5972,1.79,V,B,ba
2456511.8493331,4.9862,0.0662,14.7154,0.0144,17.6599,2.07,V,G,ba
2456516.9501306,5.3204,0.0357,14.6449,0.0073,18.3321,1.75,V,G,ba
2456520.897981,5.4264,0.0685,14.6235,0.0137,17.6237,1.73,V,G,ba
2456523.9355221,5.1810,0.0909,14.6738,0.0191,17.3156,1.99,V,G,ba
2456531.8005588,5.4962,0.0486,14.6096,0.0096,17.9959,2.06,V,G,ba
2456533.932073,5.3112,0.0382,14.6468,0.0078,18.2584,2.03,V,G,ba
2456535.9241024,5.3841,0.0290,14.6320,0.0058,18.5576,2.05,V,G,ba
2456548.7396981,5.2910,0.0932,14.6509,0.0191,17.2889,1.71,V,G,ba
2456555.8596824,4.8677,0.2679,14.7415,0.0598,16.1425,1.85,V,B,ba
2456556.9174714,4.9314,0.1420,14.7274,0.0313,16.8314,1.80,V,G,ba
2456563.8210567,5.7139,0.0979,14.5675,0.0186,17.2349,1.80,V,B,ba
2456565.734337,4.9076,0.0595,14.7326,0.0132,17.7768,1.98,V,G,ba
2456570.8906066,5.4877,0.0477,14.6113,0.0094,18.0169,1.77,V,G,ba
2456575.8564927,5.1637,0.0479,14.6774,0.0101,18.0125,2.26,V,G,ba
2456600.819548,5.2558,0.0495,14.6582,0.0102,17.9750,1.72,V,G,bd
