# ASAS-SN SkyPatrol ID: 51540128896
# ATLAS-REFCAT2: 148251864535836830
# Gaia DR2: 4016037658643693696
# TESS Input Catalog (TIC): 82332641
# Million Quasars Catalog (MILLIQUAS): NGC 4395
# Chandra Source Catalog: 2CXO J122548.8+333248
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NGC 4395
# GLADE GWGC: NGC4395
# GLADE PGC Number: 40596
# GLADE HyperLEDA: NGC4395
# GLADE 2MASS Extended Source Catalog: 12254892+3332482


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455950.1125344,5.0979,0.0536,14.6913,0.0114,17.8892,2.70,V,G,bb
2455956.1048515,4.9526,0.0363,14.7227,0.0080,18.3123,2.40,V,G,bb
2455969.0894355,4.9619,0.1052,14.7207,0.0230,17.1571,1.70,V,B,bb
2455973.0922504,5.3195,0.0599,14.6451,0.0122,17.7692,1.80,V,G,bb
2455978.0608198,5.2206,0.0589,14.6655,0.0123,17.7867,1.76,V,G,bb
2455982.0677491,5.2636,0.0562,14.6566,0.0116,17.8371,1.69,V,G,bb
2455986.0689889,4.9548,0.0556,14.7222,0.0122,17.8490,1.71,V,G,bb
2455998.0829831,5.0820,0.1088,14.6947,0.0233,17.1207,1.78,V,G,bb
2456003.9890641,4.9849,0.0553,14.7157,0.0121,17.8547,1.99,V,G,bb
2456318.0505462,5.0162,0.0723,14.7089,0.0157,17.5652,2.49,V,G,bb
2456325.0946777,4.7880,0.0580,14.7594,0.0132,17.8036,2.17,V,G,bb
2456329.0732524,4.9076,0.0392,14.7326,0.0087,18.2282,1.98,V,G,bb
2456339.0198519,5.2101,0.0441,14.6677,0.0092,18.1021,2.14,V,G,bb
2456348.9629492,4.9883,0.1204,14.7149,0.0262,17.0106,2.90,V,B,bb
2456357.9396815,4.8982,0.0449,14.7347,0.0100,18.0827,3.34,V,B,bb
2456369.8918689,5.0317,0.0477,14.7055,0.0103,18.0158,2.25,V,G,bb
2456380.959829,5.0972,0.0887,14.6915,0.0189,17.3429,1.98,V,B,bb
2456388.8393308,5.1446,0.0508,14.6814,0.0107,17.9475,1.58,V,B,bb
2456389.842943,4.9039,0.0393,14.7334,0.0087,18.2262,1.70,V,G,bb
2456401.8581535,4.9039,0.0503,14.7334,0.0111,17.9589,1.68,V,G,bb
