# ASAS-SN SkyPatrol ID: 661426109917
# Million Quasars Catalog (MILLIQUAS): CGCG 5-32
# AllWISE AGN Catalog: WISEA J085547.65+004739.2
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: CGCG 5-32
# GLADE HyperLEDA: 25074
# GLADE 2MASS Extended Source Catalog: 08554766+0047390


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455940.9813405,4.0738,0.1538,14.9348,0.0410,16.7451,3.03,V,B,bb
2455950.9764597,3.9245,0.0496,14.9753,0.0137,17.9739,3.01,V,G,bb
2455958.9545124,4.0480,0.0401,14.9417,0.0108,18.2043,1.82,V,G,bb
2455970.946512,3.9578,0.0450,14.9661,0.0124,18.0800,2.25,V,G,bb
2455979.8973859,3.8263,0.0559,15.0028,0.0159,17.8437,1.73,V,B,bb
2455983.9034963,4.1183,0.0462,14.9230,0.0122,18.0499,1.70,V,G,bb
2456002.8456352,3.8368,0.0457,14.9999,0.0129,18.0631,2.10,V,G,bb
2456229.1019223,4.0495,0.0759,14.9413,0.0204,17.5123,2.05,V,G,bb
2456234.1216606,3.9870,0.0746,14.9582,0.0203,17.5311,2.02,V,G,bb
2456248.1546875,4.1502,0.1117,14.9146,0.0292,17.0927,1.92,V,B,bb
2456252.080675,4.0890,0.0406,14.9307,0.0108,18.1922,2.13,V,B,bb
2456258.1226973,4.2032,0.0853,14.9008,0.0221,17.3847,2.05,V,B,bb
2456259.108608,4.0836,0.0782,14.9322,0.0208,17.4787,2.13,V,B,bb
2456269.0843207,4.1421,0.0741,14.9167,0.0194,17.5379,2.04,V,G,bb
2456300.0309408,4.0257,0.0416,14.9477,0.0112,18.1647,2.02,V,G,bb
2456313.9767219,4.0201,0.0675,14.9492,0.0182,17.6392,2.05,V,G,bb
2456315.9768686,4.1326,0.0698,14.9192,0.0183,17.6034,2.11,V,G,bb
2456323.9525491,4.4870,0.0898,14.8299,0.0218,17.3291,2.05,V,G,bb
2456327.9517913,4.3176,0.0480,14.8717,0.0121,18.0094,2.17,V,G,bb
2456337.8499154,4.1488,0.0461,14.9150,0.0121,18.0535,2.19,V,G,bb
2456369.7705676,3.9407,0.0735,14.9708,0.0203,17.5463,2.19,V,G,bb
2456386.7820647,4.0672,0.0499,14.9365,0.0133,17.9674,1.74,V,G,bb
