# ASAS-SN SkyPatrol ID: 506806683430
# ATLAS-REFCAT2: 109021339761434101
# Gaia DR2: 3074761903182030080
# Million Quasars Catalog (MILLIQUAS): NPM 1G+01.0222
# AllWISE AGN Catalog: WISEA J085554.27+005111.0
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NPM 1G+01.0222
# GLADE 2MASS Extended Source Catalog: 08555426+0051110


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455940.9813405,1.5646,0.1996,15.9738,0.1387,16.4618,3.03,V,B,bb
2455950.9764597,1.4820,0.0593,16.0327,0.0435,17.7794,3.01,V,G,bb
2455958.9545124,1.6475,0.0501,15.9177,0.0331,17.9625,1.82,V,G,bb
2455970.946512,1.7193,0.0625,15.8714,0.0395,17.7230,2.25,V,G,bb
2455979.8973859,1.6330,0.0540,15.9273,0.0359,17.8814,1.73,V,B,bb
2455983.9034963,1.5489,0.0541,15.9847,0.0380,17.8795,1.70,V,G,bb
2456002.8456352,2.0046,0.0571,15.7047,0.0309,17.8213,2.10,V,G,bb
2456229.1019223,1.6396,0.0723,15.9229,0.0479,17.5642,2.05,V,G,bb
2456234.1216606,1.8246,0.0959,15.8069,0.0572,17.2574,2.02,V,G,bb
2456248.1546875,1.9683,0.1285,15.7246,0.0710,16.9398,1.92,V,B,bb
2456252.080675,1.8193,0.0594,15.8100,0.0355,17.7772,2.13,V,B,bb
2456258.1226973,1.6038,0.0957,15.9469,0.0648,17.2606,2.05,V,B,bb
2456259.108608,1.7196,0.0727,15.8712,0.0460,17.5584,2.13,V,B,bb
2456269.0843207,1.5088,0.0683,16.0132,0.0492,17.6269,2.04,V,G,bb
2456300.0309408,1.7620,0.0539,15.8448,0.0333,17.8832,2.02,V,G,bb
2456313.9767219,1.5819,0.0622,15.9618,0.0428,17.7271,2.05,V,G,bb
2456315.9768686,1.7001,0.0909,15.8836,0.0581,17.3156,2.11,V,G,bb
2456323.9525491,1.6502,0.0842,15.9159,0.0555,17.3986,2.05,V,G,bb
2456327.9517913,1.8609,0.0541,15.7855,0.0316,17.8789,2.17,V,G,bb
2456337.8499154,1.6428,0.0538,15.9208,0.0356,17.8856,2.19,V,G,bb
2456369.7705676,1.5532,0.0676,15.9817,0.0473,17.6374,2.19,V,G,bb
2456386.7820647,1.4779,0.0748,16.0357,0.0550,17.5276,1.74,V,G,bb
2456392.7569913,1.5921,0.0441,15.9548,0.0301,18.1002,2.00,V,G,bb
2456397.7852552,1.5709,0.0553,15.9694,0.0382,17.8563,2.01,V,G,bb
2456406.783434,1.5837,0.0882,15.9606,0.0605,17.3489,1.81,V,G,bb
2456414.7653639,1.4201,0.0430,16.0790,0.0329,18.1298,1.87,V,G,bb
2456560.1347457,1.9110,0.1339,15.7566,0.0762,16.8953,2.07,V,G,bb
2456570.1126313,1.6385,0.0545,15.9237,0.0362,17.8713,1.92,V,G,bb
2456576.0975425,1.7178,0.1602,15.8724,0.1013,16.7010,2.01,V,G,bb
2456601.0668578,1.7147,0.0651,15.8743,0.0413,17.6783,1.88,V,G,bb
2456632.114477,1.5536,0.0578,15.9815,0.0404,17.8081,2.32,V,B,bb
2456638.9270767,1.7365,0.1060,15.8606,0.0664,17.1490,1.79,V,G,bb
2456641.9002735,2.0706,0.1262,15.6695,0.0663,16.9595,2.26,V,G,bb
2456644.0002781,1.8680,0.1359,15.7814,0.0791,16.8796,1.81,V,G,bb
2456644.9813086,1.4849,0.1341,16.0305,0.0982,16.8935,3.70,V,G,bb
2456656.9680676,1.8196,0.0592,15.8099,0.0354,17.7819,2.23,V,G,bb
2456683.0653991,1.5632,0.0677,15.9747,0.0471,17.6352,1.83,V,B,bb
2456700.9265531,1.8688,0.1192,15.7809,0.0693,17.0217,1.67,V,G,bb
2456740.7752533,1.5944,0.0555,15.9533,0.0378,17.8524,1.67,V,G,bb
2456764.7984809,1.8425,0.1578,15.7963,0.0931,16.7172,2.05,V,G,bb
2456767.8129644,1.7589,0.0855,15.8467,0.0528,17.3824,1.99,V,B,bb
2456778.7847114,1.5712,0.0615,15.9692,0.0426,17.7396,2.10,V,G,bb
2456794.7545278,1.5040,0.0473,16.0167,0.0342,18.0250,3.05,V,G,bb
2456798.7440566,1.8438,0.0991,15.7955,0.0584,17.2217,3.01,V,G,bb
2456923.1342009,1.7373,0.1034,15.8601,0.0647,17.1759,2.09,V,G,bb
2456924.1399211,1.8436,0.1336,15.7956,0.0788,16.8978,1.78,V,G,bb
2456940.1325435,1.8607,0.1294,15.7856,0.0756,16.9322,1.75,V,B,bb
2456943.0862705,1.4535,0.1185,16.0537,0.0886,17.0284,2.09,V,G,bb
2456944.102366,1.4915,0.0890,16.0257,0.0649,17.3388,2.47,V,G,bb
2456961.0814506,1.6091,0.0812,15.9434,0.0549,17.4381,2.09,V,G,bb
2456962.0516292,1.6189,0.0699,15.9367,0.0470,17.6006,2.06,V,G,bb
2456968.0274295,1.6570,0.1967,15.9115,0.1290,16.4778,1.73,V,G,bb
2456971.0255953,1.5511,0.1182,15.9832,0.0828,17.0308,2.12,V,G,bb
2456972.0226897,1.6247,0.1266,15.9329,0.0847,16.9559,2.02,V,G,bb
2456990.982033,1.4338,0.0468,16.0686,0.0354,18.0378,1.67,V,G,bb
2456991.9684592,1.7574,0.0461,15.8476,0.0285,18.0542,1.71,V,G,bb
2456992.9789867,1.7221,0.1018,15.8696,0.0643,17.1925,1.75,V,G,bb
2456999.0094332,1.2758,0.1234,16.1953,0.1052,16.9839,2.07,V,G,bb
2457005.0034633,1.5560,0.0786,15.9797,0.0549,17.4736,2.29,V,G,bb
2457008.0055246,1.5578,0.0604,15.9785,0.0421,17.7603,2.06,V,G,bb
2457011.9998231,1.6817,0.0433,15.8954,0.0280,18.1224,2.21,V,G,bb
2457015.9023353,1.4181,0.0826,16.0805,0.0633,17.4204,2.04,V,B,bb
