# ASAS-SN SkyPatrol ID: 661426136838
# Million Quasars Catalog (MILLIQUAS): NPM 1G+01.0223
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NPM 1G+01.0223
# GLADE 2MASS Extended Source Catalog: 08583596+0131494


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455940.9813405,1.1629,0.1649,16.2959,0.1541,16.6695,3.03,V,B,bb
2455950.9764597,1.5509,0.0419,15.9833,0.0293,18.1579,3.01,V,G,bb
2455958.9545124,1.4718,0.0458,16.0402,0.0338,18.0605,1.82,V,G,bb
2455970.946512,1.4091,0.0600,16.0874,0.0463,17.7675,2.25,V,G,bb
2455979.8973859,1.5607,0.0496,15.9765,0.0346,17.9732,1.73,V,B,bb
2455983.9034963,1.5634,0.0506,15.9746,0.0352,17.9523,1.70,V,G,bb
2456002.8456352,1.3608,0.0430,16.1253,0.0344,18.1279,2.10,V,G,bb
2456229.1019223,1.6338,0.0748,15.9268,0.0497,17.5282,2.05,V,G,bb
2456234.1216606,1.6161,0.0886,15.9386,0.0596,17.3436,2.02,V,G,bb
2456248.1546875,1.1350,0.1240,16.3223,0.1188,16.9785,1.92,V,B,bb
2456252.080675,1.3304,0.0518,16.1498,0.0423,17.9259,2.13,V,B,bb
2456258.1226973,1.4196,0.0813,16.0793,0.0622,17.4373,2.05,V,B,bb
2456259.108608,1.5184,0.0572,16.0063,0.0410,17.8183,2.13,V,B,bb
2456269.0843207,1.3542,0.0518,16.1306,0.0416,17.9265,2.04,V,G,bb
2456300.0309408,1.4553,0.0574,16.0524,0.0429,17.8143,2.02,V,G,bb
2456313.9767219,1.4058,0.0475,16.0900,0.0367,18.0215,2.05,V,G,bb
2456315.9768686,1.5397,0.0583,15.9912,0.0411,17.7991,2.11,V,G,bb
2456323.9525491,1.5818,0.0700,15.9619,0.0481,17.5996,2.05,V,G,bb
2456327.9517913,1.3983,0.0581,16.0958,0.0451,17.8025,2.17,V,G,bb
2456337.8499154,1.5469,0.0367,15.9861,0.0258,18.3018,2.19,V,G,bb
2456369.7705676,1.4977,0.0586,16.0212,0.0425,17.7927,2.19,V,G,bb
2456386.7820647,1.4636,0.0437,16.0462,0.0325,18.1108,1.74,V,G,bb
2456392.7569913,1.3741,0.0371,16.1148,0.0294,18.2881,2.00,V,G,bb
2456397.7852552,1.5077,0.0475,16.0140,0.0343,18.0202,2.01,V,G,bb
2456406.783434,1.4551,0.0731,16.0526,0.0546,17.5531,1.81,V,G,bb
2456414.7653639,1.3514,0.0383,16.1328,0.0308,18.2548,1.87,V,G,bb
2456560.1347457,1.5428,0.1019,15.9890,0.0718,17.1920,2.07,V,G,bb
2456570.1126313,1.3601,0.0585,16.1259,0.0467,17.7950,1.92,V,G,bb
2456576.0975425,1.4838,0.1176,16.0314,0.0862,17.0362,2.01,V,G,bb
2456601.0668578,1.4435,0.0495,16.0612,0.0372,17.9769,1.88,V,G,bb
2456632.114477,1.4170,0.0381,16.0814,0.0292,18.2613,2.32,V,B,bb
2456638.9270767,1.4029,0.0862,16.0922,0.0668,17.3730,1.79,V,G,bb
2456641.9002735,1.3343,0.1286,16.1467,0.1047,16.9396,2.26,V,G,bb
2456644.0002781,1.7172,0.1413,15.8727,0.0894,16.8372,1.81,V,G,bb
2456644.9813086,0.8702,0.1161,16.6107,0.1450,17.0504,3.70,V,G,bb
2456656.9680676,1.4695,0.0561,16.0418,0.0415,17.8402,2.23,V,G,bb
2456683.0653991,1.3613,0.0442,16.1249,0.0353,18.0987,1.83,V,B,bb
2456700.9265531,1.0825,0.1134,16.3737,0.1138,17.0763,1.67,V,G,bb
2456740.7752533,1.6175,0.0481,15.9377,0.0323,18.0061,1.67,V,G,bb
2456764.7984809,1.4494,0.1183,16.0568,0.0888,17.0295,2.05,V,G,bb
2456767.8129644,1.6805,0.0943,15.8962,0.0610,17.2756,1.99,V,B,bb
2456778.7847114,1.4830,0.0526,16.0320,0.0386,17.9093,2.10,V,G,bb
2456794.7545278,1.3709,0.0423,16.1173,0.0335,18.1477,3.05,V,G,bb
2456798.7440566,1.3943,0.0788,16.0989,0.0615,17.4705,3.01,V,G,bb
2456923.1342009,1.5166,0.0877,16.0076,0.0628,17.3555,2.09,V,G,bb
2456924.1399211,1.4853,0.1296,16.0303,0.0948,16.9311,1.78,V,G,bb
2456940.1325435,1.6198,0.1236,15.9361,0.0829,16.9822,1.75,V,B,bb
2456943.0862705,1.5670,0.0970,15.9721,0.0673,17.2455,2.09,V,G,bb
2456944.102366,1.4998,0.0820,16.0197,0.0594,17.4283,2.47,V,G,bb
2456961.0814506,1.4490,0.0747,16.0571,0.0561,17.5285,2.09,V,G,bb
2456962.0516292,1.3520,0.0806,16.1324,0.0648,17.4466,2.06,V,G,bb
2456968.0274295,1.3046,0.1828,16.1711,0.1523,16.5571,1.73,V,G,bb
2456970.0282642,1.5533,0.3531,15.8427,99.9990,15.8427,2.03,V,B,bb
2456971.0255953,1.3428,0.1110,16.1398,0.0899,17.0988,2.12,V,G,bb
2456972.0226897,1.5098,0.1196,16.0125,0.0861,17.0184,2.02,V,G,bb
2456990.982033,1.5203,0.0457,16.0049,0.0326,18.0633,1.67,V,G,bb
2456991.9684592,1.5197,0.0476,16.0054,0.0340,18.0189,1.71,V,G,bb
2456992.9789867,1.3962,0.0960,16.0974,0.0748,17.2563,1.75,V,G,bb
2456999.0094332,1.5419,0.1323,15.9896,0.0933,16.9083,2.07,V,G,bb
2457005.0034633,1.3953,0.0758,16.0981,0.0591,17.5131,2.29,V,G,bb
2457008.0055246,1.4605,0.0510,16.0486,0.0380,17.9426,2.06,V,G,bb
2457011.9998231,1.4519,0.0319,16.0549,0.0239,18.4518,2.21,V,G,bb
2457015.9023353,1.5664,0.0585,15.9725,0.0406,17.7945,2.04,V,B,bb
2457018.9898528,1.2635,0.0553,16.2059,0.0476,17.8548,2.19,V,G,bb
2457020.9852205,1.4835,0.0446,16.0315,0.0327,18.0899,2.35,V,G,bb
2457023.8808117,1.3684,0.1351,16.1193,0.1073,16.8855,2.03,V,G,bb
2457024.8769104,1.4603,0.2278,16.0487,0.1696,16.3184,2.02,V,G,bb
2457035.0972249,1.6873,0.0659,15.8918,0.0424,17.6659,2.03,V,G,bb
2457036.0982082,1.6095,0.0494,15.9430,0.0334,17.9781,2.07,V,G,bb
2457036.9534003,1.4891,0.0400,16.0275,0.0292,18.2070,1.84,V,G,bb
