# ASAS-SN SkyPatrol ID: 661426057407
# Million Quasars Catalog (MILLIQUAS): 2MASS J09454-0021
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: 2MASS J09454-0021
# GLADE HyperLEDA: 1145159


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455955.1014914,1.9715,0.0545,15.7228,0.0301,17.8708,2.03,V,G,ba
2455968.9513457,1.9750,0.0776,15.7209,0.0427,17.4873,2.34,V,G,ba
2455973.9394436,1.8783,0.0458,15.7754,0.0265,18.0596,2.33,V,G,ba
2455977.991979,2.2316,0.0590,15.5883,0.0287,17.7853,2.50,V,B,ba
2455982.0039145,2.0474,0.0469,15.6818,0.0249,18.0338,2.31,V,G,ba
2455986.0040488,1.8258,0.0806,15.8062,0.0480,17.4468,2.15,V,G,ba
2456003.906223,1.9729,0.0539,15.7220,0.0297,17.8824,2.19,V,G,ba
2456233.1499348,1.9282,0.1221,15.7469,0.0688,16.9954,2.45,V,G,ba
2456251.1046342,1.9251,0.0915,15.7487,0.0517,17.3083,2.23,V,G,ba
2456273.1054091,2.0702,0.0677,15.6697,0.0355,17.6362,2.05,V,B,ba
2456316.9917419,1.9993,0.1186,15.7076,0.0645,17.0274,2.09,V,G,ba
2456324.108304,1.9376,0.0906,15.7416,0.0508,17.3191,1.82,V,G,ba
2456328.0943957,1.9704,0.0594,15.7234,0.0327,17.7787,2.07,V,G,ba
2456342.76491,1.8848,0.0959,15.7716,0.0553,17.2574,2.60,V,G,ba
2456353.8882175,2.2588,0.0768,15.5751,0.0369,17.4994,2.10,V,G,ba
2456356.8804195,1.9778,0.0458,15.7193,0.0251,18.0613,2.00,V,G,ba
2456369.7889279,2.0043,0.0422,15.7049,0.0229,18.1480,1.81,V,G,ba
2456386.7934007,2.0313,0.0422,15.6904,0.0226,18.1491,2.36,V,G,ba
2456392.7669324,1.9212,0.0392,15.7508,0.0222,18.2285,2.53,V,G,ba
2456397.7921267,2.2668,0.0638,15.5713,0.0306,17.7011,2.58,V,G,ba
2456405.8004574,2.2155,0.1005,15.5961,0.0493,17.2074,1.99,V,G,ba
2456409.791881,2.1905,0.0909,15.6084,0.0451,17.3155,2.30,V,G,ba
2456570.1421591,2.4588,0.1725,15.4830,0.0763,16.6203,2.15,V,G,ba
2456571.133886,1.8983,0.0950,15.7639,0.0544,17.2677,1.76,V,G,ba
2456598.0841702,2.5405,0.2494,15.4475,0.1067,16.2201,1.62,V,G,bc
2456600.0807287,2.4413,0.2325,15.4907,0.1035,16.2963,2.52,V,G,bc
2456606.0713921,1.1956,0.2431,16.2477,99.9990,16.2477,2.73,V,G,bc
