# ASAS-SN SkyPatrol ID: 231929173352
# ATLAS-REFCAT2: 109751982742099101
# Gaia DR2: 3691271507533405824
# Million Quasars Catalog (MILLIQUAS): NPM 1G+01.0375
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NPM 1G+01.0375
# GLADE 2MASS Extended Source Catalog: 13130577+0127561


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455951.1501148,1.9722,0.0288,15.7224,0.0159,18.5653,2.32,V,G,ba
2455982.1271302,1.9643,0.1500,15.7267,0.0830,16.7722,1.67,V,B,bb
2455982.1271302,2.0049,0.0497,15.7046,0.0270,17.9711,2.31,V,B,ba
2456001.0257604,2.1998,0.1390,15.6038,0.0687,16.8549,1.70,V,G,bb
2456001.0257604,2.0075,0.0551,15.7031,0.0298,17.8593,2.18,V,G,ba
2456319.0931324,2.4753,0.1262,15.4757,0.0554,16.9597,2.01,V,G,ba
2456329.1019148,2.0949,0.0498,15.6569,0.0258,17.9703,2.22,V,G,ba
2456329.1019148,1.9846,0.0411,15.7156,0.0225,18.1786,2.04,V,G,bb
2456344.8964202,1.8563,0.0965,15.7881,0.0565,17.2516,1.82,V,G,ba
2456354.9518928,2.1091,0.0691,15.6496,0.0356,17.6130,2.11,V,G,ba
2456358.0013863,1.9369,0.0469,15.7420,0.0263,18.0347,1.71,V,G,ba
2456358.9909877,2.1557,0.0470,15.6258,0.0237,18.0317,1.75,V,G,ba
2456370.9169273,2.0513,0.0666,15.6797,0.0353,17.6532,1.61,V,G,bb
2456370.9169273,2.1029,0.0404,15.6527,0.0209,18.1962,2.26,V,G,ba
2456385.9482353,2.1493,0.0606,15.6290,0.0307,17.7557,1.75,V,G,ba
2456385.9482353,2.1006,0.0567,15.6539,0.0293,17.8282,2.40,V,G,bb
2456391.8435149,1.9437,0.0585,15.7382,0.0327,17.7952,2.24,V,G,ba
2456391.8435149,1.9573,0.0531,15.7306,0.0295,17.8996,1.90,V,G,bb
2456395.9430716,2.1012,0.0650,15.6536,0.0336,17.6806,2.16,V,G,ba
2456395.9430716,2.1252,0.0623,15.6413,0.0319,17.7263,1.76,V,G,bb
2456399.8428304,2.2120,0.0563,15.5978,0.0277,17.8357,2.32,V,G,ba
2456399.8428304,2.2389,0.0751,15.5847,0.0364,17.5240,1.82,V,G,bb
2456402.8870532,2.2106,0.0794,15.5985,0.0390,17.4633,2.07,V,G,ba
2456402.8870532,2.1292,0.0684,15.6393,0.0349,17.6251,2.03,V,G,bb
2456409.8828064,2.1133,0.1360,15.6474,0.0700,16.8784,2.20,V,G,ba
2456409.8828064,1.8316,0.1331,15.8027,0.0790,16.9017,1.90,V,G,bb
2456416.8800262,1.9336,0.0845,15.7439,0.0475,17.3954,2.26,V,B,ba
2456416.8800746,2.1984,0.0739,15.6045,0.0365,17.5412,1.82,V,B,bb
2456444.8172357,2.1187,0.0504,15.6446,0.0258,17.9570,2.85,V,G,ba
2456444.8172357,1.9276,0.0480,15.7472,0.0271,18.0090,1.79,V,G,bb
2456451.8082455,2.1467,0.0544,15.6303,0.0276,17.8725,2.09,V,G,ba
2456451.8082455,2.1320,0.0548,15.6378,0.0280,17.8646,1.63,V,G,bb
2456458.8070908,2.0686,0.0762,15.6706,0.0400,17.5076,2.10,V,G,ba
2456458.8070908,2.2019,0.0771,15.6028,0.0380,17.4954,1.76,V,G,bb
2456464.7636552,1.9069,0.1655,15.7590,0.0943,16.6655,1.90,V,G,ba
2456471.764826,1.8451,0.0813,15.7947,0.0479,17.4365,2.10,V,G,ba
2456471.764826,2.2537,0.0717,15.5775,0.0346,17.5732,2.05,V,G,bb
2456478.7681982,2.1833,0.0665,15.6120,0.0331,17.6559,1.68,V,G,ba
2456478.7681982,2.0077,0.0602,15.7030,0.0326,17.7636,2.29,V,G,bb
2456479.7679289,2.1866,0.0664,15.6104,0.0330,17.6570,2.46,V,G,bb
2456479.7679289,2.1020,0.0629,15.6532,0.0325,17.7153,1.72,V,G,ba
2456485.7531261,1.9864,0.0990,15.7146,0.0542,17.2227,1.80,V,G,ba
2456485.7531261,2.2860,0.1104,15.5621,0.0525,17.1051,2.32,V,G,bb
2456619.141338,1.5824,0.1247,15.9615,0.0856,16.9729,2.06,V,G,ba
2456621.1375888,2.3900,0.1073,15.5138,0.0488,17.1357,3.17,V,G,ba
2456622.1366863,1.4463,0.1622,16.0592,0.1219,16.6872,1.76,V,G,ba
2456622.1366863,2.4467,0.1171,15.4883,0.0520,17.0405,2.09,V,G,bb
2456631.1250298,1.9331,0.1031,15.7442,0.0579,17.1797,2.24,V,G,ba
2456638.1213176,2.0975,0.0827,15.6555,0.0429,17.4180,2.99,V,G,ba
2456638.1213226,2.3692,0.0868,15.5233,0.0398,17.3666,1.73,V,G,bb
2456642.0778282,2.4232,0.2494,15.4988,0.1119,16.2199,3.34,V,G,ba
2456644.0833856,2.0051,0.2916,15.7045,0.1581,16.0503,2.20,V,G,bb
2456659.0722228,2.0473,0.0609,15.6818,0.0323,17.7512,2.26,V,G,ba
2456675.9910633,2.0672,0.1324,15.6713,0.0696,16.9077,1.67,V,G,ba
2456684.0089629,2.0132,0.0598,15.7001,0.0323,17.7700,2.09,V,G,bb
2456701.9460032,1.8535,0.1514,15.7898,0.0888,16.7621,2.41,V,G,ba
2456736.8231351,1.6916,0.1067,15.8890,0.0685,17.1421,2.11,V,G,ba
2456736.8231351,2.5357,0.1362,15.4495,0.0584,16.8772,1.70,V,G,bb
2456741.0773222,2.0287,0.0978,15.6917,0.0524,17.2361,2.17,V,G,ba
2456741.0773222,2.1024,0.0989,15.6530,0.0512,17.2239,2.35,V,G,bb
2456743.9325467,2.0716,0.0630,15.6690,0.0331,17.7135,2.23,V,G,ba
2456743.9325467,2.0028,0.0658,15.7057,0.0357,17.6663,2.16,V,G,bb
2456753.0506445,2.0683,0.0543,15.6708,0.0285,17.8762,3.04,V,G,ba
2456755.9144094,1.8028,0.2446,15.8199,0.1475,16.2413,2.33,V,B,ba
2456755.9144094,2.7141,0.2525,15.3757,0.1011,16.2065,2.04,V,B,bb
2456758.9200739,2.0325,0.1032,15.6897,0.0552,17.1777,2.57,V,G,ba
