# ASAS-SN SkyPatrol ID: 661431224885
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: CGCG 16-40
# GLADE HyperLEDA: 46258
# GLADE 2MASS Extended Source Catalog: 13170492+0149409


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455951.1501148,4.0499,0.0271,14.9412,0.0073,18.6298,2.32,V,G,ba
2455982.1271302,4.0819,0.0437,14.9326,0.0116,18.1109,2.31,V,B,ba
2456001.0257604,4.1880,0.0540,14.9048,0.0140,17.8815,2.18,V,G,ba
2456319.0931324,3.7832,0.0954,15.0151,0.0274,17.2635,2.01,V,G,ba
2456329.1019148,3.9321,0.0361,14.9732,0.0100,18.3177,2.22,V,G,ba
2456344.8964202,4.1251,0.1101,14.9212,0.0290,17.1078,1.82,V,G,ba
2456354.9518928,4.0664,0.0660,14.9368,0.0176,17.6639,2.11,V,G,ba
2456358.0013863,4.0023,0.0350,14.9540,0.0095,18.3519,1.71,V,G,ba
2456358.9909877,4.0222,0.0296,14.9486,0.0080,18.5344,1.75,V,G,ba
2456370.9169273,3.9399,0.0442,14.9711,0.0122,18.0996,2.26,V,G,ba
2456385.9482353,3.9801,0.0391,14.9600,0.0107,18.2325,1.75,V,G,ba
2456391.8435149,3.8611,0.0445,14.9930,0.0125,18.0919,2.24,V,G,ba
2456395.9430716,4.2929,0.0534,14.8779,0.0135,17.8930,2.16,V,G,ba
2456399.8428304,4.0887,0.0629,14.9308,0.0167,17.7157,2.32,V,G,ba
2456402.8870532,4.0477,0.0593,14.9418,0.0159,17.7803,2.07,V,G,ba
2456409.8828064,4.4974,0.1257,14.8274,0.0304,16.9638,2.20,V,G,ba
2456416.8800262,4.0975,0.0573,14.9285,0.0152,17.8172,2.26,V,B,ba
2456444.8172357,4.0067,0.0458,14.9528,0.0124,18.0596,2.85,V,G,ba
2456451.8082455,4.0248,0.0454,14.9479,0.0123,18.0688,2.09,V,G,ba
2456458.8070908,4.2116,0.0604,14.8987,0.0156,17.7590,2.10,V,G,ba
2456464.7636552,4.2262,0.1142,14.8949,0.0294,17.0685,1.90,V,G,ba
2456471.764826,4.0654,0.0546,14.9370,0.0146,17.8703,2.10,V,G,ba
2456478.7681982,4.0024,0.0478,14.9540,0.0130,18.0137,1.68,V,G,ba
2456479.7679289,4.1404,0.0440,14.9172,0.0115,18.1040,1.72,V,G,ba
2456485.7531261,4.1035,0.0896,14.9269,0.0237,17.3321,1.80,V,G,ba
2456616.1501797,4.0844,0.3803,14.9320,0.1012,15.7621,2.26,V,B,ba
2456619.141338,4.0555,0.1417,14.9397,0.0380,16.8338,2.06,V,G,ba
2456621.1375888,4.3119,0.1324,14.8731,0.0334,16.9074,3.17,V,G,ba
2456622.1366863,3.8200,0.1548,15.0046,0.0440,16.7382,1.76,V,G,ba
2456631.1250298,4.0011,0.0920,14.9543,0.0250,17.3026,2.24,V,G,ba
2456638.1213176,4.2721,0.0725,14.8832,0.0185,17.5611,2.99,V,G,ba
2456642.0778282,5.2286,0.2479,14.6638,0.0515,16.2266,3.34,V,G,ba
2456659.0722228,4.1119,0.0444,14.9247,0.0117,18.0937,2.26,V,G,ba
2456675.9910633,4.3360,0.1305,14.8671,0.0327,16.9230,1.67,V,G,ba
2456701.9460032,4.0328,0.1209,14.9458,0.0326,17.0066,2.41,V,G,ba
2456736.8231351,3.8760,0.1124,14.9888,0.0315,17.0855,2.11,V,G,ba
2456741.0773222,3.8969,0.0830,14.9830,0.0232,17.4146,2.17,V,G,ba
2456743.9325467,4.2101,0.0552,14.8990,0.0143,17.8571,2.23,V,G,ba
2456753.0506445,3.9652,0.0533,14.9641,0.0146,17.8956,3.04,V,G,ba
2456755.9144094,4.5249,0.1405,14.8208,0.0337,16.8435,2.33,V,B,ba
2456758.9200739,4.1010,0.0691,14.9275,0.0183,17.6137,2.57,V,G,ba
2456770.887154,3.9512,0.0418,14.9680,0.0115,18.1605,2.32,V,G,ba
2456781.7744919,4.3409,0.0755,14.8658,0.0189,17.5170,1.62,V,B,ba
2456783.8832831,4.1228,0.0396,14.9218,0.0104,18.2186,1.76,V,G,ba
2456784.8667286,4.0674,0.0543,14.9365,0.0145,17.8746,2.75,V,G,ba
2456787.8597395,4.0847,0.1154,14.9319,0.0307,17.0568,1.75,V,G,ba
2456794.9224095,3.8506,0.0989,14.9960,0.0279,17.2244,1.73,V,G,ba
2456795.9292168,4.0053,0.0878,14.9532,0.0238,17.3532,2.33,V,G,ba
2456796.8596683,3.8861,0.0533,14.9860,0.0149,17.8961,1.79,V,G,ba
2456798.8480985,4.1471,0.0382,14.9154,0.0100,18.2563,1.67,V,G,ba
2456799.857985,4.0731,0.0706,14.9350,0.0189,17.5897,2.02,V,G,ba
2456801.8684192,4.1292,0.0433,14.9201,0.0114,18.1209,1.98,V,G,ba
2456804.8825884,4.0930,0.0412,14.9297,0.0109,18.1750,2.05,V,G,ba
2456806.8470545,3.9404,0.0425,14.9709,0.0117,18.1402,2.26,V,G,ba
2456809.8620737,4.1666,0.0437,14.9103,0.0114,18.1113,2.27,V,G,ba
2456811.847308,4.0646,0.0397,14.9372,0.0106,18.2141,1.74,V,G,ba
2456812.8261002,4.1703,0.0490,14.9094,0.0128,17.9860,1.70,V,G,ba
2456818.815082,3.9743,0.1154,14.9616,0.0316,17.0564,2.02,V,G,ba
2456821.8169578,4.0761,0.2111,14.9342,0.0563,16.4013,1.76,V,B,ba
2456823.8200541,4.0470,0.1141,14.9419,0.0306,17.0694,1.79,V,G,ba
2456827.8040466,4.0437,0.0357,14.9428,0.0096,18.3300,1.77,V,G,ba
2456828.7591758,4.0024,0.0442,14.9540,0.0120,18.0986,2.04,V,G,ba
2456832.7981268,3.7753,0.0484,15.0174,0.0139,17.9996,1.77,V,G,ba
2456847.7738839,3.9370,0.2007,14.9719,0.0554,16.4558,2.23,V,G,ba
2456848.7800519,3.8698,0.1549,14.9906,0.0435,16.7369,2.18,V,B,ba
2456850.7751772,3.9974,0.1873,14.9553,0.0509,16.5311,2.20,V,B,ba
2456851.7621765,4.1127,0.1095,14.9245,0.0289,17.1140,2.13,V,G,ba
2456856.755703,4.0534,0.0431,14.9402,0.0116,18.1257,2.07,V,G,ba
2456857.7526591,4.2065,0.0700,14.9000,0.0181,17.6002,2.44,V,G,ba
2456862.7452955,4.3781,0.1842,14.8566,0.0457,16.5493,2.67,V,G,ba
2456991.1354039,4.1017,0.0751,14.9274,0.0199,17.5236,1.62,V,G,ba
2456993.138697,4.1141,0.0535,14.9241,0.0141,17.8905,1.67,V,B,ba
2456998.12388,4.1556,0.1817,14.9132,0.0475,16.5642,1.66,V,G,ba
2457000.1229272,3.8330,0.1200,15.0009,0.0340,17.0145,1.63,V,G,ba
2457001.1155228,4.0780,0.1029,14.9337,0.0274,17.1817,1.63,V,G,ba
2457003.1188748,3.8614,0.0794,14.9929,0.0224,17.4628,1.71,V,G,ba
2457004.1156644,4.1643,0.0888,14.9109,0.0232,17.3418,1.70,V,G,ba
2457011.1115639,3.9685,0.0544,14.9632,0.0149,17.8733,1.68,V,G,ba
2457018.0708379,4.1104,0.0675,14.9251,0.0178,17.6399,1.66,V,G,ba
2457021.0892532,3.9667,0.0405,14.9637,0.0111,18.1941,1.63,V,G,ba
2457024.0850378,4.0439,0.0412,14.9428,0.0111,18.1744,1.83,V,G,ba
2457032.0646874,4.1339,0.0775,14.9189,0.0204,17.4889,1.67,V,G,ba
2457038.1306179,4.1404,0.0511,14.9172,0.0134,17.9413,1.63,V,G,ba
2457041.0522735,4.0982,0.0311,14.9283,0.0082,18.4811,1.63,V,G,ba
2457043.0505632,3.9231,0.0359,14.9757,0.0099,18.3257,1.66,V,G,ba
2457045.0545665,4.0754,0.0300,14.9344,0.0080,18.5197,1.74,V,G,ba
2457049.0518828,4.2922,0.0557,14.8781,0.0141,17.8477,1.87,V,G,ba
2457050.0426481,4.0478,0.0463,14.9417,0.0124,18.0474,1.75,V,G,ba
2457053.0366546,4.0991,0.0620,14.9281,0.0164,17.7319,1.80,V,G,ba
2457055.0337686,3.9767,0.0846,14.9610,0.0231,17.3944,1.67,V,G,ba
2457055.9873559,3.6756,0.0891,15.0465,0.0263,17.3381,1.73,V,G,ba
2457065.0053546,4.2623,0.0690,14.8857,0.0176,17.6155,2.05,V,G,ba
2457070.0134657,4.0377,0.0329,14.9444,0.0089,18.4179,1.68,V,G,ba
2457072.0093579,4.1921,0.0357,14.9037,0.0092,18.3315,1.63,V,G,ba
2457076.9965444,4.1336,0.0314,14.9190,0.0083,18.4687,1.66,V,G,ba
2457080.8970572,3.9995,0.0689,14.9548,0.0187,17.6169,1.69,V,G,ba
2457082.922832,3.8788,0.0947,14.9880,0.0265,17.2716,1.79,V,G,ba
2457084.9870874,4.0326,0.0906,14.9458,0.0244,17.3191,1.84,V,G,ba
2457095.1123054,3.9766,0.0567,14.9610,0.0155,17.8276,2.01,V,G,ba
2457095.7933254,4.0487,0.0580,14.9415,0.0156,17.8044,1.47,V,G,be
2457096.9689201,4.0598,0.0399,14.9385,0.0107,18.2104,1.68,V,G,ba
2457098.8515077,3.8873,0.0454,14.9857,0.0127,18.0696,1.62,V,G,ba
2457100.017589,4.1569,0.0431,14.9129,0.0113,18.1255,1.61,V,G,ba
2457100.6613061,4.3027,0.0560,14.8754,0.0141,17.8420,1.46,V,G,be
2457101.8985267,4.0141,0.0375,14.9508,0.0102,18.2771,1.60,V,G,ba
2457104.9762265,3.9862,0.0863,14.9584,0.0235,17.3720,1.66,V,G,ba
2457105.9189345,4.2192,0.0548,14.8967,0.0141,17.8649,1.57,V,G,ba
2457108.9067573,3.9451,0.0575,14.9696,0.0158,17.8132,1.69,V,G,ba
2457112.0614508,4.0701,0.0530,14.9358,0.0141,17.9022,1.64,V,G,ba
2457112.8070709,4.0945,0.1004,14.9293,0.0267,17.2079,1.62,V,G,ba
2457114.9495506,4.2481,0.1246,14.8893,0.0319,16.9736,2.02,V,G,ba
2457121.0406646,3.9558,0.1098,14.9667,0.0302,17.1106,1.86,V,B,ba
2457121.9777169,4.0345,0.0787,14.9453,0.0212,17.4721,1.80,V,G,ba
2457122.9361572,4.2026,0.0731,14.9010,0.0189,17.5519,1.69,V,G,ba
2457124.8717682,3.9621,0.0372,14.9650,0.0102,18.2847,1.75,V,G,ba
2457127.9555331,4.1142,0.0462,14.9241,0.0122,18.0516,1.67,V,G,ba
2457130.9501438,4.0538,0.0372,14.9401,0.0100,18.2857,1.74,V,G,ba
2457133.9357808,4.0278,0.0403,14.9471,0.0109,18.2001,1.77,V,G,ba
2457136.8586115,4.0784,0.0421,14.9335,0.0112,18.1515,1.65,V,B,ba
2457148.9620808,3.7889,0.1002,15.0135,0.0288,17.2099,1.63,V,G,ba
2457149.9046814,4.1193,0.1024,14.9227,0.0270,17.1869,1.66,V,B,ba
2457155.800077,4.0960,0.0376,14.9289,0.0100,18.2739,1.69,V,G,ba
2457160.8764678,4.0459,0.0409,14.9422,0.0110,18.1818,1.66,V,G,ba
2457164.8234889,4.1334,0.0360,14.9190,0.0095,18.3205,1.62,V,G,ba
2457167.8370259,4.0839,0.0532,14.9321,0.0142,17.8967,1.65,V,G,ba
2457176.8834487,4.1703,0.1245,14.9094,0.0324,16.9748,2.33,V,G,ba
2457180.7736126,4.0727,0.0421,14.9351,0.0112,18.1511,1.68,V,G,ba
2457183.7894816,4.0055,0.0439,14.9531,0.0119,18.1066,1.70,V,G,ba
2457185.8572136,3.9662,0.0457,14.9638,0.0125,18.0614,1.67,V,G,ba
2457188.849466,4.0782,0.0421,14.9336,0.0112,18.1528,1.68,V,G,ba
2457191.7922722,3.9610,0.0663,14.9653,0.0182,17.6580,2.44,V,G,ba
2457193.8380325,4.0379,0.0476,14.9444,0.0128,18.0176,1.72,V,G,ba
2457195.8156329,4.1378,0.0479,14.9179,0.0126,18.0115,1.74,V,G,ba
2457201.7764336,3.9959,0.0989,14.9557,0.0269,17.2243,1.71,V,G,ba
2457204.7608493,4.2349,0.1242,14.8927,0.0319,16.9773,1.99,V,G,ba
2457206.797878,4.0181,0.1108,14.9497,0.0300,17.1015,1.69,V,G,ba
2457209.7613635,4.1742,0.0445,14.9083,0.0116,18.0925,1.73,V,G,ba
2457215.7568644,4.2018,0.0620,14.9012,0.0160,17.7311,2.43,V,G,ba
2457221.7537544,4.1066,0.0706,14.9261,0.0187,17.5904,1.81,V,G,ba
2457354.1498358,4.1607,0.1541,14.9119,0.0402,16.7432,1.75,V,G,ba
2457359.137712,4.1173,0.0728,14.9232,0.0192,17.5563,1.73,V,G,ba
2457365.1348854,4.0376,0.0441,14.9445,0.0119,18.1023,1.67,V,G,ba
2457369.1205078,4.0959,0.0456,14.9289,0.0121,18.0660,1.67,V,G,ba
2457373.121564,4.0560,0.0430,14.9395,0.0115,18.1285,2.28,V,G,ba
2457375.10343,4.1355,0.0494,14.9185,0.0130,17.9780,2.21,V,B,ba
2457381.0795256,4.0301,0.1371,14.9465,0.0370,16.8694,2.08,V,G,ba
2457386.1260402,3.9681,0.0591,14.9633,0.0162,17.7836,1.79,V,G,ba
2457395.172825,3.8640,0.0804,14.9922,0.0226,17.4493,2.01,V,G,ba
2457396.096125,4.0775,0.0367,14.9338,0.0098,18.3004,1.62,V,G,ba
2457398.0327158,4.1701,0.0375,14.9094,0.0098,18.2766,1.67,V,G,ba
2457399.1241478,4.0785,0.0391,14.9335,0.0104,18.2318,1.71,V,G,ba
2457402.0422409,4.0511,0.0318,14.9408,0.0085,18.4551,1.73,V,G,ba
2457404.0314204,4.0655,0.0448,14.9370,0.0120,18.0838,1.72,V,G,ba
2457406.1344189,4.1240,0.0359,14.9215,0.0095,18.3250,1.66,V,G,ba
2457408.0030484,3.8878,0.0821,14.9855,0.0229,17.4269,1.79,V,G,ba
2457409.1356703,4.1379,0.0348,14.9178,0.0092,18.3571,1.61,V,G,ba
2457409.9961374,4.0077,0.1004,14.9525,0.0272,17.2079,1.74,V,G,ba
2457411.1315838,3.6101,0.0951,15.0660,0.0286,17.2667,1.99,V,G,ba
2457414.1283606,4.0364,0.1018,14.9448,0.0274,17.1926,1.67,V,G,ba
