# ASAS-SN SkyPatrol ID: 661425880435
# Million Quasars Catalog (MILLIQUAS): PGC 1004644
# GLADE HyperLEDA: 1004644
# GLADE 2MASS Extended Source Catalog: 21422178-0821537


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456229.7890802,1.4272,0.0963,16.0736,0.0733,17.2534,2.35,V,G,ba
2456231.8302454,1.3362,0.0863,16.1451,0.0702,17.3725,2.24,V,G,ba
2456234.768245,1.2604,0.0394,16.2085,0.0340,18.2225,2.45,V,G,ba
2456236.8377906,1.2499,0.0529,16.2176,0.0460,17.9036,2.38,V,G,ba
2456240.734011,1.2831,0.0537,16.1891,0.0455,17.8879,2.08,V,G,ba
2456247.7686058,1.1832,0.0819,16.2771,0.0752,17.4296,2.19,V,B,ba
2456271.7262794,1.1742,0.0651,16.2854,0.0603,17.6785,2.19,V,G,ba
2456396.1196153,1.2765,0.0681,16.1947,0.0580,17.6291,2.14,V,B,ba
2456401.1138389,1.0289,0.1041,16.4288,0.1100,17.1685,2.35,V,G,ba
2456407.0894274,1.6013,0.1570,15.9486,0.1066,16.7225,2.11,V,G,ba
2456436.0086904,1.7729,0.1572,15.8381,0.0964,16.7209,2.46,V,G,ba
2456445.0117125,1.1293,0.0846,16.3278,0.0814,17.3940,2.78,V,G,ba
2456449.9774788,1.2534,0.0682,16.2146,0.0592,17.6273,2.69,V,G,ba
2456452.0079084,1.2568,0.0618,16.2117,0.0535,17.7343,2.15,V,B,ba
2456460.1032136,1.3182,0.0512,16.1599,0.0422,17.9389,2.19,V,G,ba
2456462.9520877,1.3782,0.1292,16.1115,0.1019,16.9343,1.99,V,G,ba
2456464.9753818,1.3862,0.1050,16.1053,0.0823,17.1593,1.81,V,G,ba
2456473.9753924,1.1091,0.0650,16.3474,0.0637,17.6802,2.20,V,G,ba
2456476.0830755,1.2646,0.0618,16.2049,0.0531,17.7344,1.99,V,B,ba
2456478.9442674,1.4448,0.0741,16.0602,0.0557,17.5381,2.02,V,B,ba
2456479.9438695,1.3706,0.0534,16.1175,0.0423,17.8937,2.02,V,G,ba
2456482.9634497,1.1777,0.0424,16.2822,0.0391,18.1437,2.24,V,G,ba
2456485.9603562,1.4063,0.0744,16.0896,0.0575,17.5339,2.12,V,G,ba
2456489.9108066,1.1940,0.0537,16.2673,0.0489,17.8873,1.84,V,G,ba
2456491.9466222,1.3584,0.0673,16.1272,0.0539,17.6422,2.03,V,G,ba
2456506.8156701,1.1783,0.0704,16.2817,0.0649,17.5938,1.73,V,G,ba
2456511.8706419,1.2266,0.0793,16.2380,0.0703,17.4640,2.16,V,G,ba
2456516.8735999,1.4038,0.0646,16.0915,0.0500,17.6865,1.82,V,G,ba
2456520.8841173,1.3482,0.1101,16.1354,0.0887,17.1083,2.00,V,G,ba
2456526.8235838,1.6345,0.2368,15.9263,0.1575,16.2764,1.81,V,G,ba
