# ASAS-SN SkyPatrol ID: 661426400834
# Million Quasars Catalog (MILLIQUAS): SDSS J211646.33+110237.5
# AllWISE AGN Catalog: WISEA J211646.34+110237.4
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: SDSS J211646.34+110237.4
# GLADE 2MASS Extended Source Catalog: 21164635+1102373


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456220.8930742,1.9228,0.0502,15.7499,0.0284,17.9602,2.10,V,G,bb
2456241.7377648,1.8692,0.0508,15.7807,0.0295,17.9483,2.09,V,G,bb
2456246.7095534,1.8338,0.0539,15.8014,0.0319,17.8837,1.98,V,G,bb
2456276.6987702,1.9066,0.0749,15.7592,0.0427,17.5257,2.04,V,G,bb
2456381.1347569,1.7976,0.1779,15.8231,0.1076,16.5871,2.53,V,G,bb
2456391.11848,1.9535,0.0586,15.7327,0.0326,17.7931,2.46,V,G,bb
2456397.1047306,1.7910,0.0628,15.8271,0.0381,17.7175,2.18,V,G,bb
2456401.1234133,1.9706,0.0653,15.7233,0.0360,17.6746,2.07,V,G,bb
2456406.0966594,1.7301,0.0561,15.8646,0.0353,17.8398,2.27,V,G,bb
2456409.0831698,1.9638,0.1309,15.7270,0.0724,16.9201,2.11,V,G,bb
2456412.0888615,1.5529,0.0742,15.9819,0.0519,17.5369,2.13,V,G,bb
2456417.0880289,1.5943,0.0691,15.9533,0.0471,17.6140,2.32,V,G,bb
2456445.0325982,1.7266,0.0645,15.8668,0.0406,17.6882,1.73,V,G,bb
2456448.0367306,1.8105,0.0436,15.8153,0.0262,18.1129,2.03,V,G,bb
2456451.0023283,1.6804,0.0463,15.8963,0.0300,18.0478,2.03,V,G,bb
2456453.978452,2.0648,0.1253,15.6726,0.0660,16.9677,1.72,V,B,bb
2456459.9847355,1.8332,0.0489,15.8018,0.0290,17.9896,1.70,V,G,bb
2456461.9937159,1.7114,0.0488,15.8764,0.0310,17.9906,1.71,V,G,bb
2456463.9813855,1.9699,0.0978,15.7237,0.0539,17.2368,1.99,V,G,bb
2456465.9733309,1.8484,0.1129,15.7928,0.0664,17.0804,1.78,V,G,bb
2456469.9756046,2.3074,0.1188,15.5520,0.0559,17.0256,1.96,V,G,bb
2456472.9700866,2.1005,0.0820,15.6540,0.0424,17.4282,2.04,V,G,bb
2456474.9897509,1.7533,0.0544,15.8501,0.0337,17.8730,1.76,V,G,bb
2456477.9510722,1.7673,0.0421,15.8415,0.0259,18.1518,1.71,V,G,bb
2456481.943323,1.6244,0.0460,15.9331,0.0308,18.0555,1.72,V,G,bb
2456484.9227051,1.8025,0.0441,15.8201,0.0266,18.1014,1.99,V,G,bb
2456487.9145566,1.7260,0.0489,15.8672,0.0308,17.9881,1.74,V,G,bb
2456489.9660073,1.9708,0.0458,15.7232,0.0252,18.0606,1.71,V,G,bb
2456491.9383612,1.8936,0.0548,15.7665,0.0315,17.8644,1.76,V,G,bb
2456493.9235197,1.9590,0.1583,15.7297,0.0878,16.7139,2.04,V,G,bb
2456505.8985585,1.8887,0.0469,15.7694,0.0270,18.0351,2.02,V,G,bb
2456506.8875925,1.7842,0.0358,15.8312,0.0218,18.3290,1.72,V,G,bb
2456511.8737004,1.7567,0.0474,15.8480,0.0294,18.0219,2.00,V,G,bb
2456516.882086,1.8426,0.0365,15.7962,0.0216,18.3057,1.76,V,G,bb
2456519.8606363,2.1231,0.0604,15.6424,0.0309,17.7605,1.76,V,G,bb
2456520.8473214,1.7181,0.0693,15.8722,0.0439,17.6103,1.70,V,G,bb
2456523.8997013,2.0401,0.1252,15.6857,0.0667,16.9680,1.83,V,G,bb
2456527.8831114,1.7846,0.0914,15.8309,0.0557,17.3098,1.75,V,G,bb
2456531.905961,1.6685,0.0505,15.9039,0.0329,17.9540,1.77,V,G,bb
2456533.8850131,1.7694,0.0496,15.8402,0.0305,17.9732,1.76,V,G,bb
2456536.8304399,1.8266,0.0480,15.8057,0.0286,18.0086,1.68,V,G,bb
2456539.8887069,1.9484,0.0551,15.7356,0.0307,17.8598,1.81,V,G,bb
2456549.7830161,1.5484,0.0741,15.9851,0.0520,17.5384,2.02,V,G,bb
2456556.8173514,1.8731,0.0808,15.7784,0.0469,17.4441,2.11,V,G,bb
2456565.7204911,1.9361,0.0527,15.7424,0.0296,17.9069,2.10,V,G,bb
2456571.7801713,1.5914,0.0542,15.9553,0.0370,17.8777,2.02,V,G,bb
2456742.147276,2.0531,0.1303,15.6787,0.0690,16.9254,1.73,V,G,bb
2456751.1410267,1.9007,0.1149,15.7625,0.0657,17.0614,1.75,V,G,bb
2456756.1245826,1.6139,0.0747,15.9401,0.0503,17.5297,2.23,V,G,bb
2456758.1163595,2.0341,0.0707,15.6888,0.0378,17.5882,1.88,V,G,bb
2456759.1087084,1.9960,0.0760,15.7094,0.0414,17.5102,2.25,V,B,bb
2456765.1104831,2.2607,0.1370,15.5742,0.0659,16.8702,2.44,V,G,bb
2456773.1006293,2.1537,0.0821,15.6268,0.0414,17.4262,2.24,V,G,bb
2456782.0613247,1.8475,0.0558,15.7933,0.0328,17.8461,2.21,V,G,bb
2456784.0714578,1.7868,0.0522,15.8296,0.0318,17.9173,1.85,V,G,bb
2456788.0237014,1.9688,0.1048,15.7243,0.0578,17.1617,1.81,V,G,bb
2456789.0555025,1.9405,0.0854,15.7400,0.0478,17.3839,2.31,V,G,bb
2456793.0440745,1.6476,0.1505,15.9176,0.0993,16.7685,2.25,V,G,bb
2456800.9893732,1.8691,0.0507,15.7807,0.0295,17.9508,1.68,V,G,bb
2456803.0289538,1.8720,0.0432,15.7790,0.0251,18.1237,1.79,V,G,bb
2456805.045102,1.9180,0.0520,15.7526,0.0295,17.9224,2.02,V,G,bb
2456811.032268,2.0376,0.0545,15.6870,0.0291,17.8706,2.33,V,G,bb
2456813.0337875,1.8420,0.0387,15.7965,0.0228,18.2428,2.13,V,G,bb
2456814.9708816,1.7415,0.0733,15.8574,0.0458,17.5494,2.22,V,G,bb
2456816.0131724,1.5900,0.0586,15.9563,0.0401,17.7917,2.09,V,G,bb
2456818.0245829,1.7117,0.0609,15.8762,0.0387,17.7513,2.08,V,G,bb
2456819.0136468,1.7070,0.1082,15.8792,0.0689,17.1269,1.71,V,G,bb
2456820.0138821,2.0456,0.1175,15.6827,0.0624,17.0375,1.90,V,G,bb
2456821.0055433,1.6906,0.1414,15.8897,0.0909,16.8359,2.10,V,G,bb
2456825.0056564,1.6970,0.1148,15.8856,0.0735,17.0625,2.08,V,G,bb
2456827.9225,1.7648,0.0676,15.8430,0.0416,17.6379,2.31,V,G,bb
2456830.0138389,1.7177,0.0575,15.8724,0.0364,17.8133,2.33,V,G,bb
2456832.9948264,1.7373,0.0449,15.8601,0.0281,18.0828,2.03,V,G,bb
2456835.9890356,1.9253,0.0466,15.7486,0.0263,18.0409,1.68,V,G,bb
2456846.9766347,1.6713,0.1148,15.9021,0.0746,17.0628,1.77,V,B,bb
2456847.911954,1.7683,0.1109,15.8409,0.0682,17.1003,1.78,V,G,bb
2456848.9247504,1.8368,0.1321,15.7996,0.0782,16.9101,1.69,V,B,bb
2456850.9760319,1.5692,0.1574,15.9706,0.1090,16.7199,2.01,V,B,bb
2456857.1127448,1.7384,0.0669,15.8594,0.0418,17.6486,2.08,V,G,bb
2456858.1096254,1.6720,0.0549,15.9017,0.0357,17.8643,1.74,V,G,bb
2456859.960921,1.7901,0.0436,15.8276,0.0265,18.1137,1.83,V,G,bb
2456862.9591009,1.6955,0.0540,15.8865,0.0346,17.8809,1.78,V,G,bb
2456863.953471,1.6555,0.0463,15.9125,0.0304,18.0473,1.77,V,G,bb
2456865.9555825,1.6732,0.0493,15.9009,0.0320,17.9800,1.98,V,G,bb
2456866.9598314,1.8983,0.0431,15.7639,0.0247,18.1267,2.07,V,G,bb
2456868.9402133,1.9621,0.0506,15.7280,0.0280,17.9515,2.07,V,G,bb
2456875.9422578,1.9321,0.0789,15.7447,0.0444,17.4693,1.72,V,B,bb
2456876.9389126,1.8030,0.0762,15.8198,0.0459,17.5076,2.00,V,B,bb
2456883.8929313,1.5808,0.0806,15.9626,0.0554,17.4466,1.74,V,G,bb
2456885.9190058,1.8450,0.0642,15.7948,0.0378,17.6929,1.74,V,G,bb
2456888.0296223,1.6377,0.0555,15.9242,0.0369,17.8511,2.05,V,G,bb
2456890.9027174,1.6246,0.0478,15.9329,0.0320,18.0130,1.67,V,G,bb
2456892.9086098,1.7916,0.0394,15.8267,0.0239,18.2236,1.78,V,G,bb
2456894.900936,1.9525,0.0489,15.7333,0.0272,17.9901,1.73,V,G,bb
2456896.8972211,1.7862,0.0647,15.8300,0.0394,17.6845,1.77,V,G,bb
2456898.8984458,1.8207,0.0599,15.8092,0.0358,17.7687,2.28,V,G,bb
2456900.885809,1.7802,0.0438,15.8336,0.0267,18.1089,1.86,V,G,bb
2456902.8494539,1.8767,0.0454,15.7763,0.0263,18.0703,1.72,V,G,bb
2456909.8798325,1.9903,0.1923,15.7125,0.1050,16.5024,1.96,V,B,bb
2456911.9618392,1.4656,0.1212,16.0448,0.0899,17.0037,1.78,V,B,bb
2456913.9581131,1.7932,0.0735,15.8257,0.0445,17.5467,2.11,V,G,bb
2456914.8702474,1.9431,0.0593,15.7385,0.0332,17.7802,2.02,V,G,bb
2456915.8713796,1.7725,0.0503,15.8383,0.0308,17.9589,1.66,V,G,bb
2456917.8684893,1.9180,0.0443,15.7527,0.0251,18.0961,1.67,V,G,bb
2456919.8651417,1.8679,0.0582,15.7814,0.0338,17.8007,1.98,V,G,bb
2456920.8636882,1.8772,0.0461,15.7760,0.0267,18.0535,1.83,V,G,bb
2456924.8557335,1.6760,0.0538,15.8991,0.0349,17.8855,1.84,V,G,bb
2456928.8420157,1.6783,0.0619,15.8976,0.0401,17.7334,1.71,V,G,bb
2456929.846093,2.0049,0.0517,15.7046,0.0281,17.9277,1.76,V,G,bb
2456930.8425418,1.6058,0.0916,15.9455,0.0620,17.3073,1.70,V,B,bb
2456931.8354901,1.8864,0.0477,15.7707,0.0275,18.0169,2.01,V,B,bb
2456937.826985,2.1421,0.1183,15.6327,0.0600,17.0296,2.03,V,G,bb
2456938.8258268,1.3978,0.1860,16.0962,0.1446,16.5386,1.97,V,B,bb
2456939.8816691,2.0413,0.1464,15.6850,0.0780,16.7982,1.76,V,B,bb
2456940.8253561,1.8958,0.0912,15.7653,0.0523,17.3127,1.71,V,G,bb
2456942.8298173,1.8024,0.0672,15.8202,0.0406,17.6432,2.11,V,G,bb
2456967.7625111,1.3787,0.1176,16.1111,0.0927,17.0368,1.78,V,G,bb
2456969.7618882,2.1355,0.0753,15.6360,0.0383,17.5200,1.69,V,G,bb
2456970.7726226,2.0595,0.1119,15.6754,0.0590,17.0905,2.05,V,G,bb
2456971.7597835,1.9612,0.0477,15.7285,0.0264,18.0166,1.72,V,G,bb
2456972.7545484,1.8250,0.0470,15.8067,0.0280,18.0313,2.04,V,G,bb
2456973.751639,1.9655,0.0523,15.7261,0.0289,17.9167,1.99,V,G,bb
