# ASAS-SN SkyPatrol ID: 661426989615
# Million Quasars Catalog (MILLIQUAS): PGC 2035542
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: PGC 2035542
# GLADE HyperLEDA: 2035542
# GLADE 2MASS Extended Source Catalog: 17135898+3336254


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456220.7527303,0.9497,0.1387,16.5158,0.1587,16.8574,2.15,V,B,bb
2456234.7333152,0.7573,0.0474,16.7616,0.0680,18.0227,2.00,V,G,bb
2456235.7242044,0.6380,0.0385,16.9477,0.0656,18.2483,1.99,V,G,bb
2456240.6964194,0.5928,0.0476,17.0276,0.0873,18.0185,1.73,V,G,bb
2456338.1002075,0.7002,0.0300,16.8467,0.0466,18.5193,2.21,V,G,bb
2456350.0780039,0.8164,0.0861,16.6800,0.1146,17.3751,3.43,V,B,bb
2456371.1205538,0.6231,0.0357,16.9733,0.0622,18.3321,2.39,V,G,bb
2456381.0644098,0.6637,0.0838,16.9049,0.1373,17.4036,2.21,V,G,bb
2456388.1157192,0.5267,0.0476,17.1559,0.0983,18.0173,1.83,V,B,bb
2456391.1050623,0.6618,0.0334,16.9079,0.0548,18.4035,2.28,V,G,bb
2456398.023569,0.7510,0.0371,16.7706,0.0537,18.2893,2.01,V,B,bb
2456400.0727791,0.6483,0.0323,16.9304,0.0541,18.4395,2.08,V,G,bb
2456402.0768128,0.6519,0.0354,16.9244,0.0591,18.3394,2.09,V,G,bb
2456404.098843,0.5810,0.0373,17.0494,0.0697,18.2836,2.05,V,G,bb
2456408.9870518,0.7532,0.1658,16.6632,99.9990,16.6632,2.00,V,G,bb
2456416.9946338,0.6524,0.0282,16.9235,0.0470,18.5855,1.98,V,G,bb
2456445.0221359,0.7434,0.0380,16.7817,0.0555,18.2638,1.79,V,G,bb
2456449.9332545,0.7068,0.0381,16.8366,0.0586,18.2596,2.00,V,G,bb
