# ASAS-SN SkyPatrol ID: 51540191229
# ATLAS-REFCAT2: 144482562831594440
# Gaia DR2: 1310020142596933248
# TESS Input Catalog (TIC): 21740084
# Million Quasars Catalog (MILLIQUAS): UGC 10691
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: UGC 10691
# GLADE HyperLEDA: 59574
# GLADE 2MASS Extended Source Catalog: 17050798+3024111


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456015.1303317,4.6556,0.0200,14.7898,0.0047,18.9586,1.71,V,G,bb
2456028.1127689,4.7548,0.1035,14.7670,0.0237,17.1753,1.66,V,G,bb
2456042.0529368,4.7366,0.0528,14.7711,0.0121,17.9064,1.80,V,G,bb
2456085.9650742,4.9107,0.0722,14.7319,0.0160,17.5660,2.06,V,G,bb
2456215.7475404,4.7873,0.0563,14.7596,0.0128,17.8354,2.18,V,B,bb
2456233.6975841,4.5781,0.1058,14.8081,0.0251,17.1516,3.02,V,G,ba
2456238.6927934,4.7220,0.1032,14.7745,0.0237,17.1787,2.60,V,G,ba
2456338.06949,4.7645,0.0426,14.7647,0.0097,18.1400,2.14,V,G,ba
2456349.1369441,5.0647,0.1254,14.6984,0.0269,16.9670,1.99,V,G,ba
2456355.1222735,63.2486,0.3912,11.9572,0.0067,15.7314,2.14,V,G,ba
2456359.1278224,4.6373,0.0399,14.7941,0.0094,18.2098,1.82,V,G,ba
2456371.0432588,4.8063,0.0339,14.7553,0.0077,18.3862,1.80,V,G,ba
2456381.0574543,4.9174,0.1086,14.7304,0.0240,17.1227,1.78,V,G,ba
2456388.0893089,4.7781,0.0749,14.7617,0.0170,17.5262,2.27,V,B,ba
2456392.9654719,4.8849,0.0416,14.7377,0.0093,18.1641,2.17,V,G,ba
2456397.0015938,4.8060,0.0613,14.7553,0.0139,17.7441,2.10,V,G,ba
2456399.0756812,4.6660,0.0458,14.7874,0.0107,18.0592,2.02,V,G,ba
2456401.0626957,4.7756,0.0572,14.7622,0.0130,17.8188,2.27,V,G,ba
2456403.9868028,4.8964,0.1114,14.7351,0.0247,17.0956,2.06,V,G,ba
2456409.9775025,5.3013,0.1260,14.6488,0.0258,16.9614,2.24,V,G,ba
2456415.963025,4.9103,0.0473,14.7320,0.0105,18.0252,2.27,V,G,ba
2456451.9021559,4.8647,0.0406,14.7421,0.0091,18.1898,2.22,V,G,ba
2456459.8944422,4.5108,0.0544,14.8241,0.0131,17.8730,2.08,V,G,ba
2456462.8899169,5.1063,0.0756,14.6895,0.0161,17.5154,2.00,V,G,ba
2456469.9386336,4.9046,0.1000,14.7333,0.0222,17.2119,2.17,V,G,ba
2456472.8783313,4.8367,0.0426,14.7484,0.0096,18.1384,2.11,V,G,ba
2456476.8541895,4.8717,0.0497,14.7406,0.0111,17.9719,2.05,V,G,ba
2456480.9040259,4.8627,0.0565,14.7426,0.0126,17.8314,2.22,V,B,ba
2456484.8619189,4.8058,0.0414,14.7554,0.0094,18.1706,2.10,V,G,ba
2456487.8475024,4.8171,0.0465,14.7528,0.0105,18.0437,1.79,V,G,ba
2456491.8350453,4.7656,0.0842,14.7645,0.0192,17.3986,1.76,V,G,ba
2456494.8732145,4.8883,0.1590,14.7369,0.0353,16.7091,2.20,V,B,ba
2456509.8290701,4.6877,0.0389,14.7824,0.0090,18.2380,2.07,V,G,ba
2456516.7812203,4.7586,0.0432,14.7661,0.0099,18.1241,1.71,V,G,ba
2456520.7943101,4.9565,0.0959,14.7218,0.0210,17.2583,1.72,V,G,ba
2456525.7734406,5.1093,0.1079,14.6889,0.0230,17.1299,1.74,V,G,ba
2456528.7885539,4.7281,0.0559,14.7731,0.0129,17.8429,1.74,V,G,ba
2456533.8178682,4.8602,0.0383,14.7431,0.0086,18.2551,1.76,V,G,ba
2456536.7694172,4.7770,0.0397,14.7619,0.0090,18.2149,1.69,V,G,ba
2456548.7256544,4.6147,0.0865,14.7994,0.0204,17.3697,1.75,V,G,ba
2456559.7159617,5.0361,0.1468,14.7046,0.0317,16.7955,1.83,V,B,ba
2456567.7265547,4.5039,0.1208,14.8258,0.0292,17.0070,1.75,V,B,ba
2456572.7072316,4.7172,0.1130,14.7756,0.0260,17.0799,1.73,V,B,ba
2456658.1582065,4.4882,0.0526,14.8296,0.0127,17.9105,1.58,V,G,bc
2456676.1243797,4.5845,0.0809,14.8066,0.0192,17.4423,2.05,V,G,bc
2456678.149419,4.5645,0.0685,14.8113,0.0163,17.6238,2.67,V,G,bc
2456701.1331326,4.4265,0.0366,14.8446,0.0090,18.3039,2.11,V,G,bc
2456730.1118924,4.4559,0.0474,14.8374,0.0116,18.0218,2.31,V,G,bc
2456734.1087782,4.5584,0.0795,14.8127,0.0189,17.4620,2.43,V,G,bc
2456735.0942907,4.4196,0.0677,14.8463,0.0167,17.6352,1.53,V,B,bc
2456736.0702269,4.3762,0.0772,14.8570,0.0192,17.4939,1.86,V,G,bc
2456744.0160896,4.5618,0.0439,14.8119,0.0105,18.1053,3.22,V,G,bc
2456752.0939086,4.7015,0.0499,14.7792,0.0115,17.9679,2.91,V,G,bc
2456756.9195544,4.7099,0.0645,14.7772,0.0149,17.6882,2.23,V,G,bc
2456757.8925058,4.3905,0.1039,14.8535,0.0257,17.1713,2.98,V,G,bc
2456758.9039942,4.5274,0.1184,14.8202,0.0284,17.0294,3.31,V,G,bc
2456771.9845653,4.6742,0.0574,14.7855,0.0133,17.8157,2.31,V,G,bc
2456772.9875192,4.5734,0.0462,14.8092,0.0110,18.0512,2.34,V,G,bc
2456781.957508,4.5223,0.0463,14.8214,0.0111,18.0495,1.86,V,G,bc
2456783.9631309,4.5080,0.0377,14.8248,0.0091,18.2715,1.86,V,G,bc
2456784.9546532,4.5548,0.0354,14.8136,0.0084,18.3401,2.57,V,G,bc
2456785.9571716,4.4984,0.0450,14.8271,0.0109,18.0784,2.54,V,G,bc
2456787.8095874,4.6137,0.0861,14.7997,0.0203,17.3752,2.28,V,G,bc
2456788.9445186,4.5949,0.0760,14.8041,0.0180,17.5097,1.85,V,G,bc
2456796.0144958,4.4838,0.0591,14.8307,0.0143,17.7841,2.05,V,B,bc
2456797.06811,4.4803,0.0612,14.8315,0.0148,17.7460,1.83,V,G,bc
2456797.9346532,4.4703,0.0434,14.8340,0.0106,18.1175,1.68,V,G,bc
2456799.0643622,4.4351,0.0507,14.8425,0.0124,17.9506,2.10,V,G,bc
2456800.9555028,4.4594,0.0318,14.8366,0.0078,18.4561,1.56,V,G,bc
2456802.9191778,4.5402,0.0474,14.8171,0.0114,18.0224,1.92,V,G,bc
2456805.9773233,4.4063,0.0238,14.8496,0.0059,18.7719,2.25,V,G,bc
2456808.9423143,4.4822,0.0562,14.8311,0.0136,17.8378,2.15,V,B,bc
2456809.9586705,4.5161,0.0378,14.8229,0.0091,18.2685,1.92,V,G,bc
2456811.7614087,4.3528,0.0489,14.8629,0.0122,17.9900,1.39,V,G,bc
2456812.7542667,4.4418,0.0613,14.8409,0.0150,17.7430,1.45,V,G,bc
2456813.9212728,4.4212,0.0377,14.8459,0.0093,18.2715,1.54,V,B,bc
2456814.7964701,4.3213,0.0607,14.8707,0.0153,17.7541,1.48,V,G,bc
2456815.7494034,4.4974,0.1316,14.8274,0.0318,16.9138,1.34,V,B,bc
2456816.9080259,4.7319,0.0570,14.7722,0.0131,17.8229,1.52,V,G,bc
2456818.9060388,4.8434,0.0660,14.7469,0.0148,17.6636,1.35,V,G,bc
2456819.904597,4.3869,0.0810,14.8544,0.0201,17.4415,1.42,V,G,bc
2456822.9741102,4.5469,0.0937,14.8155,0.0224,17.2831,1.92,V,G,bc
2456825.0135025,4.4718,0.0578,14.8336,0.0140,17.8080,1.49,V,G,bc
2456827.0059181,4.3224,0.0789,14.8705,0.0198,17.4703,2.00,V,G,bc
2456827.9972551,4.5592,0.0496,14.8126,0.0118,17.9746,1.73,V,G,bc
2456832.878693,4.4935,0.0309,14.8283,0.0075,18.4889,1.44,V,G,bc
2456835.8785093,4.4818,0.0315,14.8312,0.0076,18.4676,1.41,V,G,bc
2456846.8671754,4.3031,0.0866,14.8753,0.0219,17.3681,1.36,V,G,bc
2456850.8568433,4.7441,0.1217,14.7694,0.0279,16.9989,1.46,V,B,bc
2456852.9330538,4.6983,0.0942,14.7799,0.0218,17.2771,1.81,V,B,bc
2456853.9339008,4.6982,0.0949,14.7800,0.0220,17.2693,1.38,V,B,bc
2456855.9212932,4.3308,0.0587,14.8684,0.0147,17.7902,1.39,V,G,bc
2456856.920285,4.5122,0.0569,14.8238,0.0137,17.8252,1.58,V,G,bc
2456857.8592341,4.4394,0.0306,14.8415,0.0075,18.4977,1.42,V,G,bc
2456861.8511377,4.2757,0.0872,14.8823,0.0222,17.3616,1.57,V,B,bc
2456862.8516084,4.5299,0.0397,14.8196,0.0095,18.2147,1.45,V,G,bc
2456866.8434483,4.4166,0.0346,14.8471,0.0085,18.3652,1.61,V,G,bc
2456868.8260458,4.6423,0.0469,14.7929,0.0110,18.0342,1.40,V,G,bc
2456881.8038597,4.4054,0.0648,14.8498,0.0160,17.6833,1.37,V,G,bc
2456882.8035329,4.6194,0.0727,14.7983,0.0171,17.5590,1.37,V,G,bc
2456883.8415951,4.4960,0.0626,14.8277,0.0151,17.7210,1.47,V,G,bc
2456884.8063511,4.4278,0.0353,14.8443,0.0087,18.3432,1.60,V,G,bc
2456888.7894085,4.5709,0.0366,14.8098,0.0087,18.3046,1.49,V,G,bc
2456889.7888416,4.5776,0.0492,14.8082,0.0117,17.9829,1.40,V,G,bc
2456891.7822235,4.5078,0.0481,14.8249,0.0116,18.0072,1.39,V,G,bc
2456892.7912833,4.5155,0.0439,14.8230,0.0106,18.1058,1.53,V,G,bc
2456894.784863,4.4504,0.0380,14.8388,0.0093,18.2638,1.41,V,G,bc
2456897.7726172,4.5432,0.0451,14.8164,0.0108,18.0773,1.39,V,G,bc
2456899.7913706,4.5873,0.0561,14.8059,0.0133,17.8398,1.39,V,G,bc
