# ASAS-SN SkyPatrol ID: 257698044962
# ATLAS-REFCAT2: 125073392821428871
# Gaia DR2: 2732771004773734528
# TESS Input Catalog (TIC): 210084822
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: CGCG 429-14
# GLADE HyperLEDA: 69325
# GLADE 2MASS Extended Source Catalog: 22370769+1413549


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456222.7816624,2.8150,0.1389,15.3361,0.0536,16.8555,2.22,V,G,ba
2456231.8510773,2.9315,0.0872,15.2921,0.0323,17.3616,2.23,V,G,ba
2456233.884999,2.6838,0.0663,15.3879,0.0268,17.6591,2.20,V,G,ba
2456235.9366404,2.7910,0.0973,15.3454,0.0379,17.2421,2.09,V,G,ba
2456238.7760669,2.6294,0.0277,15.4102,0.0115,18.6047,2.08,V,G,ba
2456241.7798764,2.5047,0.0448,15.4629,0.0195,18.0834,2.11,V,B,ba
2456246.7408564,2.7206,0.0371,15.3731,0.0148,18.2882,2.26,V,G,ba
2456268.7493668,2.7313,0.0387,15.3689,0.0154,18.2417,2.48,V,G,ba
2456397.133072,2.6793,0.2196,15.3897,0.0891,16.3582,2.13,V,B,ba
2456403.117512,2.7867,0.0617,15.3471,0.0241,17.7366,2.06,V,G,ba
2456409.1139077,3.0730,0.1759,15.2409,0.0622,16.5993,2.22,V,G,ba
2456410.1059556,3.2589,0.1197,15.1771,0.0399,17.0172,2.29,V,G,ba
2456417.1041521,2.7840,0.0920,15.3481,0.0359,17.3035,2.09,V,G,ba
2456438.0654081,3.0580,0.1366,15.2462,0.0486,16.8735,2.42,V,G,ba
2456445.056633,2.7422,0.0758,15.3645,0.0300,17.5134,2.95,V,G,ba
2456448.0608611,2.7462,0.0521,15.3629,0.0206,17.9212,2.90,V,G,ba
2456452.0049995,2.7081,0.0707,15.3781,0.0284,17.5893,2.11,V,B,ba
2456460.0806405,2.5311,0.0513,15.4515,0.0220,17.9361,2.08,V,G,ba
2456462.9972217,2.7126,0.0982,15.3763,0.0393,17.2323,1.99,V,G,ba
2456465.0144384,2.7655,0.1349,15.3554,0.0530,16.8875,1.76,V,G,ba
2456468.0139634,3.1327,0.2381,15.2200,0.0826,16.2703,1.71,V,B,ba
2456472.0062073,2.6011,0.1038,15.4219,0.0434,17.1717,2.36,V,G,ba
2456475.0036671,2.5612,0.0501,15.4387,0.0213,17.9627,1.73,V,G,ba
2456476.9977405,2.6989,0.0650,15.3818,0.0262,17.6800,2.00,V,G,ba
2456480.9406797,2.7201,0.0602,15.3733,0.0241,17.7632,2.15,V,B,ba
2456483.9512532,2.7761,0.0521,15.3512,0.0204,17.9202,2.29,V,G,ba
2456486.9842515,2.6289,0.0353,15.4104,0.0146,18.3422,2.10,V,G,ba
2456489.9465922,2.6611,0.0413,15.3971,0.0169,18.1725,1.79,V,G,ba
2456491.9688015,2.7199,0.0773,15.3734,0.0309,17.4917,1.74,V,G,ba
2456493.9733781,2.5407,0.2271,15.4474,0.0972,16.3219,2.25,V,B,ba
2456494.9064961,2.6740,0.1754,15.3919,0.0713,16.6023,2.21,V,B,ba
