# ASAS-SN SkyPatrol ID: 472446577574
# ATLAS-REFCAT2: 123853384100875040
# Gaia DR2: 2731065563455380096
# TESS Input Catalog (TIC): 210030772
# Million Quasars Catalog (MILLIQUAS): NPM 1G+12.0561
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NPM 1G+12.0561
# GLADE 2MASS Extended Source Catalog: 22333840+1312438


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456222.7816624,1.5577,0.0892,15.9786,0.0622,17.3369,1.77,V,B,bb
2456227.7899589,1.6093,0.1735,15.9432,0.1172,16.6140,2.00,V,B,bb
2456231.8510773,1.7143,0.1494,15.8745,0.0947,16.7766,1.84,V,G,bb
2456233.8857303,1.8918,0.1168,15.7676,0.0671,17.0433,1.76,V,G,bb
2456241.7798699,1.8587,0.0691,15.7868,0.0404,17.6132,2.22,V,G,bb
2456246.7408564,1.9003,0.0558,15.7627,0.0319,17.8450,1.77,V,G,bb
2456268.7493668,1.7174,0.0745,15.8726,0.0472,17.5318,1.82,V,G,bb
2456275.7189833,2.1012,0.1014,15.6536,0.0524,17.1974,2.10,V,B,bb
2456397.133072,3.1069,0.2270,15.2290,0.0794,16.3225,2.14,V,B,bb
2456403.1175195,2.2093,0.0910,15.5991,0.0448,17.3148,2.15,V,G,bb
2456409.1139077,1.9655,0.1964,15.7261,0.1086,16.4796,2.08,V,G,bb
2456410.1059499,2.0033,0.1191,15.7054,0.0646,17.0229,2.03,V,G,bb
2456417.1041521,2.1619,0.0778,15.6227,0.0391,17.4855,2.24,V,G,bb
2456438.0654081,2.2292,0.1688,15.5894,0.0823,16.6437,2.13,V,G,bb
2456445.056633,1.7700,0.0918,15.8399,0.0564,17.3056,1.74,V,G,bb
2456448.0608611,1.8694,0.0731,15.7805,0.0425,17.5524,1.99,V,G,bb
2456452.0049995,1.7884,0.1011,15.8286,0.0615,17.2003,1.74,V,B,bb
2456460.0806405,1.8990,0.0614,15.7635,0.0351,17.7425,1.77,V,G,bb
2456462.9972217,1.5608,0.0836,15.9764,0.0582,17.4071,1.68,V,G,bb
2456465.0144384,1.8895,0.1298,15.7689,0.0746,16.9295,1.74,V,G,bb
