# ASAS-SN SkyPatrol ID: 661426470170
# Million Quasars Catalog (MILLIQUAS): PGC 1437670
# AllWISE AGN Catalog: WISEA J004939.33+134107.0
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: PGC 1437670
# GLADE HyperLEDA: 1437670
# GLADE 2MASS Extended Source Catalog: 00493937+1341067


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455946.7781684,1.0848,0.0537,16.3714,0.0538,17.8876,2.50,V,G,ba
2455950.7782851,0.9083,0.0507,16.5642,0.0607,17.9488,2.10,V,G,ba
2455957.7189308,0.9602,0.0808,16.5038,0.0915,17.4438,3.07,V,B,ba
2455968.7383834,0.8949,0.0557,16.5804,0.0677,17.8469,2.24,V,G,ba
2456220.9908325,0.9949,0.0496,16.4653,0.0542,17.9738,2.58,V,G,ba
2456224.8640403,0.3183,0.1094,17.1145,99.9990,17.1145,2.49,V,G,ba
2456231.7852568,0.7201,0.0842,16.8164,0.1271,17.3992,2.49,V,G,ba
2456233.8484386,0.6908,0.0596,16.8614,0.0938,17.7735,2.36,V,G,ba
2456235.9220178,0.6475,0.0664,16.9317,0.1115,17.6569,2.15,V,G,ba
2456239.8072556,0.7680,0.0319,16.7464,0.0451,18.4542,2.01,V,G,ba
2456247.8053695,0.8442,0.0379,16.6436,0.0488,18.2667,2.12,V,G,ba
2456271.7599423,0.9004,0.0402,16.5736,0.0486,18.2010,2.11,V,G,ba
2456275.7651716,0.9757,0.0365,16.4865,0.0407,18.3053,2.24,V,G,ba
2456288.7500968,1.1212,0.0945,16.3356,0.0916,17.2738,2.48,V,G,ba
2456300.7558034,0.9292,0.0429,16.5395,0.0502,18.1302,1.99,V,G,ba
2456302.7567392,0.8800,0.0348,16.5986,0.0430,18.3584,1.85,V,G,ba
2456303.7537476,0.8608,0.0363,16.6225,0.0458,18.3129,1.90,V,G,ba
2456306.7390274,0.8394,0.0683,16.6498,0.0885,17.6257,2.29,V,G,ba
2456327.7256604,0.6284,0.0481,16.9642,0.0832,18.0064,2.36,V,G,ba
2456447.0921357,0.6312,0.1338,16.8961,99.9990,16.8961,2.78,V,B,ba
2456452.0687775,1.0811,0.0810,16.3751,0.0814,17.4411,2.14,V,G,ba
2456454.0779321,0.8709,0.1106,16.6098,0.1381,17.1025,1.85,V,B,ba
2456458.051529,0.4610,0.1046,17.1634,99.9990,17.1634,2.08,V,G,ba
2456461.0507551,0.8606,0.0564,16.6227,0.0713,17.8332,1.94,V,G,ba
2456463.0702203,0.9894,0.0542,16.4714,0.0595,17.8782,1.88,V,G,ba
2456466.045967,1.3566,0.1897,16.1286,0.1520,16.5172,1.83,V,B,ba
2456470.0464061,0.5617,0.2389,16.2669,99.9990,16.2669,2.14,V,G,ba
2456473.0513322,1.4531,0.1148,16.0540,0.0859,17.0621,2.35,V,G,ba
2456476.1001565,1.1956,0.0683,16.2658,0.0621,17.6268,1.77,V,G,ba
2456479.0689447,0.9803,0.0510,16.4814,0.0565,17.9442,2.06,V,G,ba
2456480.0646236,0.9131,0.0444,16.5584,0.0528,18.0940,2.11,V,G,ba
2456483.1171698,0.8279,0.0694,16.6648,0.0911,17.6096,2.37,V,G,ba
2456485.9800894,1.0757,0.0726,16.3805,0.0734,17.5594,2.14,V,G,ba
2456488.0273283,0.8837,0.0704,16.5940,0.0866,17.5929,2.02,V,B,ba
2456491.9941756,1.0305,0.0594,16.4271,0.0626,17.7781,2.04,V,G,ba
2456496.9826051,0.5292,0.1948,16.4882,99.9990,16.4882,2.03,V,G,ba
2456506.0227944,0.9391,0.0538,16.5280,0.0623,17.8856,2.02,V,G,ba
2456507.9952796,0.7255,0.0456,16.8082,0.0683,18.0658,1.71,V,G,ba
2456512.0035189,0.8619,0.0880,16.6211,0.1110,17.3509,2.24,V,B,ba
2456516.9668777,0.7987,0.0569,16.7038,0.0774,17.8254,1.90,V,G,ba
2456520.9486426,0.9575,0.0533,16.5069,0.0605,17.8952,1.80,V,G,ba
2456525.9047353,1.0507,0.1704,16.4061,0.1762,16.6339,1.94,V,B,ba
2456531.8670718,0.7688,0.0661,16.7452,0.0935,17.6618,1.75,V,G,ba
2456533.9775981,0.7540,0.0400,16.7663,0.0577,18.2067,2.04,V,G,ba
2456535.9607116,0.8644,0.0346,16.6180,0.0435,18.3641,2.07,V,G,ba
2456538.9331769,0.9411,0.0450,16.5257,0.0520,18.0787,1.76,V,G,ba
2456549.8024492,1.3048,0.1117,16.1710,0.0931,17.0922,1.76,V,G,ba
2456562.9891403,0.7709,0.0689,16.7423,0.0971,17.6171,2.41,V,G,ba
2456568.9090386,1.0873,0.0542,16.3690,0.0542,17.8769,1.75,V,G,ba
2456575.7589973,0.8805,0.0558,16.5979,0.0688,17.8467,1.72,V,G,ba
2456608.8398875,0.8023,0.2017,16.4509,99.9990,16.4509,2.31,V,G,bc
2456631.7248698,0.8898,0.0588,16.5865,0.0718,17.7886,1.53,V,G,bc
2456631.7248698,0.8973,0.0609,16.5775,0.0738,17.7502,1.55,V,G,bd
2456632.7176537,0.9219,0.0775,16.5480,0.0914,17.4893,1.80,V,G,bc
2456633.6983466,0.9930,0.0741,16.4675,0.0811,17.5378,1.53,V,G,bc
2456638.7202552,1.3312,0.2359,16.1492,0.1926,16.2807,2.20,V,B,bc
2456638.7202552,0.8315,0.1057,16.6601,0.1382,17.1519,2.18,V,B,bd
2456642.8066565,1.0900,0.1247,16.3663,0.1244,16.9727,1.46,V,G,bc
2456652.7559797,0.8851,0.0538,16.5923,0.0661,17.8856,1.63,V,G,bc
2456652.7559797,0.7965,0.0619,16.7068,0.0845,17.7331,1.56,V,G,bd
2456658.7557096,0.9595,0.0654,16.5047,0.0740,17.6740,2.14,V,G,bc
2456676.7219777,0.7910,0.0789,16.7144,0.1084,17.4695,1.39,V,G,bc
2456676.7219777,0.9771,0.0755,16.4849,0.0840,17.5175,1.53,V,G,bd
2456798.1155101,0.9086,0.1816,16.5639,0.2173,16.5645,2.14,V,B,bc
2456809.0908964,1.1455,0.0837,16.3123,0.0794,17.4054,3.09,V,G,bc
2456810.1038356,1.0643,0.0948,16.3921,0.0968,17.2704,2.64,V,G,bc
2456814.1016086,1.0293,0.0952,16.4284,0.1005,17.2663,1.57,V,G,bc
2456814.1016086,0.7661,0.0923,16.7491,0.1310,17.2992,1.49,V,G,bd
2456817.0949076,0.9515,0.0959,16.5138,0.1095,17.2583,1.62,V,G,bc
2456817.0949076,0.8015,0.0826,16.7000,0.1120,17.4203,1.53,V,G,bd
2456818.0971687,0.9953,0.0965,16.4649,0.1054,17.2512,1.60,V,G,bc
2456818.0971734,1.0450,0.0707,16.4120,0.0736,17.5885,1.49,V,G,bd
2456821.0899733,0.5921,0.1817,16.5641,99.9990,16.5641,1.77,V,G,bc
2456821.0899733,1.1405,0.1577,16.3171,0.1503,16.7177,1.71,V,G,bd
2456822.0854183,1.0451,0.1508,16.4118,0.1568,16.7664,1.90,V,G,bc
2456822.0854183,0.7446,0.1633,16.6796,99.9990,16.6796,1.56,V,G,bd
2456823.0879948,1.2228,0.1834,16.2414,0.1630,16.5540,1.88,V,G,bc
2456823.0879948,0.8649,0.2123,16.3950,99.9990,16.3950,1.78,V,G,bd
2456824.0747463,1.1688,0.1566,16.2904,0.1456,16.7254,2.00,V,B,bc
2456824.0747463,1.0983,0.1295,16.3580,0.1282,16.9315,1.78,V,B,bd
2456825.0735562,0.4014,0.1340,16.8949,99.9990,16.8949,1.94,V,G,bc
2456825.073565,0.9851,0.1221,16.4760,0.1348,16.9953,1.54,V,G,bd
2456833.0621311,0.7449,0.0820,16.7795,0.1197,17.4274,1.66,V,B,bc
2456833.0621311,0.8902,0.0574,16.5861,0.0701,17.8145,1.55,V,B,bd
2456836.0690494,1.2162,0.0766,16.2472,0.0685,17.5017,1.40,V,G,bc
2456836.0690494,0.9400,0.0941,16.5269,0.1088,17.2789,1.52,V,G,bd
2456847.0471788,0.8407,0.0723,16.6482,0.0935,17.5639,1.44,V,G,bc
2456847.0471861,1.0243,0.0997,16.4337,0.1058,17.2159,1.52,V,G,bd
2456850.0276951,1.1051,0.1462,16.3513,0.1438,16.8003,1.52,V,B,bc
2456851.0450027,0.7151,0.1671,16.6547,99.9990,16.6547,1.52,V,B,bc
2456862.0348627,0.7004,0.0856,16.8464,0.1328,17.3817,1.48,V,B,bc
2456863.0265472,0.7597,0.0688,16.7582,0.0984,17.6191,1.50,V,G,bc
2456864.0284214,0.6315,0.0864,16.9589,0.1487,17.3715,1.46,V,G,bc
2456866.0266768,0.9990,0.0720,16.4609,0.0784,17.5684,1.57,V,G,bc
2456867.1262184,0.7428,0.0872,16.7825,0.1276,17.3614,1.96,V,G,bc
2456868.0233626,1.0528,0.0745,16.4039,0.0769,17.5326,2.23,V,U,bc
2456869.0121348,0.8499,0.0718,16.6364,0.0919,17.5717,1.56,V,G,bc
2456869.9648701,0.5739,0.1363,16.8762,99.9990,16.8762,1.79,V,B,bc
2456873.9249172,0.9581,0.1075,16.5063,0.1220,17.1339,1.53,V,G,bc
2456874.9217719,0.8253,0.1240,16.6682,0.1633,16.9788,1.53,V,B,bc
2456876.0100065,1.1783,0.0652,16.2816,0.0602,17.6766,1.52,V,G,bc
2456877.0096134,0.9572,0.0744,16.5073,0.0845,17.5331,1.68,V,G,bc
2456888.1063999,0.9852,0.0618,16.4759,0.0682,17.7353,1.75,V,G,bc
2456888.1064105,0.7632,0.0865,16.7532,0.1232,17.3694,1.85,V,G,bd
2456888.9876142,0.9693,0.0779,16.4936,0.0874,17.4835,1.73,V,G,bc
2456888.9876142,0.9850,0.0603,16.4762,0.0665,17.7620,1.74,V,G,bd
2456889.9806077,1.0424,0.0575,16.4146,0.0600,17.8126,1.83,V,G,bc
2456889.9806136,0.8239,0.0693,16.6701,0.0915,17.6099,1.89,V,G,bd
2456891.9851296,0.6574,0.0844,16.9153,0.1396,17.3959,1.57,V,G,bc
2456891.9851296,0.7151,0.0635,16.8239,0.0965,17.7056,1.64,V,G,bd
2456892.9866255,0.7768,0.0733,16.7341,0.1025,17.5499,1.62,V,G,bc
2456892.9866255,0.8901,0.0611,16.5862,0.0746,17.7474,1.63,V,G,bd
2456896.9730024,0.6737,0.0727,16.8887,0.1173,17.5586,1.60,V,G,bc
2456900.894365,1.0884,0.0770,16.3678,0.0769,17.4962,1.61,V,G,bc
2456900.894365,1.1176,0.0750,16.3390,0.0730,17.5243,1.62,V,G,bd
2456904.9570467,0.7136,0.0839,16.8262,0.1278,17.4032,1.49,V,B,bc
2456904.9570467,0.9564,0.0714,16.5082,0.0812,17.5777,1.65,V,B,bd
2456906.8642995,0.8020,0.1290,16.6993,0.1749,16.9356,1.60,V,G,bc
2456906.8642995,0.7113,0.1283,16.8296,0.1960,16.9421,1.67,V,G,bd
2456913.9096205,0.6842,0.1416,16.8349,99.9990,16.8349,1.81,V,G,bc
2456913.9096205,1.0850,0.1078,16.3712,0.1080,17.1307,1.85,V,G,bd
2456914.9487219,0.8923,0.0879,16.5835,0.1071,17.3526,1.69,V,G,bc
2456914.9487219,0.9245,0.0646,16.5451,0.0759,17.6873,1.67,V,G,bd
2456917.0422554,1.1516,0.1017,16.3065,0.0960,17.1936,1.63,V,G,bc
2456917.0422554,0.8438,0.0656,16.6441,0.0846,17.6693,1.73,V,G,bd
2456918.0767438,0.8689,0.0761,16.6124,0.0952,17.5093,1.74,V,B,bc
2456918.0767438,0.7506,0.0771,16.7713,0.1117,17.4947,1.75,V,G,bd
2456920.0613066,1.1678,0.0621,16.2914,0.0578,17.7299,1.49,V,G,bc
2456920.0613066,0.8389,0.0599,16.6504,0.0776,17.7692,1.66,V,G,bd
2456920.9353076,0.9680,0.0730,16.4951,0.0820,17.5538,1.58,V,G,bc
2456920.9353076,0.8917,0.0527,16.5843,0.0642,17.9082,1.67,V,G,bd
2456928.9211975,0.9968,0.0662,16.4633,0.0722,17.6599,1.50,V,B,bc
2456928.9211975,0.8367,0.0756,16.6534,0.0982,17.5167,1.60,V,B,bd
2456932.9075131,0.9045,0.0609,16.5687,0.0732,17.7504,1.75,V,G,bc
2456943.0165546,1.1977,0.1380,16.2640,0.1252,16.8629,1.59,V,G,bc
2456943.0165546,1.1455,0.1184,16.3123,0.1124,17.0289,1.59,V,G,bd
2456943.9947681,0.7695,0.0956,16.7442,0.1350,17.2617,2.07,V,G,bc
2456943.9947681,1.2014,0.0856,16.2606,0.0774,17.3814,2.15,V,G,bd
2456967.9209315,1.0190,0.1721,16.4393,0.1835,16.6232,1.58,V,G,bc
2456969.9236351,1.1108,0.1862,16.3457,0.1822,16.5375,1.54,V,B,bc
2456970.899996,0.5769,0.1166,17.0457,99.9990,17.0457,1.73,V,G,bc
2456971.9174483,0.9941,0.1070,16.4662,0.1170,17.1390,1.58,V,G,bc
2456972.8507321,1.2920,0.0871,16.1816,0.0733,17.3620,1.92,V,B,bc
2456978.8137522,0.8849,0.0642,16.5926,0.0788,17.6938,1.41,V,G,bc
2456978.8137522,1.0322,0.0691,16.4254,0.0728,17.6130,1.56,V,G,bd
2456981.7424097,0.8165,0.0845,16.6799,0.1124,17.3958,1.80,V,G,bc
2456981.7424097,0.8520,0.0721,16.6337,0.0919,17.5679,1.79,V,G,bd
2456984.7544876,0.7633,0.0631,16.7530,0.0899,17.7119,1.44,V,B,bc
2456984.7544876,0.7645,0.0826,16.7513,0.1174,17.4204,1.55,V,B,bd
2456986.8222058,1.0282,0.0705,16.4295,0.0745,17.5920,1.66,V,G,bc
2456989.8223208,0.9333,0.0708,16.5347,0.0825,17.5870,1.35,V,G,bc
2456989.8223208,0.8445,0.0643,16.6433,0.0828,17.6918,1.46,V,G,bd
2456995.86458,0.8375,0.1863,16.5371,99.9990,16.5371,1.56,V,B,bc
2456998.7942855,0.7864,0.1330,16.7206,0.1839,16.9023,1.43,V,G,bc
2456998.7942855,3.0459,0.1450,15.2505,0.0517,16.8090,1.56,V,G,bd
2456999.7931808,0.7623,0.1363,16.7544,0.1943,16.8763,1.35,V,G,bc
2456999.7931808,3.7512,0.1287,15.0244,0.0373,16.9380,1.57,V,G,bd
2457000.8388797,1.2020,0.1150,16.2601,0.1040,17.0604,1.44,V,G,bc
2457000.8388797,1.1586,0.1088,16.3000,0.1021,17.1208,1.48,V,G,bd
2457002.8016283,0.9329,0.0566,16.5352,0.0659,17.8310,1.60,V,G,bc
2457002.8016283,0.8665,0.0498,16.6153,0.0624,17.9697,1.63,V,G,bd
2457004.7988502,1.0902,0.0734,16.3661,0.0732,17.5484,1.42,V,G,bc
2457004.7988502,0.8328,0.0690,16.6585,0.0900,17.6156,1.50,V,G,bd
2457006.7985735,0.8149,0.0811,16.6820,0.1081,17.4401,2.03,V,G,bc
2457006.7985735,1.0636,0.0577,16.3928,0.0590,17.8089,1.85,V,G,bd
2457010.7297038,1.2807,0.1192,16.1911,0.1011,17.0220,1.53,V,B,bc
2457023.7697944,1.2034,0.1620,16.2587,0.1463,16.6888,1.47,V,G,bc
2457024.7771554,1.3580,0.1450,16.1275,0.1161,16.8088,1.64,V,B,bc
2457031.7417341,0.9836,0.0885,16.4778,0.0978,17.3448,1.39,V,G,bc
2457034.7321284,0.8078,0.0750,16.6915,0.1010,17.5240,1.38,V,G,bc
2457036.7270727,1.0966,0.0735,16.3597,0.0729,17.5460,1.63,V,G,bc
2457036.7270727,1.0187,0.0690,16.4397,0.0737,17.6148,1.62,V,G,bd
2457039.7166726,0.8635,0.0744,16.6192,0.0936,17.5341,1.39,V,G,bc
2457039.7166726,0.9587,0.0740,16.5056,0.0839,17.5389,1.51,V,G,bd
2457043.7155628,0.9052,0.0706,16.5679,0.0848,17.5900,1.60,V,G,bc
2457043.7155628,0.9570,0.0526,16.5075,0.0597,17.9104,1.63,V,G,bd
2457170.1125707,1.0912,0.1165,16.3650,0.1161,17.0463,1.57,V,G,bd
2457170.1125824,1.1126,0.1538,16.3439,0.1502,16.7451,1.45,V,G,bc
2457176.1110291,1.0445,0.1917,16.4125,0.1995,16.5057,1.43,V,G,bc
2457176.1110291,0.9565,0.1922,16.5028,99.9990,16.5028,1.56,V,G,bd
2457177.0983548,0.7506,0.1486,16.7712,0.2151,16.7827,1.39,V,G,bc
2457177.0983548,1.4118,0.1760,16.0853,0.1355,16.5985,1.50,V,G,bd
2457179.1132654,0.7876,0.2610,16.1707,99.9990,16.1707,1.39,V,G,bc
2457179.1132654,1.1539,0.2761,16.1098,99.9990,16.1098,1.49,V,G,bd
2457180.1008251,0.8465,0.1413,16.6407,0.1814,16.8372,1.42,V,G,bc
2457180.1008251,1.2793,0.1385,16.1923,0.1177,16.8586,1.55,V,G,bd
2457189.0765376,0.7918,0.0975,16.7132,0.1338,17.2402,1.49,V,G,bc
