# ASAS-SN SkyPatrol ID: 206158976229
# ATLAS-REFCAT2: 125640118308104681
# Gaia DR2: 2778000450669612800
# TESS Input Catalog (TIC): 333138094
# Million Quasars Catalog (MILLIQUAS): UGC 488
# GLADE 2MASS Extended Source Catalog: 00471934+1442124


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455946.7781684,4.1969,0.0658,14.9025,0.0170,17.6671,2.50,V,G,ba
2455950.7782851,4.3788,0.0612,14.8564,0.0152,17.7446,2.10,V,G,ba
2455957.7189308,4.1637,0.0649,14.9111,0.0170,17.6811,3.07,V,B,ba
2455968.7383834,3.8581,0.0567,14.9939,0.0160,17.8289,2.24,V,G,ba
2456220.9908325,3.8888,0.0443,14.9852,0.0124,18.0973,2.58,V,G,ba
2456224.8640403,2.9813,0.0888,15.2738,0.0324,17.3408,2.49,V,G,ba
2456231.7852568,3.4094,0.1037,15.1281,0.0331,17.1727,2.49,V,G,ba
2456233.8484386,3.8110,0.0627,15.0072,0.0179,17.7188,2.36,V,G,ba
2456235.9220178,4.0164,0.0458,14.9502,0.0124,18.0612,2.15,V,G,ba
2456239.8072556,3.9399,0.0350,14.9711,0.0097,18.3510,2.01,V,G,ba
2456247.8053695,3.7566,0.0479,15.0228,0.0139,18.0111,2.12,V,G,ba
2456271.7599423,4.1198,0.0373,14.9226,0.0098,18.2839,2.11,V,G,ba
2456275.7651716,4.0393,0.0325,14.9440,0.0088,18.4312,2.24,V,G,ba
2456288.7500968,3.8956,0.1152,14.9834,0.0321,17.0589,2.48,V,G,ba
2456300.7558034,4.2473,0.0430,14.8895,0.0110,18.1286,1.99,V,G,ba
2456302.7567392,4.3986,0.0593,14.8515,0.0146,17.7804,1.85,V,G,ba
2456303.7537476,4.1632,0.0414,14.9112,0.0108,18.1709,1.90,V,G,ba
2456306.7390274,4.1871,0.0639,14.9050,0.0166,17.6989,2.29,V,G,ba
2456327.7256604,4.3163,0.0705,14.8720,0.0178,17.5921,2.36,V,G,ba
2456447.0921357,4.0164,0.1384,14.9502,0.0375,16.8596,2.78,V,B,ba
2456452.0687775,4.0947,0.0759,14.9292,0.0201,17.5118,2.14,V,G,ba
2456454.0779321,4.1143,0.1343,14.9240,0.0355,16.8921,1.85,V,B,ba
2456458.051529,3.9830,0.1128,14.9593,0.0308,17.0815,2.08,V,G,ba
2456461.0507551,4.1273,0.0713,14.9206,0.0188,17.5801,1.94,V,G,ba
2456463.0702203,4.0660,0.0545,14.9369,0.0146,17.8710,1.88,V,G,ba
