# ASAS-SN SkyPatrol ID: 309238904201
# ATLAS-REFCAT2: 126250208483138114
# Gaia DR2: 2590654149016706688
# TESS Input Catalog (TIC): 385118164
# GLADE HyperLEDA: UGC00933
# GLADE 2MASS Extended Source Catalog: 01232359+1512527


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455946.7976492,5.0708,0.0522,14.6971,0.0112,17.9192,2.43,V,G,ba
2455950.8061842,4.8624,0.0589,14.7426,0.0132,17.7872,1.79,V,G,ba
2455958.7256907,4.7710,0.0820,14.7633,0.0187,17.4284,2.35,V,G,ba
2456222.8554075,4.6221,0.0550,14.7977,0.0129,17.8606,2.17,V,B,ba
2456224.8708778,4.0968,0.1721,14.9287,0.0456,16.6232,2.46,V,B,ba
2456232.9547397,4.7291,0.0600,14.7728,0.0138,17.7673,2.21,V,G,ba
2456239.881102,4.7784,0.0413,14.7616,0.0094,18.1735,1.76,V,G,ba
2456242.8507,4.8583,0.0281,14.7436,0.0063,18.5887,2.11,V,G,ba
2456247.8401672,4.7026,0.0834,14.7789,0.0193,17.4099,2.11,V,B,ba
2456275.7539681,4.6962,0.0486,14.7804,0.0112,17.9961,2.17,V,G,ba
2456288.7534684,5.0725,0.1637,14.6967,0.0351,16.6771,2.37,V,G,ba
2456300.7593298,4.9954,0.0399,14.7134,0.0087,18.2092,1.83,V,G,ba
2456302.7602793,4.9821,0.0437,14.7162,0.0095,18.1114,1.77,V,G,ba
2456313.7470152,5.4820,0.1055,14.6124,0.0209,17.1544,2.34,V,B,ba
2456327.7356394,4.8125,0.0513,14.7539,0.0116,17.9376,2.24,V,G,ba
2456447.1094939,4.4084,0.1368,14.8491,0.0337,16.8718,2.98,V,B,ba
2456452.0939703,4.8974,0.0800,14.7349,0.0178,17.4546,2.15,V,G,ba
2456454.0890869,5.3581,0.1104,14.6373,0.0224,17.1052,1.78,V,B,ba
2456458.0741285,5.0589,0.0820,14.6996,0.0176,17.4283,2.15,V,G,ba
2456462.0720356,4.8890,0.0580,14.7367,0.0129,17.8046,1.76,V,G,ba
2456464.0815062,4.6317,0.0640,14.7954,0.0150,17.6966,1.74,V,G,ba
