# ASAS-SN SkyPatrol ID: 661434884462
# GLADE HyperLEDA: 1792494


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455946.9246241,0.9345,0.0367,16.5333,0.0427,18.3015,2.49,V,B,ba
2455950.9241442,1.0750,0.0458,16.3813,0.0463,18.0610,2.05,V,B,ba
2455955.9001271,1.0420,0.0371,16.4151,0.0387,18.2895,2.11,V,G,ba
2455971.8615095,1.0368,0.0303,16.4206,0.0317,18.5105,2.17,V,G,ba
2456002.8182078,0.9891,0.0487,16.4716,0.0535,17.9935,2.04,V,G,ba
2456225.0551821,1.0996,0.0384,16.3567,0.0380,18.2502,2.70,V,G,ba
2456228.0474239,1.1326,0.0760,16.3246,0.0729,17.5103,2.37,V,G,ba
2456234.1143884,1.0540,0.0645,16.4026,0.0665,17.6887,2.27,V,G,ba
2456239.0561655,0.9343,0.0393,16.5336,0.0457,18.2266,2.09,V,G,ba
2456242.0711498,1.0130,0.0320,16.4458,0.0344,18.4488,2.06,V,G,ba
2456248.0919653,1.0085,0.0254,16.4506,0.0273,18.7023,2.16,V,G,ba
2456251.0036715,0.9930,0.0795,16.4674,0.0870,17.4617,2.89,V,G,ba
2456268.0435755,1.0861,0.0440,16.3701,0.0440,18.1037,2.43,V,G,ba
2456302.9456131,0.3571,0.0500,17.5778,0.1523,17.9644,1.71,V,G,ba
2456308.9380617,0.6343,0.0420,16.9540,0.0720,18.1542,2.04,V,G,ba
2456310.9195556,0.7153,0.0373,16.8235,0.0567,18.2819,1.73,V,G,ba
2456315.9153775,0.4753,0.0873,17.2675,0.1997,17.3594,2.17,V,G,ba
2456323.8965785,1.2635,0.0749,16.2058,0.0644,17.5263,1.99,V,G,ba
2456327.8876867,0.9701,0.0363,16.4927,0.0407,18.3130,2.18,V,G,ba
2456337.789216,1.0297,0.0351,16.4280,0.0371,18.3483,2.28,V,G,ba
2456350.7381277,0.9276,0.0564,16.5413,0.0661,17.8336,2.40,V,G,ba
2456355.8053689,0.9827,0.0308,16.4788,0.0341,18.4893,2.11,V,G,ba
2456359.7495673,1.0584,0.0383,16.3982,0.0394,18.2532,2.27,V,G,ba
2456360.7574808,0.9822,0.0417,16.4793,0.0462,18.1609,2.11,V,G,ba
2456380.8410133,0.1502,0.2598,16.1757,99.9990,16.1757,3.11,V,B,ba
2456390.7300594,1.0158,0.0525,16.4428,0.0561,17.9130,2.69,V,G,ba
2456403.7645252,0.8451,0.0825,16.6425,0.1061,17.4216,2.40,V,G,ba
2456406.7488861,1.1079,0.0802,16.3485,0.0786,17.4526,2.50,V,G,ba
2456412.7483708,1.1050,0.0514,16.3514,0.0505,17.9353,2.72,V,B,ba
2456534.1382555,1.1800,0.2289,16.2800,0.2109,16.3131,2.15,V,G,ba
2456535.1308798,0.9488,0.1189,16.5169,0.1363,17.0241,2.10,V,G,ba
2456539.1242952,0.9108,0.0785,16.5612,0.0936,17.4755,2.01,V,G,ba
2456550.0845753,0.8003,0.0797,16.7017,0.1082,17.4593,2.08,V,G,ba
2456555.0771848,1.2314,0.2789,16.0989,99.9990,16.0989,2.12,V,G,ba
2456557.0785687,0.6063,0.1709,16.6304,99.9990,16.6304,1.84,V,G,ba
2456563.0863979,0.8612,0.0946,16.6220,0.1194,17.2729,2.32,V,G,ba
2456570.0322124,0.9791,0.0574,16.4828,0.0637,17.8159,2.01,V,G,ba
2456574.0732551,1.0622,0.0535,16.3943,0.0547,17.8920,2.02,V,G,ba
2456596.0376606,0.9434,0.0754,16.5230,0.0869,17.5187,3.12,V,B,ba
2456598.0341494,0.7521,0.0492,16.7691,0.0711,17.9825,1.78,V,G,ba
2456601.0307733,1.3019,0.0579,16.1734,0.0483,17.8056,2.16,V,G,ba
2456615.9269885,0.5708,0.2617,16.1679,99.9990,16.1679,2.52,V,G,ba
2456616.9368575,0.4346,0.2444,16.2423,99.9990,16.2423,2.28,V,B,ba
2456621.9054538,1.2761,0.0636,16.1951,0.0542,17.7034,1.72,V,G,ba
2456629.9044839,1.1344,0.0650,16.3228,0.0623,17.6802,1.71,V,G,ba
2456630.8925898,1.0585,0.0451,16.3980,0.0463,18.0781,2.28,V,G,ba
2456631.8700917,1.2020,0.0494,16.2600,0.0447,17.9785,2.34,V,G,ba
2456638.9632318,1.2181,0.0892,16.2456,0.0796,17.3370,1.68,V,B,ba
2456641.8779224,1.6086,0.2025,15.9436,0.1368,16.4465,3.32,V,G,ba
2456655.9158166,0.9120,0.0398,16.5598,0.0474,18.2140,2.07,V,G,ba
2456658.9212195,1.1281,0.0447,16.3290,0.0431,18.0860,2.06,V,G,ba
