# ASAS-SN SkyPatrol ID: 661425912462
# Million Quasars Catalog (MILLIQUAS): SDSS J040548.78-061925.8
# GLADE 2MASS Extended Source Catalog: 04054878-0619253


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455955.7626839,0.7706,0.0405,16.7427,0.0572,18.1926,2.01,V,G,ba
2455970.8095014,0.7495,0.0359,16.7729,0.0520,18.3254,2.06,V,G,ba
2456222.0012881,0.7743,0.0318,16.7375,0.0447,18.4555,2.35,V,G,ba
2456226.960605,0.6497,0.0882,16.9280,0.1476,17.3484,2.25,V,G,ba
2456227.9982202,0.8323,0.0689,16.6590,0.0900,17.6161,2.20,V,G,ba
2456233.9163164,0.7689,0.0744,16.7451,0.1052,17.5333,2.24,V,G,ba
2456235.9758958,0.7659,0.0743,16.7493,0.1054,17.5355,2.17,V,G,ba
2456237.9992621,0.8631,0.0421,16.6196,0.0530,18.1523,2.25,V,G,ba
2456239.9879453,0.9897,0.0403,16.4711,0.0443,18.1986,1.99,V,G,ba
2456242.9570947,0.9249,0.0402,16.5446,0.0473,18.2005,2.10,V,G,ba
2456252.0604589,0.9357,0.0450,16.5319,0.0522,18.0804,2.07,V,B,ba
2456268.8861423,0.7597,0.0388,16.7582,0.0555,18.2403,2.45,V,G,ba
2456271.976544,0.8818,0.0392,16.5964,0.0483,18.2300,2.02,V,G,ba
2456277.8616546,0.8100,0.0326,16.6885,0.0437,18.4303,2.23,V,G,ba
2456288.8886196,0.8798,0.1212,16.5989,0.1498,17.0033,2.13,V,B,ba
2456300.8767907,0.8897,0.0456,16.5867,0.0557,18.0646,1.82,V,G,ba
2456302.8742456,0.8493,0.0333,16.6371,0.0426,18.4057,1.74,V,G,ba
2456308.7846403,0.8152,0.0426,16.6816,0.0568,18.1383,2.01,V,G,ba
2456310.7801302,0.6821,0.0541,16.8751,0.0862,17.8791,2.02,V,G,ba
2456315.848433,1.2054,0.1115,16.2570,0.1005,17.0942,2.19,V,G,ba
2456323.8442442,0.8942,0.0740,16.5812,0.0900,17.5390,2.24,V,G,ba
2456344.7366733,0.6185,0.0884,16.9815,0.1554,17.3456,1.82,V,G,ba
2456489.1245738,0.9026,0.1911,16.5093,99.9990,16.5093,2.03,V,G,ba
2456494.1077212,0.7617,0.0529,16.7553,0.0755,17.9039,2.15,V,G,ba
2456506.0890984,1.0423,0.0950,16.4148,0.0990,17.2685,1.76,V,G,ba
2456507.0871014,0.3199,0.0676,17.6376,99.9990,17.6376,2.13,V,G,ba
2456512.076097,0.7213,0.1031,16.8145,0.1554,17.1790,2.22,V,G,ba
2456517.0477552,0.7916,0.0698,16.7136,0.0959,17.6020,1.78,V,G,ba
2456519.131381,0.9899,0.0948,16.4708,0.1041,17.2701,1.99,V,G,ba
2456522.0858465,0.7188,0.0566,16.8182,0.0855,17.8309,2.12,V,G,ba
2456526.0356493,1.2351,0.1947,16.2305,0.1714,16.4888,1.77,V,G,ba
2456532.0522853,0.7946,0.0826,16.7095,0.1129,17.4204,1.74,V,G,ba
2456535.0417808,0.8471,0.0627,16.6399,0.0804,17.7199,2.00,V,G,ba
2456537.0563395,0.8028,0.0640,16.6983,0.0867,17.6966,1.72,V,G,ba
2456540.0154539,0.9892,0.0561,16.4716,0.0616,17.8403,2.29,V,G,ba
2456550.0151601,0.6402,0.0623,16.9440,0.1058,17.7256,2.01,V,G,ba
2456555.074364,3.4450,0.2350,15.1168,0.0741,16.2847,2.10,V,G,ba
2456559.9985074,1.7829,0.1845,15.8320,0.1125,16.5476,2.05,V,G,ba
2456564.9979761,0.8794,0.0538,16.5993,0.0664,17.8862,2.13,V,G,ba
2456569.9518233,0.7110,0.0764,16.8301,0.1167,17.5052,1.69,V,G,ba
2456573.9788885,1.0124,0.1447,16.4464,0.1554,16.8109,2.06,V,B,ba
2456575.925991,0.7376,0.0673,16.7902,0.0992,17.6416,2.17,V,G,ba
2456600.9499273,0.6095,0.0478,16.9973,0.0853,18.0132,1.77,V,G,bb
2456618.8139199,0.8712,0.0509,16.6095,0.0636,17.9446,1.71,V,G,bb
2456620.8110697,0.6889,0.0506,16.8644,0.0798,17.9530,2.77,V,G,bb
2456621.8144644,0.5549,0.0490,17.0993,0.0960,17.9869,2.14,V,G,bb
2456624.8289962,0.7320,0.0630,16.7985,0.0936,17.7139,1.70,V,B,bb
2456625.8194746,0.6480,0.0568,16.9308,0.0953,17.8266,1.67,V,G,bb
2456629.8198862,0.6348,0.0620,16.9532,0.1062,17.7311,1.68,V,G,bb
2456631.8841314,0.8125,0.0465,16.6852,0.0622,18.0436,2.19,V,G,bb
2456642.8669673,0.7851,0.1503,16.7225,0.2081,16.7700,1.69,V,G,bb
2456648.9151457,0.8290,0.0788,16.6634,0.1033,17.4711,1.74,V,G,bb
2456652.7918556,0.6569,0.0522,16.9160,0.0864,17.9181,2.91,V,G,bb
2456656.8545145,0.7104,0.0505,16.8311,0.0772,17.9552,2.07,V,G,bb
2456682.818774,0.8084,0.0580,16.6907,0.0779,17.8043,1.99,V,G,bb
2456683.822247,0.9414,0.0468,16.5254,0.0540,18.0368,1.76,V,G,bb
2456701.7898678,0.4675,0.1065,17.1437,99.9990,17.1437,1.64,V,G,bb
2456833.9435067,0.7354,0.1099,16.7935,0.1625,17.1097,1.64,V,B,bf
2456840.9384765,0.7715,0.0826,16.7415,0.1163,17.4202,1.57,V,G,bf
2456847.9221044,0.6133,0.0730,16.9906,0.1294,17.5535,1.55,V,G,bf
2456859.9012529,0.9590,0.0791,16.5053,0.0896,17.4674,1.42,V,G,bf
2456863.1173044,0.6092,0.0819,16.9979,0.1462,17.4290,1.81,V,G,bb
2456869.1134475,0.9475,0.0702,16.5183,0.0806,17.5961,2.19,V,G,bb
2456870.1016477,0.9544,0.0848,16.5105,0.0966,17.3915,1.98,V,B,bb
2456875.1032058,0.7071,0.0358,16.8361,0.0550,18.3286,1.73,V,G,bb
2456876.8932095,0.6854,0.0558,16.8699,0.0885,17.8451,1.46,V,G,bf
2456880.8629758,0.7718,0.1047,16.7410,0.1475,17.1625,1.43,V,G,bf
2456882.0684376,0.6709,0.1061,16.8931,0.1719,17.1483,1.79,V,G,bb
2456883.0898352,0.5684,0.0837,17.0732,0.1601,17.4050,2.03,V,G,bb
2456884.1088044,0.8654,0.0889,16.6168,0.1116,17.3403,1.83,V,G,bb
2456885.1036702,1.1013,0.0872,16.3550,0.0861,17.3611,1.67,V,G,bb
2456890.0704494,0.7179,0.0483,16.8197,0.0732,18.0021,2.06,V,G,bb
2456893.1000244,0.7528,0.0456,16.7680,0.0659,18.0639,1.73,V,G,bb
2456894.0988417,0.7305,0.0342,16.8008,0.0509,18.3765,1.76,V,G,bb
2456894.8459031,0.8570,0.0526,16.6274,0.0668,17.9091,1.90,V,G,bf
2456901.8212547,0.8278,0.2215,16.3488,99.9990,16.3488,1.48,V,B,bf
2456903.0484006,0.7070,0.0504,16.8362,0.0774,17.9569,2.14,V,G,bb
2456905.0468971,0.7952,0.0633,16.7086,0.0865,17.7087,2.00,V,G,bb
2456908.0347703,0.1098,0.1177,17.0352,99.9990,17.0352,2.06,V,G,bb
2456908.8750179,0.7481,0.1062,16.7749,0.1543,17.1468,1.52,V,G,bf
2456910.0434847,0.8546,0.1484,16.6304,0.1888,16.7837,2.06,V,G,bb
2456912.0070002,0.2933,0.1088,17.1205,99.9990,17.1205,1.80,V,B,bb
2456917.0333177,0.8067,0.0743,16.6930,0.1001,17.5353,1.69,V,G,bb
2456917.9968702,0.8819,0.0626,16.5963,0.0772,17.7207,2.00,V,G,bb
2456920.1402783,0.8895,0.1048,16.5869,0.1280,17.1616,1.73,V,G,bb
2456920.8154554,0.6310,0.0458,16.9597,0.0789,18.0597,1.40,V,G,bf
2456924.0176649,0.8044,0.0446,16.6960,0.0603,18.0878,1.72,V,G,bb
2456925.7798898,0.7006,0.0482,16.8461,0.0747,18.0054,1.45,V,G,bf
2456928.7709743,1.1453,0.0601,16.3125,0.0571,17.7646,1.42,V,B,bf
2456929.0134869,0.8664,0.0765,16.6154,0.0959,17.5035,1.68,V,B,bb
2456930.7729185,0.7444,0.0539,16.7802,0.0787,17.8829,1.44,V,G,bf
2456931.7689734,0.6772,0.0501,16.8830,0.0804,17.9635,1.56,V,G,bf
2456933.0554889,0.7879,0.0381,16.7186,0.0526,18.2600,2.22,V,G,bb
2456934.0551364,0.7837,0.0712,16.7244,0.0988,17.5807,1.64,V,B,bb
2456936.0041289,0.4294,0.1360,16.8786,99.9990,16.8786,1.70,V,G,bb
2456937.9970993,0.8055,0.1234,16.6946,0.1666,16.9838,2.14,V,B,bb
2456950.732972,0.8915,0.0603,16.5845,0.0735,17.7617,1.48,V,G,bf
2456955.7124028,0.5895,0.0701,17.0335,0.1293,17.5976,1.52,V,B,bf
2456967.9411055,0.9919,0.1456,16.4686,0.1595,16.8047,1.72,V,G,bb
2456971.9444456,0.5333,0.0846,17.1423,0.1724,17.3939,1.74,V,G,bb
2456974.0370167,0.7398,0.0929,16.7870,0.1365,17.2919,1.70,V,G,bb
2456977.6547342,0.7077,0.0430,16.8351,0.0661,18.1280,1.49,V,G,bf
2456979.9265628,0.7604,0.0393,16.7572,0.0562,18.2251,2.02,V,G,bb
2456980.9562015,0.7093,0.0582,16.8328,0.0892,17.7995,2.11,V,G,bb
2456982.9086517,0.6493,0.0354,16.9288,0.0593,18.3388,1.72,V,G,bb
2456983.9105434,0.9016,0.0522,16.5723,0.0630,17.9173,1.74,V,G,bb
2456984.9179678,0.7002,0.0480,16.8467,0.0745,18.0093,1.70,V,G,bb
2456986.9015407,0.7549,0.0503,16.7651,0.0724,17.9583,1.70,V,G,bb
2456989.7748574,0.7407,0.0708,16.7856,0.1039,17.5868,1.76,V,G,bb
2456990.7812235,0.4326,0.0989,17.2246,99.9990,17.2246,1.81,V,B,bb
2456991.9058113,0.7785,0.0623,16.7316,0.0870,17.7257,1.69,V,G,bb
2456992.8622419,0.4761,0.0966,17.2499,99.9990,17.2499,1.61,V,G,bb
2456999.9851668,0.9713,0.1192,16.4914,0.1334,17.0214,1.79,V,G,bb
2457001.9906863,0.9348,0.0929,16.5330,0.1081,17.2920,2.11,V,G,bb
2457002.8992957,0.8748,0.0703,16.6051,0.0874,17.5950,2.07,V,G,bb
2457003.9106282,0.6125,0.0639,16.9920,0.1134,17.6989,2.15,V,G,bb
2457004.9528561,0.5209,0.0779,17.1678,0.1626,17.4832,2.24,V,G,bb
2457008.63798,0.7886,0.0518,16.7176,0.0713,17.9273,1.48,V,G,bf
2457011.6365288,0.7509,0.0524,16.7708,0.0758,17.9142,1.46,V,G,bf
2457013.864904,0.5760,0.0494,17.0587,0.0932,17.9781,1.76,V,G,bb
2457018.6315371,0.4635,0.0664,17.2948,0.1557,17.6568,1.52,V,G,bf
2457020.7805911,0.8562,0.0675,16.6283,0.0857,17.6392,1.76,V,G,bb
2457030.6149202,0.5138,0.0690,17.1829,0.1459,17.6160,1.73,V,B,bf
2457031.8384073,0.5929,0.0590,17.0274,0.1082,17.7850,1.72,V,G,bb
2457032.8952908,1.0754,0.0899,16.3808,0.0909,17.3275,1.72,V,G,bb
2457035.7124032,0.6001,0.0548,17.0142,0.0993,17.8653,2.47,V,G,bb
2457036.8293361,0.7159,0.0526,16.8227,0.0798,17.9108,1.71,V,G,bb
2457039.5994209,0.7006,0.0615,16.8462,0.0955,17.7398,1.53,V,G,bf
2457040.8301702,0.7565,0.0493,16.7628,0.0709,17.9794,1.73,V,G,bb
2457043.8116228,0.7455,0.0497,16.7787,0.0725,17.9716,1.70,V,G,bb
2457045.8127161,0.7107,0.0490,16.8306,0.0749,17.9874,1.78,V,G,bb
2457053.8081103,0.9250,0.1177,16.5444,0.1383,17.0357,2.29,V,B,bb
2457055.8076756,0.5613,0.1237,16.9816,99.9990,16.9816,1.71,V,B,bb
2457058.5828769,0.4740,0.1205,17.0095,99.9990,17.0095,1.57,V,B,bf
2457064.6175735,0.9224,0.0730,16.5475,0.0860,17.5542,1.46,V,G,bf
2457065.6095885,3.9102,0.1191,14.9793,0.0331,17.0222,1.57,V,G,bf
2457065.8071285,0.7560,0.0583,16.7634,0.0837,17.7991,1.82,V,G,bb
2457066.8126529,0.7905,0.0635,16.7150,0.0872,17.7063,2.00,V,G,bb
2457071.5436876,0.7658,0.0492,16.7494,0.0698,17.9832,1.61,V,G,bf
2457073.7680187,0.6899,0.0718,16.8629,0.1131,17.5722,1.72,V,G,bb
2457080.7751498,1.0924,0.1487,16.3638,0.1480,16.7813,2.39,V,G,bb
2457086.551543,0.7239,0.1374,16.8106,0.2064,16.8671,1.46,V,B,bf
2457089.5409414,1.0561,0.1173,16.4006,0.1208,17.0387,1.50,V,B,bf
2457093.522119,0.7153,0.0666,16.8236,0.1012,17.6536,2.05,V,G,bf
2457096.5240525,0.8664,0.0831,16.6155,0.1042,17.4137,1.50,V,G,bf
2457099.5064351,0.6099,0.1181,16.9966,0.2104,17.0319,1.82,V,G,bf
2457101.5016127,1.1037,0.1991,16.3527,0.1961,16.4647,1.88,V,B,bf
2457107.501355,0.9147,0.0905,16.5566,0.1075,17.3209,1.48,V,B,bf
2457111.4848616,0.8255,0.1480,16.6680,0.1949,16.7867,1.82,V,G,bf
2457207.9397178,1.0378,0.1607,16.4195,0.1683,16.6974,1.51,V,B,bf
2457218.9286556,0.7484,0.0746,16.7744,0.1084,17.5300,1.48,V,G,bf
2457219.9261055,0.7959,0.0536,16.7077,0.0733,17.8886,1.57,V,G,bf
2457220.9235767,0.9402,0.0714,16.5268,0.0826,17.5777,2.56,V,G,bf
2457221.9210829,0.6249,0.0689,16.9702,0.1198,17.6168,1.38,V,G,bf
2457226.893667,0.9171,0.0913,16.5537,0.1082,17.3117,1.37,V,G,bf
2457232.8706688,0.8548,0.1791,16.5795,99.9990,16.5795,1.56,V,B,bf
2457234.8968284,1.1118,0.1588,16.3447,0.1552,16.7105,1.57,V,G,bf
2457245.1269997,0.6583,0.0885,16.9137,0.1461,17.3453,1.65,V,G,bb
2457246.0867182,0.6944,0.0572,16.8558,0.0895,17.8191,1.63,V,G,bb
2457247.8863628,0.9561,0.0688,16.5085,0.0782,17.6184,1.48,V,G,bf
2457249.8638087,0.9363,0.0495,16.5313,0.0575,17.9755,1.36,V,G,bf
2457252.8680598,0.6826,0.0768,16.8744,0.1222,17.4996,1.66,V,G,bf
2457253.9008711,0.8586,0.0490,16.6254,0.0620,17.9876,1.51,V,G,bf
2457257.8373536,0.7147,0.0469,16.8244,0.0713,18.0341,1.46,V,G,bf
2457264.8578656,1.0292,0.1485,16.4285,0.1568,16.7833,1.47,V,B,bf
2457266.8585694,0.5892,0.1087,17.0341,0.2005,17.1220,1.47,V,G,bf
2457273.908473,0.9827,0.0636,16.4787,0.0703,17.7041,1.41,V,G,bf
2457276.7749007,0.7099,0.0614,16.8317,0.0940,17.7426,1.57,V,G,bf
2457277.7695315,0.9121,0.0714,16.5597,0.0851,17.5781,1.37,V,G,bf
2457278.1162498,0.7290,0.0358,16.8029,0.0533,18.3288,1.66,V,G,bb
2457282.7480636,0.8362,0.1141,16.6540,0.1483,17.0691,2.06,V,G,bf
2457283.7524566,0.8349,0.0687,16.6557,0.0895,17.6193,1.61,V,G,bf
2457287.7368587,1.2068,0.0934,16.2557,0.0842,17.2859,1.48,V,G,bf
2457288.7330065,0.7988,0.1065,16.7037,0.1449,17.1441,1.39,V,G,bf
2457291.732393,0.3329,0.1200,17.0147,99.9990,17.0147,1.49,V,G,bf
2457292.8383504,0.7904,0.1052,16.7152,0.1447,17.1569,1.65,V,G,bf
2457293.7176914,0.9875,0.1892,16.4735,0.2083,16.5201,1.67,V,B,bf
2457294.7145122,1.4588,0.1787,16.0498,0.1332,16.5818,1.51,V,B,bf
2457295.8630609,1.0875,0.1466,16.3687,0.1465,16.7973,1.51,V,B,bf
2457302.8060183,0.5375,0.0660,17.1338,0.1335,17.6633,1.88,V,B,bf
2457304.6967264,0.8291,0.0570,16.6633,0.0747,17.8229,1.40,V,G,bf
2457311.7502855,0.9044,0.1117,16.5689,0.1343,17.0920,1.48,V,G,bf
2457312.6852531,0.7677,0.0504,16.7468,0.0714,17.9561,1.44,V,G,bf
2457313.6896873,0.8014,0.0423,16.7001,0.0574,18.1467,1.43,V,G,bf
2457315.6689337,0.6932,0.1344,16.8576,0.2108,16.8910,1.48,V,B,bf
2457318.7720112,0.7069,0.0555,16.8364,0.0853,17.8517,1.50,V,G,bf
2457319.705658,0.7408,0.0797,16.7855,0.1170,17.4583,1.56,V,G,bf
2457321.881949,0.5005,0.1165,17.0467,99.9990,17.0467,1.67,V,G,bb
2457327.8499229,1.1535,0.1795,16.3047,0.1691,16.5773,1.42,V,G,bf
2457331.849492,0.9123,0.0608,16.5594,0.0724,17.7525,1.45,V,G,bf
2457333.7771256,0.8234,0.0413,16.6708,0.0545,18.1722,1.38,V,G,bf
2457334.736254,0.7006,0.0489,16.8461,0.0758,17.9901,1.37,V,G,bf
2457338.7740551,0.7314,0.0401,16.7994,0.0596,18.2048,1.51,V,G,bf
2457340.6648255,0.5830,0.0547,17.0457,0.1019,17.8682,1.43,V,G,bf
2457345.6798988,0.7472,0.0542,16.7761,0.0789,17.8764,1.67,V,G,bf
2457347.6335582,0.7186,0.0823,16.8186,0.1245,17.4238,1.52,V,G,bf
2457348.5628354,0.6379,0.0962,16.9479,0.1640,17.2541,1.43,V,G,bf
2457350.7094474,0.8201,0.2223,16.3451,99.9990,16.3451,1.77,V,B,bf
2457354.8069443,0.9572,0.1104,16.5073,0.1254,17.1050,1.47,V,G,bf
