# ASAS-SN SkyPatrol ID: 77309483554
# ATLAS-REFCAT2: 160801822867024418
# Gaia DR2: 1539137234585355136
# TESS Input Catalog (TIC): 376505154
# Million Quasars Catalog (MILLIQUAS): NGC 4135
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NGC 4135
# GLADE HyperLEDA: NGC4135
# GLADE 2MASS Extended Source Catalog: 12090882+4400112


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455951.1041103,6.7769,0.0292,14.3822,0.0047,18.5487,2.40,V,G,ba
2455951.1118236,7.0002,0.0397,14.3470,0.0062,18.2144,2.38,V,G,ba
2455970.0980892,6.9397,0.0625,14.3564,0.0098,17.7228,2.16,V,G,ba
2455972.0480199,7.1202,0.0547,14.3285,0.0084,17.8672,2.10,V,G,ba
2455989.0008574,6.9684,0.0536,14.3519,0.0084,17.8893,2.37,V,G,ba
2455989.0043763,7.1148,0.0434,14.3294,0.0066,18.1180,2.36,V,G,ba
2456318.0224467,6.9824,0.0978,14.3498,0.0152,17.2367,1.77,V,G,ba
2456318.0353657,6.9095,0.1440,14.3612,0.0227,16.8166,1.74,V,G,ba
2456325.9910743,6.8872,0.0643,14.3647,0.0102,17.6911,2.50,V,G,ba
2456325.9944716,7.1998,0.0737,14.3165,0.0111,17.5444,2.38,V,G,ba
2456337.857262,6.7282,0.0375,14.3900,0.0061,18.2770,2.17,V,G,ba
2456337.8607457,7.3271,0.0580,14.2975,0.0086,17.8040,2.13,V,G,ba
2456345.0209731,6.1021,0.2294,14.4961,0.0409,16.3110,1.72,V,B,ba
2456348.8936846,7.1749,0.1985,14.3202,0.0301,16.4682,2.00,V,G,ba
2456354.0069981,6.7638,0.0637,14.3843,0.0102,17.7016,2.09,V,G,ba
2456354.9895387,7.3248,0.0744,14.2978,0.0110,17.5329,2.05,V,G,ba
2456356.9831584,6.9370,0.0517,14.3569,0.0081,17.9292,1.72,V,G,ba
2456357.9451923,6.9903,0.0609,14.3485,0.0095,17.7514,1.76,V,G,ba
2456358.9384374,6.9606,0.0910,14.3532,0.0142,17.3153,1.74,V,G,ba
2456364.9390192,6.9080,0.0507,14.3614,0.0080,17.9508,2.27,V,G,ba
2456369.8896001,6.9046,0.1046,14.3619,0.0165,17.1640,1.74,V,G,ba
2456376.9038199,7.4605,0.1214,14.2779,0.0177,17.0015,2.22,V,G,ba
2456380.9665779,6.7338,0.1407,14.3891,0.0227,16.8419,1.81,V,G,ba
2456387.8829353,6.8133,0.0393,14.3764,0.0063,18.2272,2.18,V,G,ba
2456389.8462284,7.2708,0.0625,14.3058,0.0093,17.7224,2.11,V,G,ba
2456392.8139116,6.7927,0.0420,14.3797,0.0067,18.1536,2.44,V,G,ba
2456393.8509106,7.2323,0.0584,14.3116,0.0088,17.7958,2.18,V,G,ba
2456400.7518192,7.3896,0.0897,14.2882,0.0132,17.3302,2.59,V,G,ba
2456400.8200281,6.9275,0.0967,14.3583,0.0152,17.2485,2.28,V,G,ba
2456404.8854782,6.8825,0.1059,14.3654,0.0167,17.1502,2.01,V,G,ba
2456406.8537945,6.5345,0.1607,14.4217,0.0267,16.6976,2.02,V,G,ba
2456411.8575525,6.6017,0.1314,14.4106,0.0216,16.9155,2.16,V,B,ba
2456414.8327242,7.1241,0.0511,14.3280,0.0078,17.9417,2.14,V,G,ba
2456436.8111652,6.5786,0.1034,14.4145,0.0171,17.1765,2.70,V,G,ba
2456439.8122063,7.1552,0.1147,14.3232,0.0174,17.0636,2.17,V,B,ba
2456449.7855602,7.1965,0.0691,14.3170,0.0104,17.6144,2.85,V,G,ba
2456452.7887845,6.9139,0.0610,14.3605,0.0096,17.7484,1.72,V,B,ba
2456459.7741263,6.9057,0.0845,14.3618,0.0133,17.3950,1.72,V,G,ba
2456460.7745999,6.7808,0.1203,14.3816,0.0193,17.0120,1.71,V,G,ba
2456463.774827,7.1467,0.1100,14.3245,0.0167,17.1086,1.75,V,G,ba
2456464.7720124,6.7070,0.1542,14.3935,0.0250,16.7424,1.75,V,G,ba
2456473.7589614,6.7476,0.0756,14.3869,0.0122,17.5167,1.75,V,G,ba
2456475.7562169,7.9330,0.1200,14.2112,0.0164,17.0144,1.77,V,G,ba
2456480.7601959,6.8377,0.2795,14.3725,0.0444,16.0962,1.78,V,B,ba
2456481.7532154,6.9601,0.1258,14.3532,0.0196,16.9631,1.85,V,B,ba
2456482.7476366,7.2346,0.2223,14.3112,0.0334,16.3448,1.97,V,G,ba
2456593.1442756,7.6519,0.1557,14.2504,0.0221,16.7313,2.94,V,G,ba
2456594.141193,7.3230,0.1227,14.2981,0.0182,16.9904,1.70,V,G,ba
2456594.141193,7.0324,0.2078,14.3420,0.0321,16.4184,1.62,V,B,bc
2456596.1349167,6.4602,0.0721,14.4342,0.0121,17.5672,3.12,V,G,ba
2456596.1349167,7.2866,0.2244,14.3035,0.0335,16.3346,2.65,V,G,bc
2456598.1407442,7.2327,0.0877,14.3115,0.0132,17.3554,1.66,V,G,ba
2456598.1407442,6.5061,0.2008,14.4265,0.0335,16.4557,1.81,V,G,bc
2456600.1365092,6.6874,0.2340,14.3966,0.0380,16.2892,2.59,V,G,bc
2456601.136196,7.0118,0.0589,14.3452,0.0091,17.7873,2.21,V,G,ba
2456601.136196,7.3082,0.1586,14.3003,0.0236,16.7113,2.18,V,G,bc
2456606.129254,6.7368,0.2051,14.3886,0.0331,16.4327,2.63,V,G,bc
2456619.1305433,6.8384,0.0767,14.3724,0.0122,17.5004,2.04,V,G,ba
2456622.1135287,6.8281,0.0701,14.3740,0.0112,17.5975,1.78,V,G,ba
2456625.1191245,6.8200,0.0806,14.3753,0.0128,17.4470,2.30,V,G,ba
2456625.1191245,6.9461,0.0852,14.3554,0.0133,17.3856,1.57,V,G,bc
2456626.1192501,6.6755,0.0644,14.3986,0.0105,17.6907,1.46,V,G,bc
2456632.0783552,6.6996,0.0663,14.3947,0.0108,17.6592,2.23,V,G,ba
2456639.0217483,7.2189,0.2430,14.3136,0.0366,16.2485,1.72,V,G,ba
2456652.0442542,7.0235,0.0915,14.3434,0.0142,17.3083,1.44,V,G,bc
2456657.0407919,7.2410,0.0777,14.3103,0.0117,17.4868,1.43,V,G,bc
2456674.944009,7.0417,0.2397,14.3406,0.0370,16.2631,2.25,V,G,ba
2456674.944009,6.8854,0.1838,14.3650,0.0290,16.5515,1.60,V,G,bc
2456675.9995822,6.6157,0.1580,14.4083,0.0260,16.7155,1.66,V,G,ba
2456675.9995822,6.6686,0.1149,14.3997,0.0187,17.0614,1.92,V,G,bc
2456676.9581684,6.5932,0.1655,14.4120,0.0273,16.6656,1.67,V,G,ba
2456676.9581684,6.9952,0.1083,14.3478,0.0168,17.1258,2.65,V,G,bc
2456677.9911966,6.8897,0.0992,14.3643,0.0157,17.2211,3.06,V,G,bc
2456677.9912197,6.8923,0.1547,14.3639,0.0244,16.7385,2.02,V,G,ba
2456678.9486141,6.9712,0.1215,14.3515,0.0189,17.0013,2.30,V,G,bc
2456678.9503511,7.1562,0.2562,14.3231,0.0389,16.1911,3.13,V,G,ba
2456681.9197451,6.9828,0.1120,14.3497,0.0174,17.0898,1.97,V,G,bc
2456681.9197715,6.7110,0.0801,14.3928,0.0130,17.4537,1.70,V,G,ba
2456683.9072355,6.8395,0.0747,14.3722,0.0119,17.5297,2.66,V,G,bc
2456700.8512374,6.2989,0.0335,14.4616,0.0058,18.3994,1.76,V,G,ba
2456700.8512374,6.6719,0.1332,14.3992,0.0217,16.9009,2.30,V,G,bc
2456729.7762528,7.1842,0.1585,14.3188,0.0240,16.7124,2.19,V,G,bc
2456734.0618294,6.6918,0.1737,14.3959,0.0282,16.6128,2.21,V,B,bc
2456735.9319316,6.7505,0.1238,14.3864,0.0199,16.9807,1.60,V,B,bc
2456736.9065855,6.7892,0.0946,14.3802,0.0151,17.2726,1.47,V,B,bc
2456740.7563449,6.6869,0.0799,14.3967,0.0130,17.4567,1.63,V,G,ba
2456740.7563449,6.9001,0.0810,14.3626,0.0128,17.4411,1.38,V,G,bc
2456742.0301741,6.5219,0.1106,14.4238,0.0184,17.1032,1.92,V,G,bc
2456742.0301741,6.7051,0.0735,14.3938,0.0119,17.5465,1.79,V,G,ba
2456751.7380817,6.9298,0.0872,14.3580,0.0137,17.3610,2.37,V,G,ba
2456751.7380888,6.6176,0.0762,14.4080,0.0125,17.5073,1.49,V,G,bc
2456752.7382522,7.0243,0.0947,14.3433,0.0147,17.2716,1.44,V,G,bc
2456757.7972394,6.8985,0.1009,14.3629,0.0159,17.2022,2.24,V,G,bc
2456757.7972394,6.6825,0.1691,14.3974,0.0275,16.6422,1.80,V,G,ba
2456758.7343658,6.9399,0.1551,14.3564,0.0243,16.7361,1.69,V,G,bc
2456758.7356873,6.9829,0.2395,14.3497,0.0373,16.2643,3.48,V,G,ba
2456765.8819124,7.3541,0.4662,14.2935,0.0689,15.5409,2.21,V,B,ba
2456770.8786198,6.9164,0.0901,14.3601,0.0142,17.3257,2.78,V,G,bc
2456770.8786198,6.5803,0.0537,14.4142,0.0089,17.8873,2.25,V,G,ba
2456778.8735375,6.8713,0.0896,14.3672,0.0142,17.3315,1.71,V,G,ba
2456778.8735375,6.4839,0.1020,14.4302,0.0171,17.1910,1.69,V,G,bc
2456783.8445194,6.6928,0.0702,14.3958,0.0114,17.5959,1.78,V,G,ba
2456783.8445194,6.9540,0.0700,14.3542,0.0109,17.5990,1.70,V,G,bc
2456784.8281889,6.5368,0.0789,14.4214,0.0131,17.4700,2.60,V,G,ba
2456784.8281889,7.0599,0.0788,14.3378,0.0121,17.4705,2.23,V,G,bc
2456785.8349848,6.5662,0.1043,14.4165,0.0173,17.1669,1.81,V,G,ba
2456785.8349848,6.8111,0.0809,14.3767,0.0129,17.4430,2.09,V,G,bc
2456794.8211579,7.0012,0.1265,14.3468,0.0196,16.9568,1.71,V,G,ba
2456794.8225702,6.7108,0.1440,14.3928,0.0233,16.8162,1.88,V,B,bc
2456795.8331317,6.6960,0.1102,14.3952,0.0179,17.1067,2.38,V,B,bc
2456797.8338563,6.8287,0.0433,14.3739,0.0069,18.1221,1.80,V,G,ba
2456797.8338563,6.8090,0.0971,14.3771,0.0155,17.2444,1.54,V,G,bc
2456798.8180728,7.0109,0.0757,14.3453,0.0117,17.5142,1.63,V,G,bc
2456798.8180728,6.7502,0.0556,14.3865,0.0089,17.8502,1.65,V,G,ba
2456800.811095,6.8008,0.0437,14.3784,0.0070,18.1123,1.65,V,G,ba
2456800.811095,7.0304,0.1114,14.3423,0.0172,17.0954,1.42,V,G,bc
2456801.8117343,6.9993,0.0635,14.3471,0.0099,17.7047,1.70,V,G,ba
2456801.8117343,6.9345,0.0748,14.3572,0.0117,17.5283,1.50,V,G,bc
2456802.8092619,6.6512,0.0488,14.4025,0.0080,17.9904,1.83,V,G,ba
2456802.8092619,6.6590,0.0973,14.4013,0.0159,17.2417,1.50,V,G,bc
2456804.8084571,6.4973,0.0542,14.4280,0.0091,17.8769,2.10,V,G,ba
2456804.8084672,6.8777,0.0879,14.3662,0.0139,17.3520,2.00,V,G,bc
2456806.8257862,6.7351,0.0664,14.3889,0.0107,17.6564,2.17,V,G,ba
2456806.8257862,6.6887,0.0786,14.3964,0.0128,17.4740,2.06,V,G,bc
2456807.8170356,6.6456,0.0629,14.4034,0.0103,17.7162,2.21,V,G,ba
2456807.8170356,7.1731,0.0863,14.3205,0.0131,17.3728,1.89,V,G,bc
2456810.7982959,6.5644,0.0705,14.4168,0.0117,17.5923,2.20,V,G,ba
2456810.7982959,7.0397,0.0771,14.3409,0.0119,17.4953,2.06,V,G,bc
2456813.8078907,6.2466,0.1912,14.4707,0.0333,16.5086,2.00,V,B,ba
2456813.8078907,6.2294,0.1996,14.4737,0.0348,16.4620,1.46,V,B,bc
2456814.7936468,7.0534,0.1161,14.3388,0.0179,17.0500,1.80,V,G,ba
2456814.7936468,6.8629,0.1065,14.3685,0.0169,17.1436,1.41,V,G,bc
2456815.7559715,6.4442,0.1077,14.4369,0.0182,17.1314,2.24,V,G,ba
2456815.7559715,6.7952,0.0856,14.3793,0.0137,17.3806,1.41,V,G,bc
2456816.7917039,6.7989,0.0955,14.3787,0.0153,17.2623,1.74,V,G,ba
2456816.7917039,6.8348,0.1014,14.3730,0.0161,17.1972,1.39,V,G,bc
2456817.7567205,6.9668,0.0856,14.3522,0.0134,17.3815,2.13,V,B,ba
2456817.7567205,6.9631,0.1072,14.3528,0.0167,17.1373,1.35,V,G,bc
2456818.7865899,6.7680,0.1184,14.3836,0.0190,17.0288,1.33,V,G,bc
2456819.7960316,6.9110,0.1663,14.3609,0.0262,16.6599,1.36,V,G,bc
2456820.7842805,6.5820,0.2037,14.4139,0.0336,16.4399,2.01,V,G,ba
2456820.7842805,6.6670,0.1838,14.4000,0.0300,16.5515,1.37,V,G,bc
2456821.7826723,5.4874,0.4058,14.6114,0.0804,15.6917,2.05,V,B,ba
2456821.7826723,7.1575,0.2632,14.3229,0.0400,16.1618,1.54,V,B,bc
2456822.7847363,6.7618,0.1223,14.3846,0.0197,16.9939,1.70,V,G,ba
2456822.7847363,6.5133,0.1017,14.4253,0.0170,17.1943,1.48,V,G,bc
2456823.776713,7.0401,0.0574,14.3408,0.0089,17.8157,2.03,V,G,ba
2456823.776713,6.8186,0.0674,14.3755,0.0107,17.6407,1.65,V,G,bc
2456824.7862144,7.0549,0.0805,14.3386,0.0124,17.4478,1.68,V,G,bc
2456824.7862144,6.7563,0.0579,14.3855,0.0093,17.8061,2.02,V,G,ba
