# ASAS-SN SkyPatrol ID: 180388866763
# ATLAS-REFCAT2: 134751792945125939
# Gaia DR2: 4000577013329167616
# TESS Input Catalog (TIC): 202363415
# Million Quasars Catalog (MILLIQUAS): PGC 1667280
# AllWISE AGN Catalog: WISEA J115710.68+221746.2
# GLADE HyperLEDA: 1667280
# GLADE 2MASS Extended Source Catalog: 11571066+2217458


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455952.0285208,1.5220,0.0283,16.0038,0.0202,18.5838,2.75,V,G,ba
2455985.0327517,1.5021,0.0360,16.0180,0.0260,18.3222,2.18,V,G,ba
2455989.0132589,1.1555,0.0599,16.3029,0.0563,17.7690,2.42,V,G,ba
2456318.0121997,1.5947,0.0973,15.9531,0.0663,17.2419,1.79,V,G,ba
2456325.9979103,1.5993,0.0482,15.9500,0.0328,18.0047,2.45,V,G,ba
2456342.9006228,1.4060,0.0637,16.0898,0.0493,17.7012,2.06,V,G,ba
2456353.9404165,1.6711,0.0676,15.9023,0.0440,17.6367,2.19,V,G,ba
2456355.9932614,1.6171,0.0411,15.9379,0.0276,18.1787,1.80,V,G,ba
2456359.9223455,1.4533,0.0359,16.0539,0.0269,18.3235,2.09,V,G,ba
2456360.9267378,1.5471,0.0583,15.9860,0.0410,17.7984,2.03,V,G,ba
2456371.8682956,1.5317,0.0501,15.9969,0.0355,17.9631,1.76,V,G,ba
2456386.8647537,1.3940,0.0386,16.0991,0.0301,18.2446,2.21,V,G,ba
2456390.8925511,1.5650,0.0372,15.9735,0.0259,18.2848,2.11,V,G,ba
2456393.8693168,1.1897,0.0426,16.2712,0.0389,18.1386,2.21,V,G,ba
2456401.8408647,1.4520,0.0730,16.0548,0.0546,17.5548,2.23,V,G,ba
2456436.8181155,0.8191,0.1144,16.6765,0.1518,17.0664,3.02,V,B,ba
2456461.7577841,1.4750,0.0972,16.0378,0.0716,17.2432,1.87,V,G,ba
2456466.764909,1.5849,0.1186,15.9598,0.0814,17.0267,1.75,V,G,ba
2456477.7564537,1.5268,0.0931,16.0003,0.0663,17.2903,1.70,V,G,ba
2456598.1379533,1.3518,0.1101,16.1325,0.0885,17.1078,1.71,V,G,bc
2456600.1336922,1.5661,0.1064,15.9728,0.0738,17.1452,2.41,V,G,bc
