# ASAS-SN SkyPatrol ID: 231928511398
# ATLAS-REFCAT2: 157552406580752753
# Gaia DR2: 1383282835738687872
# TESS Input Catalog (TIC): 24079067
# Million Quasars Catalog (MILLIQUAS): MCG 7-33-028
# GLADE HyperLEDA: 56805
# GLADE 2MASS Extended Source Catalog: 16023790+4117358


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456337.0085597,3.3008,0.0467,15.1632,0.0154,18.0381,2.24,V,G,ba
2456350.0093261,3.0261,0.1524,15.2576,0.0547,16.7552,2.32,V,G,ba
2456355.1384279,2.9251,0.0632,15.2944,0.0235,17.7102,2.08,V,G,ba
2456358.104702,3.2009,0.0502,15.1966,0.0170,17.9605,2.01,V,G,ba
2456359.1203476,3.1302,0.0419,15.2208,0.0146,18.1565,1.88,V,G,ba
2456371.9592778,3.3338,0.0571,15.1524,0.0186,17.8210,1.89,V,G,ba
2456381.1170039,3.3270,0.1094,15.1547,0.0357,17.1146,1.71,V,G,ba
2456389.9381108,2.9569,0.0479,15.2827,0.0176,18.0119,2.16,V,G,ba
2456393.122319,3.2142,0.0479,15.1921,0.0162,18.0113,1.76,V,G,ba
2456396.9816842,3.2548,0.0507,15.1785,0.0169,17.9498,2.14,V,B,ba
2456402.9502167,3.1078,0.0596,15.2287,0.0208,17.7750,2.13,V,G,ba
2456408.9531179,3.3698,0.1743,15.1408,0.0562,16.6094,2.17,V,G,ba
2456414.9457245,3.1673,0.0391,15.2081,0.0134,18.2328,2.32,V,G,ba
2456436.915112,2.9840,0.1141,15.2728,0.0416,17.0692,2.65,V,G,ba
2456444.9077224,3.1134,0.0395,15.2267,0.0138,18.2218,2.70,V,G,ba
2456449.8998719,3.2604,0.0435,15.1766,0.0145,18.1168,2.64,V,G,ba
2456453.8808159,2.6442,0.1567,15.4040,0.0644,16.7250,1.99,V,B,ba
2456458.8744167,3.4631,0.0588,15.1111,0.0185,17.7883,2.15,V,G,ba
2456461.9399618,3.3337,0.0617,15.1525,0.0201,17.7365,1.99,V,G,ba
2456464.8583462,3.4951,0.1112,15.1011,0.0346,17.0973,1.82,V,G,ba
2456467.9751529,3.1167,0.1625,15.2256,0.0567,16.6851,1.82,V,B,ba
2456471.8162658,3.3363,0.0455,15.1516,0.0148,18.0668,2.26,V,G,ba
2456475.9043962,3.2405,0.0488,15.1832,0.0164,17.9918,1.85,V,G,ba
2456480.8398194,3.1490,0.0523,15.2144,0.0181,17.9154,2.06,V,B,ba
2456484.8385644,3.5372,0.0500,15.0881,0.0154,17.9645,2.09,V,G,ba
2456487.8334698,3.0267,0.0470,15.2573,0.0169,18.0326,1.84,V,G,ba
2456490.8156504,3.2457,0.0728,15.1815,0.0244,17.5570,1.71,V,G,ba
2456493.8928516,3.0642,0.1036,15.2440,0.0368,17.1739,2.35,V,G,ba
