# ASAS-SN SkyPatrol ID: 68720436626
# ATLAS-REFCAT2: 155082432590035167
# Gaia DR2: 1379118126211085440
# TESS Input Catalog (TIC): 286212204
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NPM 1G+39.0402
# GLADE HyperLEDA: 2146028
# GLADE 2MASS Extended Source Catalog: 16130214+3914137


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456649.1701157,3.8031,0.1518,15.0094,0.0434,16.7592,1.65,V,G,bd
2456652.1558751,3.6389,0.0652,15.0574,0.0195,17.6760,2.63,V,G,bd
2456658.1454655,3.7838,0.0515,15.0150,0.0148,17.9320,1.68,V,B,bd
2456676.0882693,3.8895,0.0778,14.9850,0.0217,17.4845,2.69,V,G,bd
2456677.11922,3.8657,0.0696,14.9917,0.0196,17.6051,2.10,V,G,bd
2456678.1309761,3.9819,0.1017,14.9595,0.0278,17.1938,1.84,V,G,bd
2456701.0741687,4.0610,0.0957,14.9382,0.0256,17.2602,1.53,V,G,bd
2456730.041389,4.1490,0.0737,14.9149,0.0193,17.5438,1.55,V,B,bd
2456734.0753317,3.7933,0.1075,15.0122,0.0308,17.1336,1.46,V,B,bd
2456735.0969373,3.9210,0.1004,14.9763,0.0278,17.2079,1.50,V,B,bd
2456736.0755686,3.6658,0.1008,15.0494,0.0299,17.2041,1.49,V,G,bd
2456741.012576,3.6857,0.0512,15.0435,0.0151,17.9389,2.01,V,G,bd
2456742.1526871,4.0761,0.1023,14.9342,0.0273,17.1876,1.48,V,G,bd
2456751.0729447,3.6809,0.0473,15.0449,0.0140,18.0259,1.50,V,G,bd
2456757.1221547,3.8987,0.0534,14.9825,0.0149,17.8935,1.61,V,G,bd
2456757.8697931,3.8532,0.1039,14.9952,0.0293,17.1704,1.47,V,G,bd
2456765.0305749,3.7082,0.0742,15.0369,0.0218,17.5360,2.18,V,G,bd
2456766.9790881,3.8829,0.0856,14.9869,0.0240,17.3813,1.72,V,G,bd
2456772.108538,3.8947,0.0476,14.9836,0.0133,18.0185,1.92,V,G,bd
2456783.8168609,3.9761,0.0650,14.9611,0.0178,17.6802,1.48,V,G,bd
2456784.9438111,3.8871,0.0527,14.9857,0.0147,17.9074,1.60,V,G,bd
2456785.7919743,4.0216,0.0680,14.9488,0.0184,17.6309,2.67,V,G,bd
2456787.7958775,3.9170,0.1051,14.9774,0.0292,17.1584,1.64,V,G,bd
2456788.928845,3.8216,0.0701,15.0042,0.0199,17.5985,1.54,V,G,bd
2456796.0583377,4.0321,0.0895,14.9460,0.0241,17.3323,1.50,V,G,bd
2456797.0651765,3.8591,0.0779,14.9936,0.0219,17.4837,1.48,V,G,bd
2456797.9263776,3.9672,0.0591,14.9636,0.0162,17.7826,1.42,V,G,bd
2456799.0560089,3.5829,0.0718,15.0742,0.0218,17.5713,1.45,V,G,bd
