# ASAS-SN SkyPatrol ID: 137439699684
# ATLAS-REFCAT2: 161921978918530350
# Gaia DR2: 1529720810847930624
# TESS Input Catalog (TIC): 202297968
# Million Quasars Catalog (MILLIQUAS): MCG 8-24-071
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MCG 8-24-071
# GLADE HyperLEDA: 45803
# GLADE 2MASS Extended Source Catalog: 13113402+4455588


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456632.095189,2.5906,0.0527,15.4263,0.0221,17.9074,1.46,V,B,bd
2456638.0796064,2.4999,0.0519,15.4650,0.0225,17.9254,3.05,V,G,bd
2456642.0611451,2.6131,0.0981,15.4169,0.0408,17.2336,3.29,V,G,bd
2456649.0471343,2.8621,0.0930,15.3181,0.0353,17.2910,1.86,V,G,bd
2456652.076425,2.6967,0.0649,15.3827,0.0261,17.6826,1.63,V,G,bd
2456657.0663136,2.5156,0.0518,15.4582,0.0224,17.9264,1.70,V,G,bd
2456675.9631475,2.4381,0.1075,15.4922,0.0479,17.1340,2.49,V,G,bd
2456677.0228376,2.6834,0.0830,15.3881,0.0336,17.4149,1.72,V,G,bd
2456678.0559313,2.7777,0.0851,15.3506,0.0333,17.3876,1.62,V,G,bd
2456688.984389,2.7192,0.0410,15.3737,0.0164,18.1794,1.55,V,G,bd
2456730.8263292,2.4493,0.1268,15.4872,0.0563,16.9549,1.64,V,G,bd
2456735.9451682,2.6294,0.0967,15.4101,0.0400,17.2491,1.44,V,G,bd
2456740.7994722,2.4788,0.0585,15.4742,0.0256,17.7947,1.46,V,G,bd
2456743.9218672,2.6569,0.0510,15.3988,0.0208,17.9443,2.46,V,G,bd
2456755.9254804,2.7722,0.1318,15.3527,0.0517,16.9127,1.80,V,B,bd
2456756.7492656,2.7164,0.0997,15.3748,0.0399,17.2159,2.12,V,G,bd
2456765.0237814,2.5708,0.1139,15.4346,0.0481,17.0714,2.03,V,G,bd
2456771.0620941,2.6297,0.0698,15.4100,0.0289,17.6020,1.48,V,G,bd
2456781.7772141,2.5495,0.1143,15.4436,0.0487,17.0676,1.62,V,B,bd
2456783.77507,2.6073,0.0763,15.4193,0.0318,17.5055,1.51,V,G,bd
2456784.7890519,2.5559,0.0628,15.4409,0.0267,17.7180,2.05,V,G,bd
2456785.8712678,2.7373,0.0718,15.3665,0.0285,17.5725,2.16,V,G,bd
2456788.8540774,2.2146,0.0802,15.5966,0.0393,17.4525,1.50,V,G,bd
2456794.9392964,2.8289,0.0787,15.3307,0.0302,17.4722,1.55,V,G,bd
2456796.9373826,2.5903,0.0684,15.4264,0.0287,17.6250,1.46,V,G,bd
2456800.8486897,2.4871,0.0628,15.4705,0.0274,17.7182,1.52,V,G,bd
2456804.8409679,2.5577,0.0407,15.4402,0.0173,18.1895,1.47,V,G,bd
2456806.8501786,2.4029,0.0549,15.5079,0.0248,17.8640,1.63,V,G,bd
2456809.8593299,2.6391,0.0654,15.4061,0.0269,17.6738,1.56,V,G,bd
2456811.8527626,2.6964,0.0588,15.3828,0.0237,17.7883,1.44,V,G,bd
2456812.8316028,2.4704,0.0650,15.4779,0.0286,17.6804,1.44,V,G,bd
2456814.8271308,2.7416,0.0714,15.3648,0.0283,17.5782,1.43,V,G,bd
2456815.8273237,2.7858,0.0647,15.3474,0.0252,17.6855,1.44,V,G,bd
2456817.8138112,2.6677,0.0836,15.3945,0.0341,17.4064,1.40,V,G,bd
2456818.8435328,2.8484,0.0948,15.3233,0.0362,17.2709,1.48,V,G,bd
2456819.8242836,2.3065,0.0819,15.5524,0.0386,17.4292,1.53,V,G,bd
2456821.8140665,2.0464,0.1764,15.6823,0.0937,16.5959,1.50,V,B,bd
2456823.8656902,2.4927,0.1315,15.4681,0.0573,16.9151,1.72,V,G,bd
2456826.804374,2.4750,0.0564,15.4758,0.0248,17.8338,1.47,V,G,bd
2456828.8143214,2.5318,0.0748,15.4512,0.0321,17.5275,2.12,V,G,bd
2456830.8384335,2.6552,0.0643,15.3995,0.0263,17.6912,1.62,V,G,bd
2456834.8086229,2.6890,0.0723,15.3858,0.0292,17.5652,2.06,V,G,bd
2456835.8152125,2.6224,0.0482,15.4130,0.0200,18.0043,1.76,V,G,bd
2456846.7796724,2.6813,0.0933,15.3889,0.0378,17.2878,1.66,V,B,bd
2456848.7597206,2.4415,0.0733,15.4906,0.0326,17.5497,1.70,V,B,bd
2456849.7595699,2.5694,0.1323,15.4352,0.0560,16.9082,1.78,V,G,bd
2456850.7594028,2.6486,0.1947,15.4022,0.0799,16.4890,2.05,V,B,bd
2456855.752877,2.6877,0.0782,15.3863,0.0316,17.4798,1.75,V,G,bd
2456856.7586943,2.5794,0.0705,15.4310,0.0297,17.5919,1.57,V,G,bd
2456857.7556687,2.6726,0.0587,15.3924,0.0239,17.7916,1.76,V,G,bd
2456974.1489375,2.3371,0.1252,15.5381,0.0582,16.9684,1.56,V,B,bd
2456989.1395924,2.8505,0.0914,15.3225,0.0348,17.3104,1.47,V,B,bd
2456990.140094,2.5956,0.1521,15.4242,0.0637,16.7570,1.62,V,B,bd
2456992.1419404,2.6504,0.0598,15.4015,0.0245,17.7713,1.51,V,G,bd
2456994.137648,2.6580,0.0631,15.3984,0.0258,17.7122,1.71,V,G,bd
2456998.1391496,2.8323,0.1330,15.3294,0.0510,16.9026,1.66,V,G,bd
2457000.1287409,2.6557,0.0894,15.3993,0.0366,17.3340,1.48,V,G,bd
2457002.1185791,2.4837,0.0750,15.4720,0.0328,17.5254,1.52,V,G,bd
2457004.1126462,2.4338,0.0864,15.4941,0.0386,17.3712,1.46,V,G,bd
2457007.1154906,2.6105,0.0720,15.4180,0.0300,17.5686,1.55,V,B,bd
2457012.1034925,2.6057,0.0468,15.4200,0.0195,18.0366,1.55,V,G,bd
2457019.0926227,2.6236,0.0545,15.4125,0.0226,17.8715,2.21,V,G,bd
2457024.1362443,2.5382,0.0485,15.4484,0.0208,17.9977,1.90,V,G,bd
2457025.1117933,2.6270,0.0498,15.4111,0.0206,17.9697,1.72,V,G,bd
2457032.0589781,2.4650,0.0805,15.4802,0.0355,17.4479,1.70,V,G,bd
2457035.0644293,2.6407,0.0770,15.4055,0.0317,17.4956,1.50,V,G,bd
