# ASAS-SN SkyPatrol ID: 661431224170
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MCG 5-31-167


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456632.1035306,5.4890,0.0484,14.6110,0.0096,18.0006,1.48,V,B,bd
2456638.0881628,5.5098,0.0534,14.6069,0.0105,17.8935,2.71,V,G,bd
2456642.0639512,5.3425,0.0930,14.6404,0.0189,17.2914,3.08,V,G,bd
2456649.0551209,5.4277,0.0841,14.6232,0.0169,17.3998,1.65,V,G,bd
2456652.0899833,5.4459,0.0548,14.6196,0.0109,17.8663,1.69,V,G,bd
2456674.9903377,5.1358,0.1113,14.6833,0.0236,17.0956,1.52,V,G,bd
2456676.0357045,5.3919,0.0917,14.6304,0.0185,17.3070,2.44,V,G,bd
2456678.0528365,5.4631,0.0705,14.6162,0.0140,17.5914,1.68,V,G,bd
2456684.0505626,5.3203,0.0512,14.6449,0.0105,17.9388,2.00,V,G,bd
2456701.9258171,5.8385,0.1226,14.5440,0.0228,16.9912,1.47,V,G,bd
2456733.9313897,5.6876,0.1533,14.5725,0.0293,16.7482,1.54,V,B,bd
2456736.9426472,5.4608,0.0815,14.6166,0.0162,17.4345,1.46,V,G,bd
2456741.023298,5.3090,0.0572,14.6473,0.0117,17.8186,1.65,V,G,bd
2456742.0796247,5.4576,0.0614,14.6173,0.0122,17.7420,1.44,V,G,bd
2456751.9280061,5.5443,0.0565,14.6002,0.0111,17.8322,2.19,V,G,bd
2456757.8589555,5.8084,0.0867,14.5496,0.0162,17.3672,1.46,V,G,bd
2456767.9704091,4.6230,0.2309,14.7975,0.0543,16.3040,1.96,V,B,bd
2456781.7340968,4.9086,0.1347,14.7324,0.0298,16.8892,2.69,V,B,bd
2456783.8887053,5.5780,0.0482,14.5936,0.0094,18.0045,1.46,V,G,bd
2456784.8722196,5.2273,0.0679,14.6641,0.0141,17.6323,1.68,V,G,bd
2456794.8548662,5.4828,0.0801,14.6123,0.0159,17.4537,1.48,V,G,bd
2456796.9457688,5.5295,0.0922,14.6031,0.0181,17.3002,1.45,V,G,bd
2456798.8728952,5.4468,0.0391,14.6194,0.0078,18.2330,1.49,V,G,bd
2456801.8487988,5.5341,0.0422,14.6022,0.0083,18.1482,1.44,V,G,bd
2456804.8855373,5.5423,0.0577,14.6006,0.0113,17.8091,1.45,V,G,bd
2456807.84707,5.5156,0.0419,14.6058,0.0083,18.1573,1.59,V,G,bd
2456810.8292273,5.4536,0.0415,14.6181,0.0083,18.1668,1.41,V,G,bd
2456813.8408276,5.3830,0.1077,14.6322,0.0218,17.1316,1.61,V,B,bd
2456816.817237,5.6172,0.0691,14.5860,0.0134,17.6133,1.45,V,G,bd
2456820.8213219,5.6055,0.1177,14.5882,0.0228,17.0351,1.48,V,G,bd
2456822.8163523,5.1656,0.0859,14.6770,0.0181,17.3778,1.45,V,G,bd
2456824.8408911,5.1331,0.0817,14.6838,0.0173,17.4317,1.48,V,G,bd
2456825.8145757,5.2879,0.0975,14.6516,0.0201,17.2393,1.48,V,B,bd
2456827.8097664,5.4283,0.0370,14.6231,0.0074,18.2912,1.52,V,G,bd
2456830.8413302,5.5620,0.0501,14.5967,0.0098,17.9620,1.63,V,G,bd
2456835.7952922,5.4613,0.0340,14.6165,0.0068,18.3839,1.85,V,G,bd
2456846.7854003,5.4154,0.0603,14.6257,0.0121,17.7624,1.62,V,B,bd
2456847.7970659,5.3260,0.0829,14.6438,0.0169,17.4163,1.57,V,B,bd
2456848.782942,5.4708,0.0950,14.6147,0.0189,17.2684,1.64,V,B,bd
2456851.7737901,5.5674,0.0882,14.5956,0.0172,17.3481,1.59,V,B,bd
2456856.7674962,5.6226,0.0671,14.5849,0.0130,17.6460,1.46,V,G,bd
2456857.7754283,5.3864,0.0463,14.6315,0.0093,18.0494,1.68,V,G,bd
2456979.1421155,5.5652,0.0655,14.5961,0.0128,17.6721,1.58,V,G,bd
2456994.1347717,5.4134,0.0426,14.6261,0.0085,18.1393,1.58,V,G,bd
2456999.1265275,5.6230,0.0930,14.5849,0.0180,17.2909,1.52,V,G,bd
2457000.1200276,5.6198,0.0952,14.5855,0.0184,17.2663,1.44,V,G,bd
2457002.1214035,5.2250,0.0799,14.6646,0.0166,17.4559,1.49,V,G,bd
2457004.1068097,5.2900,0.0729,14.6511,0.0150,17.5552,1.47,V,G,bd
2457011.1131044,5.7676,0.0610,14.5573,0.0115,17.7496,1.51,V,G,bd
2457019.0993555,5.4482,0.0451,14.6192,0.0090,18.0778,2.44,V,G,bd
2457024.1325063,5.3771,0.0525,14.6334,0.0106,17.9124,1.84,V,G,bd
2457032.0731784,5.2649,0.0728,14.6563,0.0150,17.5566,1.64,V,G,bd
2457037.0615287,5.4893,0.0424,14.6110,0.0084,18.1429,1.45,V,G,bd
2457038.0882571,5.5677,0.0973,14.5956,0.0190,17.2424,1.43,V,G,bd
2457040.0595352,5.3635,0.0529,14.6362,0.0107,17.9035,1.61,V,G,bd
2457043.0563438,5.3608,0.0395,14.6367,0.0080,18.2195,1.52,V,G,bd
2457046.0517356,5.5528,0.0592,14.5985,0.0116,17.7820,1.45,V,G,bd
2457050.045487,5.3391,0.0550,14.6411,0.0112,17.8610,1.47,V,G,bd
2457053.0456636,5.4743,0.0551,14.6140,0.0109,17.8600,1.80,V,G,bd
2457054.0534381,5.4738,0.0854,14.6141,0.0170,17.3833,1.86,V,G,bd
2457055.0309356,5.2277,0.0655,14.6640,0.0136,17.6712,1.80,V,G,bd
2457055.978534,5.4445,0.1045,14.6199,0.0209,17.1642,1.60,V,G,bd
2457065.020049,5.6833,0.0666,14.5733,0.0127,17.6544,1.54,V,G,bd
2457070.0163617,5.5070,0.0544,14.6075,0.0107,17.8744,1.66,V,G,bd
2457070.9776496,5.5176,0.0479,14.6054,0.0094,18.0108,1.48,V,G,bd
2457074.0044926,5.4977,0.0387,14.6093,0.0077,18.2426,1.52,V,G,bd
2457078.9942391,5.3935,0.0543,14.6301,0.0109,17.8751,1.49,V,G,bd
2457080.9889178,5.3764,0.0553,14.6335,0.0112,17.8558,1.46,V,G,bd
2457084.9928348,5.2824,0.0960,14.6527,0.0198,17.2567,1.79,V,G,bd
2457095.0835178,5.4388,0.0722,14.6210,0.0144,17.5663,1.55,V,G,bd
2457096.9556964,5.3931,0.0435,14.6302,0.0088,18.1158,1.46,V,G,bd
2457099.8512625,5.4497,0.0464,14.6188,0.0093,18.0461,1.71,V,G,bd
2457100.9616417,5.6552,0.0638,14.5787,0.0123,17.6997,1.46,V,G,bd
2457103.9823979,5.3777,0.0473,14.6333,0.0096,18.0256,1.48,V,G,bd
2457108.8200798,5.5593,0.0416,14.5972,0.0081,18.1637,1.44,V,G,bd
2457110.8154864,5.7532,0.1091,14.5600,0.0206,17.1174,1.48,V,G,bd
2457112.8198441,5.4785,0.1063,14.6131,0.0211,17.1455,1.42,V,G,bd
2457117.0014654,5.4485,0.1142,14.6191,0.0228,17.0684,1.49,V,B,bd
2457119.0175213,5.2353,0.1432,14.6624,0.0297,16.8227,1.50,V,G,bd
2457121.0021637,5.0647,0.1795,14.6984,0.0385,16.5775,1.45,V,B,bd
2457122.0484037,5.5357,0.0695,14.6018,0.0137,17.6068,1.56,V,G,bd
2457125.038324,5.2972,0.0644,14.6497,0.0132,17.6898,1.55,V,G,bd
2457125.8783077,5.6546,0.0506,14.5788,0.0097,17.9527,1.43,V,G,bd
2457128.9594768,5.3306,0.0812,14.6428,0.0165,17.4390,1.51,V,G,bd
2457130.9021858,5.4713,0.0474,14.6145,0.0094,18.0235,1.46,V,G,bd
2457135.7552466,5.3689,0.0536,14.6351,0.0108,17.8898,1.56,V,G,bd
2457136.9326527,5.4370,0.0434,14.6214,0.0087,18.1198,1.48,V,G,bd
2457138.7304537,5.5448,0.0599,14.6001,0.0118,17.7679,2.64,V,G,bd
2457145.810134,5.4028,0.1122,14.6282,0.0226,17.0874,1.42,V,G,bd
2457149.9754542,5.6637,0.0942,14.5770,0.0181,17.2771,1.49,V,B,bd
2457150.8141009,5.4850,0.0379,14.6118,0.0075,18.2667,1.48,V,G,bd
2457157.8635282,5.5494,0.0688,14.5992,0.0135,17.6177,1.52,V,G,bd
2457161.8177724,5.3252,0.0990,14.6439,0.0202,17.2238,1.52,V,B,bd
2457162.8996167,5.5370,0.0482,14.6016,0.0095,18.0039,1.63,V,G,bd
2457164.8361918,5.5272,0.0570,14.6035,0.0112,17.8222,1.47,V,G,bd
2457167.8852864,5.4327,0.0568,14.6222,0.0114,17.8262,1.53,V,G,bd
2457172.7415954,5.4191,0.0802,14.6250,0.0161,17.4524,2.04,V,G,bd
2457175.8880295,5.6387,0.1332,14.5818,0.0257,16.9015,1.47,V,G,bd
2457176.8998383,4.8879,0.1233,14.7370,0.0274,16.9849,2.13,V,G,bd
2457178.8886886,5.4799,0.0921,14.6128,0.0183,17.3021,1.47,V,G,bd
2457179.7990948,5.3864,0.0466,14.6315,0.0094,18.0419,1.52,V,G,bd
2457182.7834884,5.2686,0.0829,14.6555,0.0171,17.4163,1.51,V,B,bd
2457183.8164829,5.4920,0.0440,14.6105,0.0087,18.1041,1.72,V,G,bd
2457188.8650878,5.5456,0.0535,14.5999,0.0105,17.8913,1.54,V,B,bd
2457191.8394549,5.4053,0.0782,14.6277,0.0157,17.4795,1.53,V,G,bd
2457193.8474895,5.3904,0.0410,14.6307,0.0083,18.1796,1.51,V,G,bd
2457195.8256336,5.6450,0.0610,14.5806,0.0117,17.7495,1.52,V,G,bd
2457199.7667767,5.5608,0.0722,14.5969,0.0141,17.5660,1.49,V,G,bd
2457205.8096545,5.7974,0.0981,14.5517,0.0184,17.2328,1.44,V,G,bd
2457208.7624333,5.2632,0.0546,14.6566,0.0113,17.8690,1.57,V,G,bd
2457212.7790521,5.4465,0.0682,14.6195,0.0136,17.6272,1.44,V,G,bd
2457217.7904939,5.3764,0.0540,14.6335,0.0109,17.8823,1.46,V,G,bd
2457226.7454219,5.1493,0.1242,14.6804,0.0262,16.9768,1.49,V,G,bd
2457358.150162,5.3962,0.0619,14.6296,0.0125,17.7335,1.45,V,G,bd
2457363.1383032,5.6355,0.0524,14.5825,0.0101,17.9143,1.49,V,G,bd
2457369.1093713,5.6881,0.0544,14.5724,0.0104,17.8743,1.51,V,G,bd
2457374.1006006,5.4493,0.0401,14.6189,0.0080,18.2045,1.86,V,G,bd
2457381.0757118,5.6708,0.1092,14.5757,0.0209,17.1166,1.78,V,G,bd
2457386.1412598,5.3875,0.0635,14.6313,0.0128,17.7056,1.43,V,G,bd
2457389.1390599,5.5618,0.0678,14.5967,0.0133,17.6341,2.22,V,G,bd
2457392.0793183,5.3910,0.0426,14.6306,0.0086,18.1380,1.61,V,G,bd
2457396.1113328,5.6242,0.0462,14.5846,0.0089,18.0510,1.54,V,G,bd
2457398.0365203,5.4484,0.0419,14.6191,0.0084,18.1574,1.43,V,G,bd
2457400.041851,5.4855,0.0450,14.6117,0.0089,18.0801,1.45,V,G,bd
2457403.0159788,5.4008,0.0426,14.6286,0.0086,18.1389,1.72,V,G,bd
2457405.0658521,5.4121,0.0398,14.6264,0.0080,18.2115,1.50,V,G,bd
2457408.0068519,5.3496,0.0785,14.6390,0.0159,17.4756,1.55,V,G,bd
2457410.0111004,5.2702,0.0946,14.6552,0.0195,17.2732,1.50,V,G,bd
2457411.9932158,5.9082,0.1362,14.5311,0.0251,16.8770,1.56,V,G,bd
2457414.0394764,5.1881,0.0683,14.6723,0.0143,17.6269,1.48,V,G,bd
2457416.9912869,5.5545,0.0822,14.5982,0.0161,17.4255,1.54,V,G,bd
2457418.0975942,5.5116,0.0487,14.6066,0.0096,17.9930,1.47,V,G,bd
2457419.1323443,5.4950,0.0476,14.6099,0.0094,18.0178,1.58,V,G,bd
2457420.0566441,5.3955,0.0442,14.6297,0.0089,18.0978,1.51,V,G,bd
2457421.1253528,5.5257,0.0410,14.6038,0.0081,18.1802,1.56,V,G,bd
2457422.1373924,5.4308,0.0398,14.6226,0.0080,18.2138,1.49,V,G,bd
2457423.1449671,5.2832,0.0483,14.6525,0.0099,18.0014,1.59,V,G,bd
2457425.0775727,5.2472,0.0391,14.6600,0.0081,18.2330,1.53,V,G,bd
2457429.0257883,5.4951,0.0373,14.6098,0.0074,18.2841,1.44,V,G,bd
2457436.9222161,5.5019,0.0846,14.6085,0.0167,17.3939,1.76,V,G,bd
2457438.1240406,5.3003,0.0447,14.6490,0.0092,18.0854,1.63,V,G,bd
2457438.9191996,5.4024,0.0890,14.6283,0.0179,17.3388,1.51,V,G,bd
2457441.0029414,5.5184,0.0811,14.6052,0.0160,17.4394,1.54,V,G,bd
2457443.9999192,5.6847,0.0912,14.5730,0.0174,17.3125,1.50,V,G,bd
2457447.0310191,5.5654,0.0561,14.5960,0.0110,17.8404,1.43,V,G,bd
2457449.0051119,5.5449,0.0547,14.6000,0.0107,17.8671,1.44,V,G,bd
2457449.9561222,5.4641,0.0395,14.6160,0.0079,18.2213,1.85,V,G,bd
2457452.8795864,5.2972,0.0477,14.6497,0.0098,18.0154,1.48,V,G,bd
2457454.9041116,5.5475,0.0393,14.5995,0.0077,18.2271,1.63,V,G,bd
2457459.8583089,5.4447,0.0355,14.6198,0.0071,18.3361,1.63,V,G,bd
2457460.8945191,5.3108,0.0462,14.6469,0.0095,18.0501,1.44,V,G,bd
2457463.9006777,5.2588,0.0951,14.6576,0.0197,17.2666,1.49,V,G,bd
2457466.8445943,5.3671,0.0898,14.6354,0.0182,17.3294,1.50,V,G,bd
2457470.0176004,5.2374,0.1752,14.6620,0.0364,16.6034,1.50,V,B,bd
2457471.9385507,5.1010,0.1098,14.6906,0.0234,17.1107,1.48,V,G,bd
2457477.0377706,5.6007,0.0539,14.5892,0.0105,17.8833,1.51,V,G,bd
2457479.0689253,5.4620,0.0768,14.6164,0.0153,17.4990,1.49,V,G,bd
2457480.0651663,5.5885,0.0804,14.5915,0.0156,17.4487,1.60,V,G,bd
2457481.008514,5.4229,0.0438,14.6242,0.0088,18.1090,1.77,V,G,bd
2457483.8445866,5.5466,0.0431,14.5997,0.0084,18.1258,1.66,V,G,bd
2457488.8841909,5.6431,0.0586,14.5810,0.0113,17.7919,1.45,V,G,bd
2457491.8586555,5.5932,0.0448,14.5906,0.0087,18.0852,1.80,V,G,bd
2457493.0000745,5.4819,0.0464,14.6124,0.0092,18.0464,1.53,V,G,bd
2457495.805523,5.3659,0.0670,14.6357,0.0136,17.6479,1.54,V,G,bd
2457500.8686052,5.6038,0.1292,14.5886,0.0251,16.9341,1.58,V,G,bd
2457502.8116137,5.4551,0.0713,14.6178,0.0142,17.5800,1.63,V,G,bd
2457504.9285117,5.5840,0.0699,14.5924,0.0136,17.6017,1.51,V,G,bd
2457505.7935316,5.4257,0.0451,14.6236,0.0090,18.0781,1.81,V,G,bd
2457508.8713153,5.4917,0.0455,14.6105,0.0090,18.0663,1.63,V,G,bd
2457511.9148664,5.4689,0.0380,14.6150,0.0076,18.2632,1.56,V,G,bd
2457514.9198659,5.5825,0.0392,14.5927,0.0076,18.2296,1.46,V,G,bd
2457523.9268444,5.5875,0.0757,14.5917,0.0147,17.5150,1.48,V,G,bd
2457527.8942863,5.8599,0.0921,14.5401,0.0171,17.3020,1.50,V,G,bd
2457530.8832745,5.3692,0.1035,14.6350,0.0210,17.1749,1.60,V,G,bd
2457532.7993427,5.5455,0.0610,14.5999,0.0120,17.7486,1.45,V,G,bd
2457537.8310253,5.4705,0.0407,14.6147,0.0081,18.1894,1.53,V,G,bd
2457541.8494897,5.4230,0.0497,14.6242,0.0100,17.9707,1.57,V,B,bd
2457544.8883186,5.4172,0.0467,14.6253,0.0094,18.0395,1.43,V,G,bd
2457548.8736502,5.3975,0.0342,14.6293,0.0069,18.3762,1.49,V,G,bd
2457550.8552388,5.4262,0.0578,14.6235,0.0116,17.8084,1.50,V,B,bd
2457558.7833749,5.3612,0.1009,14.6366,0.0205,17.2029,1.45,V,G,bd
2457560.8414793,5.4345,0.0988,14.6219,0.0198,17.2258,1.44,V,B,bd
2457561.8298562,5.1833,0.1031,14.6733,0.0216,17.1791,1.40,V,B,bd
2457562.8297565,5.4458,0.0696,14.6196,0.0139,17.6054,1.45,V,G,bd
2457574.7958627,5.4050,0.0406,14.6278,0.0082,18.1906,1.47,V,G,bd
2457576.790555,5.5154,0.0451,14.6058,0.0089,18.0762,1.45,V,G,bd
2457578.7874655,5.2967,0.0495,14.6498,0.0102,17.9750,1.61,V,B,bd
2457583.7682151,5.4228,0.0586,14.6242,0.0117,17.7923,1.45,V,G,bd
2457587.7663929,5.7336,0.1121,14.5637,0.0213,17.0881,1.66,V,B,bd
2457591.7472823,5.3196,0.0922,14.6451,0.0188,17.3006,1.50,V,G,bd
2457712.1575683,5.9177,0.1494,14.5294,0.0274,16.7768,1.57,V,G,bd
2457713.1536652,5.3924,0.0984,14.6303,0.0198,17.2293,1.60,V,G,bd
2457722.1462669,5.3714,0.0489,14.6346,0.0099,17.9885,2.11,V,G,bd
