# ASAS-SN SkyPatrol ID: 60129563357
# ATLAS-REFCAT2: 164542150178876247
# Gaia DR2: 1506858390693591808
# TESS Input Catalog (TIC): 168767030
# Million Quasars Catalog (MILLIQUAS): NPM 1G+47.0275
# Chandra Source Catalog: 2CXO J142004.2+470716
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: NPM 1G+47.0275
# GLADE 2MASS Extended Source Catalog: 14200427+4707163


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455952.1092211,2.2011,0.0398,15.6032,0.0197,18.2122,3.34,V,G,ba
2455985.1016289,2.1318,0.0506,15.6379,0.0258,17.9518,2.27,V,G,ba
2456319.1617199,1.8180,0.0815,15.8108,0.0487,17.4348,2.04,V,B,ba
2456326.1032482,2.0932,0.0449,15.6577,0.0233,18.0824,2.38,V,G,ba
2456337.9779891,2.0680,0.0409,15.6709,0.0215,18.1824,2.18,V,G,ba
2456348.9422227,2.4407,0.1416,15.4910,0.0630,16.8350,2.05,V,G,ba
2456355.0417498,2.1227,0.0851,15.6426,0.0436,17.3870,2.09,V,G,ba
2456358.0498951,1.9064,0.0561,15.7593,0.0320,17.8404,1.78,V,G,ba
2456380.9462587,2.1921,0.1403,15.6076,0.0696,16.8446,2.18,V,G,ba
2456388.8875377,2.1404,0.0847,15.6336,0.0430,17.3923,2.28,V,B,ba
2456389.891189,2.0240,0.0534,15.6943,0.0287,17.8927,2.24,V,G,ba
2456393.9234742,2.0673,0.0440,15.6713,0.0231,18.1045,2.24,V,G,ba
2456397.9771152,2.1286,0.0544,15.6395,0.0278,17.8735,2.10,V,B,ba
2456400.9328588,2.1489,0.0517,15.6292,0.0261,17.9294,2.25,V,G,ba
2456403.9384561,1.8083,0.1155,15.8166,0.0695,17.0555,2.07,V,G,ba
2456436.8699374,1.9933,0.1055,15.7109,0.0575,17.1546,2.67,V,G,ba
2456444.8658906,2.1128,0.0400,15.6476,0.0206,18.2065,2.66,V,G,ba
2456450.84413,1.9430,0.0554,15.7386,0.0310,17.8542,2.29,V,G,ba
2456458.7488004,2.0201,0.0929,15.6963,0.0500,17.2926,1.81,V,G,ba
2456462.8051357,2.3281,0.0999,15.5423,0.0467,17.2131,1.68,V,G,ba
2456469.8033686,1.9351,0.0472,15.7430,0.0265,18.0275,1.73,V,G,ba
2456475.8238284,1.9164,0.0375,15.7535,0.0213,18.2772,1.73,V,G,ba
2456480.7938144,2.2810,0.1933,15.5645,0.0921,16.4965,1.96,V,B,ba
2456485.7700651,2.1088,0.0402,15.6497,0.0207,18.2024,1.77,V,G,ba
2456489.7828173,2.2022,0.0552,15.6026,0.0273,17.8568,1.70,V,G,ba
2456490.7684225,1.7475,0.0792,15.8537,0.0493,17.4654,1.74,V,G,ba
2456497.7918222,2.0754,0.1218,15.6670,0.0638,16.9983,1.79,V,B,ba
2456512.748793,2.2037,0.0616,15.6019,0.0304,17.7387,1.72,V,B,ba
2456520.7346808,1.9724,0.2152,15.7223,0.1186,16.3803,2.05,V,B,ba
2456631.1292998,2.0429,0.0518,15.6842,0.0276,17.9257,1.80,V,G,bc
2456632.126204,2.0178,0.0459,15.6976,0.0247,18.0589,1.43,V,B,bc
2456633.1090641,2.0902,0.0530,15.6593,0.0276,17.9011,2.85,V,G,bc
2456634.1065045,1.6833,0.1201,15.8944,0.0776,17.0135,3.07,V,B,bc
2456638.1054696,1.9810,0.0569,15.7176,0.0312,17.8239,1.66,V,G,bc
2456652.0630924,1.7140,0.0802,15.8747,0.0509,17.4513,1.47,V,G,bc
2456658.0557563,2.1115,0.0629,15.6483,0.0324,17.7160,2.30,V,G,bc
2456675.0735712,1.6500,0.0840,15.9161,0.0554,17.4013,1.66,V,G,bc
2456676.0440655,1.9391,0.1001,15.7408,0.0561,17.2116,1.80,V,G,bc
2456677.0504596,2.2695,0.0756,15.5700,0.0362,17.5163,2.61,V,G,bc
2456678.0715136,2.0527,0.0696,15.6789,0.0368,17.6060,2.40,V,G,bc
2456683.1127207,1.8080,0.0605,15.8168,0.0364,17.7584,2.66,V,G,bc
2456684.0680352,1.9786,0.0416,15.7189,0.0229,18.1644,2.91,V,G,bc
2456701.9579791,1.8226,0.1325,15.8080,0.0790,16.9072,1.85,V,B,bc
2456729.8879388,2.1116,0.1180,15.6482,0.0608,17.0325,2.24,V,G,bc
2456735.9425432,1.7454,0.0981,15.8550,0.0611,17.2336,1.64,V,G,bc
