# ASAS-SN SkyPatrol ID: 661434961475
# GLADE HyperLEDA: UGC09144


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455952.0955035,1.7300,0.0271,15.8647,0.0170,18.6306,3.30,V,G,ba
2455985.1278377,1.8057,0.0511,15.8182,0.0308,17.9415,1.74,V,G,bb
2456319.1479837,1.7028,0.0864,15.8818,0.0552,17.3709,2.03,V,G,ba
2456329.1197651,1.8132,0.0418,15.8137,0.0250,18.1601,2.29,V,G,ba
2456329.1703076,1.7226,0.0852,15.8693,0.0537,17.3867,2.00,V,G,bb
2456339.1341777,1.6821,0.0378,15.8951,0.0244,18.2680,2.03,V,G,ba
2456339.1377253,1.6708,0.0364,15.9025,0.0237,18.3109,2.16,V,G,bb
2456350.0059056,1.8956,0.1148,15.7654,0.0658,17.0628,2.30,V,G,ba
2456350.0155853,2.0492,0.1024,15.6808,0.0543,17.1862,3.75,V,B,bb
2456355.0803266,1.8611,0.0613,15.7853,0.0358,17.7431,2.06,V,G,ba
2456358.0284748,1.7815,0.0482,15.8328,0.0294,18.0047,1.80,V,G,ba
2456359.0633667,1.8486,0.0500,15.7927,0.0294,17.9647,1.69,V,G,ba
2456370.9312236,1.7400,0.0681,15.8584,0.0425,17.6297,2.24,V,G,ba
2456370.9661306,1.7544,0.0365,15.8495,0.0226,18.3071,2.02,V,G,bb
2456381.0332664,1.8550,0.0910,15.7889,0.0533,17.3151,2.13,V,G,bb
2456386.8957487,1.7404,0.0399,15.8582,0.0249,18.2087,2.37,V,G,ba
2456388.9060525,1.7858,0.0447,15.8302,0.0272,18.0860,1.81,V,G,bb
2456389.9062995,1.6242,0.0408,15.9332,0.0273,18.1856,1.70,V,G,bb
2456390.9385379,1.6717,0.0505,15.9019,0.0328,17.9542,2.15,V,G,ba
2456393.997648,1.6683,0.0479,15.9041,0.0312,18.0123,2.17,V,G,ba
2456397.9670451,1.6730,0.0481,15.9011,0.0312,18.0074,2.05,V,B,bb
2456397.970377,1.6663,0.0527,15.9054,0.0344,17.9085,2.12,V,B,ba
2456400.8956027,2.1135,0.0844,15.6473,0.0434,17.3962,2.25,V,G,ba
2456400.9249279,1.8726,0.0417,15.7787,0.0242,18.1628,2.00,V,G,bb
