# ASAS-SN SkyPatrol ID: 661431284140
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: PGC 2196723
# GLADE HyperLEDA: 2196723
# GLADE 2MASS Extended Source Catalog: 14214798+4219402


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455985.1278377,0.5750,0.0449,17.0606,0.0848,18.0826,1.74,V,G,bb
2456329.1703076,0.6402,0.0718,16.9439,0.1218,17.5725,2.00,V,G,bb
2456339.1377253,0.7077,0.0284,16.8352,0.0436,18.5784,2.16,V,G,bb
2456350.0155853,0.8466,0.0862,16.6406,0.1107,17.3730,3.75,V,B,bb
2456370.9661306,0.9196,0.0324,16.5508,0.0383,18.4367,2.02,V,G,bb
2456381.0332664,0.7524,0.0816,16.7686,0.1179,17.4328,2.13,V,G,bb
2456388.9060525,0.7385,0.0328,16.7889,0.0482,18.4236,1.81,V,G,bb
2456389.9062995,0.7759,0.0252,16.7353,0.0353,18.7085,1.70,V,G,bb
2456397.9670451,0.7945,0.0302,16.7095,0.0413,18.5129,2.05,V,B,bb
2456400.9249279,0.8837,0.0396,16.5940,0.0487,18.2189,2.00,V,G,bb
2456403.9081979,0.6744,0.0492,16.8875,0.0794,17.9815,2.06,V,G,bb
2456409.9171211,0.7690,0.0822,16.7450,0.1162,17.4250,1.64,V,G,bb
2456415.9127669,0.8436,0.0334,16.6444,0.0430,18.4029,1.82,V,G,bb
2456443.8623207,0.9223,0.0341,16.5476,0.0402,18.3796,1.84,V,G,bb
2456449.8700993,0.8204,0.0365,16.6747,0.0484,18.3054,2.01,V,G,bb
2456456.7852294,0.7281,0.0341,16.8043,0.0509,18.3811,2.00,V,G,bb
2456460.8353158,0.6869,0.0571,16.8675,0.0903,17.8217,1.72,V,G,bb
2456464.8136315,0.6350,0.0829,16.9529,0.1420,17.4156,2.25,V,G,bb
2456470.8798832,0.7917,0.0576,16.7134,0.0791,17.8109,1.88,V,G,bb
2456475.8732849,0.8118,0.0410,16.6862,0.0549,18.1804,2.12,V,G,bb
2456480.8092767,0.6994,0.0405,16.8480,0.0630,18.1935,1.85,V,G,bb
2456484.8121158,0.8212,0.0338,16.6737,0.0447,18.3908,2.30,V,G,bb
2456488.7891031,0.8047,0.0461,16.6957,0.0622,18.0541,2.10,V,G,bb
2456492.7875756,0.7771,0.0742,16.7337,0.1038,17.5359,2.22,V,G,bb
2456508.77068,0.8641,0.0361,16.6183,0.0454,18.3182,2.13,V,G,bb
2456516.7451682,0.6807,0.0601,16.8774,0.0959,17.7659,2.67,V,G,bb
2456521.7369653,0.6849,0.1213,16.8707,0.1925,17.0024,2.45,V,G,bb
2456638.1352386,0.7250,0.0420,16.8089,0.0629,18.1553,1.70,V,G,bb
2456644.1130672,0.8302,0.1433,16.6618,0.1876,16.8216,2.14,V,G,bb
2456651.1029733,0.6728,0.0540,16.8901,0.0873,17.8804,2.20,V,G,bb
2456657.0743448,0.8236,0.0328,16.6705,0.0432,18.4241,2.70,V,G,bb
2456658.1182982,0.8446,0.0635,16.6432,0.0817,17.7057,2.01,V,B,bb
2456700.9589213,0.7919,0.1010,16.7131,0.1386,17.2014,1.80,V,G,bb
2456735.9142649,0.6864,0.0988,16.8683,0.1565,17.2250,1.84,V,G,bb
2456740.9826663,0.8076,0.1050,16.6918,0.1414,17.1590,2.22,V,G,bb
2456740.9844519,0.6500,0.0694,16.9275,0.1160,17.6096,2.14,V,G,bb
2456742.090503,0.8063,0.0674,16.6935,0.0909,17.6401,1.71,V,G,bb
2456756.8091013,0.5885,0.0784,17.0353,0.1448,17.4767,1.79,V,G,bb
2456767.9489572,0.1254,0.1751,16.6040,99.9990,16.6040,2.22,V,B,bb
2456770.921815,0.6516,0.0433,16.9248,0.0722,18.1216,2.21,V,B,bb
2456781.9050407,0.7680,0.0416,16.7464,0.0589,18.1640,1.82,V,G,bb
2456783.9140437,0.7856,0.0367,16.7217,0.0508,18.3000,1.81,V,G,bb
2456784.7609443,0.8257,0.0552,16.6678,0.0727,17.8575,2.07,V,G,bb
2456788.892712,0.7480,0.0675,16.7751,0.0981,17.6388,2.09,V,G,bb
2456794.9758597,0.7695,0.1060,16.7443,0.1498,17.1490,1.95,V,B,bb
2456796.8958488,0.7122,0.0498,16.8283,0.0760,17.9691,1.65,V,G,bb
2456798.8866662,0.7728,0.0354,16.7396,0.0498,18.3404,1.65,V,G,bb
2456801.8852255,0.7371,0.0443,16.7909,0.0653,18.0962,1.62,V,G,bb
2456803.8963995,0.7220,0.0411,16.8134,0.0619,18.1771,1.96,V,G,bb
2456806.8834622,0.7274,0.0385,16.8054,0.0575,18.2494,1.99,V,G,bb
2456810.8658437,0.6967,0.0356,16.8521,0.0555,18.3346,2.05,V,G,bb
2456814.8601492,0.7937,0.0544,16.7107,0.0745,17.8728,1.80,V,G,bb
2456816.8598037,0.8852,0.0858,16.5922,0.1054,17.3783,1.82,V,G,bb
2456818.8576255,0.8100,0.0872,16.6886,0.1170,17.3615,1.72,V,G,bb
2456819.854061,1.2047,0.1116,16.2576,0.1007,17.0932,1.71,V,G,bb
2456822.8566697,0.4774,0.0971,17.2446,99.9990,17.2446,2.03,V,G,bb
2456824.8589773,0.6593,0.0649,16.9122,0.1071,17.6810,1.96,V,G,bb
2456825.9047344,0.4115,0.1465,16.7978,99.9990,16.7978,2.16,V,B,bb
2456827.8413418,0.7035,0.0390,16.8416,0.0603,18.2340,1.97,V,G,bb
2456830.8503807,0.9040,0.0434,16.5694,0.0522,18.1178,2.05,V,G,bb
2456833.8622095,0.8969,0.0381,16.5780,0.0462,18.2600,2.03,V,G,bb
2456846.8140072,0.5867,0.1059,17.0388,0.1961,17.1506,1.85,V,B,bb
2456849.8223725,0.8757,0.1470,16.6039,0.1825,16.7940,1.72,V,B,bb
2456850.8155087,0.1557,0.1656,16.6650,99.9990,16.6650,1.74,V,B,bb
2456855.8042077,0.7345,0.0453,16.7949,0.0670,18.0728,1.71,V,G,bb
2456857.812292,0.6808,0.0431,16.8773,0.0688,18.1271,1.71,V,G,bb
2456863.792939,0.6627,0.0412,16.9065,0.0676,18.1744,1.72,V,G,bb
2456864.7871342,0.8063,0.0440,16.6935,0.0593,18.1046,1.71,V,G,bb
