# ASAS-SN SkyPatrol ID: 103079712253
# ATLAS-REFCAT2: 162781892132412043
# Gaia DR2: 1541215139765460096
# TESS Input Catalog (TIC): 148718401
# Million Quasars Catalog (MILLIQUAS): MCG 8-23-067
# Chandra Source Catalog: 2CXO J123651.1+453904
# Million Optical/Radio/X-Ray Associations (MORX) Catalog: MCG 8-23-067
# GLADE 2MASS Extended Source Catalog: 12365124+4539047


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455972.0694677,5.6008,0.0479,14.5892,0.0093,18.0122,2.07,V,G,ba
2455989.0382406,5.5138,0.0508,14.6062,0.0100,17.9470,2.43,V,G,ba
2456318.0993279,5.4514,0.0985,14.6185,0.0196,17.2289,1.80,V,G,ba
2456326.030829,5.4153,0.0502,14.6257,0.0101,17.9602,2.44,V,G,ba
2456337.8946577,5.6005,0.0485,14.5892,0.0094,17.9979,2.15,V,G,ba
2456348.9073672,5.4448,0.1333,14.6198,0.0266,16.9003,2.01,V,G,ba
2456355.00445,5.4989,0.0643,14.6091,0.0127,17.6921,2.08,V,G,ba
2456358.0249195,5.4937,0.0619,14.6101,0.0123,17.7323,1.74,V,G,ba
2456385.7922727,5.5293,0.0543,14.6031,0.0107,17.8744,2.21,V,G,ba
2456390.88586,5.4242,0.0396,14.6239,0.0079,18.2174,2.08,V,G,ba
2456395.8728742,5.5725,0.0609,14.5947,0.0119,17.7506,2.37,V,G,ba
2456399.8327718,5.4638,0.0552,14.6160,0.0110,17.8579,2.37,V,G,ba
2456403.834324,5.3339,0.0763,14.6422,0.0156,17.5057,2.15,V,G,ba
2456408.8675965,5.8683,0.1475,14.5385,0.0273,16.7905,2.07,V,G,ba
2456414.8704667,5.4017,0.0406,14.6285,0.0082,18.1922,2.19,V,G,ba
2456443.8171118,5.4482,0.0439,14.6191,0.0088,18.1050,2.68,V,G,ba
2456450.8135475,5.6367,0.0438,14.5822,0.0084,18.1082,2.23,V,G,ba
