# ASAS-SN SkyPatrol ID: 661434601403
# GLADE HyperLEDA: UGC08681
# GLADE 2MASS Extended Source Catalog: 13423422+3501129


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455956.1674164,6.6079,0.0631,14.4096,0.0104,17.7121,2.43,V,G,bb
2455967.1373189,7.1853,0.1429,14.3187,0.0216,16.8250,1.79,V,B,bb
2455973.1174917,7.6990,0.1513,14.2437,0.0214,16.7627,1.66,V,B,bb
2455978.1361654,6.7955,0.0950,14.3792,0.0152,17.2686,1.82,V,G,bb
2455982.1487631,6.8540,0.0961,14.3699,0.0152,17.2553,1.64,V,B,bb
2455986.1486999,6.6347,0.0964,14.4052,0.0158,17.2527,1.68,V,B,bb
2455998.1111919,6.9422,0.1618,14.3560,0.0253,16.6900,1.90,V,G,bb
2456003.0773363,6.3416,0.0772,14.4543,0.0132,17.4932,2.01,V,G,bb
2456319.1185905,7.2675,0.1066,14.3063,0.0159,17.1430,2.39,V,G,bb
2456325.1465469,6.6372,0.0805,14.4048,0.0132,17.4485,2.18,V,G,bb
2456329.1126425,6.3994,0.0447,14.4444,0.0076,18.0857,2.00,V,G,bb
2456339.0886379,6.8328,0.0381,14.3733,0.0061,18.2592,2.28,V,G,bb
2456352.9676459,6.5163,0.0997,14.4248,0.0166,17.2152,3.19,V,B,bb
2456376.9873317,6.3041,0.0832,14.4607,0.0144,17.4114,2.13,V,G,bb
2456387.9212021,6.6846,0.0590,14.3971,0.0096,17.7852,1.74,V,G,bb
2456391.9485711,6.6237,0.0415,14.4070,0.0068,18.1685,2.10,V,B,bb
2456395.9308953,6.9454,0.0730,14.3555,0.0114,17.5544,1.77,V,B,bb
2456398.9454217,11.0374,0.2958,13.8526,0.0291,16.0347,1.74,V,B,bb
2456400.9583502,6.3354,0.0789,14.4554,0.0135,17.4703,2.11,V,G,bb
2456403.8791203,6.8285,0.0881,14.3740,0.0140,17.3497,2.05,V,G,bb
2456409.8977286,6.6274,0.1291,14.4064,0.0212,16.9353,1.84,V,G,bb
2456416.901394,7.6717,0.0950,14.2475,0.0135,17.2679,1.84,V,B,bb
2456443.9140468,6.8978,0.0604,14.3630,0.0095,17.7595,1.76,V,G,bb
2456449.8470661,6.7310,0.0546,14.3896,0.0088,17.8688,2.03,V,G,bb
2456459.8185806,6.6614,0.0711,14.4009,0.0116,17.5822,1.72,V,G,bb
2456463.8165029,6.8574,0.1122,14.3694,0.0178,17.0871,2.32,V,G,bb
2456470.8657083,6.5923,0.0982,14.4122,0.0162,17.2326,1.73,V,G,bb
2456471.7736048,6.7989,0.0578,14.3787,0.0092,17.8083,2.01,V,G,bb
2456476.792398,6.6303,0.0628,14.4059,0.0103,17.7176,2.23,V,G,bb
2456481.7922638,6.5462,0.0660,14.4198,0.0110,17.6635,2.17,V,B,bb
2456485.7870779,6.4766,0.0663,14.4314,0.0111,17.6594,2.05,V,G,bb
2456490.776657,6.9848,0.0862,14.3494,0.0134,17.3738,2.52,V,G,bb
2456505.7647646,6.6301,0.0884,14.4060,0.0145,17.3457,2.47,V,B,bb
2456506.7501951,6.8225,0.0866,14.3749,0.0138,17.3691,2.49,V,G,bb
2456508.7467612,6.9736,0.0892,14.3511,0.0139,17.3364,2.49,V,G,bb
2456632.117321,6.8775,0.0781,14.3662,0.0123,17.4813,2.39,V,G,bb
2456638.0994578,6.8024,0.0871,14.3781,0.0139,17.3619,1.83,V,G,bb
2456642.1055638,6.6146,0.1304,14.4085,0.0214,16.9240,2.18,V,G,bb
2456644.1211255,6.9956,0.1709,14.3477,0.0265,16.6308,2.14,V,G,bb
2456649.0632856,6.8394,0.1497,14.3722,0.0238,16.7745,2.08,V,G,bb
2456657.0851514,6.5623,0.0638,14.4171,0.0106,17.7005,2.54,V,G,bb
2456659.0910537,6.9631,0.0672,14.3528,0.0105,17.6436,2.43,V,G,bb
2456683.1562959,6.4970,0.1215,14.4280,0.0203,17.0009,1.70,V,G,bb
2456700.9781623,6.3732,0.1465,14.4489,0.0250,16.7980,1.78,V,G,bb
2456702.0335393,6.4440,0.1390,14.4369,0.0234,16.8551,1.80,V,G,bb
2456736.9400287,6.3875,0.1151,14.4465,0.0196,17.0596,1.75,V,G,bb
2456740.8185075,6.6106,0.0892,14.4092,0.0147,17.3368,2.00,V,G,bb
2456742.0464441,6.7834,0.0685,14.3812,0.0110,17.6232,1.70,V,G,bb
2456757.0592202,6.5869,0.0835,14.4131,0.0138,17.4085,1.72,V,G,bb
2456758.9333979,6.4601,0.1173,14.4342,0.0197,17.0391,1.73,V,G,bb
2456771.0677848,6.9419,0.0840,14.3561,0.0131,17.4021,2.17,V,G,bb
2456781.7490737,6.4682,0.0888,14.4328,0.0149,17.3411,2.23,V,G,bb
2456783.894125,6.8614,0.0809,14.3688,0.0128,17.4419,1.75,V,G,bb
2456784.8832077,6.5501,0.0739,14.4192,0.0123,17.5401,1.67,V,G,bb
2456785.8849179,6.5409,0.0895,14.4207,0.0149,17.3324,1.63,V,G,bb
2456788.8736906,6.3686,0.1239,14.4497,0.0211,16.9799,1.98,V,G,bb
2456794.9674452,6.2662,0.1205,14.4673,0.0209,17.0102,1.79,V,G,bb
2456796.9763267,6.5777,0.1237,14.4146,0.0204,16.9814,1.60,V,B,bb
2456798.8701547,6.7973,0.0756,14.3789,0.0121,17.5164,1.65,V,G,bb
2456801.8547684,6.4095,0.0573,14.4427,0.0097,17.8161,1.62,V,G,bb
2456803.887885,6.9002,0.0745,14.3626,0.0117,17.5315,1.98,V,B,bb
2456806.856422,6.5844,0.0628,14.4135,0.0104,17.7176,1.81,V,G,bb
2456807.8233099,6.6837,0.0503,14.3972,0.0082,17.9589,1.81,V,G,bb
2456810.8517268,6.6021,0.0524,14.4106,0.0086,17.9134,1.95,V,G,bb
2456813.8465057,7.0619,0.2030,14.3375,0.0312,16.4438,1.80,V,B,bb
2456816.8313921,6.1780,0.0936,14.4827,0.0165,17.2847,1.78,V,G,bb
2456818.8266104,6.3936,0.1301,14.4454,0.0221,16.9269,1.60,V,G,bb
2456819.8327355,6.5295,0.1274,14.4226,0.0212,16.9492,1.73,V,G,bb
2456821.8311715,6.7485,0.1991,14.3868,0.0321,16.4644,1.65,V,B,bb
2456822.8393725,6.5762,0.1177,14.4149,0.0195,17.0355,2.01,V,G,bb
2456823.9026259,7.2835,0.1824,14.3039,0.0272,16.5598,2.04,V,G,bb
2456826.8158452,6.5570,0.0616,14.4180,0.0102,17.7384,2.03,V,G,bb
2456828.8330319,6.4202,0.0765,14.4409,0.0129,17.5037,2.21,V,G,bb
2456830.8251096,6.7315,0.0585,14.3895,0.0095,17.7938,2.07,V,G,bb
2456834.818915,6.8297,0.0579,14.3738,0.0092,17.8055,2.18,V,B,bb
2456835.8037756,6.6269,0.0551,14.4065,0.0090,17.8591,1.67,V,G,bb
2456846.7911841,6.5261,0.0999,14.4232,0.0166,17.2139,1.68,V,B,bb
2456848.7858215,5.7811,0.2039,14.5548,0.0383,16.4387,1.68,V,B,bb
2456851.788228,6.7479,0.1201,14.3869,0.0193,17.0136,1.68,V,B,bb
2456856.7733516,6.5825,0.0511,14.4138,0.0084,17.9421,1.66,V,G,bb
2456857.7845787,6.8335,0.0539,14.3732,0.0086,17.8842,1.71,V,G,bb
2456863.7665148,6.4761,0.0629,14.4315,0.0106,17.7165,1.63,V,B,bb
2456864.7635192,6.8273,0.0715,14.3742,0.0114,17.5763,1.63,V,G,bb
2456865.7533219,6.5652,0.0587,14.4167,0.0097,17.7914,1.77,V,G,bb
2456866.7598395,6.6699,0.0598,14.3995,0.0098,17.7699,1.69,V,G,bb
2456867.7505878,6.7217,0.1158,14.3911,0.0187,17.0531,1.70,V,U,bb
2456868.7517632,6.6088,0.1028,14.4095,0.0169,17.1826,1.57,V,G,bb
2456981.1547072,6.8038,0.1744,14.3779,0.0279,16.6082,2.24,V,G,bb
2456992.1449482,6.6818,0.0597,14.3976,0.0097,17.7718,1.69,V,B,bb
2456995.1433118,6.6390,0.0667,14.4045,0.0109,17.6521,1.71,V,G,bb
2456999.1386183,7.0241,0.1499,14.3433,0.0232,16.7726,1.73,V,G,bb
2457000.1375207,7.1032,0.1356,14.3311,0.0208,16.8813,1.70,V,G,bb
2457001.1330802,6.8683,0.1076,14.3677,0.0170,17.1331,2.02,V,G,bb
2457002.1320351,6.9405,0.1492,14.3563,0.0234,16.7779,2.20,V,G,bb
2457007.1262877,6.8674,0.1094,14.3678,0.0173,17.1147,2.19,V,G,bb
2457018.1128992,6.7147,0.0615,14.3922,0.0100,17.7398,2.12,V,G,bb
2457022.1183424,6.8180,0.0690,14.3756,0.0110,17.6148,1.81,V,G,bb
2457025.1088605,6.9012,0.0954,14.3625,0.0150,17.2634,1.78,V,B,bb
2457032.0817657,6.8814,0.1171,14.3656,0.0185,17.0406,1.67,V,G,bb
2457035.0687102,7.0855,0.1031,14.3339,0.0158,17.1788,2.02,V,G,bb
2457036.0822239,6.8984,0.0889,14.3629,0.0140,17.3400,2.04,V,G,bb
2457039.0936719,6.7656,0.0621,14.3840,0.0100,17.7290,2.20,V,G,bb
2457041.1035746,6.7499,0.0600,14.3865,0.0097,17.7664,1.81,V,G,bb
2457044.062115,6.7634,0.0573,14.3844,0.0092,17.8163,1.70,V,G,bb
2457046.0574014,6.7653,0.0649,14.3841,0.0104,17.6823,1.73,V,G,bb
2457048.0588277,6.6512,0.0558,14.4025,0.0091,17.8467,2.06,V,G,bb
2457052.0828765,6.8020,0.0528,14.3782,0.0084,17.9066,2.09,V,G,bb
2457055.0451117,6.9188,0.1262,14.3597,0.0198,16.9599,2.21,V,G,bb
2457065.0229373,6.5691,0.1058,14.4160,0.0175,17.1514,1.70,V,G,bb
2457070.0101719,6.7157,0.0616,14.3921,0.0100,17.7387,2.00,V,G,bb
2457072.0224803,6.9446,0.0606,14.3557,0.0095,17.7571,1.69,V,G,bb
2457076.9850354,6.9084,0.0522,14.3613,0.0082,17.9187,1.70,V,G,bb
2457081.0031122,6.5387,0.0881,14.4211,0.0146,17.3501,1.65,V,G,bb
2457083.9081769,6.9903,0.1609,14.3485,0.0250,16.6960,1.81,V,G,bb
2457095.1001487,6.5426,0.0788,14.4204,0.0131,17.4715,1.99,V,B,bb
2457096.9621357,6.6433,0.0532,14.4038,0.0087,17.8967,1.73,V,G,bb
2457099.0141263,6.6273,0.0566,14.4064,0.0093,17.8300,1.72,V,G,bb
2457101.0493978,6.5837,0.0672,14.4136,0.0111,17.6438,1.70,V,G,bb
2457103.9473403,6.7291,0.0600,14.3899,0.0097,17.7672,1.68,V,G,bb
2457106.9126961,6.6588,0.0579,14.4013,0.0094,17.8064,1.62,V,G,bb
2457109.9002808,6.6160,0.0875,14.4083,0.0144,17.3569,1.63,V,G,bb
2457112.8325943,6.6356,0.0804,14.4051,0.0132,17.4490,1.66,V,G,bb
2457113.9076625,7.0675,0.1220,14.3366,0.0188,16.9967,1.65,V,G,bb
2457122.067636,5.8207,0.2284,14.5473,0.0427,16.3155,1.73,V,B,bb
2457125.0642815,6.7357,0.0594,14.3888,0.0096,17.7783,1.98,V,G,bb
2457125.9293025,6.6682,0.0514,14.3998,0.0084,17.9343,1.74,V,G,bb
2457130.8702089,6.7853,0.0501,14.3809,0.0080,17.9628,1.73,V,G,bb
2457135.8383081,7.1886,0.0633,14.3182,0.0096,17.7081,1.77,V,G,bb
2457137.8656655,7.0910,0.1431,14.3330,0.0219,16.8233,1.91,V,B,bb
2457138.9335155,6.5759,0.0740,14.4149,0.0122,17.5392,1.73,V,G,bb
2457145.7940495,7.0291,0.1921,14.3425,0.0297,16.5034,1.68,V,G,bb
2457148.9298238,7.1146,0.5156,14.3294,0.0788,15.4317,1.69,V,B,bb
2457155.8215177,6.7395,0.0578,14.3882,0.0093,17.8083,1.70,V,B,bb
2457156.8122566,6.7564,0.0706,14.3855,0.0114,17.5910,2.05,V,G,bb
2457161.7417033,8.1606,0.1317,14.1805,0.0175,16.9137,2.05,V,B,bb
2457162.9062201,6.7274,0.0847,14.3902,0.0137,17.3927,1.79,V,G,bb
2457164.8104422,6.8802,0.0635,14.3658,0.0100,17.7060,1.79,V,G,bb
2457167.8315183,6.8103,0.0788,14.3769,0.0126,17.4716,1.67,V,G,bb
2457168.815296,6.9738,0.0814,14.3511,0.0127,17.4354,1.65,V,G,bb
2457172.751289,6.4112,0.1693,14.4424,0.0287,16.6407,2.15,V,G,bb
2457174.9228258,6.6303,0.1374,14.4059,0.0225,16.8674,1.69,V,G,bb
2457176.920345,7.0392,0.1565,14.3410,0.0242,16.7258,2.15,V,B,bb
2457178.9147486,6.7901,0.1146,14.3801,0.0183,17.0645,1.64,V,G,bb
2457181.8156217,6.6350,0.0821,14.4052,0.0134,17.4268,1.76,V,G,bb
2457183.8560164,6.6414,0.0621,14.4041,0.0102,17.7295,1.76,V,G,bb
2457188.855762,6.8774,0.0797,14.3662,0.0126,17.4590,1.87,V,G,bb
2457191.8545886,6.7461,0.0768,14.3872,0.0124,17.4996,1.63,V,G,bb
2457194.8281776,6.7835,0.0548,14.3811,0.0088,17.8648,2.03,V,G,bb
2457196.8394126,6.7833,0.0625,14.3812,0.0100,17.7231,1.81,V,G,bb
2457200.7980028,6.8431,0.1210,14.3716,0.0192,17.0050,1.75,V,G,bb
2457204.828315,6.7035,0.1432,14.3940,0.0232,16.8224,2.05,V,G,bb
2457206.8289844,6.5935,0.1093,14.4120,0.0180,17.1156,1.67,V,G,bb
2457209.7644957,6.6711,0.0794,14.3993,0.0129,17.4633,1.82,V,B,bb
2457215.784759,6.6878,0.0633,14.3966,0.0103,17.7084,2.44,V,G,bb
2457221.7756621,6.9870,0.0539,14.3491,0.0084,17.8830,2.03,V,G,bb
2457228.7445533,6.6798,0.0797,14.3979,0.0130,17.4593,2.38,V,G,bb
2457235.7440911,6.8637,0.1479,14.3684,0.0234,16.7876,2.24,V,G,bb
2457354.153629,7.0334,0.2589,14.3419,0.0400,16.1796,2.02,V,B,bb
2457358.1463788,6.5057,0.0986,14.4265,0.0165,17.2278,1.80,V,G,bb
2457365.1386912,6.4819,0.0615,14.4305,0.0103,17.7400,1.76,V,G,bb
2457370.1245061,6.5664,0.0463,14.4165,0.0077,18.0478,1.77,V,G,bb
2457380.0974869,6.5668,0.1168,14.4164,0.0193,17.0434,1.79,V,G,bb
2457387.173406,6.5587,0.1653,14.4177,0.0274,16.6669,1.72,V,G,bb
2457388.100395,6.4204,0.0760,14.4409,0.0129,17.5107,1.67,V,G,bb
2457392.1213166,6.6667,0.0497,14.4000,0.0081,17.9717,1.61,V,G,bb
2457397.0815522,6.4418,0.0482,14.4373,0.0081,18.0051,1.82,V,G,bb
2457399.0747401,6.8421,0.0542,14.3718,0.0086,17.8779,1.80,V,G,bb
2457402.0646415,6.8530,0.0519,14.3701,0.0082,17.9250,1.82,V,G,bb
2457404.1110091,6.8702,0.0462,14.3674,0.0073,18.0505,1.66,V,G,bb
2457407.0213586,6.6299,0.0837,14.4060,0.0137,17.4051,1.79,V,G,bb
2457409.0221801,6.4955,0.1152,14.4282,0.0193,17.0591,1.82,V,G,bb
2457412.0084684,6.8433,0.1764,14.3716,0.0280,16.5963,1.99,V,G,bb
2457414.0543688,6.6651,0.1236,14.4003,0.0202,16.9820,1.67,V,G,bb
2457417.0481438,6.7859,0.1047,14.3808,0.0168,17.1624,1.70,V,G,bb
2457420.0947913,6.6372,0.0801,14.4048,0.0131,17.4531,1.68,V,G,bb
2457423.1147838,6.8132,0.0503,14.3764,0.0080,17.9589,2.00,V,G,bb
2457425.0359259,6.8777,0.0427,14.3662,0.0067,18.1367,1.77,V,G,bb
2457429.9617904,6.7073,0.0631,14.3934,0.0102,17.7124,1.99,V,G,bb
2457430.9582427,6.7065,0.0494,14.3935,0.0080,17.9778,1.74,V,G,bb
2457432.951479,6.5440,0.0546,14.4202,0.0091,17.8686,2.17,V,G,bb
2457433.9477997,6.7320,0.0540,14.3894,0.0087,17.8822,2.16,V,G,bb
2457434.9731393,6.7472,0.0845,14.3870,0.0136,17.3946,2.71,V,G,bb
2457437.123164,6.5920,0.0579,14.4122,0.0095,17.8054,1.73,V,G,bb
2457439.9382968,6.7285,0.1410,14.3900,0.0228,16.8394,1.67,V,G,bb
2457441.9880867,7.0078,0.1540,14.3458,0.0239,16.7438,1.67,V,G,bb
2457444.0263916,6.8101,0.1328,14.3769,0.0212,16.9047,1.89,V,G,bb
2457446.1028712,6.6704,0.0972,14.3994,0.0158,17.2431,1.73,V,G,bb
2457448.0431626,6.6493,0.0794,14.4028,0.0130,17.4631,1.66,V,B,bb
2457450.0052893,6.7764,0.0427,14.3823,0.0069,18.1361,1.76,V,G,bb
2457454.0251279,6.8015,0.0526,14.3783,0.0084,17.9094,1.67,V,G,bb
2457459.8774983,6.7716,0.0448,14.3831,0.0072,18.0838,1.66,V,G,bb
2457462.0195464,15.6868,0.2723,13.4709,0.0189,16.1246,1.76,V,B,bb
2457462.8823973,6.7809,0.0590,14.3816,0.0095,17.7848,1.79,V,G,bb
2457464.0246344,6.7791,0.0630,14.3819,0.0101,17.7144,1.64,V,G,bb
2457467.0889625,6.8124,0.0810,14.3765,0.0129,17.4411,1.84,V,G,bb
2457472.9875933,7.1269,0.1787,14.3275,0.0273,16.5820,1.88,V,G,bb
2457475.8997675,6.8619,0.0789,14.3687,0.0125,17.4692,1.78,V,B,bb
2457477.913028,6.6711,0.0541,14.3993,0.0088,17.8800,1.73,V,G,bb
2457482.0351019,6.8471,0.0518,14.3710,0.0082,17.9262,1.71,V,G,bb
2457482.9520984,6.7114,0.0633,14.3928,0.0103,17.7081,1.67,V,G,bb
2457488.8993736,6.5164,0.0567,14.4248,0.0095,17.8292,1.56,V,G,bb
2457491.9012199,6.4879,0.0571,14.4295,0.0096,17.8209,1.90,V,G,bb
2457494.9013574,6.7360,0.0913,14.3888,0.0147,17.3117,1.76,V,G,bb
2457499.0056753,6.4106,0.1564,14.4425,0.0265,16.7268,1.70,V,G,bb
2457501.8190105,7.0612,0.1511,14.3376,0.0233,16.7641,1.62,V,G,bb
2457505.9280323,6.8306,0.0862,14.3736,0.0137,17.3733,2.03,V,G,bb
2457506.8399657,6.9108,0.0636,14.3610,0.0100,17.7038,1.69,V,G,bb
2457507.7330252,6.8957,0.1598,14.3633,0.0252,16.7031,2.14,V,G,bb
2457509.0086652,6.6023,0.0773,14.4105,0.0127,17.4914,1.64,V,G,bb
2457510.9489194,7.0273,0.0503,14.3428,0.0078,17.9575,1.87,V,G,bb
2457511.7420678,7.0481,0.0761,14.3396,0.0117,17.5091,1.89,V,G,bb
2457513.8962325,6.8070,0.0366,14.3774,0.0058,18.3027,1.75,V,G,bb
2457523.9118512,6.6089,0.0697,14.4095,0.0115,17.6049,1.64,V,G,bb
2457528.8129593,6.7099,0.1146,14.3930,0.0186,17.0640,1.75,V,G,bb
2457537.931543,6.6385,0.0480,14.4046,0.0079,18.0082,1.69,V,G,bb
2457541.8950839,6.8785,0.0475,14.3660,0.0075,18.0217,2.08,V,B,bb
2457544.8752301,6.6646,0.0624,14.4003,0.0102,17.7237,1.63,V,G,bb
2457548.8889433,6.6732,0.0389,14.3989,0.0063,18.2374,1.72,V,G,bb
2457551.8011114,6.7099,0.0506,14.3930,0.0082,17.9519,1.60,V,G,bb
2457559.8143795,7.0435,0.1112,14.3403,0.0172,17.0969,1.70,V,G,bb
2457562.8488269,6.5867,0.0992,14.4131,0.0164,17.2214,1.73,V,G,bb
2457567.7651945,6.8334,0.1138,14.3732,0.0181,17.0721,1.73,V,B,bb
2457568.8472361,6.9957,0.0637,14.3477,0.0099,17.7015,1.69,V,G,bb
2457574.7996566,6.8961,0.0530,14.3633,0.0084,17.9013,1.75,V,G,bb
2457576.8096534,6.6937,0.0632,14.3956,0.0103,17.7103,1.66,V,G,bb
2457581.7493882,6.7013,0.1100,14.3944,0.0178,17.1085,1.81,V,G,bb
2457582.7822512,6.9772,0.0860,14.3506,0.0134,17.3763,1.83,V,G,bb
2457586.7754143,6.7923,0.0867,14.3797,0.0139,17.3669,1.81,V,G,bb
2457595.7575542,6.5728,0.0827,14.4154,0.0137,17.4181,2.07,V,B,bb
2457751.0809439,6.8285,0.0927,14.3740,0.0148,17.2941,1.78,V,B,bb
2457752.0847452,6.6930,0.0531,14.3957,0.0086,17.8992,1.66,V,G,bb
2457758.0685755,6.7163,0.0519,14.3920,0.0084,17.9254,1.71,V,G,bb
2457764.0447861,7.1758,0.1694,14.3201,0.0257,16.6400,1.69,V,G,bb
2457767.0384012,6.5458,0.1465,14.4199,0.0243,16.7977,1.78,V,G,bb
2457771.0854123,6.8164,0.0923,14.3759,0.0147,17.2994,1.99,V,G,bb
2457775.1059267,6.8168,0.0657,14.3758,0.0105,17.6678,1.75,V,G,bb
2457779.0543024,6.7533,0.0567,14.3860,0.0091,17.8282,1.83,V,G,bb
2457783.1092653,6.9175,0.0591,14.3599,0.0093,17.7831,1.65,V,G,bb
2457786.0648219,6.9075,0.0558,14.3615,0.0088,17.8459,1.87,V,B,bb
2457789.0580764,6.9898,0.0478,14.3486,0.0074,18.0148,1.79,V,G,bb
2457789.975133,6.8113,0.0794,14.3767,0.0127,17.4624,1.69,V,G,bb
2457794.9624623,6.5047,0.1854,14.4267,0.0310,16.5420,1.63,V,G,bb
2457799.0467691,6.8796,0.1298,14.3659,0.0205,16.9294,2.02,V,G,bb
2457802.0322161,6.8834,0.0569,14.3653,0.0090,17.8241,2.09,V,G,bb
2457806.1090779,7.0484,0.0658,14.3395,0.0101,17.6666,2.06,V,B,bb
2457816.9034478,6.8850,0.0527,14.3650,0.0083,17.9085,2.12,V,G,bb
2457817.899839,6.7887,0.0758,14.3803,0.0121,17.5138,2.14,V,G,bb
2457819.0105594,6.9577,0.0481,14.3536,0.0075,18.0070,1.79,V,G,bb
2457822.9358738,6.7540,0.1169,14.3859,0.0188,17.0425,2.07,V,G,bb
2457827.9748889,6.6589,0.1196,14.4013,0.0195,17.0180,1.59,V,G,bb
2457831.0625945,6.7099,0.0813,14.3930,0.0132,17.4373,1.85,V,B,bb
2457832.9837581,6.7056,0.0690,14.3937,0.0112,17.6153,1.61,V,G,bb
2457833.9149396,6.8159,0.0575,14.3760,0.0092,17.8129,1.70,V,G,bb
2457836.9534254,6.8702,0.0584,14.3674,0.0092,17.7956,1.75,V,B,bb
2457839.9242413,7.1301,0.1166,14.3270,0.0178,17.0452,1.62,V,G,bb
2457843.9438851,6.9147,0.0692,14.3603,0.0109,17.6121,1.73,V,G,bb
2457845.8147893,6.5710,0.0625,14.4157,0.0103,17.7229,1.90,V,G,bb
2457846.9336608,6.9616,0.0656,14.3530,0.0102,17.6708,2.10,V,G,bb
