# ASAS-SN SkyPatrol ID: 661427136882
# Million Quasars Catalog (MILLIQUAS): SDSS J134949.06+403214.7
# GLADE HyperLEDA: 2167298


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456319.1479837,2.0086,0.0901,15.7025,0.0488,17.3252,2.42,V,G,bb
2456329.1197651,1.8317,0.0421,15.8027,0.0250,18.1516,2.02,V,G,bb
2456339.1341777,1.9298,0.0336,15.7460,0.0189,18.3952,2.22,V,G,bb
2456350.0059056,1.8643,0.1219,15.7835,0.0710,16.9977,3.62,V,B,bb
2456358.0301507,1.9064,0.0538,15.7592,0.0307,17.8855,3.03,V,B,bb
2456370.9312236,1.7515,0.0703,15.8512,0.0436,17.5949,1.83,V,G,bb
2456386.8957487,1.8233,0.0355,15.8076,0.0212,18.3357,1.83,V,G,bb
2456390.9385379,1.6905,0.0462,15.8897,0.0297,18.0517,2.25,V,G,bb
2456397.97037,1.7611,0.0424,15.8453,0.0262,18.1430,2.05,V,B,bb
2456400.8956027,1.7166,0.0655,15.8731,0.0415,17.6710,2.02,V,G,bb
2456404.8622344,1.6619,0.0738,15.9083,0.0482,17.5427,1.83,V,G,bb
2456411.9029868,1.6750,0.2586,15.8997,0.1678,16.1809,1.93,V,B,bb
2456447.8496637,1.8726,0.0475,15.7787,0.0276,18.0210,2.07,V,G,bb
2456451.838584,1.8756,0.0482,15.7770,0.0279,18.0056,1.73,V,G,bb
2456458.7846347,1.6893,0.0556,15.8905,0.0358,17.8503,1.93,V,G,bb
2456462.8107979,1.5573,0.0941,15.9789,0.0657,17.2778,2.00,V,G,bb
2456466.8140931,1.3772,0.2287,16.1123,0.1805,16.3140,2.11,V,B,bb
2456473.8261615,1.8362,0.0471,15.8000,0.0279,18.0302,1.81,V,G,bb
2456478.8007101,1.8131,0.0496,15.8138,0.0297,17.9741,1.97,V,G,bb
2456479.8104209,1.7180,0.0472,15.8722,0.0299,18.0266,1.98,V,G,bb
2456484.7941847,1.8680,0.0454,15.7813,0.0264,18.0700,2.31,V,G,bb
2456488.7751293,2.0083,0.0931,15.7027,0.0504,17.2902,2.08,V,G,bb
2456490.771169,1.8033,0.0773,15.8196,0.0466,17.4921,2.49,V,G,bb
2456506.7558297,1.5901,0.0628,15.9562,0.0429,17.7173,2.34,V,G,bb
2456512.7456103,2.0232,0.0822,15.6947,0.0442,17.4246,2.48,V,G,bb
2456632.126204,1.7710,0.0561,15.8393,0.0344,17.8407,2.24,V,B,bb
2456634.1065045,1.7094,0.1290,15.8777,0.0820,16.9357,3.01,V,B,bb
2456638.1054696,2.0490,0.0798,15.6809,0.0423,17.4571,1.78,V,G,bb
2456642.0833949,1.8172,0.1178,15.8113,0.0705,17.0344,2.04,V,G,bb
2456644.0862026,1.7130,0.2089,15.8754,0.1325,16.4127,2.18,V,G,bb
2456652.0630924,1.9901,0.0868,15.7126,0.0474,17.3660,2.80,V,G,bb
2456658.0557563,1.6956,0.0625,15.8865,0.0401,17.7222,1.62,V,G,bb
2456684.0680352,1.8067,0.0543,15.8176,0.0326,17.8763,2.04,V,B,bb
2456729.8879388,1.6979,0.1042,15.8850,0.0667,17.1682,2.04,V,G,bb
2456735.9425432,1.9047,0.0896,15.7602,0.0512,17.3311,1.63,V,G,bb
2456740.9813593,1.8608,0.0782,15.7855,0.0457,17.4797,2.16,V,G,bb
2456742.0165664,1.9477,0.0591,15.7360,0.0330,17.7830,1.71,V,G,bb
2456756.7835638,1.8713,0.1032,15.7794,0.0600,17.1778,1.80,V,G,bb
2456767.9665328,1.9217,0.1770,15.7506,0.1001,16.5923,2.05,V,B,bb
2456772.0474201,1.8428,0.0607,15.7961,0.0358,17.7552,2.02,V,B,bb
2456781.8909745,1.8871,0.0647,15.7703,0.0373,17.6845,1.74,V,B,bb
2456782.7331555,1.4792,0.1791,16.0347,0.1316,16.5798,2.35,V,G,bb
2456783.9027921,1.8897,0.0346,15.7688,0.0199,18.3659,1.79,V,G,bb
2456784.8889103,1.7511,0.0659,15.8515,0.0409,17.6648,1.67,V,G,bb
2456785.890381,1.7658,0.0700,15.8425,0.0431,17.5991,1.64,V,G,bb
2456788.8763807,1.6821,0.0910,15.8951,0.0588,17.3146,2.02,V,G,bb
2456794.9702168,2.3891,0.0949,15.5142,0.0432,17.2692,1.83,V,G,bb
2456795.9816222,1.5616,0.0889,15.9759,0.0619,17.3395,1.88,V,G,bb
2456796.9152168,1.9049,0.0668,15.7601,0.0381,17.6508,1.72,V,G,bb
2456797.8734315,1.9717,0.0401,15.7227,0.0221,18.2040,1.74,V,G,bb
2456800.8569785,1.8477,0.0426,15.7932,0.0250,18.1396,1.71,V,G,bb
2456802.8586294,2.0182,0.0529,15.6974,0.0285,17.9038,1.69,V,G,bb
2456804.8650081,1.7861,0.0483,15.8300,0.0294,18.0020,1.70,V,G,bb
2456807.8525967,1.8712,0.0477,15.7795,0.0277,18.0157,1.62,V,G,bb
2456810.8489519,1.8692,0.0463,15.7807,0.0269,18.0474,2.02,V,G,bb
2456811.8662805,1.8028,0.0545,15.8199,0.0329,17.8711,1.78,V,G,bb
2456813.8523825,1.8326,0.1369,15.8021,0.0812,16.8716,1.72,V,B,bb
2456816.8341968,1.7812,0.0925,15.8330,0.0565,17.2966,1.76,V,G,bb
