# ASAS-SN SkyPatrol ID: 661435047455
# GLADE HyperLEDA: 2288420
# GLADE 2MASS Extended Source Catalog: 15372989+4651505


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456336.9834978,1.5181,0.0446,16.0065,0.0319,18.0888,2.33,V,G,ba
2456348.9663177,1.0677,0.4402,15.6033,99.9990,15.6033,2.07,V,B,ba
2456355.0695471,1.0612,0.0676,16.3953,0.0692,17.6376,2.15,V,G,ba
2456358.0921832,1.0111,0.0524,16.4478,0.0563,17.9150,1.83,V,G,ba
2456359.1316616,1.1455,0.0483,16.3123,0.0458,18.0031,1.78,V,G,ba
2456371.0049043,1.3792,0.0322,16.1108,0.0254,18.4417,2.03,V,G,ba
2456381.0366703,1.6513,0.1069,15.9152,0.0703,17.1403,1.86,V,G,ba
2456388.9259988,1.2977,0.0831,16.1768,0.0696,17.4133,2.23,V,B,ba
2456389.926205,1.4780,0.0514,16.0356,0.0378,17.9343,2.20,V,G,ba
2456393.9459399,1.4488,0.0403,16.0573,0.0303,18.1985,2.32,V,G,ba
2456397.9887258,1.3799,0.0410,16.1102,0.0323,18.1808,2.17,V,G,ba
2456400.9800136,1.1971,0.0522,16.2645,0.0474,17.9174,2.35,V,G,ba
2456403.9432501,1.2626,0.0705,16.2066,0.0607,17.5923,2.14,V,G,ba
2456405.9428825,1.6173,0.1048,15.9378,0.0704,17.1615,2.01,V,G,ba
2456410.9400377,1.6276,0.4011,15.7041,99.9990,15.7041,2.14,V,B,ba
2456416.0338617,1.4379,0.0514,16.0654,0.0389,17.9350,2.17,V,G,ba
2456451.871813,1.3802,0.0452,16.1099,0.0356,18.0735,2.26,V,G,ba
2456456.8878353,1.4750,0.0497,16.0378,0.0367,17.9705,2.43,V,G,ba
2456460.8577444,1.6146,0.0732,15.9396,0.0492,17.5518,2.05,V,G,ba
2456463.8556084,1.2657,0.0678,16.2039,0.0582,17.6348,1.88,V,G,ba
2456468.9223651,1.4680,0.1506,16.0429,0.1115,16.7678,2.02,V,G,ba
2456471.804998,1.2681,0.0417,16.2019,0.0357,18.1627,2.24,V,G,ba
2456475.915904,1.2687,0.0471,16.2014,0.0403,18.0303,1.73,V,G,ba
2456480.8315315,1.2839,0.0524,16.1884,0.0444,17.9136,2.05,V,G,ba
2456484.8297187,1.3796,0.0357,16.1104,0.0281,18.3303,2.18,V,G,ba
2456488.8030165,1.3837,0.0540,16.1071,0.0424,17.8817,1.77,V,G,ba
2456490.7990583,1.4757,0.0496,16.0373,0.0365,17.9735,1.70,V,G,ba
2456494.837106,1.2693,0.1494,16.2009,0.1279,16.7765,2.14,V,B,ba
2456507.8000957,1.2077,0.0599,16.2549,0.0539,17.7689,2.25,V,G,ba
2456508.7914059,1.4693,0.0355,16.0420,0.0263,18.3355,1.76,V,G,ba
2456512.789977,1.3741,0.0702,16.1148,0.0555,17.5970,2.03,V,B,ba
2456518.7609614,1.4984,0.0751,16.0207,0.0545,17.5232,1.80,V,B,ba
2456522.7560007,1.4993,0.0795,16.0200,0.0577,17.4609,1.73,V,G,ba
2456527.754762,1.3335,0.0649,16.1473,0.0529,17.6815,2.12,V,G,ba
2456534.7376155,1.5002,0.0719,16.0194,0.0521,17.5699,1.75,V,G,ba
2456537.7415876,1.2474,0.0576,16.2198,0.0502,17.8105,2.00,V,G,ba
2456538.732072,1.2352,0.0553,16.2305,0.0486,17.8559,1.83,V,G,ba
2456544.7252666,1.4339,0.0944,16.0685,0.0716,17.2744,1.74,V,G,ba
2456651.1275486,1.2965,0.0582,16.1779,0.0488,17.7994,1.57,V,G,bc
2456652.1170187,1.3215,0.0545,16.1571,0.0448,17.8714,1.65,V,G,bc
2456653.1202729,1.3701,0.0610,16.1179,0.0484,17.7494,1.54,V,G,bc
2456658.1048314,1.4616,0.0461,16.0477,0.0343,18.0539,1.77,V,G,bc
2456678.0621674,1.5414,0.0877,15.9900,0.0618,17.3549,2.37,V,G,bc
2456682.1083245,1.4486,0.0644,16.0574,0.0483,17.6900,1.79,V,G,bc
2456736.8904296,1.3830,0.1041,16.1078,0.0818,17.1687,1.64,V,B,bc
2456737.9074734,1.4576,0.0763,16.0507,0.0569,17.5066,1.49,V,B,bc
2456742.1132898,1.4137,0.0438,16.0839,0.0337,18.1076,1.72,V,G,bc
2456752.0191644,1.4605,0.0557,16.0485,0.0415,17.8477,1.88,V,G,bc
2456756.8360324,1.4634,0.0977,16.0464,0.0726,17.2372,2.27,V,G,bc
2456758.8282464,1.2859,0.1091,16.1868,0.0922,17.1176,2.76,V,G,bc
2456765.9860552,1.0686,0.4453,15.5907,99.9990,15.5907,2.48,V,B,bc
2456766.9608089,1.1006,0.1478,16.3557,0.1460,16.7878,1.71,V,B,bc
2456771.0968064,1.3377,0.0678,16.1439,0.0551,17.6341,2.47,V,B,bc
2456778.9366707,1.3252,0.0511,16.1541,0.0419,17.9423,1.67,V,G,bc
2456781.9187195,1.3417,0.0532,16.1406,0.0431,17.8972,1.68,V,G,bc
