# ASAS-SN SkyPatrol ID: 85900522294
# ATLAS-REFCAT2: 169672376516138320
# Gaia DR2: 1404237225261262336
# TESS Input Catalog (TIC): 159872050
# Million Quasars Catalog (MILLIQUAS): PGC 2393431
# GLADE HyperLEDA: 2393431
# GLADE 2MASS Extended Source Catalog: 15503639+5123529


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2455989.157231,1.4645,0.0515,16.0456,0.0382,17.9339,2.54,V,G,ba
2455997.1324145,1.2291,0.1418,16.2358,0.1254,16.8331,2.31,V,G,ba
2456001.1371534,1.3836,0.0542,16.1072,0.0426,17.8767,2.28,V,G,ba
2456326.1715409,1.4759,0.0824,16.0371,0.0607,17.4226,2.25,V,G,ba
2456338.9996863,1.4101,0.0438,16.0866,0.0338,18.1076,2.13,V,G,ba
2456350.0573032,1.3611,0.0917,16.1251,0.0732,17.3065,2.18,V,G,ba
2456355.1531041,1.5576,0.0590,15.9787,0.0412,17.7848,2.00,V,G,ba
2456358.1193375,1.3924,0.0501,16.1004,0.0391,17.9638,1.84,V,G,ba
2456378.1196137,-1.9078,0.3652,15.8059,99.9990,15.8059,1.99,V,B,ba
2456388.0019516,1.5007,0.0514,16.0191,0.0372,17.9353,2.39,V,B,ba
2456392.9239291,1.4805,0.0426,16.0338,0.0313,18.1377,2.15,V,G,ba
2456396.9849672,1.5019,0.0446,16.0181,0.0323,18.0894,2.06,V,G,ba
2456400.0096487,1.9725,0.0533,15.7222,0.0294,17.8958,2.08,V,G,ba
2456402.9746346,1.6122,0.0550,15.9412,0.0371,17.8612,2.06,V,G,ba
2456405.9509636,1.4844,0.0966,16.0309,0.0707,17.2503,1.85,V,G,ba
2456412.0169435,1.6291,0.0771,15.9299,0.0514,17.4952,1.77,V,G,ba
2456436.9018498,1.5900,0.1188,15.9563,0.0812,17.0255,2.69,V,G,ba
2456444.8972802,1.5920,0.0372,15.9549,0.0254,18.2853,2.76,V,G,ba
2456451.8243009,1.4579,0.0449,16.0505,0.0335,18.0818,2.09,V,G,ba
2456459.8550633,1.4745,0.0593,16.0382,0.0437,17.7801,2.08,V,G,ba
2456462.8642952,1.7013,0.0751,15.8828,0.0480,17.5235,2.03,V,G,ba
2456468.8514667,1.1542,0.1202,16.3040,0.1132,17.0124,1.77,V,B,ba
2456471.8134728,1.5722,0.0356,15.9685,0.0246,18.3323,2.26,V,G,ba
2456475.9101698,1.5739,0.0435,15.9673,0.0301,18.1150,1.70,V,G,ba
2456480.8370706,1.5349,0.0459,15.9946,0.0325,18.0568,2.06,V,B,ba
2456484.8357051,1.4836,0.0407,16.0315,0.0298,18.1894,2.11,V,G,ba
2456487.8307065,1.4138,0.0472,16.0838,0.0363,18.0281,1.84,V,G,ba
2456490.8018032,1.5627,0.0700,15.9751,0.0487,17.5993,1.73,V,G,ba
2456494.8315471,1.4354,0.1284,16.0674,0.0972,16.9409,2.10,V,B,ba
2456507.8087587,1.4727,0.0428,16.0395,0.0316,18.1328,1.99,V,G,ba
2456512.7962764,1.4834,0.0435,16.0316,0.0319,18.1155,2.03,V,G,ba
2456517.7843818,1.4443,0.0541,16.0606,0.0407,17.8802,2.04,V,G,ba
2456521.7621238,1.7000,0.0778,15.8837,0.0498,17.4844,1.72,V,G,ba
2456526.7536022,1.4831,0.1010,16.0318,0.0740,17.2015,1.78,V,G,ba
2456533.7427338,1.5303,0.0495,15.9979,0.0352,17.9753,1.77,V,G,ba
2456536.7419094,1.5453,0.0715,15.9873,0.0503,17.5761,1.75,V,B,ba
2456537.7472173,1.4594,0.0487,16.0494,0.0363,17.9940,1.79,V,G,ba
2456538.7410342,1.6299,0.0443,15.9294,0.0296,18.0959,1.73,V,G,ba
2456651.1409821,1.5306,0.0990,15.9977,0.0703,17.2233,2.90,V,G,ba
2456653.1395196,1.3776,0.0716,16.1120,0.0565,17.5758,2.00,V,G,ba
2456659.1125246,1.4368,0.0539,16.0663,0.0408,17.8824,2.32,V,G,ba
2456675.0791037,1.4978,0.1754,16.0212,0.1273,16.6025,2.40,V,G,ba
2456677.0804743,1.8383,0.1330,15.7987,0.0786,16.9031,1.69,V,G,ba
2456678.1188905,1.4566,0.0953,16.0514,0.0711,17.2650,2.06,V,G,ba
2456682.1184262,1.5778,0.0941,15.9646,0.0648,17.2786,2.04,V,G,ba
2456683.1197851,1.4145,0.1162,16.0833,0.0893,17.0495,1.80,V,G,ba
2456701.0390085,1.6736,0.1329,15.9006,0.0863,16.9031,1.70,V,G,ba
2456730.1145211,1.4098,0.0489,16.0869,0.0377,17.9894,2.12,V,G,ba
2456731.101702,1.3398,0.1359,16.1422,0.1102,16.8796,1.72,V,G,ba
2456735.9681884,1.2823,0.1799,16.1898,0.1525,16.5749,1.60,V,G,ba
2456736.9872425,1.3287,0.1300,16.1512,0.1063,16.9275,1.74,V,B,ba
2456741.0099132,1.5048,0.0564,16.0161,0.0408,17.8335,2.42,V,B,ba
2456742.1186168,1.7601,0.0535,15.8459,0.0330,17.8921,1.73,V,B,ba
2456751.0782597,1.4798,0.0501,16.0342,0.0368,17.9624,1.84,V,G,ba
2456757.8535982,1.2733,0.0956,16.1975,0.0816,17.2607,1.76,V,G,ba
2456758.9764418,1.7429,0.0947,15.8566,0.0590,17.2719,2.17,V,G,ba
2456771.9524109,1.5289,0.0574,15.9989,0.0408,17.8150,2.05,V,G,ba
2456783.8058841,1.6631,0.0615,15.9075,0.0402,17.7407,1.68,V,G,ba
2456784.7863072,1.8508,0.0841,15.7914,0.0494,17.4008,2.41,V,G,ba
2456785.7757248,1.3277,0.0882,16.1520,0.0722,17.3491,1.66,V,G,ba
2456788.9179585,1.4386,0.0983,16.0649,0.0743,17.2312,2.27,V,G,ba
2456797.0318658,1.5991,0.0763,15.9501,0.0519,17.5054,2.11,V,G,ba
2456798.9145752,1.5437,0.0450,15.9884,0.0317,18.0784,1.84,V,G,ba
2456799.9223082,1.5633,0.0467,15.9747,0.0325,18.0380,1.80,V,G,ba
2456801.9323903,1.4437,0.0534,16.0611,0.0402,17.8930,2.06,V,G,ba
2456804.9119093,1.6370,0.0572,15.9247,0.0380,17.8195,2.04,V,G,ba
2456807.9058372,1.4494,0.0605,16.0568,0.0454,17.7572,2.42,V,G,ba
2456811.9474361,1.7410,0.0616,15.8578,0.0384,17.7388,1.72,V,G,ba
2456813.8992848,1.5101,0.1051,16.0123,0.0757,17.1579,1.74,V,B,ba
2456816.9680552,1.5167,0.0869,16.0075,0.0622,17.3654,1.75,V,G,ba
2456817.9720764,1.7572,0.0895,15.8478,0.0554,17.3327,1.69,V,G,ba
2456819.8788994,1.7084,0.1466,15.8783,0.0933,16.7972,1.79,V,G,ba
2456820.8781476,1.3873,0.1814,16.1044,0.1421,16.5661,1.76,V,B,ba
2456823.890387,1.2939,0.2395,16.1800,0.2012,16.2643,2.22,V,B,ba
2456824.8885145,1.4415,0.0987,16.0627,0.0744,17.2263,1.68,V,B,ba
2456825.9581069,1.3572,0.1539,16.1282,0.1233,16.7441,1.65,V,B,ba
2456826.8772486,1.6288,0.0496,15.9301,0.0331,17.9726,1.61,V,G,ba
2456829.9110414,1.4820,0.0548,16.0327,0.0402,17.8649,1.71,V,G,ba
2456832.8411814,1.3465,0.0603,16.1368,0.0486,17.7623,1.76,V,G,ba
2456835.8899499,1.6601,0.0601,15.9094,0.0394,17.7645,2.10,V,G,ba
2456846.8370211,1.5777,0.0781,15.9647,0.0538,17.4803,2.09,V,B,ba
2456848.866815,1.7221,0.1710,15.8696,0.1079,16.6298,1.92,V,B,ba
2456850.8449147,1.0019,0.1577,16.4577,0.1711,16.7179,2.01,V,B,ba
2456855.8304342,1.4019,0.0555,16.0930,0.0431,17.8510,1.74,V,G,ba
2456856.829935,1.6338,0.0597,15.9268,0.0397,17.7727,1.69,V,G,ba
2456863.8186092,1.5307,0.0420,15.9975,0.0298,18.1533,1.99,V,G,ba
2456865.817215,1.5746,0.0442,15.9669,0.0305,18.0999,1.72,V,G,ba
2456869.7994049,2.0966,0.1450,15.6560,0.0752,16.8091,1.85,V,B,ba
2456873.795175,1.5852,0.0639,15.9596,0.0438,17.6981,2.25,V,G,ba
2456874.7974405,1.6669,0.0850,15.9050,0.0554,17.3888,2.43,V,G,ba
2456875.805716,1.5899,0.1134,15.9564,0.0775,17.0759,2.26,V,B,ba
2456883.7762461,1.4948,0.0552,16.0233,0.0401,17.8576,2.00,V,G,ba
2456884.7824702,1.7215,0.0567,15.8700,0.0358,17.8285,2.17,V,G,ba
2456887.7746187,1.6030,0.0494,15.9475,0.0335,17.9770,1.72,V,G,ba
2456893.7799968,1.6611,0.0747,15.9088,0.0489,17.5296,2.10,V,G,ba
2456896.7573136,1.5807,0.0569,15.9626,0.0391,17.8246,2.12,V,G,ba
2456898.7560739,1.6033,0.0451,15.9473,0.0306,18.0777,1.73,V,G,ba
2456902.725065,1.9479,0.2624,15.7358,0.1464,16.1648,2.49,V,G,ba
2456905.726361,1.1275,0.1226,16.3295,0.1182,16.9914,2.21,V,B,ba
2456906.7224692,2.0912,0.1896,15.6588,0.0985,16.5179,2.38,V,G,ba
2457009.1700628,1.1667,0.2041,16.2924,0.1902,16.4376,1.72,V,G,ba
